,School,CourseID,Descriptions
56663,SmithSUPERTRIMMED,CLT 100 Introduction to Comparative Literature: The Pleasures of Reading ,Topics May be repeated once with a different topic
56664,SmithSUPERTRIMMED,"FRN 262 After Algeria: Revolution, Republic and Race in Modern France ",From the colonial conquest in the early 19th century through independence in 1962 Algeria has evoked passions on both sides of the Mediterranean Sea passions frequently resulting in violence that has not entirely subsided Through a variety of perspectives and readings we explore a postAlgerian French society that appears to be permanently marked by its Algerian experience To what extent has the experience in and of Algeria transformed contemporary French culture In what ways can one speak of the Algerian experience in revolutionary terms Prerequisite 230 or permission of the instructor F L S 4
56665,SmithSUPERTRIMMED,FYS 165 Childhood in African Literature ,A study of childhood as an experience in the present and as a transition into adulthood and of the ways in which it is intimately tied to social political and cultural histories and to questions of self and national identity How does the violence of colonialism and decolonization reframe our understanding of childhood innocence How do African childhood narratives represent such crises as cultural alienation loss of language exile and memory How do competing national and cultural ideologies shape narratives of childhood Texts include Tsitsi Dangarembga’s Nervous Conditions Zoë Wicomb’s You Can’t Get Lost in Cape Town Ngu˜gı˜ wa Thiongo’s Weep Not Child and Tahar Ben Jelloun’s The Sand Child This counts toward the comparative literature major Enrollment limited to 16 firstyear 4
56666,SmithSUPERTRIMMED,AFR 218 History of Southern Africa (1600 to about 1900) ,The history of Southern Africa which includes a number of states such as South Africa Zimbabwe Namibia Angola and Lesotho is very complex In addition to developing an historical understanding of the Khoisan and Bantuspeaking peoples must also know the history of Europeans and Asians of the region The focus of this is to understand the historical cultural and economic interrelationships between various ethnic groups cultures and political forces which have evolved in Southern Africa since about 1600
56667,SmithSUPERTRIMMED,HST 234 (C) Global Africa ,This interrogates how scholars have engaged the transnational and global in African history In doing so the explores the complex networks of identities loyalties and attachments forged by diverse groups of African peoples in their attempts to live within and transcend the boundaries of the modern nationstate As a result over the of the semester the class will investigate issues of trade nationality citizenship race and identity as it queries the many ways in which Africans have shaped and reshaped their views of themselves and communities over seemingly vast distances in time and space H 4
56668,SmithSUPERTRIMMED,HST 257 (L) Early African History ,This is a general introductory survey of African history prior to colonial rule It provides with a framework for understanding Africas early political social and economic history and for appreciating the strategies African peoples employed as they made sense of accommodated themselves to and confronted their changing landscapes Key subjects addressed in the include African agricultural development the introduction of monotheistic religions on the continent African trade in the Indian Ocean and the effects of the Atlantic slave trade on West and Central Africa H 4
56669,SmithSUPERTRIMMED,HST 258 (L) Modern Africa ,This provides an introductory survey of African history under colonial rule and beyond In doing so the offers a framework for understanding the political social and economic history of modern Africa by foregrounding the strategies African peoples employed as they made sense of and confronted their changing historical landscapes Key subjects include the construction of the colonial state African experiences with colonial rule the dilemmas of decolonization and life in an independent Africa
56670,SmithSUPERTRIMMED,AFR 370 Seminar: Modern Southern Africa ,In 1994 South Africa underwent a “peaceful revolution” with the election of Nelson Mandela This studies the historical events that led to this dramatic development in South Africa from 1948–2000 H S 4
56671,SmithSUPERTRIMMED,GOV 227 Contemporary African Politics ,This survey examines the everchanging political and economic landscape of the African continent The aims to provide with an understanding of the unique historical economic and social variables that shape modern African politics and introduces to various theoretical and analytical approaches to the study of Africa’s political development Central themes include the ongoing processes of nationbuilding and democratization the constitutional question the international relations of Africa issues of peace and security and Africa’s political economy Enrollment limited to 35
56672,SmithSUPERTRIMMED,GOV 233 Problems in Political Development ,This explores the practical meaning of the term “development” and its impact on a range of global topics from the problems of poverty and income inequality to the spread of democracy environmental degradation urbanization and gender empowerment We examine existing theories of economic development and consider how state governments international donors and NGOs interact to craft development policy S 4
56673,SmithSUPERTRIMMED,GOV 257 Colloquium: Refugee Politics ,This examines refugees—ie people displaced within their country to another country or perhaps somewhere “in between” Refugee politics prompt a consideration of the cause of refugee movements persecution flight asylum and resettlement dynamics the international response to humanitarian crises and the “position” of refugees in the international system In addition to international relations theory the seminar focuses on historical studies international law comparative politics refugee policy studies and anthropological approaches to displacement and “foreignness” Although special attention is devoted to the Middle East other cases of refugee politics are examined Open to majors in government others by permission of the instructor Enrollment limited to 20 S 4
56674,SmithSUPERTRIMMED,AFR 111 Introduction to Black Culture ,An introduction to some of the major perspectives themes and issues in the field of AfroAmerican studies Our focus is on the economic social and political aspects of cultural production and how these inform what it means to read write about view and listen to Black culture S 4
56675,SmithSUPERTRIMMED,AFR 117 History of Afro-American People to 1960 ,An examination of the broad contours of the history of the AfroAmerican people in the United States from ca 1600 to 1960 Particular emphasis is given to how Africans influenced virtually every aspect of US society slavery and Constitutional changes after 1865 the philosophies of WEB DuBois Booker T Washington Marcus Garvey and the rise and of racial segregation in the United States H 4
56676,SmithSUPERTRIMMED,AFR 155 Introduction to Black Women’s Studies ,This examines historical critical and theoretical perspectives on the development of Black feminist theorypraxis The draws from the 19th century to the present but focuses on the contemporary Black feminist intellectual tradition that achieved notoriety in the 1970s and initiated a global debate on “Western” and global feminisms Central to our exploration is the analysis of the intersectional relationship between theory and practice and of race to gender and class We conclude the with the exploration of various expressions of contemporary Black feminist thought around the globe as a way of broadening our knowledge of feminist theory S 4
56677,SmithSUPERTRIMMED,AFR 201 Methods of Inquiry ,This is designed to introduce to the many methods of inquiry used for research in interdisciplinary fields such as Africana studies Guided by a general research topic or theme are exposed to different methods for asking questions and gathering evidence
56678,SmithSUPERTRIMMED,"AFR 212 Family Matters: Representations, Policy and the Black Family ",In this we examine contemporary AfricanAmerican families from both a sociocultural and socioeconomic perspective We explore the issues facing AfricanAmerican families as a consequence of the intersecting of race class and gender categories of America The aim of this is to broaden the student’s knowledge of the internal dynamics and diversity of AfricanAmerican family life and to foster a greater understanding of the internal strengths as well as the vulnerabilities of the many varieties of AfricanAmerican families S 4
56679,SmithSUPERTRIMMED,AFR 218 History of Southern Africa (1600 to about 1900) ,The history of Southern Africa which includes a number of states such as South Africa Zimbabwe Namibia Angola and Lesotho is very complex In addition to developing an historical understanding of the Khoisan and Bantuspeaking peoples must also know the history of Europeans and Asians of the region The focus of this is to understand the historical cultural and economic interrelationships between various ethnic groups cultures and political forces which have evolved in Southern Africa since about 1600
56680,SmithSUPERTRIMMED,AFR 242 Death and Dying in Black Culture ,What does death and dying mean in black culture given the evidentiary history of black death even the ways that blackness—as an idea—signifies death Using a cultural studies perspective this looks at the distinction between and representational meanings of death and dying in black culture To do this we consider different historical periods and cultural forms we think about gender sexuality class religion region we think about genre and nationalism as well as death and dying’s nottoodistant relatives memory agency loss love Not open to firstyear 4
56681,SmithSUPERTRIMMED,AFR 243 Black Activist Autobiography ,From the publication of “slave narratives” in the 18th century to the present African Americans have used firstperson narratives to tell their personal story and to testify about the structures of social political and economic inequality faced by black people These autobiographical accounts provide rich portraits of individual experience at a specific time and place as well as insights into the larger sociohistorical context in which the authors lived This focuses on the autobiographies of activist women In addition to analyzing texts and their contexts we reflect on and document how our own life history is shaped by race Writers and subjects include Sojourner Truth Zora Neale Hurston Angela Davis Harriet Jacobs and Audre Lorde among others L 4
56682,SmithSUPERTRIMMED,AFR 249 Black Women Writers ,How does gender matter in a black context That is the question we will ask and attempt to answer through an examination of works by such authors as Harriet Jacobs Frances Harper Nella Larsen Zora Hurston Toni Morrison Ntozake Shange and Alice Walker L 4
56683,SmithSUPERTRIMMED,AFR 278 The ’60s: A History of Afro-Americans in the United States from 1954 to 1970 ,An interdisciplinary study of AfroAmerican history beginning with the Brown Decision in 1954 Particular attention is given to the factors which contributed to the formative years of civil rights movements black films and music of the era the rise of black nationalism and the importance of AfroAmericans in the Vietnam War Recommended background survey in AfroAmerican history American history or AfroAmerican literature Enrollment limited to 40
56684,SmithSUPERTRIMMED,"AFR 289 (C) Race, Feminism and Resistance in Movements for Social Change ",This interdisciplinary colloquial explores the historical and theoretical perspectives of African American women from the time of slavery to the postcivil rights era A central concern of the is the examination of how black women shaped and were shaped by the intersectionality of race gender and sexuality in American culture Not open to firstyear Enrollment limited to 25 H 4
56685,SmithSUPERTRIMMED,AFR 335 Seminar: Free Blacks in the U.S. Before 1865 ,A study of the history of free blacks from the 17th century to the abolition of slavery in 1865 A major problem created by the establishment of slavery based on race by the 1660s was what was to be the status of free blacks Each local and state government addressed the political economic and even religious questions raised by having free blacks in a slave society This addresses a neglected theme in the history of the AfroAmerican experience—that is the history of free blacks before the passage of the 13th amendment Recommended background AFR 117 H 4
56686,SmithSUPERTRIMMED,AFR 370 Seminar: Modern Southern Africa ,In 1994 South Africa underwent a “peaceful revolution” with the election of Nelson Mandela This studies the historical events that led to this dramatic development in South Africa from 1948–2000 H S 4
56687,SmithSUPERTRIMMED,AFR 400 Special Studies ,By permission of the department for junior and senior majors 1–4
56688,SmithSUPERTRIMMED,CLT 205 20th-Century Literatures of Africa ,A study of the major writers and diverse literary traditions of modern Africa with emphasis on the historical political and cultural contexts of the emergence of writing reception and consumption We pay particular attention to several questions in what contexts did modern African literature emerge Is the term “African literature” a useful category How do African writers challenge Western representations of Africa How do they articulate the crisis of independence and postcoloniality How do women writers reshape our understanding of gender and the politics of resistance Writers include Chinua Achebe Ngu˜gı˜ wa Thiong’o Tsitsi Dangarembga Chimamanda Ngozi Adichie Nadine Gordimer Njabulo Ndebele and Ama Ata Aidoo We also watch and critique films such as Blood Diamond District 9 Tsotsi and The Constant Gardener L 4 Members of the department
