,term,frequency,overall,rank
30,artificial intelligence,4,16,0.6570733824895338
347,selection questionnaire,1,16,0.5790484023686581
164,hypothesis test,3,16,0.4806008655039731
256,ns software,1,16,0.4806008655039731
133,estimation hypothesis,3,16,0.4806008655039731
324,regression simulation,1,16,0.4806008655039731
356,social ethical,1,16,0.46781391694312713
333,research technique,1,16,0.4037741542278526
92,decision make,3,16,0.40331097965617413
151,forecasting technique,2,16,0.39223227027636814
