,term,frequency,overall,rank
31703,researcher traditionally,2,1507,1.2543113157908732
38522,topic vary,22,1507,1.1716148176028922
8505,datum collection,163,1507,0.9859593080066879
8541,datum discuss,6,1507,0.7537772390038076
29383,projection mapping,1,1507,0.7063684839611255
35460,strategy combinatorial,1,1507,0.5936667210796482
15781,graph algorithm,2,1507,0.5743080236531379
26427,perspective rd,0,1507,0.5680831284676569
8308,data natural,1,1507,0.5239485837560884
6816,consider examination,1,1507,0.5156511938581041
