School,CourseID,Descriptions,Data Science Term,Data Science Analytics,Data Science Engineering,Data Management,Research Methods and Project Management,Business Analytics,Website,Data Visualization,Statistics,Experimental Design,Programming,Algorithms/Modeling/AI,Data Collection,Data Sources,Data Types,Data Analysis,Application,Simulation,Software,Lab,Sum,Weights,category
CaldwellSUPERTRIMMED_spaced,AR 360 Interactive Design (3) ,This coursefocuses understanding relationship user interface context intuitive human behavior order create successful graphic user experience Prerequisites AR 224 Graphic Design I AR 248 Typography I AR 357 Web Design CS 230 Emerging Technologies Or CS majors CS 360 Developing Apps Mobile Devices,user experience,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06977,2
CaldwellSUPERTRIMMED_spaced,BU 371 Operations Management in Healthcare (3) ,Today’s healthcare systems diverse healthcare organizations intricate commensurate complexity physical maintenance facilities communications infrastructure data technology infrastructure human safety epidemiological implications An effective efficient healthcare operations management system design operate improve processes systems create deliver essential healthcare services controlling costs maximizing quality Key issues supply chain management project management performance assessment improvement financial performance capacity management scheduling patient flow process improvement implications recent trends evidencebased medicine payforperformance,project management,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0597,1
CaldwellSUPERTRIMMED_spaced,BU 375 International Business Management (3) ,Presents framework analysis international business problems The defines nature international multinational transnational companies It examines evolution types enterprises develops model multinational firm dynamic global setting It provides bridge among disciplines Economics Sociology Political Science International Business,enterprises,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0.05556,2
CaldwellSUPERTRIMMED_spaced,CS 260 Data Management Systems (3) ,This introduces logical physical development contemporary databases particular emphasis relational database model Topics types databases data models database design procedures normal forms Handson experience illustrates creation maintenance reporting business databases using SQL Prerequisites CS 219 CS 195,sql,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0.12162,0
CaldwellSUPERTRIMMED_spaced,CS 340 Introduction to Data Science and Data Analytics (3) ,This instruct computer systems analyze datasets order gain insights develop forecasts predictions The introduces several key aspects data investigation collection organization cleaning efficiency integrity sampling visual analysis hypothesis generation statistical testing machine learning learn obtain information transform data set residing database system quick reliable access analysis also learn exploratory data analysis visual numerical gain understanding relationships patterns trends data In addition learn machine learning analysis techniques data sets traditional statistical analysis The emphasis applied techniques data analysis business social science decision making The utilize widely used source software Python MySQL quotR quot statistical package Prerequisite MA 207 PS 208 BU 305,"data analysis, machine learning",1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,8,0.14851,0
CaldwellSUPERTRIMMED_spaced,CS 405 Data Analysis in Healthcare (3) ,As dataintensive industries United States healthcare managers challenged collect access assimilate analyze keep safe everincreasing data Special emphasis using data analytics integrate information strategic decisionmaking achieve organizational objectives enhancing healthcare delivery medical decisionmaking risk management assessing quality patient care,data analytics,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0641,2
CaldwellSUPERTRIMMED_spaced,MA 106 Mathematics for Social Sciences (3) ,This places special emphasis applications business social sciences fields Introductory topics selected following algebra functions graphing interpretation charts graphs data analysis statistics simple compound interest consumer mathematics This Prerequisite MA 090 placement test,data analysis,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,5,0.13636,0
CaldwellSUPERTRIMMED_spaced,MA 117 Mathematical Perspectives (3) ,Topics algebra functions graphing probability data analysis statistics proportional reasoning Graphing calculators technologies introduced application topics Oral written communication emphasized Not majoring mathematics biology medical technology Prerequisite MA 090 placement test,data analysis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0.14516,2
CaldwellSUPERTRIMMED_spaced,PS 207 General Psychology II (3) ,This continues examination ofthe main theories methods principles psychology begun PS 150 This required study field Topics research methods introduction descriptive statisticsthe process writing literature review paper APA style neuroscience consciousness sensation perception learning memory thinking language Prerequisite PS 150,research methods,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0625,1
CaldwellSUPERTRIMMED_spaced,PS 328 Psychology of Learning (3) ,Examines historical contemporary issues learning Topics respondent operant learning principles stimulus control reinforcement shaping verbal behavior imitation data analysis etc conduct projects principles learning realworld situations,data analysis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.09615,2
