,term,frequency,overall,rank
870,design analysis,2,100,1.9602237827107287
3439,selfdeception document,1,100,1.9602237827107287
2115,liability insurance,1,100,1.1098903550438919
780,data management,1,100,0.9416338123189866
3764,system additional,1,100,0.8932387373346857
3074,proposal course,1,100,0.8308014816513971
2629,optimization continuous,1,100,0.8161954358125896
802,datum format,1,100,0.7979824970811777
1170,engineering permission,1,100,0.752967861125003
1500,forecasting systems,1,100,0.7037218685856584
