,term,frequency,overall,rank
157,linear programming,2,8,0.35921060405354976
235,research method,3,8,0.30643523138872775
22,basic fundamental,1,8,0.2773500981126146
257,simulation exercise,1,8,0.2773500981126146
304,tothe basic,1,8,0.2773500981126146
286,technique selfdefense,1,8,0.2773500981126146
83,design specifically,1,8,0.2773500981126146
119,fundamental kickingblockingand,1,8,0.2773500981126146
144,introduction tothe,1,8,0.2773500981126146
315,womenvolunteer simulation,1,8,0.2773500981126146
