,term,frequency,overall,rank
564,computer simulation,2,43,0.8204641940859325
3742,team compete,1,43,0.5741661255635009
2403,natural number,1,43,0.5741661255635009
199,aspect acquisition,1,43,0.5569890769487931
1388,family development,1,43,0.533794938753028
3176,resolution engineer,1,43,0.5274223340825988
568,computing exploration,1,43,0.4787204186213073
468,collection primary,1,43,0.4623281596165057
1345,experimental result,1,43,0.4623281596165057
3158,research discussion,1,43,0.4623281596165057
