,term,frequency,overall,rank
585,environmental science,1,56,1.5344454167730963
360,data collection,6,56,1.4869163099679674
1460,resource engineer,1,56,1.2369967212890443
1160,outright rebellion,1,56,0.9407889243391795
1452,research palatable,1,56,0.9164295068274698
1728,teamwork effective,1,56,0.8820299502015447
1462,respiration nutrient,2,56,0.7077162932656638
1418,relationship exploration,1,56,0.6897175490174959
256,collection measurement,1,56,0.6780361582298573
361,data design,1,56,0.6780361582298573
