,term,frequency,overall,rank
120,datum begin,1,16,0.5616843739493094
413,research project,1,16,0.5316685983800575
108,curricular programming,1,16,0.43842556279296324
368,project psychology,1,16,0.40916455303814137
451,solver pmt,1,16,0.39467944313780634
66,collection collect,1,16,0.38729833462074176
385,quantitative research,1,16,0.37590809278226356
99,create conclusion,1,16,0.33047238336878354
117,database decisionmaking,1,16,0.32011809549855946
469,strength conditioning,1,16,0.32011809549855946
