,term,frequency,overall,rank
385,data bring,1,123,2.155243924120311
1169,performance cal,1,123,2.004907923200466
1393,research questionsconduct,1,123,1.9931915971852112
1388,research problemsresearch,2,123,1.8444593708232553
406,datum handle,1,123,1.8413215980739208
50,analysis developmental,2,123,1.7046056563553378
404,datum collection,11,123,1.5628177937191228
693,format numerous,1,123,1.42897347383766
233,chemical property,2,123,1.4102940426377943
1726,tool mathematical,3,123,1.3008641276860489
