,term,frequency,overall,rank
33595,researcher citizensdesigners,1,1659,1.3820065001955053
8801,data exploration,3,1659,1.0084677712118488
31182,project work,9,1659,0.8038129097419424
9078,datum computer,1,1659,0.6636245321888055
37788,strategie communicate,1,1659,0.6295248198122932
9111,datum encode,1,1659,0.6276985983342673
17344,graphic model,1,1659,0.6089968365575446
33482,research multiple,1,1659,0.5332623749341343
21880,letter extend,1,1659,0.5306007158547319
40682,tool case,2,1659,0.4952042748432327
