,School,CourseID,Descriptions,Data Science Term
0,CaldwellSUPERTRIMMED_spaced,AR 360 Interactive Design (3) ,This coursefocuses on understanding the relationship between user interface its context and intuitive human behavior in order to create a successful graphic user experience Prerequisites AR 224 Graphic Design I or AR 248 Typography I and AR 357 Web Design or CS 230 Emerging Technologies Or for CS majors CS 360 Developing Apps for Mobile Devices,user experience
1,CaldwellSUPERTRIMMED_spaced,BU 371 Operations Management in Healthcare (3) ,Today’s healthcare systems and diverse healthcare organizations are intricate with commensurate complexity in physical maintenance of facilities communications infrastructure data and technology infrastructure human safety and epidemiological implications An effective and efficient healthcare operations management system will design operate and improve the processes and systems that create and deliver essential healthcare services while controlling costs and maximizing quality Key issues include supply chain management project management performance assessment and improvement financial performance capacity management scheduling patient flow and process improvement and the implications of recent trends in evidencebased medicine and payforperformance,project management
2,CaldwellSUPERTRIMMED_spaced,BU 375 International Business Management (3) ,Presents a framework for the analysis of international business problems The defines the nature of international multinational and transnational companies It examines the evolution of these types of enterprises and develops a model of a multinational firm in a dynamic global setting It provides a bridge among the disciplines of Economics Sociology Political Science and International Business,enterprises
3,CaldwellSUPERTRIMMED_spaced,CS 260 Data Management Systems (3) ,This introduces the student to the logical and physical development of contemporary databases with particular emphasis on the relational database model Topics include types of databases major data models database design procedures and normal forms Handson experience illustrates the creation maintenance and reporting of business databases using SQL Prerequisites CS 219 and CS 195,sql
4,CaldwellSUPERTRIMMED_spaced,CS 340 Introduction to Data Science and Data Analytics (3) ,This will instruct how to use computer systems to analyze large datasets in order to gain useful insights develop forecasts and make predictions The introduces several key aspects of data investigation collection and organization cleaning for efficiency and integrity sampling visual analysis hypothesis generation statistical testing and machine learning will learn how to obtain information and transform it into a data set residing in a large database system for quick and reliable access and analysis will also learn exploratory data analysis visual and numerical to gain understanding of the relationships patterns and trends in the data In addition will learn to use machine learning and analysis techniques for data sets that are too large for traditional statistical analysis The emphasis of the will be on applied techniques of data analysis for business or social science decision making The will utilize widely used open source software such as Python MySQL or quotR quot statistical package Prerequisite MA 207 or PS 208 or BU 305,"data analysis, machine learning"
5,CaldwellSUPERTRIMMED_spaced,CS 405 Data Analysis in Healthcare (3) ,As one of the most dataintensive industries in the United States healthcare managers are challenged to collect access assimilate analyze use and keep safe everincreasing data Special emphasis on using data analytics to integrate information for strategic decisionmaking to achieve organizational objectives as well as enhancing healthcare delivery medical decisionmaking risk management and assessing quality of patient care,data analytics
6,CaldwellSUPERTRIMMED_spaced,MA 106 Mathematics for Social Sciences (3) ,This places special emphasis on applications to business social sciences and related fields Introductory topics are selected from some of the following algebra functions graphing interpretation of charts and graphs data analysis statistics simple and compound interest and consumer mathematics This is open to all Prerequisite MA 090 or placement test,data analysis
7,CaldwellSUPERTRIMMED_spaced,MA 117 Mathematical Perspectives (3) ,Topics include algebra functions graphing probability data analysis statistics and proportional reasoning Graphing calculators and other technologies will be introduced in the application of the topics Oral and written communication will be emphasized Not open to majoring in mathematics biology and medical technology Prerequisite MA 090 or placement test,data analysis
8,CaldwellSUPERTRIMMED_spaced,PS 207 General Psychology II (3) ,This continues the examination ofthe main theories methods and principles of psychology begun in PS 150 This is required for further study in the field Topics will include research methods an introduction to descriptive statisticsthe process of writing a literature review paper in APA style neuroscience consciousness sensation and perception learning memory thinking and language Prerequisite PS 150,research methods
9,CaldwellSUPERTRIMMED_spaced,PS 328 Psychology of Learning (3) ,Examines historical and contemporary issues in learning Topics include respondent and operant learning principles stimulus control reinforcement shaping verbal behavior imitation data analysis etc will conduct projects in which they will apply principles of learning to realworld situations,data analysis
10,CaldwellSUPERTRIMMED_spaced,PS 402 Experimental Psychology (3) ,Focuses on research methods and design as applied to contemporary problems in psychology The involves independent research projects Prerequisite PS 208,research methods
