School,CourseID,Descriptions,Data Science Term,Data Science Analytics,Data Science Engineering,Data Management,Research Methods and Project Management,Business Analytics,Website,Data Visualization,Statistics,Experimental Design,Programming,Algorithms/Modeling/AI,Data Collection,Data Sources,Data Types,Data Analysis,Application,Simulation,Software,Lab,Sum,Weights,category
SmithSUPERTRIMMED,AFR 111 Introduction to Black Culture ,An introduction perspectives themes issues field AfroAmerican studies Our focus economic social political aspects cultural production inform means read write view listen Black culture S 4,production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846,1
SmithSUPERTRIMMED,AFR 278 The ’60s: A History of Afro-Americans in the United States from 1954 to 1970 ,An interdisciplinary study AfroAmerican history beginning Brown Decision 1954 Particular attention given factors contributed formative years civil rights movements black films music era rise black nationalism importance AfroAmericans Vietnam War Recommended background survey AfroAmerican history American history AfroAmerican literature Enrollment limited 40,films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04762,1
SmithSUPERTRIMMED,CLT 205 20th-Century Literatures of Africa ,A study writers diverse literary traditions modern Africa emphasis historical political cultural contexts emergence writing reception consumption We pay particular attention several questions contexts modern African literature emerge Is “African literature” category How African writers challenge Western representations Africa How articulate crisis independence postcoloniality How women writers reshape understanding gender politics resistance Writers Chinua Achebe Ngu˜gı˜ wa Thiong’o Tsitsi Dangarembga Chimamanda Ngozi Adichie Nadine Gordimer Njabulo Ndebele Ama Ata Aidoo We also watch critique films Blood Diamond District 9 Tsotsi The Constant Gardener L 4 Members department,films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02299,1
SmithSUPERTRIMMED,ENG 241 The Empire Writes Back: Postcolonial Literature ,An introduction Anglophone fiction poetry drama film Africa Caribbean South Asia aftermath British empire Concerns cultural political work writers respond histories colonial racial dominance ambivalence towards English linguistic literary cultural legacies ways literature reconstruct national identities histories explore assumptions race gender class sexuality distinctiveness women writers modes contesting cultural colonial ideologies global diasporas migration US imperialism Readings Achebe Adichie Aidoo Dangarembga Walcott Cliff Amitav Ghosh Rushdie Jhumpa Lahiri Mohsin Hamid theoretical essays L 4,"drama, film",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02703,1
SmithSUPERTRIMMED,FYS 148 Migration Stories: Border-Crossing and Becoming in African-American Literature ,This explores histories migration shaped formation black cultures identities African American culture identities always produced crucible migration forced voluntary Black people black cultures always move always process formation reformation African peoples arrived “New World” captives transatlantic slave trade This historical event devastating yet also occasion cultures identities formed Migration compelled black peoples refashion transform environments mark art cultures societies Among topics covered transatlantic domestic slave trades fugitivity Great Migration South post–Civil Rights era “reverse migration” recent immigrations people Caribbean Africa We literature history music film ask stories help us understand intricacies rich history Enrollment limited 16 firstyear 4,film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,1
SmithSUPERTRIMMED,HST 266 (L) Emancipation and the Afterlife of Slavery ,Examines longevity US Civil War historical memory pivotal period development American racism African American activism Explores cuttingedge histories primary source materials documentaries popular films visual political culture Explores Civil War mass slave insurrection studies myriad meanings Emancipation Looks slavery race racism twentieth twentyfirst centuries H 4,films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05435,2
SmithSUPERTRIMMED,SOC 214 Sociology of Hispanic Caribbean Communities in the United States ,This communitybased learning surveys social science research literary texts film media Cuban Dominican Puerto Rican communities United States Historic contemporary causes contexts im migration settlement patterns labor market experiences demographic profiles identity formations cultural expressions considered Special attention paid inter intragroup diversity particularly lines race gender sexuality class required dedicate four 4 per week local communitybased organization In addition required enroll SOC309 Thursdays 7 930 Enrollment limited 20 0–5,film,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.02174,2
SmithSUPERTRIMMED,SPN 246 Latin American Literature and Culture ,Topics May repeated different topic Normally semesters Literary Constructions AfroCuban Identity This explores AfroCuban world literature history culture writings Fernando Ortiz Lydia Cabrera Miguel Barnet Antonio BenítezRojo Nicolás Guillén Nancy Morejón Readings AfroCuban religious practice like Regla de Ochá Regla de Palo Abakuá included examples Cuban ritual theater plays Gerardo Fulleda Eugenio Hernandez Espinosa Class discussions readings Spanish Prerequisite SPN 220 equivalent Enrollment limited 19 2017 academic 2017–18 F L 4,plays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02817,1
SmithSUPERTRIMMED,THE 221 Rehearsing the Impossible: Black Women Playwrights Interrupting the Master Narrative ,Building legacy Alice Childress Lorraine Hansberry Adrienne Kennedy Ntozake Shange explores work Pearl Cleage Lynne Nottage Suzan Lori Parks Anne D Smith playwrights 1950s present go reinventing narrative America We consider theatricalartistic production context black feminism As artists audiences critics grapple enduring legacy minstrel storytelling late 20th early 21st centuries wereare particular artistic intellectual challenges theatre artists What arewere strategies missteps triumphs A H L 4,"theatre, playwrights, production",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06061,1
SmithSUPERTRIMMED,"THE 319 Shamans, Shapeshifters and the Magic If ",To act perform speculate body Theatre transformative experience takes performer audience extensive journey playground imagination beyond mundane world Theatre asks us We time inhabit someone else’s skin shaped another gender ethnicity become part past epoch alternative time space similar time yet come As enter “imagined” world investigate normative principles current world This investigates counterfactual speculative subjunctive impulse overtly speculative drama film particular focus race gender We examine international range plays authors Caryl Churchill Tess Onwueme Dael Orlandersmith Derek Walcott Bertolt Brecht Lorraine Hansberry Craig Lucas Doug Wright films The Curious Case Benjamin Button Pan’s Labyrinth Children Men Crouching Tiger Hidden Dragon XMen Contact Brother From Another Planet Enrollment limited 18 A L 4 Andrea D Hairston,"theatre, drama, films, film, plays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06897,1
