,term,frequency,overall,rank
41,basic requirement,4,13,0.6032257206953807
341,satisfy requirement,3,13,0.6032257206953807
204,introductory statistic,6,13,0.5778504305825328
56,categorical datum,6,13,0.572713861183125
379,statistical software,3,13,0.572713861183125
67,collection datum,5,13,0.5436122976307657
58,class lecturediscussion,5,13,0.5436122976307657
334,research problem,1,13,0.5436122976307657
330,resample crossvalidation,1,13,0.5436122976307657
278,particular method,1,13,0.5436122976307657
