,term,frequency,overall,rank
205,introductory statistic,6,13,0.1282414351607812
388,statistical software,3,13,0.1282414351607812
56,categorical datum,6,13,0.1282414351607812
341,research problem,1,13,0.10686786263398433
311,python data,1,13,0.10686786263398433
31,application emphasize,5,13,0.10686786263398433
143,emphasize analysis,5,13,0.10686786263398433
169,follow introductory,5,13,0.10686786263398433
318,query relational,2,13,0.10686786263398433
438,unsupervise learn,2,13,0.10686786263398433
