,School,CourseID,Descriptions,Data Science Term
0,SmithSUPERTRIMMED,AFR 111 Introduction to Black Culture ,An introduction to some of the major perspectives themes and issues in the field of AfroAmerican studies Our focus is on the economic social and political aspects of cultural production and how these inform what it means to read write about view and listen to Black culture S 4,production
1,SmithSUPERTRIMMED,AFR 278 The ’60s: A History of Afro-Americans in the United States from 1954 to 1970 ,An interdisciplinary study of AfroAmerican history beginning with the Brown Decision in 1954 Particular attention is given to the factors which contributed to the formative years of civil rights movements black films and music of the era the rise of black nationalism and the importance of AfroAmericans in the Vietnam War Recommended background survey in AfroAmerican history American history or AfroAmerican literature Enrollment limited to 40,films
2,SmithSUPERTRIMMED,CLT 205 20th-Century Literatures of Africa ,A study of the major writers and diverse literary traditions of modern Africa with emphasis on the historical political and cultural contexts of the emergence of writing reception and consumption We pay particular attention to several questions in what contexts did modern African literature emerge Is the term “African literature” a useful category How do African writers challenge Western representations of Africa How do they articulate the crisis of independence and postcoloniality How do women writers reshape our understanding of gender and the politics of resistance Writers include Chinua Achebe Ngu˜gı˜ wa Thiong’o Tsitsi Dangarembga Chimamanda Ngozi Adichie Nadine Gordimer Njabulo Ndebele and Ama Ata Aidoo We also watch and critique films such as Blood Diamond District 9 Tsotsi and The Constant Gardener L 4 Members of the department,films
3,SmithSUPERTRIMMED,ENG 241 The Empire Writes Back: Postcolonial Literature ,An introduction to Anglophone fiction poetry drama and film from Africa the Caribbean and South Asia in the aftermath of the British empire Concerns include the cultural and political work of writers as they respond to histories of colonial and racial dominance their ambivalence towards English linguistic literary and cultural legacies the ways literature can reconstruct national identities and histories and explore assumptions of race gender class and sexuality the distinctiveness of women writers and their modes of contesting cultural and colonial ideologies global diasporas migration and US imperialism Readings include Achebe Adichie Aidoo Dangarembga Walcott Cliff Amitav Ghosh Rushdie Jhumpa Lahiri Mohsin Hamid and some theoretical essays L 4,"drama, film"
4,SmithSUPERTRIMMED,FYS 148 Migration Stories: Border-Crossing and Becoming in African-American Literature ,This explores how histories of migration have shaped the formation of black cultures and identities African American culture and identities have always been produced in the crucible of migration both forced and voluntary Black people and black cultures have always been on the move and have always been in the process of formation and reformation African peoples arrived in the “New World” as captives of the transatlantic slave trade This historical event was devastating yet it was also an occasion for new cultures and identities to be formed Migration has compelled black peoples to refashion themselves transform their environments and make their mark on the art and cultures of their new societies Among the topics covered are the transatlantic and domestic slave trades fugitivity the Great Migration from the South the post–Civil Rights era “reverse migration” and more recent immigrations by people from the Caribbean and Africa We use literature history music and film to ask how these stories help us understand the intricacies of this rich history Enrollment limited to 16 firstyear 4,film
5,SmithSUPERTRIMMED,HST 266 (L) Emancipation and the Afterlife of Slavery ,Examines the longevity of the US Civil War in historical memory as a pivotal period in the development of American racism and African American activism Explores cuttingedge histories primary source materials documentaries popular films and visual and political culture Explores the Civil War as a mass slave insurrection and studies the myriad meanings of Emancipation Looks at the impact of slavery on race and racism on the twentieth and twentyfirst centuries H 4,films
6,SmithSUPERTRIMMED,SOC 214 Sociology of Hispanic Caribbean Communities in the United States ,This communitybased learning surveys social science research literary texts and film media on Cuban Dominican and Puerto Rican communities in the United States Historic and contemporary causes and contexts of im migration settlement patterns labor market experiences demographic profiles identity formations and cultural expressions are considered Special attention is paid to both inter and intragroup diversity particularly along the lines of race gender sexuality and class are required to dedicate four 4 per week to a local communitybased organization In addition are required to enroll in SOC309 Thursdays 7 to 930 Enrollment limited to 20 0–5,film
7,SmithSUPERTRIMMED,SPN 246 Latin American Literature and Culture ,Topics May be repeated with a different topic Normally both and semesters Literary Constructions of AfroCuban Identity This explores the AfroCuban world in literature history and culture through the writings of Fernando Ortiz Lydia Cabrera Miguel Barnet Antonio BenítezRojo Nicolás Guillén and Nancy Morejón Readings in AfroCuban religious practice like Regla de Ochá Regla de Palo and Abakuá are included as well as examples of Cuban ritual theater in plays by Gerardo Fulleda and Eugenio Hernandez Espinosa Class discussions and most readings in Spanish Prerequisite SPN 220 or equivalent Enrollment limited to 19 2017 during academic year 2017–18 F L 4,plays
8,SmithSUPERTRIMMED,THE 221 Rehearsing the Impossible: Black Women Playwrights Interrupting the Master Narrative ,Building on the legacy of Alice Childress Lorraine Hansberry Adrienne Kennedy and Ntozake Shange this explores the work of Pearl Cleage Lynne Nottage Suzan Lori Parks Anne D Smith and other playwrights who from the 1950s to the present go about reinventing the narrative of America We consider their theatricalartistic production in the context of black feminism As artists audiences and critics grapple with the enduring legacy of minstrel storytelling in the late 20th and early 21st centuries what wereare the particular artistic and intellectual challenges for these theatre artists What arewere their strategies missteps triumphs A H L 4,"theatre, playwrights, production"
9,SmithSUPERTRIMMED,"THE 319 Shamans, Shapeshifters and the Magic If ",To act to perform is to speculate with your body Theatre is a transformative experience that takes performer and audience on an extensive journey in the playground of the imagination beyond the mundane world Theatre asks us to be other than ourselves We can for a time inhabit someone else’s skin be shaped by another gender or ethnicity become part of a past epoch or an alternative time and space similar to our own time but that has yet to come As we enter this “imagined” world we investigate the normative principles of our current world This investigates the counterfactual speculative subjunctive impulse in overtly speculative drama and film with a particular focus on race and gender We examine an international range of plays by such authors as Caryl Churchill Tess Onwueme Dael Orlandersmith Derek Walcott Bertolt Brecht Lorraine Hansberry Craig Lucas and Doug Wright as well as films such as The Curious Case of Benjamin Button Pan’s Labyrinth Children of Men Crouching Tiger Hidden Dragon XMen Contact and Brother From Another Planet Enrollment limited to 18 A L 4 Andrea D Hairston,"theatre, drama, films, film, plays"
