,term,frequency,overall,rank
7774,project special,1,366,4.1595739263012295
10137,total maximum,1,366,3.929906141001949
8313,research technique,4,366,3.8341794409185086
2214,datum basic,1,366,3.5120935561055675
2224,datum department,1,366,3.2384363235862694
6992,perspective transportation,1,366,2.866927351015466
4835,integral component,1,366,2.8334810888175426
8254,research alternate,2,366,2.7673125579541873
10123,topic statistical,1,366,2.26038000252902
6751,option real,1,366,1.9488137557102565
