,term,frequency,overall,rank
375,datum application,1,111,2.3835430504309034
377,datum discovery,1,111,2.1268565301770606
1263,research project,6,111,1.983820391056629
1570,topic select,1,111,1.4251736716447558
1063,performance application,1,111,1.399573751613418
35,analysis design,9,111,1.2198563299303309
1378,software givenfor,1,111,1.132425167795866
1257,research issue,1,111,1.1066134555042213
405,design artificial,2,111,1.1040103450959502
758,interpretation application,3,111,1.1008599454223345
