,School,CourseID,Descriptions,FoundTerms
0,SmithSUPERTRIMMED,AMS 410 Tutorial on Research Methods at the Smithsonian ,Individual supervision by a Smithsonian staff member Given in Washington DC H S 4,research methods
1,SmithSUPERTRIMMED,ANT 200 Research Methods in Anthropology ,This introduces to the variety of methods of inquiry used for research in anthropology Throughout the semester are introduced to methods of locating and analyzing information and sources developing research questions and writing Normally taken in the of the sophomore or junior year Prerequisite 130 Enrollment limited to 20 anthropology majors,research methods
2,SmithSUPERTRIMMED,CSC 390 Unsupervised Machine Learning ,This begins with a brief history of artificial intelligence AI and a roadmap of how the material in this fits into the overall field of AI During the first few weeks we cover some classical AI material such as rulebased expert systems Then we move on to a discussion of supervised vs unsupervised machine learning focusing on the latter Unsupervised learning seeks to uncover underlying structure in a dataset or system without the use of labeled data We explore unsupervised learning methods from a variety of angles including theory implementation application existing software and recent literature Throughout the we investigate a variety of datasets with an emphasis on “big data” ie natural language and biological datasets,machine learning
3,SmithSUPERTRIMMED,ECO 220 Introduction to Statistics and Econometrics ,Summarizing interpreting and analyzing empirical data Attention to descriptive statistics and statistical inference Topics include elementary sampling probability sampling distributions estimation hypothesis testing and regression Assignments include use of statistical software and micro computers to analyze labor market and other economic data Prerequisite ECO 150 or ECO 153 are not given for both ECO 220 and any of the following courses GOV 190 SOC 201 MTH 201 PSY 201 MTH 220 limited to 55 M QS S 5,econometrics
4,SmithSUPERTRIMMED,ECO 240 Econometrics ,Applied regression analysis The specification and estimation of economic models hypothesis testing statistical significance interpretation of results policy implications Emphasis on practical applications and crosssection data analysis Prerequisites ECO 150 ECO 153 MTH 111 and either ECO 220 MTH 220 or MTH 291 M S 4,econometrics
5,SmithSUPERTRIMMED,EGR 110 Fundamental Engineering Principles ,The design and analysis of engineered or natural systems and processes relies on a command of fundamental scientific and engineering principles This provides an introduction to these fundamental underpinnings through a study of the conservation of mass energy and charge in both steady and transient conditions with nonreactive systems Specific topics covered include a review of process variables and their relationships open and closed systems differential and integral balances and basic thermodynamics Corequisite MTH 112 Enrollment limit of 20 4 N Michael I Kinsinger Sarah Jean Moore Normally each,engineering principles
6,SmithSUPERTRIMMED,ENG 299 Colloquium: Literary Research Methods ,Colloquium on literary research methods for advanced English majors The provides guidance on design and conduct supporting the development of literary research projects including question definition choice of methodology and critical framework selection of sources and evidence evaluation in a research community of ones peers This trains to employ sophisticated research techniques that can support advanced work in honors or special studies projects and interested will be encouraged to develop proposals for honors or special studies over the of the semester Prerequisites ENG 199 ENG 200 and two 200level literature courses Enrollment limit of 15 L 4,research methods
7,SmithSUPERTRIMMED,GER 360 Seminar:  Advanced Topics in German Studies ,Each topic focuses on a particular literary epoch movement genre or author from German literary culture All sections taught in German Normally each,
8,SmithSUPERTRIMMED,GER 297 New Worlds from the Old Order:  German Society and Culture in Transition 1900-1933 ,This will examine the upheaval of the old political social and cultural order in Central Europe at the end of World War I and its effect on societal and cultural life in Germany between 1900 and 1933 Special emphasis will be laid on the creation and design of a studentcurated exhibition of print artifacts from the instructor’s personal collection that parallel the cultural social and political transitions that occurred between 1900 and 1933 will create both a virtual exhibition with the help of CET and a physical exhibit using printonpaper cases at the Smith Museum of Art Conducted in English,
9,SmithSUPERTRIMMED,"GOV 219 Throwaway Children:  Law, Policy and Dependency ",Family dysfunction affects children in all aspects of their lives This examines how children fare in abuse and neglect proceedings particularly when they are removed from their biological families and placed in foster care It also explores children in the juvenile justice system linking back to questions about how to deal with fragile families and explores whether rightsbased approaches to child wellbeing would provide better outcomes for children than current approaches The compares child welfare programs in other countries and assesses their advantages or disadvantages in the context of domestic politics and policies E S 4,
