,School,CourseID,Descriptions
0,2011Cornell,"PHYS 1102, 2208, 2213, 2217 ",A student planning a major in physics or applied and engineering physics and who is eligible for AP credit should consult with his or her advisor or the department representative. 
1,2011Cornell,ECE 4110 Random Signals in ,Communications and Signal Processing ECE 5620 Fundamental Information Theory ECE 5660 Fundamentals of Networks MATH 6710–6720 Probability Theory MATH 6740 Introduction to Mathematical 
2,2011Cornell,"BEE 4540, 4590 ","Biological Sciences (any course EXCEPT BIOG 2000, 2990, 4980, 4990, and BIONB 4310, BIOSM 2040, and BIOAP 4980, BIOEE 4980, BIOMG 4980, BIONB 4980, BIOPL 4980) "
3,2011Cornell,BEE 1510 Introduction to Computing ,"Statistics concentration: Students must complete three advanced courses in statistics, computer science, operations research, or computational biology, including at least two from the list below (for complete list, go to www.bscb.cornell.edu/majReq.php): "
4,2011Cornell,"COMM 2850 Communication, Environment, Science, and Health ","After completing the courses in the core curriculum, all majors take an additional 18 credits in communication distributed among advanced writing and presentation courses, electives, and focus area requirements. Students must also complete 3 credits of college-level statistics. In consultation with their advisers, students concentrate in one of four defined focus areas appropriate to specific educational and career goals. "
5,2011Cornell,ENTOM 4830 Insect Physiology—4 credits ,"• Two additional entomology courses from Groups A or B (see link to Entomology Course Spreadsheet for a complete list of entomology courses, www.entomology. cornell.edu) "
6,2011Cornell,DEA 4700 Applied Ergonomic Methods ,"*Students who take PSYCH 3420 may also count its prerequisite, PSYCH 2050, toward the Human-Centered Systems primary/secondary track requirements. Similarly, students who take PSYCH 3800 may also count PSYCH 2800 toward the Human-Centered Systems primary/ secondary track requirements. At most, one of PSYCH 2050 or 2800 can be counted toward the primary/secondary track requirements. "
7,2011Cornell,VIEN 2204 Grapes to Wine Lecture and Lab (4 credits) ,A minimum of 5 credits in any other course with a “VIEN” designation must be completed. The two exceptions are VIEN 4300 and 4960. These courses can not count towards satisfaction of the minor. 
8,2011Cornell,VIEN 4910 Undergraduate V&E Research Practices (3 credits) ,"Any undergraduate student in the college may enroll, subject to availability, in courses required for the minor. Several courses in VIEN have suggested prerequisites, but these requirements may be waived at the discretion of the instructor. Only courses for which a grade of “C” or better is received will count toward the minor in Viticulture and Enology (courses taken with an S–U option will not count). "
9,2011Cornell,ALS 5780 International Teaching Assistant Development Program Course 1 ,Fall or spring. 2 credits. Priority given based on immediacy of TA assignment. Prerequisite: ITA Language Assessment or permission of ITAP. K. Kenyon and 
10,2011Cornell,ALS 5790 International Teaching Assistant Development Program 2 ,Fall or spring. 2 credits. Priority given based on immediacy of TA assignment. Prerequisite: ITA Language Assessment or permission of ITAP. K. Kenyon and 
11,2011Cornell,ALS 5800 International Teaching Assistant Development Program 3 ,Fall or spring. 2 credits. Priority given based on immediacy of TA assignment. Prerequisite: ALS 5790 or permission of ITAP. K. Kenyon and S. Markel. 
12,2011Cornell,AIS 4970 Independent Study ,Fall or spring. 1–4 credits. Staff. Topic and credit hours TBA between faculty member and student. The American Indian Program office must approve independent study forms. 
13,2011Cornell,AIS 6010 American Indian Studies Proseminar ,Fall and spring. 1 credit. K. Kassam. Graduate-level course that introduces students to ongoing research in the field of American Indian Studies in a proseminar/colloquium format. Advanced graduate students are expected to present their work in progress; all are expected to attend each seminar and provide presenters with critical and constructive commentary on papers. 
14,2011Cornell,AEM 1210 Entrepreneurship Speaker Series ,"Fall. 1 credit. P. D. Perez. Course consists of guest lectures by faculty members engaged in the study and practice of entrepreneurship and by prominent entrepreneurs associated with the entrepreneurship@Cornell program, with a view to inform and inspire students. Evaluation includes attendance, book reports, and written feedback on lectures. "
15,2011Cornell,AEM 1220 Entrepreneurship in the Life Sciences ,Spring. 1 credit. W. H. Lesser. Seminars and guest lectures by faculty members and entrepreneurs engaged in the study and practice of entrepreneurship in the life sciences. Emphasis on the process of turning scientific discovery into business opportunity and success. Evaluation includes attendance and written feedback on lectures. Intended as a follow-up to AEM 1200 and AEM 1210 but may be taken independently. 
