,School,CourseID,Descriptions
0,Alma,FYS 101 First Year Seminar ,"2-6 cr First Year Seminar courses focus on the interdisciplinary nature of important and timely social, scientific, and cultural issues and are designed to provide every new student with high quality student-faculty interaction that helps students develop skills in critical thinking and communication. Topics vary. Course fee. "
1,Alma,HNR 180A Honors Seminar I ,2-4 cr Course explores variable topics from a multidisciplinary and integrative perspective while addressing essential issues of liberal arts education. Open to first-year students in the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
2,Alma,HNR 280A Honors Seminar II ,2-4 cr UL Second course available to students accepted into the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
3,Alma,AMS 101 Introduction to American Studies ,"2 cr Focuses on the multi-disciplinary perspectives needed to understand the complexity of ""the American experience(s)."" Prereq: First- year or Sophomore Standing "
4,Alma,AMS 301 American Studies Seminar ,2-4 cr UL Open only to students who have completed or are concurrently enrolled in the completion of 24 credits toward the AMS minor. Prereq: AMS 101 and 102 
5,Alma,ANT 111 Introduction to Anthropology ,"SO  4 cr Introduction to the holistic study of human kind. Development, organization, and functioning of cultures, as well as the relationship between biology and culture. "
6,Alma,ANT 180 Topics in Anthropology ,SO  1-8 cr Investigation of a selected topic. May be taken only once for credit towards the SOC or ANT major. 
7,Alma,ANT 215M Michigan Archaeological Fieldwork,"    SO SL 4 cr UL Survey and excavation of a local archaeological site. Field methods, record keeping, preservation of finds, laboratory experience, and public education. Includes classroom instruction, field, and laboratory work, and a service-learning component. Course fee. Prereq: ANT-111, 213, or 312 recommended "
8,Alma,ANT 315M Michigan Archaeological Fieldwork,"    SO 4 cr UL Research from peer-reviewed and/or primary sources, application of research to data form local sites resulting in written report, exhibition, or public presentation. Supervision of field crews in Spring Term excavation and survey program. Intended for students with experience in, and serious commitment to, archaeological research. Prereq: ANT-215 or Permission; Participation in community institutions, agencies, schools, and business with individual faculty supervision. Applications of concepts through experience. About 11-14 hours of field work per week for each four credits. Includes paper report. "
9,Alma,ANT 498 Research Seminar-Anthropology,     SO 2-4 cr UL Designed as a culminating experience for Anthropology majors and minors. Emphasizes student synthesis and application of cumulative anthropological knowledge. Students facilitate classes and engage in an original research project culminating in a public presentation of their work. Prereq: ANT-111 and 12 UL credits of ANT or Permission. 
10,Alma,ART 101 Beginning Drawing ,"AH  4 cr Through observation, this class will concentrate on the essential elements of drawing, its materials, and methods. This is an introductory level class, which prepares the student for higher levels of visual problem solving. Course fee. "
11,Alma,ART 120 Two-Dimensional Design ,"AH  4 cr Investigation of foundational elements and  principles of visual design as the basic building blocks for visual art  and communication. Critical thinking skills, as they apply to studio art, are  explored using traditional and digital techniques. Course fee. "
12,Alma,ART 140 Ceramics I ,"AH  4 cr Introduction to direct forming processes in clay; hand building and wheel-throwing. Investigation of the uses of slips, glazes, underglazes and other methods of surface enrichment. Participation in class kiln firings. Course fee. "
13,Alma,ART 150 3-Dimensional Design ,"AH  4 cr Introduction to studio work with emphasis on exploring a variety of materials in three-dimensions in solving visual and spatial problems. Line, volume, mass, scale, composition, plane, as well as other elements of design will be utilized in investigating form. Course fee. "
14,Alma,ART 162 Figure Drawing I ,AH  4 cr An introductory drawing course using the human body to discuss proportion and space. Much of the class will focus on developing drawing technique and observational skills for naturalistic rendering. Course fee. 
15,Alma,ART 180 Topics in Studio Art ,"AH  1-4 cr Selective topics in studio art. Topics can be taught within the college or external experiences in department recommended workshops, residencies, or other special programming from other qualified institutions. Credit will be awarded based on program content, length of time/hours, and portfolio brought back for review. May require a course fee. "
16,Alma,ART 385 Art Internship ,"1-8 cr UL Designed to provide on-site working experiences in the student's area of interest. Examples include: apprenticeships with professional artists, internships with museums or art centers, internships with community art councils, or short-term employment in firms specializing in an art-related area. Internships are arranged with assistance of faculty advisor. Possible course fee. Prereq: ART-101, 111, 112, 120, 150 and Permission "
17,Alma,AST 101 Planetary Science ,"NS2 4 cr Examines the solar system from the perspective of the interdisciplinary fields of planetary science. Study of both solid surfaces and atmospheres using the concepts and techniques of astronomy, geology, atmospheric science, meteoritics, physics and chemistry. Work involves theoretical and experimental studies of planetary processes at an introductory level in lecture, discussions and laboratory. Course fee. "
18,Alma,AST 112 The Universe ,"NS2 4 cr Introduction to the current view of the physical universe. Topics include the stars, star clusters, the galaxy and cosmology. Required laboratory exercises illustrate principles and ideas used by astronomers to support their views of the cosmos. Course fee. "
19,Alma,BCM 180 Topics in Biochemistry ,"NS1 1-4 cr Topics vary. Previous offerings have included Genes and Society (4 cr) for non-science majors, and the lab-only Introduction to Molecular Genetics (1 cr) for science majors seeking a peer-mentored experience.  Laboratory.  Course fee. "
20,Alma,BCM 180M Topics in Biochemistry ,"NS1 1-4 cr Topics vary. Previous offerings have included Genes and Society (4 cr) for non-science majors, and the lab-only Introduction to Molecular Genetics (1 cr) for science majors seeking a peer-mentored experience.  Laboratory.  Course fee. "
21,Alma,BIO 101 Biology for Non-Majors ,"NS1 4 cr Study of living organisms, biological processes and classification. Current topics in biology are emphasized. For the non-major. Laboratory. Course fee. "
22,Alma,BIO 121 Introduction to Cell Biology ,"NS1 4 cr Study of basic biological processes, mostly at the cellular level, including the chemical basis of life, cellular structure and function, heredity, reproduction and the genetic basis of evolution. Required for BIO, BCM, BTC, and IPHS majors. Laboratory. Course fee. "
23,Alma,BIO 122 Introduction to Plant Biology ,"NS1 4 cr An introductory course emphasizing plants as the model organism for learning about basic biological principles including plant development, anatomy, physiology, behavior, evolution, and ecology. Studio format course, in which lectures and labs are combined for a student-focused, active-learning experience. Students work throughout the semester as members of collaborative groups to answer and develop questions, solve problems, perform experiments, and conduct research that is intended to help them learn. Laboratory. Course fee. (Formerly offered as BIO-202). "
24,Alma,BIO 180 Biological Topics ,"NS1 4 cr Lecture, laboratory and/or field experiences of special relevance to biology. Recent topics have included animal behavior, recombinant gene techniques, microbial ecology and cell culture.  May be taken more than once for credit. May include a course fee. "
25,Alma,BIO 299 Biology Independent Study ,"1-4 cr UL An opportunity for exceptional freshmen and sophomores to work directly with faculty on a research project. Typically, students help gather data and participate in the analysis of data. Introduction to the research process. Course fee. Prereq: Permission "
26,Alma,BIO 385 Biology Practicum ,2-4 cr UL Biological knowledge is applied to an outside working situation. Pass/fail only. Prereq: BIO-121 and Permission 
27,Alma,BIO 399 Biology Independent Study ,"1-4 cr UL An opportunity for exceptional first-year and sophomore students to work directly with faculty on a research project.  Typically, students help gather data and participate in the analysis of data. Introduction to the research process. Course fee. Prereq: Permission "
