,School,CourseID,Descriptions
0,AlmaSUPERTRIMMED,FYS 101 First Year Seminar ,"2-6 cr First Year Seminar courses focus on the interdisciplinary nature of important and timely social, scientific, and cultural issues and are designed to provide every new student with high quality student-faculty interaction that helps students develop skills in critical thinking and communication. Topics vary. Course fee. "
1,AlmaSUPERTRIMMED,HNR 180A Honors Seminar I ,2-4 cr Course explores variable topics from a multidisciplinary and integrative perspective while addressing essential issues of liberal arts education. Open to first-year students in the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
2,AlmaSUPERTRIMMED,HNR 280A Honors Seminar II ,2-4 cr UL Second course available to students accepted into the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
3,AlmaSUPERTRIMMED,HNR 480 Senior Honors Seminar ,2-4 cr UL Capstone course for the honors program. 
4,AlmaSUPERTRIMMED,AMS 101 Introduction to American Studies ,"2 cr Focuses on the multi-disciplinary perspectives needed to understand the complexity of ""the American experience(s)."" Prereq: First- year or Sophomore Standing "
5,AlmaSUPERTRIMMED,AMS 102 Perspective American Experience ,"2 cr Focuses on seminal sources for deepening one's perspectives on ""America."" Prereq: First- year or Sophomore Standing "
6,AlmaSUPERTRIMMED,AMS 301 American Studies Seminar ,2-4 cr UL Open only to students who have completed or are concurrently enrolled in the completion of 24 credits toward the AMS minor. Prereq: AMS 101 and 102 
7,AlmaSUPERTRIMMED,ANT 111 Introduction to Anthropology ,"SO  4 cr Introduction to the holistic study of human kind. Development, organization, and functioning of cultures, as well as the relationship between biology and culture. "
8,AlmaSUPERTRIMMED,ANT 180 Topics in Anthropology ,SO  1-8 cr Investigation of a selected topic. May be taken only once for credit towards the SOC or ANT major. 
9,AlmaSUPERTRIMMED,ANT 212," Intro to Cultural Anthropology SO  4 cr UL Study of the development and variety of human cultures, or non-genetic adaptations to natural and social environments. Using a variety of theoretical perspectives, explore a range of contemporary and recent historic cultures to gain an appreciation of diversity of human world views and life ways. Investigate the process and effects of globalization. "
10,AlmaSUPERTRIMMED,ANT 213 Principles of Archaeology,"
     SO 4 cr UL A basic introduction to the history, theories and methods of anthropological archaeology. Issues of stewardship, accountability, social relevance, communication, preservation, repatriation and real world problem solving are integrated into the nuts and bolts of archaeological research. Opportunities for hands-on, post-excavation archaeological laboratory research. Prereq: ANT-111 recommended "
11,AlmaSUPERTRIMMED,ANT 214," Fund. of Biological Anthropology SO  4 cr UL Focus on the physical nature of humankind and the relationship between mind-body-culture. Historic and current theoretical and methodological approaches to the investigation of the human body, its functions, and evolution. Methods and techniques used by paleontologists to investigate ancient hominids and their behavior. Examine current issues such as human demography, race, forensics, epidemiology, stem cell research, genetics. "
12,AlmaSUPERTRIMMED,ANT 215," Michigan Archaeological Fieldwork SO SL 4 cr UL Survey and excavation of a local archaeological site. Field methods, record keeping, preservation of finds, laboratory experience, and public education. Includes classroom instruction, field, and laboratory work, and a service-learning component. Course fee. "
13,AlmaSUPERTRIMMED,ANT 215M Michigan Archaeological Fieldwork,"    SO SL 4 cr UL Survey and excavation of a local archaeological site. Field methods, record keeping, preservation of finds, laboratory experience, and public education. Includes classroom instruction, field, and laboratory work, and a service-learning component. Course fee. Prereq: ANT-111, 213, or 312 recommended "
14,AlmaSUPERTRIMMED,ANT 216," Ethnobotany SO 4 cr UL Ethnobotanical and paleoethnobotanical approach to relationships between plants and human culture. Philosophical, ethical and technological perspectives of traditional and Western attitudes toward human-plant interactions. Issues of land-use rights, biodiversity, global stewardship and intellectual property rights. Combined lecture and seminar format. "
15,AlmaSUPERTRIMMED,ANT 217," Medical Anthropology SO  4 cr UL An examination of the interplay between culture and medicine in a global context. Cross-cultural notions of healing, illness and medicine will be explored. Ethnography of medical practices, health disparities and policy implications will be examined. "
16,AlmaSUPERTRIMMED,ANT 312, North American Archaeology SO 4 cr UL Focus on major prehistoric and historic North American cultures as revealed through archaeology and representative archaeological sites. Special emphasis on Michigan and the Midwest. Opportunities for hands-on post-excavation laboratory research. 
17,AlmaSUPERTRIMMED,ANT 315," Michigan Archaeological Fieldwork SO 4 cr UL Research from peer-reviewed and/or primary sources, application of research to data form local sites resulting in written report, exhibition, or public presentation. Supervision of field crews in Spring Term excavation and survey program. Intended for students with experience in, and serious commitment to, archaeological research. "
18,AlmaSUPERTRIMMED,ANT 315M Michigan Archaeological Fieldwork,"    SO 4 cr UL Research from peer-reviewed and/or primary sources, application of research to data form local sites resulting in written report, exhibition, or public presentation. Supervision of field crews in Spring Term excavation and survey program. Intended for students with experience in, and serious commitment to, archaeological research. Prereq: ANT-215 or Permission; Participation in community institutions, agencies, schools, and business with individual faculty supervision. Applications of concepts through experience. About 11-14 hours of field work per week for each four credits. Includes paper report. "
19,AlmaSUPERTRIMMED,ANT 498 Research Seminar-Anthropology,     SO 2-4 cr UL Designed as a culminating experience for Anthropology majors and minors. Emphasizes student synthesis and application of cumulative anthropological knowledge. Students facilitate classes and engage in an original research project culminating in a public presentation of their work. Prereq: ANT-111 and 12 UL credits of ANT or Permission. 
20,AlmaSUPERTRIMMED,ANT 499 Independent Study-Anthropology ,2-4 cr UL Supervised reading or project in special areas of anthropology. Prereq: Permission. 
21,AlmaSUPERTRIMMED,ANT 500, Senior Thesis-Anthropology SO 4 cr UL Designed for Senior Anthropology majors with the consent of the Department. Program of empirical and theoretical research. 
22,AlmaSUPERTRIMMED,ART 101 Beginning Drawing ,"AH  4 cr Through observation, this class will concentrate on the essential elements of drawing, its materials, and methods. This is an introductory level class, which prepares the student for higher levels of visual problem solving. Course fee. "
23,AlmaSUPERTRIMMED,ART 111 History of Art I,"
     AH 4 cr Survey of the human visual cultures from its earliest visual record to the Medieval Period. Course fee. "
24,AlmaSUPERTRIMMED,ART 112 History of Art II,"
     AH 4 cr Survey of the human visual cultures from the Renaissance through the 20th century. Course fee. "
25,AlmaSUPERTRIMMED,ART 120 Two-Dimensional Design ,"AH  4 cr Investigation of foundational elements and  principles of visual design as the basic building blocks for visual art  and communication. Critical thinking skills, as they apply to studio art, are  explored using traditional and digital techniques. Course fee. "
26,AlmaSUPERTRIMMED,ART 140 Ceramics I ,"AH  4 cr Introduction to direct forming processes in clay; hand building and wheel-throwing. Investigation of the uses of slips, glazes, underglazes and other methods of surface enrichment. Participation in class kiln firings. Course fee. "
27,AlmaSUPERTRIMMED,ART 150 3-Dimensional Design ,"AH  4 cr Introduction to studio work with emphasis on exploring a variety of materials in three-dimensions in solving visual and spatial problems. Line, volume, mass, scale, composition, plane, as well as other elements of design will be utilized in investigating form. Course fee. "
28,AlmaSUPERTRIMMED,ART 162 Figure Drawing I ,AH  4 cr An introductory drawing course using the human body to discuss proportion and space. Much of the class will focus on developing drawing technique and observational skills for naturalistic rendering. Course fee. Prereq: ART-101 or ART-120 or Permission 
29,AlmaSUPERTRIMMED,ART 180 Topics in Studio Art ,"AH  1-4 cr Selective topics in studio art. Topics can be taught within the college or external experiences in department recommended workshops, residencies, or other special programming from other qualified institutions. Credit will be awarded based on program content, length of time/hours, and portfolio brought back for review. May require a course fee. "
30,AlmaSUPERTRIMMED,ART 210 Survey of Classical Art,"
AH 4 cr UL Introduction to the visual cultures of ancient Greece and Rome with emphasis on the context in which the arts were produced. Survey of ancient history, literature and mythology are included to enrich students' comprehension of the artworks. Course fee. "
31,AlmaSUPERTRIMMED,ART 211 Survey of Medieval Art,"
AH 4 cr UL Introduction to the visual cultures of Medieval Europe, with an emphasis on the context in which the arts were produced. Survey of Medieval history, literature and religion are included to enrich students' comprehension of the artworks. Course fee. "
32,AlmaSUPERTRIMMED,ART 212 Survey of Renaissance Art,"
AH 4 cr UL Introduction to the visual cultures of the Renaissance in Northern and Southern Europe, with an emphasis on the context in which the arts were produced. Surveys of Renaissance history, literature and religion are included to enrich students' comprehension of the artworks. Course fee. "
33,AlmaSUPERTRIMMED,ART 213 Survey of Modern Art,"
AH 4 cr UL Survey of the visual cultures of Europe and the United States that gave rise to Modernity, with an emphasis on the theory of its development and the cultural contexts in which it occurred. The course covers the arts produced from 1840 to 2001, and includes careful consideration of the different art movements that comprise modern art. Course fee. "
34,AlmaSUPERTRIMMED,ART 215M Contemporary Art,"
AH 4 cr UL Introduction to the major artistic movements and critical theory in the last two decades. Students spend approximately one week in New York City, or other appropriate large city in the U.S or overseas exploring galleries, museums, and artists' studios. Seminar includes readings, discussion, and a research paper on a special topic. Course fee. Spring Term only. "
35,AlmaSUPERTRIMMED,ART 218M History of Photography,"
AH 4 cr UL Student will explore the history of photography and its social impact. Connections will be made between the various photographic techniques, camera formats, and the aesthetics of the medium as the technology developed through the years. Course fee. Prereq: Permission "
36,AlmaSUPERTRIMMED,ART 224," Film Photography AH  4 cr UL Introduction to basic 35mm traditional photography  (Film and Darkroom techniques). Students will learn all  aspects of the basic camera body, lenses, Black and White film, film and print development using traditional black and white film, paper and chemistry. Traditional 35mm  SLR film camera is required. Course fee. "
37,AlmaSUPERTRIMMED,ART 225," Digital Photography AH  4 cr UL Students will explore the aesthetics of digital photography as it relates to the digital SLR camera, color aesthetics, post-production techniques and color management for printing or viewing. Course fee. "
38,AlmaSUPERTRIMMED,ART 228," Lighting Studio AH  2 cr UL Introduction to studio lighting concepts and  techniques for still life, portraiture,  documenting artwork, and commercial uses. These techniques are applicable to film, video and  still images. Course fee. "
39,AlmaSUPERTRIMMED,ART 230," Graphic Design Studio AH  4 cr UL Development of communication skills through the organization of image and text to inform, persuade, identify, or clarify an idea to a specific audience. Students will design works for printed media and Web-based communications. Course fee. "
40,AlmaSUPERTRIMMED,ART 240," Ceramics II AH  4 cr UL A continuation of direct hand-building and throwing techniques, continued surface enrichment, and an introduction to basic mold-making and glaze mixing/testing. Course fee. "
41,AlmaSUPERTRIMMED,ART 241," Wheel Throwing AH  2-4 cr UL An introduction to wheel throwing with a secondary emphasis on altering and hand-building forms. Glaze mixing, surface development, and kiln firing will be covered. We will investigate traditional and contemporary forms and figure out how a pot is never just a pot. Course fee. "
42,AlmaSUPERTRIMMED,ART 243," 3D Printing and Pottery AH  4 cr UL Introduces the use of contemporary technology in designing pottery and tableware through the use of the 3-D modeling programs, 3-D printing, mold-making, casting, ceramic decal printing, as well as some direct hand forming methods. We will investigate the pot as a vessel for driving content; who will use these pots and for what purpose? Course fee. "
43,AlmaSUPERTRIMMED,ART 245 Raku Ceramics,"
     AH 4 cr UL An introduction to the history, aesthetics and techniques of raku-fired ceramics. Course fee. Prereq: Permission "
44,AlmaSUPERTRIMMED,ART 250," Sculpture I AH  4 cr UL An investigation of both traditional and contemporary materials, methods, and subject matter. Form will be approached through processes that utilize addition, subtraction, manipulation and transformation. Course fee. "
45,AlmaSUPERTRIMMED,ART 253," Figurative Clay Sculpture AH  4 cr UL An introduction to building figures and animals in clay. Through the use of visual references, there will be a focus on understanding measurement, alignment, and proportion. Narrative development and content exploration will be supported by class discussions, lectures, and independent research.  Works will be prepared for kiln firing and will be surfaced with glazes and paint. Course fee. "
46,AlmaSUPERTRIMMED,ART 255," Metal Sculpture AH  2 cr UL An introduction to working with metal from the sketchbook, to model, to sculpture. The models will be small-scale sketches that we assemble by soldering small scale wire and cardboard. We will be cutting metal with the aid of hand-made templates and a plasma cutter, then welding together complex forms with clamps and a MIG-welder. Course fee. "
47,AlmaSUPERTRIMMED,ART 261," Beginning Painting AH  4 cr UL This course is an introductory course discussing basic concepts of painting in oil. Focusing on value, minimal color, space and developing observational skills. Course fee. "
48,AlmaSUPERTRIMMED,ART 262," Figure Drawing II AH  4 cr UL This course is an advanced drawing course, which reaffirms practice in proportion, space, drawing techniques and observational skills applied to the figure. In addition, this course will discuss various materials, color, scale, and concept. Course fee. "
49,AlmaSUPERTRIMMED,ART 270," Introduction to Printmaking AH  4 cr UL This course will explore the basic printmaking  methods and their art historical significance.  The students will gain basic knowledge of  techniques and vocabulary that will further  develop their artistic expression through the  creation of the multiple print and/or presentation processes. We will cover Monotype,  Collagraph, Relief, and Dry point Etching using a  more contemporary, less toxic process. Course fee. "
