,School,CourseID,Descriptions
0,Brown,"URBN 1000 S01 24237 Fieldwrk in the Urban Communty Jan Mateusz Pacewicz
",For up-to-date course information please visit Courses@Brown.edu (https://cab.brown.edu).
1,Brown,AFRI 0090. An Introduction to Africana Studies.,"This course introduces students to the vibrant and contested field ofAfricana Studies by critically exploring and analyzing the links anddisjunctures in the cultural, political, and intellectual practices andexperiences of people of African descent throughout the African diaspora.Beginning with a critical overview of the history, theoretical orientations,and multiple methodological strategies of the discipline, the course isdivided into three thematic units that examine intellectuals, politics, andmovements; identity construction and formation; and literary, cultural, andaesthetic theories and practices in the African diaspora."
2,Brown,AFRI 0110C. Autobiography of the Civil Rights Movement.,"Most of the rich written history of the civil rights movement originates fromfirst-hand accounts documented in oral histories and autobiographies. Thisinterdisciplinary course plots the milestones of the civil rights movementthrough the lens of several autobiographies. The aim is to critiqueautobiography as a historical document as well as use it to tell the storiesof the civil rights movement. We will compare and contrast different texts,analyze content and map a history of the era. Students will work with awriting fellow to develop one critical paper and one autobiographical paper.Enrollment limited to 19 first year students."
3,Brown,AFRI 0210. Afro Latin Americans and Blackness in the Americas.,This course focuses on the position of Blacks in the national histories andsocieties of Latin America from slavery to the present-day. Emphasis is ona multidisciplinary engagement with issues and the exposure of studentsto the critical discussion of national images and realities about blacknessand Africa-descended institutions and practices. The role of racial issuesin national and transnational encounters and the consequences ofmigration of people and ideas within the hemisphere are explored.
4,Brown,AFRI 0670. Global Black Radicalism.,"The decade from the mid-Sixties until the mid-Seventies witnessed the riseof Black Radicalism as a global phenomenon. The emergence of BlackPower in the US, Brazil and the Caribbean, the consolidation of liberationstruggles in Portuguese Africa and the rise of a Black Consciousnesstrend in Apartheid South Africa all represent key moments. What ledyoung activists to embrace “Black Power?” What led to the emergence ofMarxist movements in Portuguese Africa? What events in the Caribbeangave ascendancy to radical tendencies? And what forces contributedto the decline of these movements? This course seeks to answer thesequestions."
5,Brown,AFRI 0980. Fela Kuti: African Freedom from Afrobeat to Afrobeats.,"Miles Davis famously described Fela Kuti (1938-1997) as “the future ofmusic.” Beyoncé’s attempt “to do something that sounds like Fela” sawher compose an unpublished 20-track album. Arguably Africa’s mostprolific and controversial artist of the twentieth century, Fela continues tobe invoked as musical genius and as icon of popular struggle. This courseinvites students to explore the complexities of Fela’s art and activism. Wemobilize his life/work as a springboard for examining emergent debatesabout African identity—from postcolonial masculinity to the creative logicsof African cities, from contemporary African youth culture to the genderedpolitics of cultural memory."
6,Brown,AFRI 0990. Black Lavender: Black Gay/Lesbian Plays/DramaticConstructions in the American Theatre.,"An interdisciplinary approach to the study of plays that address theidentities and issues of black gay men and lesbians and offers variousperspectives from within and without the black gay and lesbian artisticcommunities. Focuses on analysis of unpublished titles. Also includespublished works by Baraka, Bullins, Corbitt, Gibson, Holmes, West, andPomo Afro Homos. Some evening screenings of videotapes. Enrollmentlimited to 20."
7,Brown,AFRI 1020C. The Afro-Luso-Brazilian Triangle.,"Examines three historical components of the South Atlantic in terms ofhistory, culture, and contemporary political and economic consequences.European colonialism in Africa and Brazil constitutes the baseline for thisexploration, but the long and tardy nature of Portuguese colonialism inAfrica in comparison with other European colonial powers, especially in itspost-World War II manifestations, is our starting point. Enrollment limited to40."
8,Brown,"AFRI 1020D. Race, Rights, Rebellion.","Provides an in-depth examination of different kinds of social movements.Emphasis will be placed on the theoretical and methodological distinctionsamong the various kinds of social protests and social movement actors.From anti-slavery revolts to struggles for independence to anti-apartheidmovements, key concepts will include power, resistance, subaltern,hegemony, identity politics and consciousness."
9,Brown,AFRI 1030. Contesting the Carceral State.,"This course introduces students to the study of crime and justice throughBlack, feminist, queer and prison abolitionist frameworks, with a particularfocus on narratives by people of African descent in the U.S. since 1965."
10,Brown,AFRI 1050A. Advanced RPM Playwriting.,Third level of RPM Playwriting; for students that have successfullycompleted RPM Playwriting and Intermediate RPM Playwriting(workshop). Instructor permission.
11,Brown,AFRI 1050D. Intermediate RPM Playwriting.,Second level of RPM Playwriting; for students that want to continuedeveloping their RPM plays or want to begin a new project (workshop).
12,Brown,AFRI 1050E. RPM Playwriting.,Research-to-Performance Method (RPM) Playwriting guides studentsthrough the process of developing new plays that are informed byscholarly research (workshop).
13,Brown,AFRI 1060E. West African Writers and Political Kingdom.,"Do West African writers have a role to play in the changing politicallandscape of their countries? An examination of the ways and meansthrough which a select group of West African writers have dealt withissues that relate to the role of the state in the management of individualand group relations, the politics of gender, civil and military relations, andthe construction of new forms of civil society. Enrollment limited to 20."
14,Brown,AFRI 1060U. An Introduction to Africa.,"Africa invokes myriad images in the global imagination. It figures indebates on the evolution of humans; in the formation of capitalism, andeven as a counterpoint to discourses on human progress. This courseinterrogates how “Africa” gets mobilized in popular discourse in the USand beyond. How might we reconcile the idea of Africa with contemporaryconditions of the African continent? We will not only examine Africathrough a broad range of disciplinary perspectives; but also becomefamiliar with social, cultural, political and economic diversity of the Africancontinent. We will engage the disciplines of history, economics, politics,cultural studies and gender studies among others."
15,Brown,"AFRI 1100X. Black Speculative Fiction: World-Making and AlternativeUniverses, Science Fiction and Fantasy.","This class surveys the genre, including the work of George Schuyler, NaloHopkinson, Samuel R. Delaney, N.K. Jemison, Octavia Butler, CoslonWhitehead, and Tananarive Due, along with everything related, from comicbooks to album covers to filmic re-writings of canonical science fictionand fantasy works. The goal is to understand the history of the genre, itsrelationship to histories of anti-blackness and ideologies of black liberation,and its contributions to speculative fiction more broadly."
16,Brown,AFRI 1110. Voices Beneath the Veil.,"VBV is an interdisciplinary exploration of African-American history andcultures through the analyses of Black authored plays from 1858 to thepresent. The course focuses on the development of a thesis paper, whichincludes an incremental re-writing process."
17,Brown,AFRI 1150. Afro-Caribbean Philosophy.,"An introduction to the field of Afro-Caribbean philosophy. The first halffocuses on the history of the field, identifying its African background andsurveying some of its major schools, such as the Afro-Christians, thepoeticists, the historicists, and existentialists. The second half consists of amore intensive comparative focus on the ontologies and epistemologies oftwo of these schools."
18,Brown,AFRI 1210. Afro-Brazilians and the Brazilian Polity.,"Explores the history and present-day conditions of Afro-Brazilians,looking specifically at the uses of Africana in contemporary Brazil, politicaland cultural movements among Afro-Brazilians, domestic politics andits external dimensions, and Brazilian race relations within a globalcomparative framework. Texts from a variety of disciplines. A readingknowledge of Portuguese is not required but students so advantagedshould inform the instructor."
19,Brown,"AFRI 1360. Africana Studies: Knowledge, Texts and Methodology.","This course will explore the issues of Africana Studies as a discipline byengaging in a series of critical readings of the central texts, which laid theprotocols of the discipline. The course will also raise issues of knowledgeproduction and methodologies. This course is a senior capstone seminar.Open to all senior Africana Studies concentrators; others by instructorpermission only. Enrollment limited to 25."
20,Brown,AFRI 1920. Health Inequality in Historical Perspective.,"Seminar takes a historical perspective to explore causes of healthinequality in the US. Draws on studies from the 19th century-present.Examines socio–political and economic context of health/disease, focusingon how race, class, and gender shape the experience of health, diseasecausality, and public health responses. Includes health consequences ofimmigration, incarceration, race-based medicine, the Chicago heatwave,and Katrina. Enrollment restricted to 20, second and third-year students."
