,CourseID,Descriptions,School
0,ENTOM 3310/3311 Insect Systematics—4 credits ,ENTOM 3330 Larval Insect Biology—3 credits ,BrownCourses
1,LA 4120 Professional Practice ,1 ,BrownCourses
2,EAS 3010 Evolution of the Earth System ,EAS/NTRES 3030 Biogeochemistry ,BrownCourses
3,AEM 3250 Personal Enterprise and Small Business Management ,Spring. 4 credits. Prerequisites: junior or senior standing; AEM 1200 and 2210 or permission of instructor. Absolutely no adds or drops after second class meeting. Cost of term project: approx. $100 per team. D. H. Streeter. ,BrownCourses
4,AEM 6320 Open Economy Analysis: Theory and Applications ,Spring. 2 credits. Prerequisites: ECON ,BrownCourses
5,BEE 3600 Molecular and Cellular Bioengineering (also BME 3600) ,"Spring. 3 credits. Prerequisites: BEE 2600, ",BrownCourses
6,"CSS 4910 Food, Farming, and Personal Belief (also IARD 4910) ",Spring. 1 credit. Recommended: ,BrownCourses
7,EAS 3400 Field Study of the Earth System ,"Spring. 6 credits. Prerequisites: enrollment in EES Semester in Hawaii, one semester of calculus (MATH 1910/1920 or 1110/1120), and two semesters of any of the following: PHYS 2207/2208 or 1112/2213, CHEM 2070/2080 or 2090/2080, BIOG 1101/1103–1102/1104 or 1105/1106 or 1109/1110 or equivalent course work. ",BrownCourses
8,EAS 5011 Evolution of the Earth System ,"Fall. 4 credits. Prerequisites: EAS 2200, one calculus course (either MATH 1110 or 1910), one course in chemistry (college or high school), or permission of instructor. Two field trips, either Sat or Sun. Co-meets with EAS 3010. T. Jordan, ",BrownCourses
9,INFO 3200 New Media and Society (also COMM 3200) (CA) ,"Spring. 3 credits. For description, see COMM 3200. ",BrownCourses
10,ARCH 2302 Architectural Analysis II ,Spring. 2 credits. Corequisite: for architec,BrownCourses
11,ART 1700 Visual Imaging in the Electronic Age ,"Fall or spring. 3 credits. D. Greenberg. Interdisciplinary survey course designed to introduce students in the creative arts, science, and engineering to the concepts of digital pictorial representation and display. It is a concept and theory course that concentrates on “why” rather than “how.” Topics include perspective representations, display technology, how television works, bandwidth concepts, digital photography, computer graphics modeling and rendering, matting and composing, color perception, data acquisition, volumetric imaging, and historical precedents, primarily from the art world. Also included are other modes of imaging. ",BrownCourses
12,CRP 5090 Community Development Seminar (also CRP 3090) ,"Spring. 3 credits. Staff. For description, see CRP 3090. ",BrownCourses
