,School,CourseID,Descriptions
0,Caldwell,P EN 101 The Process of Writing (3 credits)* EN 111 College Writing (3 credits)* HI 101 Roots of the West (3 credits)* OR HI 101 Roots of the West (3 credits)* OR IT 113 Italian Culture I (3 credits)* OR IT 113 Italian Culture I (3 credits)* OR PS 150 Introduction to Psychology (3 credits) PS 150 Introduction to Psychology (3 credits) LA 101 Foundations of Learning I (3 credits) LA 102 Foundations of Learning II (3 credits) FS 189 Freshman Seminar (1 credit)* ,P Two additional courses (6 credits) ** Two additional courses (6 credits) ** 
1,Caldwell,P AR 280 Painting I ,P AR 310 Junior Comprehensive (1 credit) 
2,Caldwell,P AR 310 Junior Comprehensive (1 credit) ,P AR 455 Senior Seminar (2 credits) 
3,Caldwell,P AH 215 World Art II ,P AR 465 Senior Exhibit (2 credits) 
4,Caldwell,P AR 465 Senior Exhibit (2 credits) ,P Two additional studio courses are required – one of which must be a 300-level course or higher in chosen area of study. 
5,Caldwell,P AR 227 Life Drawing ,P AR 243 Ceramics I or AR 229 Photography 
6,Caldwell,P AR 280 Painting I ,P AR 310 Junior Comprehensive (1 credit) 
7,Caldwell,P AR 310 Junior Comprehensive (1 credit) ,P AR 455 Senior Seminar (2 credits) 
8,Caldwell,P AR 455 Senior Seminar (2 credits) ,P AR 465 Senior Thesis (2 credits) 
9,Caldwell,P AR 280 Painting I ,P AR 310 Junior Comprehensive (1 credit) 
10,Caldwell,P AR 310 Junior Comprehensive (1 credit) ,P AR 455 Senior Seminar (2 credits) 
11,Caldwell,P AR 455 Senior Seminar (2 credits) ,P AR 466 B.F.A. Thesis and Exhibition (4 credits) 
12,Caldwell,P AH 215 World Art II ,P AH 303 Contemporary Art Seminar 
13,Caldwell,P AR 280 Painting I ,P AR 310 Junior Comprehensive (1 credit) 
14,Caldwell,P AR 437 Advanced Portfolio ,P AR 455 Senior Seminar (2 credits) 
15,Caldwell,P AR 455 Senior Seminar (2 credits) ,P AR 466 Senior Thesis (4 credits) 
16,Caldwell,P AH 215 World Art II ,P Two additional studio courses from the following: 
17,Caldwell,P AR 489 Field Internship ,P Requirements for Double Major in Art and Psychology with Art Therapy Concentration 
18,Caldwell,P AR 220 Digital Art I ,P AR 227 Life Drawing AR 250 Sculpture I 
19,Caldwell,P AR 280 Painting I ,P AR 310 Junior Comprehensive (1 credit) 
20,Caldwell,P AR 310 Junior Comprehensive (1 credit) ,P AR 455 Senior Seminar (2 credits) 
21,Caldwell,P AT 310 Art Therapy Methods ,P AR 465 Senior Exhibit (2 credits) 
22,Caldwell,P AR 465 Senior Exhibit (2 credits) ,P One additional studio course 300-level or above in chosen area of study 
23,Caldwell,P AH 206 Design History AR 111 Drawing I or AR 113 2D Design AR 224 Graphic Design I AR 248 Typography I ,"P Two additional studio courses from the following: AR 348 Graphic Design II, AR 350 Digital Art I, AR 357 Web Design, AR 358 Typography II, AR 339i Identity Design, AR 437 Advanced Portfolio Design, AR 456 Digital Imaging II, AR 489 Field Internship. "
24,Caldwell,P AH 211 Introduction to Museology ,P AH 360 Critical Issues in Museology 
25,Caldwell,P AH 360 Critical Issues in Museology ,P HI 378 Public History One of the following: 
26,Caldwell,P AH 214 Modern Art ,P AH 215 World Art II One of the following: 
27,Caldwell,P BU 221 Marketing ,P BU 330 Principles of Management 
28,Caldwell,P CS 230 Emerging Technologies ,P INTERDISCIPLINARY MINORS ART/BUSINESS MINORS 
29,Caldwell,P BU 221 Marketing ,P BU 347 Public Relations or BU 360 Advertising 
30,Caldwell,P AR 111 Drawing I (3) ,"P A foundation class designed to develop the student’s ability to “see” and understand the elements ofdrawingand composition. Line, form, space, scale and value will be explored through a series of exercises and projects. "
31,Caldwell,P AR 113 2D Design (3) ,"P An introduction to two-dimensional design as an integral element in the process of art making. Workshop projects will cover areas of perception, balance, value, color, texture and scale. "
32,Caldwell,P AR 118 3D Design (3) ,"P A foundation studio class that explores the language of three-dimensional form and design principles. Students are introduced to a variety of materials including wire, clay, cardboard, and plaster. Studio work, outside assignments, lectures, slides, and demonstrations. "
33,Caldwell,P AR 204 Color Theory (3) ,"P Studioclassthatanalyzesthestudyandperception of color. Examines the components of color, color action and interaction. Exercises in color perception and creative projects. "
34,Caldwell,P AR 216 Watercolor (3) ,"P Develops a diverse body of experiences in the techniques and principles of transparent and opaque watercolor painting; studio exercises, mixed media, collage techniques. "
35,Caldwell,P AR 220 Digital Art I (3) ,P Introduces computers in the making of visual art. Students work with a variety of peripherals and software and learn to appreciate the special creative possibilities they afford. 
36,Caldwell,P AR 221 Computer Illustration (3) ,P ComputerIllustrationisacoursewhichemphasizes the basic concepts and techniques of illustration. It will focus on the use of the computer as a means of conveying these ideas in their final state and investigate the computer’s role in challenging and redefining the artistic boundaries of this art form. 
37,Caldwell,P AR 224 Graphic Design I (3) ,"P This course is an introduction to the electronic tools and methods essential to communicate the needs of business and industry today. In it, students will develop professional standards, logos, brochures and package designs. "
38,Caldwell,P AR 226 Drawing II (3) ,P Continuation of the principles developed in Drawing I with emphasis on perception and understanding of the concepts of drawing and the ability to do independent work. Field trips required. Prerequisite: AR 111. 
39,Caldwell,P AR 227 Life Drawing (3) ,P Studies the fundamentals of the human form through studio classes working directly from the human figure. 
40,Caldwell,P AR 229 Photography I (3) ,"P An in-depth study of the digital photo workflow from concept to completion. Students will work with a digital camera and computer software to shoot, edit, and print their photographs in both black and white, and color. Emphasis is on composition and exposure skills. "
41,Caldwell,P AR 233 Relief Printmaking (3) ,"P Considers design dynamics and processes of the cardboard plate, collagraph, and woodcut print. Emphasizes creative graphic expression and technical command. "
42,Caldwell,P AR 235 Serigraphy (3) ,"P Explores development of prints through the silk-screen process; separation planes and registration; use of glue, tusche, lacquer and film resists, free brush, cut and photographic methods. "
43,Caldwell,P AR 236 Video Art (3) ,"P An introduction to video art designed to develop students' skills in becoming technically proficient and insightful video makers. Through narrative and non-narrative projects, students gain hands-on experience in the technical, conceptual, and cultural elements of video art as well as the creative and expressive characteristics of the media. "
