,School,CourseID,Descriptions
0,CaldwellSUPERTRIMMED,AR 465 Senior Exhibit (2 credits) ,Two additional studio courses are required – one of which must be a 300-level course or higher in chosen area of study. B.A. IN ART WITH CERTIFICATION IN EDUCATION This degree is offered in conjunction with the School of Education. A student must be accepted into the program through the School of Education (see Catalog section in School of Education for education requirements). Requirements for a B.A. in Art with Certification in Education 
1,CaldwellSUPERTRIMMED,AH 215 World Art II ,Two additional studio courses from the following: 
2,CaldwellSUPERTRIMMED,AR 489 Field Internship ,Requirements for Double Major in Art and Psychology with Art Therapy Concentration DEGREE: B.A. in Art and B.A. in Psychology Liberal Arts Core (see page 40) (CS 115 Waived)..................46 credits 
3,CaldwellSUPERTRIMMED,AR 465 Senior Exhibit (2 credits) ,"One additional studio course 300-level or above in chosen area of study With the exception of art education majors, all B.A. students must complete at least one upper level course in the area of study chosen for their senior these exhibit. For example: Both Painting I and Painting II are required for students presenting painted works for their senior thesis exhibit. Note that the Double Major in Art and Psychology with Art Therapy Concentration is designed to provide a strong preparatory base for graduate study in art therapy and meets the educational requirements for entry into Caldwell’s graduate program. Registration and practice as an art therapist requires master’s level preparation. Qualified undergraduates in the double major with Art Therapy Concentration may also take advantage of the opportunity to pursue their M.A. in Counseling with Art Therapy Specialization in an accelerated manner through the Combined B.A./M.A. program. "
4,CaldwellSUPERTRIMMED,AR 111 Drawing I (3) ,"A foundation class designed to develop the student’s ability to “see” and understand the elements ofdrawingand composition. Line, form, space, scale and value will be explored through a series of exercises and projects. "
5,CaldwellSUPERTRIMMED,AR 113 2D Design (3) ,"An introduction to two-dimensional design as an integral element in the process of art making. Workshop projects will cover areas of perception, balance, value, color, texture and scale. "
6,CaldwellSUPERTRIMMED,AR 118 3D Design (3) ,"A foundation studio class that explores the language of three-dimensional form and design principles. Students are introduced to a variety of materials including wire, clay, cardboard, and plaster. Studio work, outside assignments, lectures, slides, and demonstrations. AR210 Mediated Identities: Exploring and Understanding Cultural Identity through Sound, Performance and Video Art (3) Students will explore and understand their own media-saturated cultural identity using smart phones, laptops, digital recorders and other new media resources. Through research and hands-on experience students learn how artists through the ages have utilized new technologies to create political and cultural constructs, and how 20th century cultural and global events set the stage for the development of these powerful forms of 21st century communication. "
7,CaldwellSUPERTRIMMED,AR 204 Color Theory (3) ,"Studioclassthatanalyzesthestudyandperception of color. Examines the components of color, color action and interaction. Exercises in color perception and creative projects. "
8,CaldwellSUPERTRIMMED,AR 216 Watercolor (3) ,"Develops a diverse body of experiences in the techniques and principles of transparent and opaque watercolor painting; studio exercises, mixed media, collage techniques. "
9,CaldwellSUPERTRIMMED,AR 220 Digital Art I (3) ,Introduces computers in the making of visual art. Students work with a variety of peripherals and software and learn to appreciate the special creative possibilities they afford. 
10,CaldwellSUPERTRIMMED,AR 221 Computer Illustration (3) ,ComputerIllustrationisacoursewhichemphasizes the basic concepts and techniques of illustration. It will focus on the use of the computer as a means of conveying these ideas in their final state and investigate the computer’s role in challenging and redefining the artistic boundaries of this art form. 
11,CaldwellSUPERTRIMMED,AR 224 Graphic Design I (3) ,"This course is an introduction to the electronic tools and methods essential to communicate the needs of business and industry today. In it, students will develop professional standards, logos, brochures and package designs. "
12,CaldwellSUPERTRIMMED,AR 226 Drawing II (3) ,Continuation of the principles developed in Drawing I with emphasis on perception and understanding of the concepts of drawing and the ability to do independent work. Field trips required. Prerequisite: AR 111. 
13,CaldwellSUPERTRIMMED,AR 227 Life Drawing (3) ,Studies the fundamentals of the human form through studio classes working directly from the human figure. 
14,CaldwellSUPERTRIMMED,AR 229 Photography I (3) ,"An in-depth study of the digital photo workflow from concept to completion. Students will work with a digital camera and computer software to shoot, edit, and print their photographs in both black and white, and color. Emphasis is on composition and exposure skills. "
15,CaldwellSUPERTRIMMED,AR 233 Relief Printmaking (3) ,"Considers design dynamics and processes of the cardboard plate, collagraph, and woodcut print. Emphasizes creative graphic expression and technical command. "
16,CaldwellSUPERTRIMMED,AR 235 Serigraphy (3) ,"Explores development of prints through the silk-screen process; separation planes and registration; use of glue, tusche, lacquer and film resists, free brush, cut and photographic methods. "
17,CaldwellSUPERTRIMMED,AR 236 Video Art (3) ,"An introduction to video art designed to develop students' skills in becoming technically proficient and insightful video makers. Through narrative and non-narrative projects, students gain hands-on experience in the technical, conceptual, and cultural elements of video art as well as the creative and expressive characteristics of the media. "
18,CaldwellSUPERTRIMMED,AR 243 Ceramics I (3) ,"Explores basics of ceramic fabrication in pinch, coil, and slab techniques. Emphasis is on design principles applied through handbuilding and glazing. Studio work, outside assignments, lectures, slides, and demonstrations. "
19,CaldwellSUPERTRIMMED,AR 248 Typography/Layout (3) ,A study of the anatomy of letterforms including its aesthetic characteristics. The emphasis will be on type as a design form and its synthesis with other images in a unified visual field. 
20,CaldwellSUPERTRIMMED,AR 250 Sculpture I (3) ,"Focuses on the making of sculptural objects through the investigation of historic and contemporary trends and by developing personal and perceptual considerations, technical skill, and the development of an individual working process. Required museum and gallery trips. "
21,CaldwellSUPERTRIMMED,AR 262 Concepts of Painting (3) ,"A studio class appropriate for all levels, concepts of painting explores the approaches to the development, organization and invention of painted form. "
22,CaldwellSUPERTRIMMED,AR 280 Painting I (3) ,"Studies the elements of painting, color, form and composition through a systematic series of exercises using still life, nature, and model. Includes studio work, outside assignments, lectures, slides, and demonstrations. "
23,CaldwellSUPERTRIMMED,AR 308 Photography II (3) ,Discusses functional and aesthetic application of photographic skills in sequential series of problem solving exercises and interpretive experiences. Prerequisite: AR 229. 
24,CaldwellSUPERTRIMMED,AR 310 Junior Comprehensive (1) ,"Students are expected to participate in a group exhibition in their junior year. They must have completed all introductory art requirements (or approved equivalents) before taking this course. The work will include independent work in drawing, painting, 2D and 3D design as well as class projects. A satisfactory grade must be received before taking Senior Seminar. "
25,CaldwellSUPERTRIMMED,AR 314 Exploratory Painting (3) ,"A studio workshop which encourages the student to investigate and experiment with a variety of painting media, techniques, and concepts. Demonstrations of materials, lectures, studio and outside assignments. Prerequisite: AR 280. "
26,CaldwellSUPERTRIMMED,AR 315 Intaglio (3) ,Explores techniques and dynamics of engraving and etching of metal plates and the monoprint. 
27,CaldwellSUPERTRIMMED,AR 319 Intermediate Sculpture (3) ,"Offers a wide range of contemporary sculptural expression, including objects, multi-media projects and site works. Emphasis is placed on individual direction through studio projects, drawing and research. Prerequisite: AR 250. "
28,CaldwellSUPERTRIMMED,AR 327A Life Drawing II (3) ,Further explores the human form with additional attention given to elements of drawing. 
29,CaldwellSUPERTRIMMED,AR 339 Video Art II (3) ,"This intermediate course advances techniques and conceptual foundations learned in Video Art I. Through technical demonstrations and assignments, students develop their video work while investigatingavarietyofformatsandpresentations invideoart. Emphasisonpersonalexpressionand experimental approaches. Prerequisite:AR236, or permission of instructor. "
30,CaldwellSUPERTRIMMED,AR 339i Identity Design (3) ,"This course concentrates on the creation, and visual communication of identity systems. Students will not only design logos and ID packages, but also will review and develop the design skills neededto fulfill a client’s missionand how best to visually communicate their identity to the marketplace.(PrerequisitesAR224or AR248,and AR 357 or CS 230) "
31,CaldwellSUPERTRIMMED,AR 341 Intermediate Painting I (3) ,"Continues to explore the elements of painting with greater emphasis on development of individual vocabulary, awareness of styles, and use of a variety of media and technologies. Studio work, outside assignments, slide lectures, and demonstrations. Prerequisite: AR 280. "
32,CaldwellSUPERTRIMMED,AR 343 Ceramics II (3) ,"Explores advanced skills in ceramic sculpture and pottery production. Techniques include large-scale piece work, moldmaking, slip-casting, and glaze design. Prerequisite: AR 243 or permission of instructor. "
33,CaldwellSUPERTRIMMED,AR 348 Graphic Design II (3) ,"This course will emphasize students’ abilities to work at a more professional level of design, and develop their own unique style. Students will focus on the electronic tools and methods essential to create advanced art, and design with a clear communicating message. Prerequisite: AR 224. "
34,CaldwellSUPERTRIMMED,AR 349 Digital Art II (3) ,"An intermediate level course meant to further develop new media explored in Digital Art I. Students use digital tools to gain insight into their unique aesthetic concepts and characteristics. Theywill be encouraged todevelop anindividual vocabulary, conceptual ideas and an awareness of new media styles and their relationship with them. Prerequisite: AR 220. "
35,CaldwellSUPERTRIMMED,AR 350 Digital Imaging I (3) ,"Appropriate for artists, designers and photographers, this class investigates the technical processes and expressive concepts available to artists with digitized images. Students will explore digital imaging technologies, their creative potential and application. Prerequisite: AR 220 Digital Art I or similar course. "
36,CaldwellSUPERTRIMMED,AR 357 Web Design (3) ,"An intermediate/upper-level offering on Web design for Internet communication, which has become a major mode of communication for business,advertising,andmanyotherprofessional groups. This isa studio course where students will use digital concepts, tools, and methods to gain insightintotheinteractive,non-linearcharacteristics of Web pages, and to find creative solutions for integrating their benefits into designs that aesthetically convey their intended message. Prerequisites: CS 230 or AR 220 or AR 224 or AR 248 or permission of instructor. "
37,CaldwellSUPERTRIMMED,AR 358 Typography II (3) ,This course provides additional experience as the student continues to build on the foundation established in Typography I. It will help refine essential typographical skills and help prepare the student for advanced graphic design work. 
38,CaldwellSUPERTRIMMED,AR 360 Interactive Design (3) ,"Thiscoursefocuses on understandingthe relationship between user interface, its context, and intuitive human behavior in order to create a successful graphic user experience. (Prerequisites: AR 224 Graphic Design I or AR 248 Typography I, and AR 357 Web Design or CS 230 Emerging Technologies. Or for CS majors CS 360 Developing Apps for Mobile Devices.) "
39,CaldwellSUPERTRIMMED,AR 414 Computer Animation (3) ,"This course provides experience in basic animation concepts and techniques including 3-D modeling, rendering, animating and recording. Prerequisite: Must have completed one computer course 200-level or above or have permission of the instructor. "
40,CaldwellSUPERTRIMMED,AR 415 Exploratory Drawing (3) ,"Investigates the means, elements, and materials of vision. Includes traditional and contemporary concepts and techniques of expressive drawing projects in diverse subjects and media. "
41,CaldwellSUPERTRIMMED,AR 417A Advanced Painting I (3) ,The experienced student will have the opportunity to examine more complex and experimental ways of picture making and painting techniques in order to satisfy personal goals and concepts. Current issues will be explored and personal direction and decision-making encouraged. 
42,CaldwellSUPERTRIMMED,AR 419 Multimedia (3) ,"A digitally based course which develops hands on experience as well as a perspective on developments in this growing field through readings and lecture. Students create interactive projects that combine images, sound and animation. "
43,CaldwellSUPERTRIMMED,AR 437 Advanced Portfolio Design (3) ,"Conceptualizing, planning and producing advanced graphic and advertising design projects for the purpose of building a professional visual communications portfolio. Prerequisite: Must have completed AR 224, AR 248, AR 348 and AR 350 or permission of instructor. "
44,CaldwellSUPERTRIMMED,AR 440 Advanced Photography (3) ,"Explores the fundamentals of image making as a creation of both technology and art. The development of visual literacy goes hand in hand with a focus on software and technology. This course prepares students to make digitally based photography informed by technical, conceptual, and aesthetic choices. Prerequisite: AR 308. "
45,CaldwellSUPERTRIMMED,AR 445 Advanced Studio Projects (3) ,Designed for upper level students working in a variety of media. Course emphasis is on group analysis of various media applied to shared themes. Prerequisite: Students must be at intermediate level of their chosen discipline. 
46,CaldwellSUPERTRIMMED,AR 450 Advanced Sculpture (3) ,Explorescurrentissues in sculpture andindividual critical thinking in studio and site-based work. Guided assignments are followed by student-proposed projects based on individual concerns and working process. Prerequisite: AR 319. 
47,CaldwellSUPERTRIMMED,AR 455 Senior Seminar (2) ,"Guidesthe development of individual research as it relates to student’s work. Required by all art majors, it includes proposal writing, development of concepts/techniques and a research paper. "
48,CaldwellSUPERTRIMMED,AR 456 Digital Imaging II (3) ,"This course provides a platform for students to develop more complex photo art solutions, both in scale and in concept. The projects will balance students’ technical skills with artistic expression and develop a more professional standard in preparation for a computer graphics career. "
49,CaldwellSUPERTRIMMED,AR 465 B.A. Senior Exhibition (2) ,For B.A. students; requires the student to participate in a final group exhibition in the second semester of senior year. Prerequisite: AR 455. 
50,CaldwellSUPERTRIMMED,AR 466 BFA Thesis and Exhibition (4) ,Independent development of a thesis project and a solo exhibition in the second semester of senior year. Prerequisite: AR 455. 
51,CaldwellSUPERTRIMMED,AR 487 Field Internship I (2-3) ,"A pre-professional, introductory experience in a career field. Internships responsibilities are entry-level in nature. The intern and internship faculty advisor develop related learning objectives. "
52,CaldwellSUPERTRIMMED,AR 489 Field Internship II (2-3) ,"A second pre-professional experience in a career field. Learning objectives and assignments should incorporate knowledge gained in Field Internship I and demonstrate new, substantive learning goals. "
53,CaldwellSUPERTRIMMED,AR 490 Field Internship III (2-3) ,"Professional experience in the field directly related to the student’s academic major and career objectives. Learning objectives and assignments must incorporate knowledge gained in Field Internships I and II and demonstrate new, substantive learning goals. "
54,CaldwellSUPERTRIMMED,AR 499 Independent Study (3) ,"An intensive study of a topic the student wishes to pursue independently. The topics, method of study and goals are to be approved by the instructor who will be working with the student. "
55,CaldwellSUPERTRIMMED,AH 122 Language of World Art (3) ,Introduces students to the issues and meanings of a wide variety of art through writing and visual analysis. Learning the social and historical context of art is emphasized in order to understand and appreciate cultural diversity. 
56,CaldwellSUPERTRIMMED,AH 206 Design History (3) ,"A survey of design from the seventeenth to the twentieth century. Emphasizes a wide range of design production in Europe and the U.S. and examines a variety of work including furniture, interiors, and product design. A special emphasis is placed on graphic design. "
57,CaldwellSUPERTRIMMED,AH 211 Introduction to Museology (3) ,"Introduces students to the history, philosophy, structures and goals of museums as well as examines primary missions of museums and cultural institutions. Course addresses contemporary issues and ethical challenges facing museums today. "
58,CaldwellSUPERTRIMMED,AH 212 World Art I (3) ,"An introduction to artistic traditions before 1400. Includes the art of Egypt, Greece, Rome, India, China and Europe. "
59,CaldwellSUPERTRIMMED,AH 214 Modern Art (3) ,"Investigates the historical and theoretical premises of modernism. Surveys the visual arts from the late nineteenth century through the 1960s. Includes stylistic movements such as Cubism, Expressionism, and Surrealism. "
60,CaldwellSUPERTRIMMED,AH 215 World Art II (3) ,"An introduction to artistic traditions from 1400 to 1800. Topics include European Renaissance and Baroque, and the artistic conventions of Africans, Native Americans, and Islamic peoples. "
61,CaldwellSUPERTRIMMED,AH 245 Art Fundamentals for the Elementary Classroom Teacher (3) ,"This course is designed to provide basic information and practical skills necessary to develop and teach lessons devoted to art educationatthe elementaryschoollevel. (Grades K-6.) The aim of this course is to give non-art, education majors the fundamentals of art and art history and demonstrate how that information may be applied in the classroom toward curriculum development. Required for non-art Elementary Education majors. "
62,CaldwellSUPERTRIMMED,AH 205 Getting Smashed: History of Destruction & Vandalism of Images (3) ,"This course will examine the history of iconoclasm and the vandalism of images, cultural artifacts and sites throughout history, beginning with antiquityandcontinuingupto thepresentmoment. This course fulfills the ethical inquiry cluster. "
63,CaldwellSUPERTRIMMED,AH 262 Art and Architecture in the Roman Catholic World (3) ,"This course provides students with a basic understanding of the art and architecture produced in the Roman Catholic world. It will begin by looking at the art and architecture produced in the Late Antique/Early Christian periods and will continue through the Renaissance. Study of these works will be considered in light of the Roman Catholic traditions, the rise of monasticisms and mendicant orders, the framework of pilgrimage traditions and the cult of relics, the developing urban centers as well as developments in lay organizations. "
64,CaldwellSUPERTRIMMED,AH 303 Contemporary Art (3) ,Explores issues and developments since the 1960s in the visual arts with special emphasis on trends and artistic process. 
65,CaldwellSUPERTRIMMED,AH 312 Nineteenth Century Art (3) ,"Analyzes European and American painting and sculpture of the nineteenth century. Topics include Neoclassicism, Romanticism, Realism, Impressionism and Symbolism. "
