,School,CourseID,Descriptions
0,Carlow,P CTC 101ConnectingtoCarlow ,"P ThiscourseintroducesstudentstotheCarlowUniversitycurriculum, vision, mission, andresources.Itfocusesonacademic preparationfortransitioningtocollege,and transitioningtoCarlowspecifically.Itpromotesintellectualengagementwith theliberalartsandseekstodeepenastudent’sskillsinreflective self-exploration.Inthiscourse,studentswillanalyze their ownacademicandcareergoalsandconsidertheconnectionbetweentheliberalarts,theirmajor,andcareer-readiness. "
1,Carlow,P AR 227 PaintingI ,"P Anintroductiontobasicconceptsandtechniquesinoilpainting.Therewillbeaconcentrationoncolormixtures,creating form, space, andlight. A variety of subjects will be explored. 3 credits "
2,Carlow,P AR 307 (CM307)MediaCriticism ,"P Anintroductiontotheaestheticandsocialanalysisofmassmedia,film,andtelevisionthroughcriticalwritingand discussion. 3 credits "
3,Carlow,P AT 205FoundationsofArtTherapy ,"P Anintroductiontoarttherapyinwhichstudents learnhowartisusedtherapeuticallywithvariouspopulationsandina varietyofsettings.Throughclassparticipationusingarttherapytechniquesandcasepresentations,thestudentswillgain knowledgeofhowartcanbeusedtoestablishtherapeuticgoalsandthen beused toachievethosegoals.Thestudentwill developabasicunderstandingofthefield ofarttherapyandhowitsrootsdeveloped fromthefieldofpsychology. 3 credits "
4,Carlow,P CSC 110IntroductiontoComputerProgramming ,P Thestudentisintroducedtothefundamentalconceptsofcomputerprogramminginanobject-orientedlanguage.The object-orientedapproachisintroducedusingtheAliceprogrammingenvironment.Thestudentthentransitionsto theJAVA programminglanguage.Threehoursoflectureand onetwo-hourlaboratoryweekly. 4 credits 
5,Carlow,P EN 217 SpecialTopics:Fiction ,"P Thisclassisanin-depthexploration ofaparticulartopicrelated tofiction,such asfiction shortsorimagination andfiction. Thecourseincludescriticalreadingandwriting,aswellasstudents’ originalcreativeworksbasedinreality. 3 credits "
6,Carlow,P EN 420 MadwomenintheAttic:Fiction ,P Thiswriting-intensivestudywithwomenfictionwritersexploresvaryingthemes.Studentsengageincriticalreading andresponsetotheworkofmajorwritersandcritiqueeachother’sworkinaworkshopsetting. Pass/Fail.3credits; mayberepeated 
7,Carlow,P HS 110EmergenceoftheModernWest ,"P A surveyofseveralcenturiesofWesternhistory. Anintroductiontomajordevelopments,figures,tendencies,andterms. "
8,Carlow,"P HS 151WorldCultures,TheirHistoryandDevelopment ","P Introductionto world cultures asa contemporary problem and possibility. Beginning withthe assumptionthatthe worldis a social,economic,political,andculturalentityproducedthroughcontestationandcooperationofpeoples aroundtheglobe, thecourselooks atmajorpractices throughwhichtheworldculturehas beenandcontinues tobemade,including capitalism,colonialism,andwar.Methodologiestohistoricalproblems areexamined. 3 credits "
9,Carlow,P HS 170HistoryoftheUnitedStatesto1865 ,"P A generalsurveyemphasizingthepolitical,economic,andculturaldevelopmentoftheUnitedStates fromthecolonialerato theendoftheCivilWar. 3 credits "
10,Carlow,P HS 171HistoryoftheUnitedStatessince1865 ,P ContinuationofHS170;bothmaybetakenindependently.GeneralstudyofmodernAmericafrom1865to thepresent. 
11,Carlow,P HS 198IntroductiontoUnitedStatesLaborHistory ,"P AnexaminationofthehistoryoftheAmericanlabormovementandworkingclasscultureintheUnitedStatesfrom1800 untilthepresent.Thecoursewillfocusontheleadersandrankand fileoflaboraswellastheeconomic,social,cultural,and politicalcontextforthedevelopmentoftheworkers’ movement. 3 credits "
12,Carlow,P HS 201IntroductiontoModernAsia ,"P AnintroductoryoverviewofmodernAsiafromthedeclineoftheearlymodernempirestotheimpactofEuropeanand Americanimperialism,culturalrenaissance,nationalistmovements,creationofindependentnationstates,postcolonial developments,andU.S.-Asianrelations. 3 credits "
13,Carlow,P HS 202ModernChina ,"P A briefoverviewofChina’shistorybefore1949;thefoundationofthePeople’sRepublicofChina,Taiwan;thecareerofMao Zedong;theGreatLeap;CulturalRevolution,1966–1976;DengZiaoping;andthepresentperiod. 3 credits "
14,Carlow,P HS 203ModernJapan ,"P An introductiontothedevelopmentofanindustrial society,parliamentarygovernment,massculture,andimperialismfrom theMeijireformsofthelate19thcenturythroughWorldWarIIto thepresent. 3 credits "
15,Carlow,P HS 205(WS205)HistoryofAmericanWomen ,"P A studyofthehistoryofwomeninAmericafromthecolonialeratothepresentfocusingonstrugglesforequalrights, family, sexuality, feminism,leadership, andthe impact of race, class, and ethnicity. 3 credits "
