,School,CourseID,Descriptions
0,ColgateUni,P ENGL 217 may be taken only once. Instructor permission is necessary for admission to creative writing courses at the 300 and 400 levels. ,P Three workshop courses chosen from among the following: 
1,ColgateUni,"P MATH 483.  Complete a thesis, normally during MATH 483 - Research Seminar: Mathematics. Note: Joint theses are allowed but will not normally be considered for honors. Exceptions may be made with departmental permission. ","P In unusual circumstances, the above deadlines may be extended with departmental approval through student petition to the department chair. "
2,ColgateUni,"P NEUR 498 - Senior Thesis (one semester) must be taken in the fall or spring of the senior year. During the spring semester of the junior year, students will be asked to identify several areas of interest for their senior-year research experience. Students are then assigned to faculty research supervisors and assigned to the fall or spring semester sections based upon students' interests and the availability of resources. ","P Students planning honors research are required to enroll in NEUR 498 in the fall of the senior year, followed by NEUR 499 in the spring of the senior year. On occasion, students who are not pursuing honors or high honors may complete two semesters of senior research by taking NEUR 498 in the fall and NEUR 491 in the spring. "
3,ColgateUni,"P ECON 151 is a prerequisite for all courses numbered above 200. ECON 251 is a prerequisite for all courses numbered between 300 and 349. ECON 251 and ECON 252 are prerequisites for all courses numbered between 350 and 374. ECON 251, ECON 252, and ECON 375 are prerequisites for all courses above 375. ","P Courses numbered below ECON 150, including ECON 105, cannot be counted as part of the major program. "
4,ColgateUni,"P POSC 152 - Global Peace and War (IR), does not ordinarily count toward the IR major. Students who take POSC 152 before deciding on an IR major must also take POSC 232, but may count POSC 152 as one of the two IR electives with written permission from the IR program director. ",P Students who have AP credit for ECON 151 must take one additional elective course. 
5,ColgateUni,P ALST 203 - The Caribbean ,"P An interdisciplinary course that introduces students to the field of Caribbean Studies. It uses literature, film, and the music of the region to explore the historical, societal, cultural, political, and economic development of the Caribbean. It also explores gender issues in the region. It is one of the required courses for students who seek to participate in the West Indies Study Group. "
6,ColgateUni,P ALST 212 - The Politics of Race and Ethnicity ,"P Examines the political dynamics of race in American society, focusing primarily on the experience of blacks as a socio-political group and to a lesser degree on that of other racial and ethnic minorities. The overriding theme is how race has influenced American politics and, conversely, how certain political phenomena have shaped the development of race. The specific topics around which the course is organized include the following: the most enduring and predominant racial issue - racial inequality; competing explanations for the origins and continuance of racial inequality; leadership approaches and ideologies for redressing the race problem; mass political strategies for dealing with the problem; majority attitudes and opinions regarding racial issues (including racial inequality); and the comparative experience of non-black minorities. These topics, individually and collectively, represent the essence of racial politics. "
7,ColgateUni,P ALST 225 - Jamaica: From Colony to Independence (Study Group) ,"P Surveys the history of Jamaica from 1655, when the British took possession of the island, through political independence in 1962, to the present. Examines the growth of Jamaica to become Britain's most prosperous colony during the 18th century based on an export sugar-based, slave-driven economy; the social the political consequences of its dependence on slavery; the economic effects of slave abolition and free trade during the 19th century; social and political developments after emancipation; the growth of black nationalism and decolonization; and post/neo-colonial developments. "
8,ColgateUni,"P ALST 228 - The Caribbean: Conquest, Colonialism, and Self-Determination ","P Surveys Caribbean history from European conquest and colonization to political independence. It introduces students to the salient features of the region's history from indigenous societies and their destruction by European invaders; through the rise of plantations and African slavery, the struggles for freedom, post-slavery social and economic developments; to the rise of nationalism leading to political self-determination, and the new American imperialism. "
9,ColgateUni,P ALST 230 - Introduction to Latin American Studies ,"P An introduction to the development of Latin America's diverse and distinctive cultural heritage and to its contemporary institutions and civilization. The study of pre-Columbian and New World cultures of Spanish and Portuguese America focuses on the interactions of Indian, European, and African cultures and the complexities of what is known as Latin American culture. The course, though not a historical survey, examines the historical origins of contemporary social, cultural, economic, and political issues in Latin America, and in those parts of the world that have been affected by significant numbers of Latin American immigrants. The approach is broadly multidisciplinary, reflecting various perspectives and materials. "
10,ColgateUni,P ALST 250 - Representations of Africa ,"P Critique the ways in which ""Africa"" has been constructed as an object of Western knowledge. The course interrogates how Africa and Africans have been portrayed to outside audiences historically and contemporarily, as well as the socio-political ramifications of such portrayals. Drawing on key texts from the social sciences, the humanities as well as the creative arts, the course explores specific depictions of Africa and Africans. It examines African self-representations alongside representations that focus on Africa as a site of difference or 'othering'. "
11,ColgateUni,P ALST 281 - Slavery and the Salve Trade in Africa ,"P Slavery and the slave trade are global phenomena with historical roots in the earliest civilizations. The course examines the long history of slavery and the slave trade in African societies, exploring the role that slavery played in African economic, political, and social life, as well as how the export of human beings as slaves transformed African societies. The course also considers how slaveholders and slaves shaped early African societies, the logic and consequences of African participation in the Atlantic slave trade, the aftermath of abolition in 20th-century colonial Africa, and how coercive forms of labor control have persisted into the 21st century. "
12,ColgateUni,P ALST 282 - The Making of Modern Africa ,P Surveys the history of Africa from 1880s to the contemporary period. Major themes will include: the imperial scramble and partition of Africa; African resistances; colonial rule in Africa; independence and problems of independence; socio-economic developments in independent Africa; ethnic conflicts; crises and contemporary issues. 
13,ColgateUni,P ALST 284 - Decolonization in Africa ,"P Surveys the history of the growth of anti-colonial nationalism, the end of colonial rule, and post-independence Africa to the contemporary period. It focuses on the comparative analysis of the winning of independence from French, British, Italian, Portuguese, and Belgian colonization. Major themes include African responses to colonial rule, wind of change, independence and problems of independence, pan-African movement, socio-economic developments, cold war, colonial legacies, political systems, and contemporary issues. "
14,ColgateUni,P ALST 290 - Model African Union ,"P The Model African Union is an annual national student simulation of the workings of a large multilateral organization, the African Union. Composed of 53 member states, the African Union was constituted in 2000 as the successor to the Organization of African Unity (OAU). Its objectives are to achieve continental integration, similar to that of the European Union, in balance with recognizing the national sovereignty of its member states. The Model African Union is in session for four days in late February, hosted by Howard University in Washington D.C., and students from more than 20 colleges and universities around the country participate. The on-campus portion of the course meets weekly for the five weeks prior to the trip and one week after, for debriefing. Students are assigned to specific country delegations and committees, research and prepare position papers, draft resolutions, debate and vote on action items, and generally take on the roles of African diplomats. The trip includes a visit to the embassy of the country each delegation is representing. May be taken more than once, with different country and committee assignments each year. "
15,ColgateUni,P ALST 291 - Independent Study ,"P Opportunity for individual study in areas not covered by formal course offerings, under the guidance of a member of the faculty. "
