,School,CourseID,Descriptions
0,Denison,"ANSO 100 - People, Culture and Society (4 Credit Hours)","An examination of fundamental questions concerning the nature andfoundations of sociocultural behavior. The course presents a variety ofsociocultural approaches for understanding human nature and hominidevolution, cross-cultural similarities and differences, the sources ofinequality, and the enormity of recent social change. This course isrequired of all majors and minors in Anthropology/Sociology."
1,Denison,ANSO 210 - Sex and Gender in Society (4 Credit Hours),"This course compares and evaluates a variety of theories which attemptto explain the origins, persistence and effects of gender in Americansociety. In particular, it explores a number of settings that may include:the family, the work place, the political arena, religious activity, violenceagainst women, and face-to-face interactional contexts. Special attentionis given to the ways in which race, ethnicity, class and sexual orientationshape gender experiences. Although its primary focus is Americansociety, the course compares problems of sexual inequality in Americansociety with other, quite different, societies in order to gain a comparativeunderstanding of how discrimination, prejudice, and structural inequality,wherever they are found, create special problems for women. Throughout,the focus is on learning to use structural, historical, and theoreticalinformation as guides to understanding social change and the choicesfacing women and men."
2,Denison,ANSO 212 - Race and Ethnicity (4 Credit Hours),"Contrary to the expectations of many modern social theorists, race andethnicity continue to be important elements in the lives of contemporarypeople, serving as frameworks through which individual identities,community actions, and cultural meanings are interpreted. This coursewill introduce students to the sociocultural analysis of racial and ethnicidentities. How did ethnic and racial identities and communities developover time? Why does race, though now understood to be a social ratherthan a biological category, continue to be (mis)understood as a biologicalcategory? How do aspects of political, class, gender, and sexual identitiesinfluence racial and ethnic identities? We will use a global perspectiveto understand the conception of race and ethnicity. We will explorethese topics among others including cultural and historical variability ofethnic and racial categories, the dialectical formation of identity, and thepersistence of certain forms of racial and ethnic prejudice. Students willbe expected to examine critically their own common assumptions andpresuppositions about race and ethnicity, and to begin developing thetheoretical tools for interpreting life in an ethnically diverse world."
3,Denison,ANSO 217 - Religion and Society (4 Credit Hours),"This course investigates the relationship between religion and society,and the social dimension of religious truth-claims. The central themeentails a cross-cultural study of religious influences on both socialstability and change or revolution. In exploring this tension betweenreligion and existing socioeconomic and political orders, we will considerexamples such as religious movements, as well as the ritual life of boththe individual's life cycle and wider social and political institutions."
4,Denison,ANSO 221 - Contemporary Japan (4 Credit Hours),"Japan often conjures images steeped in tradition such as samuraiwarriors, sumo wrestlers, and geisha clad in kimono. At the sametime, however, contemporary Japan is just as easily associated withbusinessmen, anime, automobiles, and high technology. How have""tradition"" and ""change"" fueled competing visions of Japan what itmeans to be ""Japanese""? How does one go about reconciling theseconflicting views? How have these debates evolved over time? How havevariously situated individuals and groups in society negotiated shiftingcircumstances? These questions will be at the heart of this seminar aswe consider case studies from different segments of Japanese society.A range of material will be treated as ""texts"" for analysis and discussionincluding anime, manga, literary works, and ﬁlms as well as ethnographicscholarship on Japanese society."
5,Denison,ANSO 224 - Human Origins and Prehistory (4 Credit Hours),"This course begins with a review of biological anthropology’s view ofhumanity. How do humans appear when studied with the tools biologistshave developed to understand other species? We then explore what weknow about the lives of our earliest ancestors and the clusters of newhuman-like species emerging over the next few million years, includingour own about 200,000 years ago. The last part of the class turns toarchaeological views of humanity. We survey the diversity of humanexperiences as our ancestors spread around the globe, creating art,starting farms, and building cities. Throughout, our emphasis will be onhow researchers know what they know and what assumptions are builtinto different narratives of human origins."
6,Denison,ANSO 290 - The Development of Social Thought (4 Credit Hours),"An investigation of the classical foundations of social thought andsociocultural theory in sociology/anthropology. The course willconcentrate on the original works of authors such as Marx, Nietzsche,Freud, Weber, Durkheim, Martineau, DuBois and other signiﬁcant authorsof the nineteenth and early twentieth centuries. This course is requiredof all majors and minors in anthropology and sociology. No First Yearstudents."
7,Denison,ANSO 316 - Contemporary Sociocultural Theory (4 Credit Hours),Analyses of central theoretical questions in anthropology and sociology.Historical developments and major paradigms within the two disciplinesare explored. The process of theory construction is examined and acritical perspective developed. Required of majors.
8,Denison,ANSO 320 - Contemporary African Peoples in Historical Perspective (4Credit Hours),"This course is an examination of the historical, ethnic and socio-culturaldiversity of sub-Saharan Africa societies. Central to this overview isan emphasis on the pre-colonial, colonial and postcolonial eras. Itconsiders questions of economic development, urbanization, agriculturalproduction and the relationship of the contemporary African state to ruralcommunities. This course also explores symbolic systems in the contextof rituals, witchcraft, indigenous churches, and new forms of Christianitycurrently spreading in Africa."
9,Denison,ANSO 321 - Anthropology of Human Rights (4 Credit Hours),"This seminar interrogates the social life of rights by situating humanrights within critical analyses of law, society, and culture. A briefexamination of key human rights documents and institutions will befollowed by an analysis of topics and case studies selected to juxtaposeAsian and Western contexts. A primary concern of this seminar will be toscrutinize how human rights get reworked and refashioned in a range oflocal settings by various actors on the ground pursing social justice."
