,School,CourseID,Descriptions
0,Desales,P CM 130 Introduction to Mass Communications CM 199 Communication Theory CM 206 Professional Speaking CM 220 Journalism I CM 310 Fundamentals of Public Relations CM 405 Communication Research Seminar ,P Communication Electives: Students must choose seven. CM 205 Introduction to Professional Communication CM/EN 212 Creative Writing Poetry CM 225 Photojournalism CM 275 Interpersonal Communication CM 290 Pop Culture CM 305 Persuasive Communication CM 309 Special Topics in Communication CM/EN 312 Creative Writing Fiction CM 313 Writing for Promotion and PR CM 314 PR Case Studies CM 315 PR & Event Planning CM 316 Publishing CM 319 Professional Writing CM 320 Journalism II CM 325 Journalism Practicum CM/EN 340 Creative Non-fiction CM 360 Organizational Communication CM 365 Gender Communication CM 380 Media Law and Politics CM 390 Media Ethics CM 391-4 Internship CM 460 Independent Research Study HCM 130 Introduction to Health Communication HCM 280 Patient-Provider Communication HCM 290 Media and Health HCM 314 Health Campaigns and Risk Communication HCM 318 Health Communication and Culture 
1,Desales,"P DA 4241, 4242, 4243, DA 428, DA 478, DA 479, and DA 495 are offered on a pass/fail basis. DA 280 will be a class in which the instructor can designate the pass/fail option or not because it is a special topics class and will change from semester to semester. ",P Most dance courses are open to non-majors. Some courses have prerequisites. Non-dance majors are encouraged to audition for dance department productions. Courses satisfying the physical education activity requirements are identified in their descriptions. 
2,Desales,"P EC 209, EC 210, EC 309, EC 310, EC 320, EC 451, MA 121, MA 122, and either MA 111 or MA 302.  In addition, three economics electives at the 200 level or above must be taken; FN 220 and FN 336 may each count as one of these electives. ","P A 4 ½ year BS/MBA Degree Program in Economics is available to qualifying students. This program is designed to provide a competitive advantage for entry into the professional workplace. At the end of their junior year, economics majors with at least a "
3,Desales,P ED 109 The Educative Process (3 credits) ,P ED 205 Technology for Educators (3 credits) 
4,Desales,P ED 205 Technology for Educators (3 credits) ,P ED 209 Cognition and Learning (3 credits) 
5,Desales,P ED 209 Cognition and Learning (3 credits) ,P ED 2801 Clinical Field Experience 1: STEP (1 credit) or EE 
6,Desales,P ED 2801 Clinical Field Experience 1: STEP (1 credit) or EE ,P 2901 Clinical Field Experience 1: ECE (1 credit) 
7,Desales,P ED 218 Introduction to Exceptionalities (3 credits) MA 107 Math for Teachers 1 (except for majors in mathemat,P ics) serves as MOT mathematics for non-math majors 
8,Desales,P MA 108 Math for Teachers 2 (except for majors in Mathematics) ,P (3 credits) Early Childhood and Elementary Education major students must also take: 
9,Desales,P EE 111 Infant and Youth Development (3 credits) ,P EE 201 Foundations in Early Education (3 credits) 
10,Desales,P EE 201 Foundations in Early Education (3 credits) ,P EE 2901 Clinical Experience 1: ECE (Pre-kindergarten 
11,Desales,P EE 2901 Clinical Experience 1: ECE (Pre-kindergarten ,P through kindergarten) (1 credit) 
12,Desales,"P ED 211 Family, School, and Community (3 credits) ",P EE 2902 Clinical Experience 2: ECE (Pre-Kindergarten 
13,Desales,P EE 2902 Clinical Experience 2: ECE (Pre-Kindergarten ,P through kindergarten) (1 credit) 
14,Desales,P EE 326 STEM in the Elementary Classroom (3 credits) ,P EE 335 Designing Instruction (3 credits) 
15,Desales,P EE 335 Designing Instruction (3 credits) ,P Admission into the Professional Educator Phase for 
16,Desales,P EE 310 Emergent Language & Literacy ECE (3 credits) EE 343 Integrating Arts & Physical Education: ECE (3 credits) ,P ED 364 The Inclusive Classroom (3 credits) ED 319 Literacy for Content Learning (3 credits) or ED 366 Literacy Interventions (3 credits) ED 373 Teaching English Learners (3 credits) 
