,School,CourseID,Descriptions
0,DesalesSUPERTRIMMED,AB-217 Financial Accounting Credits: 3.00 ,"Introduction to the concepts and practices of measuring and communicating financial information by business entities, including financial position, income, and cash flows. Prerequisite(s): None "
1,DesalesSUPERTRIMMED,AB-219 Managerial Accounting Credits: 3.00 ,"Accounting for planning, control and managerial decision making. Topics include cost flows, cost- volume-profit analysis, operating and cash budgets, product costing, responsibility accounting, variable costing, relevant costs, and the contribution approach to decision making. Prerequisite(s): AB-217 "
2,DesalesSUPERTRIMMED,AB-272 The Legal Environment of Business Credits: 3.00 ,"A study of the legal process and how the law affects the internal and external relationship of business organizations. This course is designed to identify the restraints placed on the actions taken by business organizations and how they affect business decisions. An introduction to the law of contracts, agency, torts, and business organizations is included. Prerequisite(s): None "
3,DesalesSUPERTRIMMED,AB-301 Corporate Financial Reporting I Credits: 4.00 ,"An intensive study of U.S. and international financial reporting standards and how they relate to the preparation of statements of financial position, income, and cash flows. Specific emphasis is on asset valuation. Prerequisite(s): AB-217 with a grade of C or better "
4,DesalesSUPERTRIMMED,AB-302 Corporate Financial Reporting II Credits: 3.00 ,"This is the second semester course in corporate financial reporting. This semester will cover long-lived assets and liabilities and the effect of these valuations on income, owner’s equity, and will conclude with in-depth coverage of the Statement of Cash Flows. Prerequisite(s): AB-301 "
5,DesalesSUPERTRIMMED,AB-303 Advanced Accounting Credits: 3.00 ,"Study of accounting for corporate mergers and acquisitions, preparation of consolidated financial statements, partnerships, foreign currency translation, and branches.  Accounting and reporting for governmental and other not-for-profit organizations and other selected topics are examined. Prerequisite(s): AB-301 "
6,DesalesSUPERTRIMMED,AB-322 Federal Income Taxation Credits: 3.00 ,An introductory study of the principles and concepts of federal income taxation of individuals.  Students will be familiarized with the tax research process and will acquire a foundation of knowledge for preparation of tax compliance forms. Prerequisite(s): AB-217 
7,DesalesSUPERTRIMMED,AB-323 Regulation Credits: 3.00 ,"A course which covers the topics contained in the Regulation section of the Uniform CPA Examination. Study of Federal income taxation as it applies to corporations, partnerships, estates and trusts, and the law of commercial transactions as it applies to secured transactions, bankruptcy, and securities regulations. Offered in ACCESS only. Prerequisite(s): AB-322 "
8,DesalesSUPERTRIMMED,AB-324 Regulation Credits: 4.00 ,"A course which covers the topics contained in the Regulation section of the Uniform CPA Examination.  Study of federal income taxation as it applies to corporations, partnerships, estates and trusts, and the law of commercial transactions as it applies to secured transactions, bankruptcy, and securities regulations. Coursework includes participation in the IRS-sponsored VITA program. Not  offered in ACCESS. Prerequisite(s): AB-217 and AB-322 "
9,DesalesSUPERTRIMMED,AB-3250 Student Field Work Experience Credits: 1.00 ,Students perform experiential field work. Not offered in ACCESS. Prerequisite(s): Permission of Head of Business Division 
10,DesalesSUPERTRIMMED,AB-340 Contemporary Accounting Issues Credits: 3.00 ,An examination of selected major and emerging issues in the discipline.  Both theoretical and practical dimensions are examined through the use of cases and other materials. Prerequisite(s): AB-302 
11,DesalesSUPERTRIMMED,AB-373 Business Law Credits: 3.00 ,"An in-depth study of the law of commercial transactions. This course reviews the Uniform Commercial Code and its legal effect on sales, commercial paper and secured transactions. Insurance, real and personal property are also covered. This course is recommended for students preparing to take the Uniform CPA Exam.  Does not satisfy Accounting elective. Prerequisite(s): AB-272 "
12,DesalesSUPERTRIMMED,AB-375 Legal Environment of International TradeCredits: 3.00 ,"Legal considerations that apply to U.S. business in the international marketplace. Analysis of issues involving contract negotiations and enforcement, venue, jurisdiction, arbitration, financing of international trade, international conventions, and multinational business issues are covered.  Does not satisfy Accounting elective. Prerequisite(s): AB-272 "
13,DesalesSUPERTRIMMED,AB-451 Strategic Cost Management: DeSales Experience Credits: 4.00 ,"Accounting concepts and techniques as applied to the service and manufacturing sectors, with an emphasis on strategic theory. The course provides an in-depth study of product costing and cost allocation systems for planning and control.  Not offered in ACCESS. Prerequisite(s): AB-219, FN-331, MG-201, MK-201 and senior status "
14,DesalesSUPERTRIMMED,AB-452 Strategic Cost Management Credits: 3.00 ,"Accounting concepts and techniques as applied to the production function, with emphasis on manufacturing operations.  The course provides an in-depth study of product costing and cost allocation systems for planning and control.  Only offered in ACCESS. Prerequisite(s): AB-219, FN-331, MG-201, MK-201 and senior status "
15,DesalesSUPERTRIMMED,AB-453 Auditing Credits: 3.00 ,"Auditing procedures, audit program design, financial statement examination, audit evidence analysis, and application of auditing standards. This course will also include the social, ethical, and legal responsibilities of the accountant. Prerequisite(s): AB-302 "
16,DesalesSUPERTRIMMED,AB-454 Accounting Internship Credits: 3.00 ,"Work experience with approved organizations where meaningful assignments are performed with appropriate training, instruction and supervision. Prerequisite(s): Minimum junior class status with a minimum "
17,DesalesSUPERTRIMMED,AB-463 Forensic Accounting Credits: 3.00 ,"Explores the process for conducting forensic examinations. Forensic examiners typically serve as either consultants to attorneys or as expert witnesses. Course participants will be prepared through activities, lectures, and readings to conduct a forensic examination in either role. Prerequisite(s): None "
18,DesalesSUPERTRIMMED,AB-499 Independent Study Credits: 3.00 ,Development and implementation of student’s own research and/ or field experience in accounting under the guidance of a faculty member.  The student must receive departmental approval of a preliminary proposal before registering for this course. Prerequisite(s): None 
