,School,CourseID,Descriptions
0,EastCentral,MIS 1903  Computer Business Applications Students majoring in Business Administration must take at least ,B.   Required in the Business Admin Core 36 40 percent (50 credit hours) of their course work in non-business ACCT 2103 Financial Accounting 
1,EastCentral,MIS 3453  Adv Computer Business Applic ,D.   Required Business Admin Electives 9 Nine (9) hours Accounting or Business Administration Upper Level courses or COMM 3243 (ORGL courses do not count as Business Administration Electives) 
2,EastCentral,MGMT 3013 Principles of Management ,Nine hours from the following: ENTR 3103 Intro to Entrepreneurship MGMT 3043 Human Resources Management MGMT 3063 Production/Operations Mgmt MGMT 3103 Organizational Behavior MGMT 4623 Leadership 
3,EastCentral,FCS 1513 Nutrition For course requirements see Professional Education. ,B. Required Core Courses 12 FCS 1113 Basic Construction Techniques VI. Electives 1 FCS 1213 Textiles FCS 1523 Careers in Family & Consumer Sci VII. Total Hours Required 124 FCS 4213 Family Relationships 
4,EastCentral,BIOL 2344 General Microbiology ," III. Related Work 23-25 Three hours of Upper Level electives (may not includ B/C/P 4113, BIOL 4473, 4513, 4713, 4881)"
5,EastCentral,COMM  2333 Theatre in Life ,Select one of the following: COMM  1413 Acting I COMM  2453 Intro to Technical Theatre COMM 3353 Theatre History & Dramatic Lit:
6,EastCentral,HIST 4993 Individual Study in History                         (Subject named in title listing) ,"12 hours other approved courses in history, English, geography or other areas with signiﬁ cant Oklahoma content.  A minimum of 6 of these hours must be in Native American Studies. "
7,EastCentral,EDPSY 5693 Practicum in School Psychometry ,"The graduate program for the Master of Education, Secondary Education- Academic Discipline Option is designed to provide 18 hours of secondary content specialization to meet the demand for highly qualiﬁed teachers for secondary public schools and to provide content area graduate level courses for specialization for those who desire to teach at the junior college level.  Special attention is given to the development of the student as a consumer of research along with an emphasis on speciﬁc content area knowledge, skills and attitudes. "
8,EastCentral,"PSYCH 5691-6 Thesis (6 hours, Prereq: Departmental Approval) to total 60 hours. ",Students who plan to apply for Oklahomoa state LPC licensure are strongly advised to complete 6 elective program courses approved by the State Board of Behavioral Health Licensure (BBHL). Thesis hours are not accepted for LPC coursework. Candidates who do not adhere to the LPC Planned Program of Study for the MSPS Counseling Psychology Program may be subject to individal course review and at the discretion of the board denied approval or required to complete additional coursework. Therefore course substitutions for the Counseling Psychology option will only be approved after the candidate signs a contract stating he or she understands these possible consequences. 
9,EastCentral,ACCT 2003  Financial and Managerial Accounting for Non-Business Majors  ,3 hours--This course provides a survey of accounting concepts and procedures that will enable students to be informed users of ﬁ nancial information in a business setting. This course may not be substituted for ACCT 2103 Financial Accounting or ACCT 2203 Managerial Accounting. 
10,EastCentral,ACCT 2203  Managerial Accounting  ,3 hours--Prereq.: A grade of C or higher in ACCT 2103. Managerial accounting concepts and objectives; planning and control of sales and costs; analysis of costs and proﬁts for management decision making. 
11,EastCentral,ACCT 3203  Cost Accounting I ,3 hours--Prereq.: A grade of B or higher in 2103 and 2203; or department approval. Elementary principles of cost accounting; internal records of manufacturing business; process and job cost accounting. 
12,EastCentral,ACCT 3303  Intermediate Accounting I ,3 hours--Prereq.:  A grade of B or higher in 2103 and 2203; or department approval.  A comprehensive study of ﬁnancial accounting with emphasis on the evaluation and treatment of assets and their related income statement accounts. 
13,EastCentral,ACCT 3383  Federal Income Tax Accounting ,"3 hours--Prereq.: A grade of B or higher in 2103 and 2203; or department approval. Accounting for individual income tax requirements; preparation of individual income tax returns; tax forms; and income tax problems. Specialized topics include taxable and non-taxable income, business deductions, depreciation, itemized deductions, exemptions, ﬁ ling status, gains and losses, and tax credits. "
