,School,CourseID,Descriptions
0,EastStroudsburg,PSED 651 - Conflict Resolution (3 credits) ,"This is an applied course focusing on the resolution of conflict between groups and a third party. Specifically examined are the techniques of negotiation, mediation, and conciliation. Simulation and role-play are utilized as well as readings in theory and case study. "
1,EastStroudsburg,PSED 658 - School Law and Negotiations (3 credits) ,"A case study approach is utilized in this course where students read, present, and discuss cases reflecting current issues of interest in School Law. Case law, as opposed to statutory or administrative law, is emphasized in this approach. Students are expected to assume a leadership role in discussion of the cases they present. The course format features a high degree of student involvement, discussion, and interaction. Due to the non-traditional scheduling format of the course, preparation which must be completed between class sessions is typically much more extensive. "
2,EastStroudsburg,PSED 660 - School Finance (3 credits) ,"Budgeting procedures for large and small school districts are the focus of this course. School budgeting, accounting, bonding, and various monetary applications are presented as well as the various procedures for acquiring funds. "
3,EastStroudsburg,PSED 681 - Special Topics In Education (3 credits) ,This course is designed for the advanced graduate student who wishes to do independent research in special area. Enrollment is limited to students enrolled in the IUP Doctoral Program in Administration and Leadership studies. Prerequisites: Admission to and satisfactory progress in a cohort group in the IUP Educational Leadership Program. 
4,EastStroudsburg,PSED 701 - Leadership Theory (3 credits) ,The purpose of this course is to explore the concept of leadership and principles of learning. The student will develop a theoretical position regarding personal administrative style. Possible dissertation topics will be explored. 
5,EastStroudsburg,PSED 702 - Leadership: A Case Study Approach (3 credits) ,"This course examines cases of transition, reorganization, or redesign in order to gain insight into both the psychological and sociological aspects of successful leadership in changing environments.  It exposes students to fundamental methods for data collection using case methodology. "
6,EastStroudsburg,PSED 703 - Leadership: Applied Practice (3 credits) ,"This course is designed to prepare doctoral students in leadership studies to develop and implement a field project that incorporates leadership and policy theories learned in previous courses. Various approaches and issues associated with design and implementation of a field project will be examined. Through an exploration of the literature, critique of theories, and direct hands-on exercises, students will be able to build competency in integrating leadership theories and research methods into their own field project. "
7,EastStroudsburg,PSED 705 - Curriculum Analysis (3 credits) ,"This course is designed to prepare doctoral students with a critical analysis of curriculum theory and research. Various approaches will be examined, with emphasis on the unique theoretical and methodological contributions of philosophical, psychological, and social approaches to the field of curriculum. Through an exploration of the literature, critique of theories, and direct hands-on exercises, the student will be able to build competency in integrating effective curriculum analysis into the student's own educational praxis. "
8,EastStroudsburg,PSED 710 - Advanced Topics Human Development (3 credits) ,Students will evaluate and apply development theory as it pertains to the adult learner in environments of complex decision-making. This course introduces students to adult development from a biopsychosocial theoretical framework and guides them to explore how these factors influence their personal development. Students will apply course readings to contemporary leadership issues. 
9,EastStroudsburg,PSED 715 - Writing for Professional Publication (3 credits) ,Students will evaluate and apply development theory as it pertains to the adult learner in environments of complex decision-making. Students will apply course readings to contemporary leadership issues. Prerequisites: Admission to and satisfactory progress in a cohort group in the IUP Educational Leadership Program. 
