,School,CourseID,Descriptions
0,McKendree,SCE 210 CONCEPTS IN SCIENCE ,* Students considering these courses towards fulfillment of the general education requirement are cautioned that these courses are intended for students majoring in science and are therefore more comprehensive. 
1,McKendree,EDU 115 TECHNOLOGY INTEGRATION INTO THE CLASSROOM CURRICULUM ,(fulfills computer competency in the general education program) (3) EDU 210 INTRODUCTION TO TEACHING (W) (3) EDU 205 MULTICULTURAL EDUCATION (3) EDU 350 EDUCATIONAL PSYCHOLOGY: HUMAN GROWTH AND LEARNING (3) 
2,McKendree,EDU 115 TECHNOLOGY INTEGRATION INTO THE CLASSROOM CURRICULUM ,(fulfills computer competency in the general education program) (3) EDU 205 MULTICULTURAL EDUCATION (3) EDU 210 INTRODUCTION TO TEACHING (W) (3) EDU 350 EDUCATIONAL PSYCHOLOGY: HUMAN GROWTH AND LEARNING (3) 
3,McKendree,ACC 220 ACCOUNTING INFORMATION SYSTEMS (3) ,"Provides a conceptual foundation in accounting systems and control. Study of business processes and use of information technology, focusing on Intuit QuickBooks and Microsoft Excel. Topics include transaction cycles, internal control, and entering transactions and preparing financial statements using information technology. Emphasis on internal control. Prerequisites: ACC 205 and CSI 120. Each semester. "
4,McKendree,ACC 305 INTERMEDIATE ACCOUNTING I (3) ,"Topics include: the history and development of generally accepted accounting principles, accounting information systems, study of the balance sheet and income statement accounts, time value of money, inventory valuation techniques, cash and receivables, and statement of cash flows. Prerequisites: ACC 205 and 220. Fall, annually. "
5,McKendree,ACC 306 INTERMEDIATE ACCOUNTING II (3) ,"A more thorough examination of the various aspects of property, plant and equipment; depreciation and depletion, intangible assets, current liabilities and contingencies; long term liabilities, stockholders’ equity, earnings per share, and investments. Emphasis on practical application of the theory associated with these topics. Prerequisite: ACC 305. Spring, annually. "
6,McKendree,ACC 330 MANAGERIAL COST ACCOUNTING (3) ,"Topics include managerial report generation and analysis with written communication. Includes use of computer models for problem solving, quantitative and qualitative analysis, including behavioral issues. capital budgeting, tactical decision making, and operational control. Prerequisites: ACC 220, 230, and MGT "
7,McKendree,ACC 352 TAXATION OF INDIVIDUALS (3) ,"Study of federal tax law focusing on individuals. Areas emphasized include: fundamental concepts of taxation and tax compliance, planning, and research for personal taxation. Prerequisite: ACC 205. Fall, annually. "
8,McKendree,ACC 354 TAXATION OF BUSINESS ENTITIES (3) ,"Study of business taxation including: the tax consequences of various forms of business organization, corporate tax compliance, distributions, and reorganizations. Emphasis on the role of taxation in business decision making. Includes research project in taxation. Prerequisite: ACC 352. Spring, annually. "
9,McKendree,ACC 421 AUDITING (3) ,"A study of the principles and procedures used by certified public accountants and internal auditors in the examination of financial statements and systems of internal control. Areas emphasized include the role of risk assessment, auditing standards, audit reports, auditor legal liability, and professional ethics. Prerequisite: ACC 306. Spring, annually. "
10,McKendree,ACC 430 ADVANCED COST ACCOUNTING (3) ,"Course will focus on cost management role with emphasis on performance analysis, budgeting, variances, cost analysis, analytical skills, and verbal and written communication. Prerequisite: ACC 330. As needed. "
11,McKendree,ACC 431 RESEARCH IN ACCOUNTING THEORY (W) (3) ,"An accounting capstone course focusing on the history, controversial issues, and current developments in accounting theory. The research process and information literacy are emphasized. Students develop and present an individual research project that demonstrates synthesis of accounting theory and practice to a specific accounting topic. Prerequisite: ACC 307. Spring, annually. "
12,McKendree,ACC 440B SEMINAR IN GOVERNMENTAL ACCOUNTING (1) ,This course is designed to present an overview of the unique accounting and financial reporting principles that have evolved for government organizations. Prerequisite: ACC 230. As needed. 
13,McKendree,ACC 440C SEMINAR IN FRAUD INVESTIGATION (1) ,"This seminar is designed to establish a classification system to explain fraud schemes used by employees, owners, managers, and executives. How to spot “red flags” of fraud and develop/ implement effective preventative measures are major topics of discussion. Prerequisite: ACC 230. As needed. "
14,McKendree,ACC 440D SEMINAR IN FINANCIAL STATEMENT ANALYSIS (1) ,"This course looks at how to calculate the various financial statement analyses available and how to apply them to informed, directed decision-making. Prerequisite: ACC 230. As needed. "
15,McKendree,ACC 440E SEMINAR IN ANNUAL REPORT ANALYSIS (1) ,"This course provides an overview of the basic tools, methods, and techniques used in the interpretation of annual reports of publicly held corporations. The reporting differences among industries, including manufacturing, retailing, service firms, regulated and non-regulated industries are examined. Prerequisite: "
16,McKendree,ACC 440F SEMINAR IN ACCOUNTING FOR NOT-FOR-PROFIT ORGANIZATIONS (1) ,"This course provides an overview of the accounting and reporting requirements for colleges and universities, hospitals, healthcare organizations, and other similar entities. Prerequisite: ACC 230. As needed. "
17,McKendree,ACC 440G SEMINAR IN BALANCED SCORECARD (1) ,"This course explores techniques for using nonfinancial, as well as financial, performance measures as an integrated means of supporting the organization’s overall strategies. Nonfinancial performance is evaluated from four perspectives: financial, customer satisfaction, internal processes, and learning and growth. Prerequisite: ACC 230. As needed. "
18,McKendree,ACC 440H SEMINAR IN BUDGET PLANNING AND CONTROL (1) ,This seminar studies how budgets can be used as a tool for planning and for control. Other topics considered include management compensation as it relates to the budget and participatory and authoritative budgeting processes. Prerequisite: ACC 230. As needed. 
19,McKendree,ACC 440I SEMINAR IN ACCOUNTING FOR PARTNERSHIPS (1) ,"This seminar examines the characteristics of general partnerships, limited partnerships, and joint ventures. The drawing and capital accounts are explained as are various methods of allocating partnership net income. Prerequisite: ACC 230. As needed. "
20,McKendree,AES 102 HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE II (2) ,"A survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Leadership Laboratory is mandatory for Air Force ROTC cadets and it complements this course by providing students with followership experiences and prepares them for Field Training. Classroom activity, one hour per week; Leadership Laboratory two hours per week. Classes are held at Saint Louis University. "
21,McKendree,AES 201 TEAM AND LEADERSHIP FUNDAMENTALS I (2) ,Focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to 
22,McKendree,AES 202 TEAM AND LEADERSHIP FUNDAMENTALS II (2) ,Focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to 
