,School,CourseID,Descriptions
0,NorthCentralMissouri,AC 136 Elementary Accounting I 3 credits ,"An introductory course in double-entry methods of accounting for service and merchandising enterprises. This includes the complete accounting cycle, special journals, notes and interest, accruals and deferrals, receivable, inventory and plant assets. (F, SP, OF, OSP, OSU) "
1,NorthCentralMissouri,AC 137 Elementary Accounting II 3 credits ,"A continuation of Accounting 136, with emphasis on "
2,NorthCentralMissouri,AC 186 Payroll Accounting 3 credits ,This course covers the basics of payroll preparation and the filling out of forms that must be filed quarterly and annually by most businesses. (OSP) 
3,NorthCentralMissouri,AC 206 Computer Accounting 3 credits ,"This course uses computers to apply the basic principles and procedures of accrual accounting with a sophisticated accounting software program. Computer accounting applications include general ledger, accounts receivable, accounts payable, invoicing, payroll, inventory and job cost. (OF) "
4,NorthCentralMissouri,AG 100 Introduction to Agribusiness Systems 3 credits ,"An introduction to the Agribusiness Systems career pathway. Topics covered include an overview of the agribusiness industry, economic principles in agribusiness, and retail agribusiness sales. (SP) "
5,NorthCentralMissouri,AG 103 Soils & Fertilizers 3 credits ,"A basic study of soils formation, morphology, relationship to water, physical properties, chemical properties, organic matter, classification, erosion and soils relationship to the environment. Plant growth requirements, fertilizers and soil testing are also covered. (SP) "
6,NorthCentralMissouri,AG 104 Soils & Fertilizers Laboratory 1 credit ,"Laboratory course including practical experiences related to soil texture, structure, morphology, and chemistry. Other topics include: land classification and legal descriptions, USDA Web Soil Survey, soil testing, and interpreting soil tests. Taken in conjunction with AG103. (SP) "
7,NorthCentralMissouri,AG 105 Plant Science 3 credits ,"An introductory course in agronomy; areas of study include plant morphology, growth processes, growth and development, crop investment, climate, and nutrition. (F) "
8,NorthCentralMissouri,AG 106 Plant Science Lab 1 credit ,"Lab activities involving plant and seed identification, seed germination, plant growth and plant nutrition; taken in conjunction with AG 105. (F) "
9,NorthCentralMissouri,AG 107 Animal Science 3 credits ,"An introductory course in animal science; areas of study include genetics, reproduction, nutrition, health and management of meat and companion animals. (F, SP) "
10,NorthCentralMissouri,AG 108 Animal Science Laboratory 1 credit ,"Laboratory including practical experiences with anatomy and physiology, live animal and meat grading, animal reproduction, and animal health; taken in conjunction with AG107. (F, SP) "
11,NorthCentralMissouri,AG 109 Pork Production & Management 3 credits ,"A study of management decisions related to the breeding, feeding, marketing and management of commercial and purebred swine. (DD) "
12,NorthCentralMissouri,AG 112 Beef Production & Management 3 credits ,"A study of management decisions related to the breeding, feeding, marketing and management of commercial and purebred beef operations. (SP) "
13,NorthCentralMissouri,AG 114 Crop Science 3 credits ,"A study of management decisions related to germination, seed selection, and tillage and seedbed preparation, planning methods, fertility, pest control, harvest and storage, and marketing of grain, oilseed and forage crops. (SP) "
14,NorthCentralMissouri,AG 117 Agricultural Mathematics 3 credits ,"An intensive review of the fundamentals of basic arithmetic, fractions, percentages, geometric and algebraic solutions as applied to the field of agriculture. PREREQUISITE: appropriate ACT or placement test score, or completion of DS 048. (SP) "
