,School,CourseID,Descriptions
0,NotreDame,AR 480 Studio Emphasis ,"Studio Art majors will receive a portfolio review after the completion of the foundational art courses: AR 101, 114, 209, 221, 222, 325, 341, 371, and 377 and before they are permitted to register for AR 491. A professional portfolio is required as part of the course work in AR 491 and is presented before the  entire Art faculty. A senior art show is required of all Studio Art majors and must be presented prior to graduation and after taking AR 491 and 492. "
1,NotreDame,AR 480 Studio Emphasis ,"Studio Art majors will receive a portfolio review after the completion of the foundational art courses: AR 101, 114, 209, 221, 222, 325, 341, 371, and 377 and before they are permitted to register for AR 491. A professional portfolio is required as part of the course work in AR 491 and is presented before the entire Art faculty. A senior art show is required of all studio Art majors and must be presented prior to graduation and after taking AR 491 and 492. "
2,NotreDame,AR 101 Drawing I         3 cr. ,"A foundation course requiring some drawing skills. Students will explore drawing techniques and media in a variety of observational problems. Emphasis will be placed on principles of line, shape, mass, light and shade, perspective and space, surface and structure. Two, two-and-one-half hour lab periods weekly. "
3,NotreDame,AR 102 Drawing II         3cr. ,"Continuation of AR 101. Designed to further develop the student’s perceptual and conceptual drawing skills. Students are encouraged to experiment and explore assigned problems. Two, two-and-one-half hour lab periods weekly. Prerequisite: AR 101. "
4,NotreDame,AR 103 Life Drawing         2 cr.  ,"An introduction to drawing the human figure emphasizing the fundamentals of structure. Includes the study of the human skeletal and muscular systems as they apply to drawing a likeness. One, two-and-one- half hour lab period weekly. Prerequisite: AR 101. "
5,NotreDame,AR 114 Introduction to Graphic Design      3 cr.  ,"This entry-level course for the Graphic Design major provides the student with a strong foundation in principles for visual communication problem solving. Vector concepts used in digital design and production will be utilized. There will be group critiques, demonstrations as well as class discussions. Two, two and one half-hour lab periods weekly. Prerequisite: AR 221. "
6,NotreDame,AR 210 Photography II         3 cr.  ,"Continuation of AR 209. Designed to further develop the student’s technical and interpretive understanding of black & white and color photography. I. Student supplies digital camera. Two, two-and-one-half hour lab periods weekly. Prerequisite: AR 209. "
7,NotreDame,AR 221 Basic Design         3 cr. ,"Study and practice of fundamental elements and principles of two-dimensional design using a variety of media. Two, two-and-one-half hour lab periods weekly. "
8,NotreDame,AR 222 Color and Design        3 cr.  ,"Study of color and its application to various design concepts as the continuation of design fundamentals and organization. Two, two-and-one-half hour lab periods weekly. Prerequisite: AR 221. "
9,NotreDame,AR 223 Graphic Design I        3 cr.  ,"Graphic Design I connects current digital typesetting practices to the rich typographic heritage that is a foundation in the Graphic Design discipline. Students become confident identifying type categorically, typesetting, white space and the ways all of these principles are employed in creating good and functional design. Some technical and creative pieces will be explored. Some traditional studio work as well as Adobe InDesign will be the primary platforms for producing design. Two, two and one-half hour lab periods weekly. Prerequisites: AR 114 and AR 221. "
10,NotreDame,AR 224 Graphic Design II        3 cr. ,"This course continues to develop typography in larger contexts including image and message. Project production phases will include thumbnail to final solution. Print media and the printing process will be explored. Projects generated will include more advanced design work and will develop production skills and tools helpful in preparing visual information for the print industry. Adobe InDesign and Photoshop are the primary digital tools for this class. Two, two and one-half hour lab periods weekly. Prerequisite: AR 223. "
11,NotreDame,AR 225 Fundamentals of Game Design      3 cr. ,"There are many types and formats of games. This course is meant to introduce the processes and mechanics of game design through both reading about games and individually developing them. Offering best practices towards various game formats and the opportunity to utilize those practices, the course allows students to design, iterate upon, play test and see designs through to completion. Prerequisite: None.  "
12,NotreDame,AR 300 Graphic Design III        3 cr.  ,"This course continues the study of type, text, and image. Students create professional multi-page layouts, creative posters, and other focused portfolio building projects. Adobe InDesign and Photoshop are the primary digital tools for this class. Two, two and one- half hour lab periods weekly. Prerequisite: AR 224. "
13,NotreDame,AR 310 Introduction to Game Production      3 cr.  ,"Open communication is vital for a team’s success. While understanding that each person communicates an receives communication in different fashions, the producer will learn to inspire, protect and motivate the group they are responsible for. The producer will foster trust and open communication throughout all levels of the team "
14,NotreDame,AR 311 Art History I: Ancient to Medieval      3 cr.  ,"Civilization epochs in the light of environmental influences and the resultant fine and decorative arts are studied. Where feasible, the philosophies of the related cultural subjects are introduced. "
15,NotreDame,AR 312 Art History II: Renaissance to Modern       3 cr.  ,"A survey of major monuments, paintings, and sculpture that have shaped Western art—historical thought from the opening years of the Renaissance to the opening years of the 20th century are covered. "
16,NotreDame,AR 313 Women Artists: Historical Survey      3 cr.  ,"An historical survey of the roles, contributions and styles of women artists. Activities such as field trips to studios, galleries and museums, and special lectures are arranged. "
17,NotreDame,AR 314 Impressionism to Today       3 cr.  ,An historical survey from Impressionism through modern to contemporary art. Concentration on painting and sculpture with frequent field trips to area galleries and museums. 
18,NotreDame,AR 316 American Art – Multicultural Crossroads     3 cr. ,"This course will begin with a discussion of Western European influences on American art. However, the course will also deal with other less familiar influences on the appearance and history of American culture. Native American and African influences will also be presented in conjunction with American art. All of these influences have contributed to the unique appearance of American art, particularly in the 20th century. "
19,NotreDame,AR 325 Printmaking I         3 cr.  ,"An introduction to basic relief and intaglio printmaking processes with emphasis on traditional as well as contemporary methods. Includes woodcuts, etching, and monoprints. Two, two-and-one-half hour lab periods weekly. Prerequisites: AR 101, 221. "
20,NotreDame,AR 326 Printmaking II         3 cr.  ,"A continuation of AR 325. Further exploration of relief and intaglio processes and techniques. Includes more advanced intaglio as well as involvement with mixed- media printmaking. Emphasis on individual exploration of ideas. Two, two-and-one-half hour lab periods weekly. Prerequisite: AR 325. "
21,NotreDame,AR 341 Painting I         3 cr. ,"An introduction to painting, dealing with technical and perceptual concepts. Two, two-and-one-half hour lab periods weekly. Prerequisites: AR 101, 222. "
22,NotreDame,AR 342 Painting II         3 cr. ,"A continuation of AR 341. Further exploration of technical and perceptual concerns with emphasis on the growth and development of individual concepts in painting. Two, two-and-one-half hour lab periods weekly. Prerequisite: AR 341. "
23,NotreDame,AR 371 Three-Dimensional Design       3 cr.  ,"The dynamics of three-dimensional design principles based on the elements of form, space, shape, light and movement. Basic approaches to sculpture are covered, i.e., construction, modeling, and carving, with various tools appropriate for each method. Includes traditional and contemporary references. Two, two- and-one-half hour lab periods weekly. Prerequisite: AR 101 or 221. "
24,NotreDame,AR 377 Ceramics I         3 cr. ,"An introduction to the concepts and skills necessary to work with clay. Basic methods of hand building will be covered, including related decorating and firing techniques. Two, two-and-one-half hour lab periods weekly. "
25,NotreDame,AR 378 Ceramics II         3 cr. ,"Continuation of AR 377. With emphasis on beginning throwing skills, the human form and developing personal expression with the medium of clay. Includes advanced decorating techniques and glaze chemistry. Two, two-and-one-half hour lab periods weekly. "
26,NotreDame,AR 450 Senior Collaborative Projects        3 cr.  ,"As a capstone course to the interactive entertainment media concentration, this course focuses on projects that explore what students can create while partnered with other students with different skill sets and backgrounds from their own. The idea is to create something that could not be achieved by one’s individual talent alone. Students will use their previously learned skills to collaboratively attack specific challenges presented with the goal to create short rapid experiences. The best experiences created during the term, and voted on by faculty, will be showcased in an end of term campus wide event to celebrate the achievements of the class. Prerequisites: AR 310 and AR 225. "
27,NotreDame,AR 480 Studio Emphasis        3 cr.  ,"This course is designed for the advanced Studio Art major who has completed an emphasis in one of the following areas: drawing, photography, printmaking, painting, or ceramics and wishes to pursue an advanced course of study with the instructor in the same discipline. A research and studio project will be determined prior to registration and with the written permission of the discipline instructor. Prerequisites:   AR 101/102 or AR 209/AR 210; AR 325/AR 326 or AR 341/342 or AR 377/AR 378. "
28,NotreDame,AR 491 Senior Studio I         3 cr.  ,This course will provide Art majors with both theoretical and practical application in the visual arts. The course will deal with issues of creative problem solving and self-motivation pertaining to the visual arts. Students will prepare professional portfolios for final class presentation. Students will explore individual approaches to creativity and apply their findings to a specialized art project that they will present to the class and to the Art faculty prior to completion of the course. 
29,NotreDame,AR 492 Senior Studio II        3 cr. ,"Independent work in a particular field of interest in the visual arts: drawing, painting, sculpture, ceramics, printmaking or any other area or areas of specialization in which the student shows intermediate or advanced level proficiency. At least two, two-and-one-half hour lab periods weekly. One !-hour weekly seminar discussion and periodic critiques with advising instructor. "
