,School,CourseID,Descriptions
0,OregonUni,MATH 112 Elementary Functions 4 MATH 241 Calculus for Business and Social 4 Science I MATH 425 Statistical Methods I 4 ,3. Students who have College Algebra (MATH 111) skills and an additional prerequisite course or appropriate skills may complete the requirement with one course chosen from the following: 
1,OregonUni,MATH 231 Elements of Discrete Mathematics I 4 MATH 242 Calculus for Business and Social 4 ,Science II MATH 246 Calculus for the Biological Sciences I 4 MATH 251 Calculus I 4 MATH 261 Calculus with Theory I 4 CIS 210 Computer Science I 4 CIS 211 Computer Science II 4 CIS 212 Computer Science III 4 
2,OregonUni,CHN 380 ,CINE 110M CINE 111 CINE 151M CINE 230 CINE 265 CINE 266 CINE 267 CINE 268 CINE 330 CINE 335 CINE 340 CINE 345 CINE 350 CINE 360 CINE 362M CINE 365 CINE 381M CLAS 110 CLAS 201 CLAS 202 CLAS 301 CLAS 302 CLAS 303 CLAS 310 CLAS 311 CLAS 314 COLT 101 COLT 102 COLT 103 COLT 211 COLT 212 COLT 231 COLT 232 COLT 301 COLT 305 COLT 360 COLT 370 DAN 251 DAN 301 EALL 209 EALL 210 EALL 211 EALL 360 ENG 104 ENG 105 ENG 106 ENG 107 ENG 108 Gender and Sexuality in Modern Chinese 4 
3,OregonUni,"SCAN 341 Revisions of the Scandinavian Dream 4 4 SCAN 343 Norse Mythology 4 4 SCAN 351 Periods in Scandinavian Literature 4 4 SCAN 353 Scandinavian Women Writers 4 4 SCAN 354 Genres in Scandinavian Literature 4 4 SPAN 150 Cultures of the Spanish-Speaking World 4 4 TA 271 Introduction to Theater Arts 4 4 TA 367 History of the Theater I 4 4 TA 368 History of the Theater II 4 4 TA 369 History of the Theater III 4 4 WGS 250 Gender, Literature, and Culture 4 4 WGS 322 Queer Theory 4 4 ","WGS 350 Literature as Feminist Theory 4 WGS 361 Gender, Film, and the Media 4 4 "
4,OregonUni,SPAN 228 Latino Heritage II 5 4 ,SPAN 301 Cultura y Lengua: Identidades Hispanas 4 SPAN 303 Cultura y lengua: expresiones artisticas 4 
5,OregonUni,SPAN 301 Cultura y Lengua: Identidades Hispanas 4 SPAN 303 Cultura y lengua: expresiones artisticas 4 ,4 SPAN 305 Cultura y lengua: cambios sociales 4 SPAN 341 Hispanic Cultures through Literature I 4 4 SPAN 342 Hispanic Cultures through Literature II 4 SPAN 343 Hispanic Cultures through Literature III 4 4 
6,OregonUni,SWAH 302 Contemporary Swahili Literature 4 4 ,SWAH 303 Language and Culture: Swahili Nation 5 4 SWED 201 Second-Year Swedish 4 SWED 202 Second-Year Swedish 4 
7,OregonUni,GEOG 205 Geography of Pacific Asia 4 ANTH 330 Hunters and Gatherers 4 ,GEOG 208 Geography of the United States and 4 ANTH 331 Cultures of India and South Asia 4 
8,OregonUni,GEOG 208 Geography of the United States and 4 ANTH 331 Cultures of India and South Asia 4 ,Canada ANTH 342 Archaeology of Egypt and Near East 4 GEOG 209 Geography of the Middle East and North 4 ANTH 343 Pacific Islands Archaeology 4 
9,OregonUni,GEOG 214 Geography of Latin America 4 ANTH 344 Oregon Archaeology 4 GEOG 341 Population and Environment 4 ANTH 345 Archaeology of East Asia 4 GEOG 342 Geography of Globalization 4 ANTH 347 Archaeology of Ancient Cities 4 ,"GEOG 343 Society, Culture, and Place 4 Societies GEOG 391 Social Science Inquiry and Research 4 ARB 253 Introduction to Arabic Culture 4 HC 231H Honors College Social Science 4 BA 101 Introduction to Business 4 HC 232H Honors College Social Science 4 CLAS 188 Introduction to Classical Archaeology 4 HC 233H Honors College Social Science 4 DSGN 321 Inclusive Urbanism 4 HIST 101 Western Civilization 4 EC 101 Contemporary Economic Issues 4 HIST 102 Western Civilization 4 EC 201 Introduction to Economic Analysis: 4 HIST 103 Western Civilization 4 Microeconomics "
10,OregonUni,"HIST 191 China, Past and Present 4 ","EC 340 Issues in Public Economics 4 HIST 192 Japan, Past and Present 4 EC 350 Labor Market Issues 4 HIST 201 Inventing America 4 EC 360 Issues in Industrial Organization 4 HIST 202 Building the United States 4 EC 370 Money and Banking 4 HIST 203 American Century 4 EC 380 International Economic Issues 4 HIST 205 Ancient Sports 4 EC 390 Problems and Issues in the Developing 4 HIST 211 Reacting to the Past 4 Economies HIST 215 Food in World History 4 EDST 111 Educational Issues and Problems 4 HIST 221 Sex in History 4 ENVS 201 Introduction to Environmental Studies: 4 HIST 239 Classical and Medieval Warfare 4 "
11,OregonUni,ENVS 335 Allocating Scarce Environmental 4 ,"Resources HIST 245 Russia, America, and the World 4 ES 101 Introduction to Ethnic Studies 4 HIST 248 Latinos in the Americas 4 ES 224M Introduction to Anthropology of the African 4 HIST 250 African American History 4 "
12,OregonUni,BI 214 General Biology IV: Mechanisms 4 WGS 251 Transnational and Indigenous Feminisms 4 ,"BI 281H Honors Biology I: Cells, Biochemistry and 5 WGS 303 Women and Gender in American History 4 "
13,OregonUni,"BI 281H Honors Biology I: Cells, Biochemistry and 5 WGS 303 Women and Gender in American History 4 ",Physiology WGS 315 History and Development of Feminist 4 BI 282H Honors Biology II: Genetics and Molecular 5 Theory 
