,School,CourseID,Descriptions
0,OregonUniSUPERTRIMMED,CAS 110. Humanities College Scholars Colloquium. 1 Credit. ,"Introduces fields in the humanities to freshman honors students. Faculty members discuss their research, the nature of their fields, and career opportunities. Repeatable twice for a maximum of 3 credits. Pre- or coreq: acceptance into the Society of College Scholars program. "
1,OregonUniSUPERTRIMMED,CAS 120. Science College Scholars Colloquium. 1 Credit. ,"Introduces fields in the sciences to freshman honors students. Faculty members discuss their research, the nature of their fields, and career opportunities. Repeatable twice for a maximum of 3 credits. Pre- or coreq: acceptance into the Society of College Scholars program. "
2,OregonUniSUPERTRIMMED,CAS 130. Social Science College Scholars Colloquium. 1 Credit. ,"Introduces fields in the social sciences to freshman honors students. Faculty members discuss their research, the nature of their fields, and career opportunities. Repeatable twice for a maximum of 3 credits. Pre- or coreq: acceptance into the Society of College Scholars program. "
3,OregonUniSUPERTRIMMED,ANTH 453 African Archaeology ,Contemporary African Issues 4 Select one of the following (or an approved alternative): AFR 199 Special Studies: [Topic] (Health and Disease in Africa) BI 309 Tropical Diseases in Africa ENVS 450 Political Ecology FLR 225 Voices of Africa FR 407 Seminar: [Topic] (Contemporary Africa) GEOG 209 Geography of the Middle East and North 
4,OregonUniSUPERTRIMMED,AFR 215. Introduction to African Studies. 4 Credits. ,"Introduction to the interdisciplinary field of African studies. Evaluates the social, cultural, political, economic and environmental diversity of and issues affecting historical and contemporary Africa and African peoples. "
5,OregonUniSUPERTRIMMED,AFR 604. Internship: [Topic]. 1-4 Credits. ,Repeatable once for a maximum of 8 credits. 
6,OregonUniSUPERTRIMMED,AFR 606. Field Studies: [Topic]. 1-4 Credits. ,Repeatable once for a maximum of 8 credits. 
7,OregonUniSUPERTRIMMED,AFR 609. Supervised Tutoring. 1-4 Credits. ,Repeatable once for a maximum of 8 credits. 
8,OregonUniSUPERTRIMMED,AEIS 101. Introductory Academic Oral Communication. 4 Credits. ,"Focuses on strategies to improve aural-oral academic communication through discussions, seminars, dialogue, videos, and lectures. Sequence with AEIS 102. Pre- or coreq: placement test. "
9,OregonUniSUPERTRIMMED,AEIS 102. Advanced Academic Oral Communication. 4 Credits. ,"Focuses on strategies to improve aural-oral academic communication through discussions, seminars, dialogue, and presentations. Sequence with AEIS 101. Pre- or coreq: placement test or AEIS 101 with a grade of C– or better. "
