,School,CourseID,Descriptions
0,PittsburghSUPERTRIMMED,ADMPS 1001 - SOCIAL FOUNDATIONS OF EDUCATION ,"Minimum Credits: 3 Maximum Credits: 3 Students in the course have the opportunity to develop a foundational understanding of the dynamics of schooling in society by addressing the cultural aspects that underlie society'seducational ideasandpractices. Through an interdisciplinary approach, readings and activities are designed for school practitioners, or those contemplatingcareers in education, to engage in the study of those cultural aspects and consequences. The general intent of foundational study is to introduce students to interpretive uses of knowledge Germane to education andto establisha basis for lifelong learning through normative andcritical reflectionon education within its historical philosophical, cultural andsocial contexts. Special emphasis is focused on the role of schooling in cultivating the habits necessary for democratic citizenship which include ongoing effortsto secure equitable and just social relations, and to advance the common good. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade "
1,PittsburghSUPERTRIMMED,ADMJ 0100 - SOCIETY AND THE LAW ,"Minimum Credits: 3 Maximum Credits: 3 Every society regulates behaviorand the means, i.e., either informal or formal,with which thisis done variesaccording to level of social development. This course examines the regulation of behavior in primitive, transitional, and modern societiesand traces the development of law and legal systems and their relationship to different characteristics ofsocial development. Wewill examine legal jurisprudence and the application of the principles ofthese philosophies and explore how they have shaped legal action. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
2,PittsburghSUPERTRIMMED,ADMJ 0500 - INTRODUCTION TO ADMINISTRATION OF JUSTICE ,"Minimum Credits: 3 Maximum Credits: 3 Introductory course designedto provide the student with basic information on thecriminal justice system. Views the criminaljustice system as consisting of six sub-systems; police, prosecution, courts, corrections, probation and parole. Explores law and society in general, the history, structure, function and contemporary problems in each major sub-system. Alsoexplores thetrendof the criminal justice system and the directions and implications involved. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
3,PittsburghSUPERTRIMMED,ADMJ 0600 - INTRODUCTION TO CRIMINOLOGY ,"Minimum Credits: 3 Maximum Credits: 3 This course provides an overviewof the study of the causes and social responses to crime. It examines legal definitions and elements of crime; surveys major categories of crime, i.e., Predatory and non-predatory acts; reviews major measuresof crime; identifies major correlates and theories of crime; differentiates types of offenders and evaluates the working of the criminal justice system. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
4,PittsburghSUPERTRIMMED,ADMJ 1100 - CRIME SCENE INVESTIGATION ,"Minimum Credits: 3 Maximum Credits: 3 This course provides students with an overview ofcrime scene investigative issues and problems, aswell astechniques used in thecollection, preservation, analysis, and utilizationof physical and testimonial evidence in criminal prosecutions. Topics include forensic photography, crime scene collectionequipment, canvassing, and interrogationtechniques in investigations of robbery, burglary, assault, and homicide crimes. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
5,PittsburghSUPERTRIMMED,ADMJ 1115 - CRIMINALISTICS ,"Minimum Credits: 3 Maximum Credits: 3 This course introduces students to the scientific tools of analysisof crimescene evidence. Topicsinclude toxicology, hair,fiber, blood, DNA, fingerprint, and firearms analysis, as well as cause of death issues such as sexual homicides, suicides, and assisted suicides, drugand carbon monoxide poisoning, accidental deaths, andblunt force trauma deaths. The class consists of integrated lectureand lab each week.The laboratory activities require only basic calculations. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
6,PittsburghSUPERTRIMMED,ADMJ 1118 - CRIMINALISTICS LAB ,"Minimum Credits: 1 Maximum Credits: 1 This is an optional labfor students enrolled in administration of justice 1115. Designed for non-science majors, the labwill introduce students to the basic principlesof chemistry, biology, and physicsas they are used on a daily basis in criminalinvestigations. Topics include:identification of hair and fibers, DNA, and chromatography. These andother techniques are then applied to a simulated drug bust, a kidnapping case, anda suicide/homicide investigation. Academic Career: Undergraduate Course Component: Credit Laboratory Grade Component: LG/SNC Elective Basis Course Requirements: CREQ: ADMJ 1115 "
7,PittsburghSUPERTRIMMED,ADMJ 1200 - INTRODUCTION TO LAW ENFORCEMENT ,Minimum Credits: 3 Maximum Credits: 3 Introduces various historical and philosophical approaches to law enforcement. Course explores origins of policing; philosophical positions on nature of law enforcement and its justification; comparisons of various types of policing in different historical epoch; and emergence of bureaucratized urban force. Topics include development of law enforcement from ancient times with emphasis on philosophical approaches to policing in U.S.; Introduction to constitutional issues and problems. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis 
8,PittsburghSUPERTRIMMED,ADMJ 1205 - INTRODUCTION POLICE MANAGEMENT ,"Minimum Credits: 3 Maximum Credits: 3 This course focuses on the management of police organizations. Topics include the evolving community expectations, alternative organizational models, recruitment, training andeducation, performance evaluations, technology and communications, researchand planning, internal and external police accountability,and police culture and ethics. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade "
9,PittsburghSUPERTRIMMED,ADMJ 1210 - JUVENILE DELINQUENCY ,"Minimum Credits: 3 Maximum Credits: 3 Provides an overview of the field of juvenile delinquency. Topicscovered include theoriesand research oncauses of juveniledelinquency;law enforcement practices encountered in attempts tocontrol delinquency; juvenile treatment under law; correctional philosophy and practices in juvenile justice; and impacts of juvenile criminality upon the rest of society. Students emerge from the course with knowledge of causes, prevention, treatment, and control of juvenile delinquency and should be prepared to move into more detailed study of this subject. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
10,PittsburghSUPERTRIMMED,ADMJ 1220 - DEVIANCE AND THE LAW ,"Minimum Credits: 3 Maximum Credits: 3 This course will examine the conceptof deviant behavior and how departing fromsociallyacceptable norms inlegal, social andinstitutionalsettings sparks certain emotional reactions from those who encounteror experience it. The course will also, identify what is deviancy, types of deviant behavior, who engages in it, what causes it andhow in certain circumstances it violates the law by considering the characteristics of the deviant person from both a socio-cultural andhistorical perspective. Inaddition, it will outlinevarious theories to deviant behavior. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
11,PittsburghSUPERTRIMMED,ADMJ 1225 - THE JUVENILE JUSTICE PROCESS ,"Minimum Credits: 3 Maximum Credits: 3 Presentation, discussion and analysis ofthe nature of thejuvenile justice process, legal steps required in processing juveniles, nature and operation of juvenile justice institutions, interrelationships between parts ofthe system, and problems and prospects for their solution. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
12,PittsburghSUPERTRIMMED,ADMJ 1230 - WHITE COLLAR CRIME ,"Minimum Credits: 3 Maximum Credits: 3 This course examines the meaning, varieties, and extentof ""white collarcrime"" in America. It investigates the developmental history of this concept, theories of whitecollar crime causation, specific typesof white collar crime, empirical and theoretical controversiessurrounding white collar crime, and the probable future directions for thistype of criminal behavior. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
13,PittsburghSUPERTRIMMED,ADMJ 1234 - INTRODUCTION TO CYBERCRIME ,"Minimum Credits: 3 Maximum Credits: 3 Traditionally, crime has taken place in the physical world. Since the dawnof the internet,criminal activities on the web have been continually increasing. Crime is no longer restricted to a town, city, state or even country as the internet crimetranscends all different types of jurisdictions. Academic Career: Undergraduate Course Component: Lecture Grade Component: LG/SNC Elective Basis "
