,School,CourseID,Descriptions
0,Smith,"FRN 262 After Algeria: Revolution, Republic and Race in Modern France ","From the colonial conquest in the early 19th century through independence in 1962, Algeria has evoked passions on both sides of the Mediterranean Sea, passions frequently resulting in violence that has not entirely subsided. Through a variety of perspectives and readings, we explore a post-Algerian French society that appears to be permanently marked by its Algerian experience. To what extent has the experience in and of Algeria transformed contemporary French culture? In what ways can one speak of the Algerian experience in revolutionary terms? Prerequisite: 230, or permission of the instructor. {F} {L} {S} Credits: 4 "
1,Smith,FYS 165 Childhood in African Literature ,"A study of childhood as an experience in the present and as a transition into adulthood, and of the ways in which it is intimately tied to social, political and cultural histories, and to questions of self and national identity. How does the violence of colonialism and decolonization reframe our understanding of childhood innocence? How do African childhood narratives represent such crises as cultural alienation, loss of language, exile and memory? How do competing national and cultural ideologies shape narratives of childhood? Texts include Tsitsi Dangarembga’s Nervous Conditions, Zoë Wicomb’s You Can’t Get Lost in Cape Town, Ngu˜gı˜ wa Thiongo’s Weep Not Child and Tahar Ben Jelloun’s The Sand Child. This course counts toward the comparative literature major. Enrollment limited to 16 first-year students. Credits: 4 "
2,Smith,AFR 218 History of Southern Africa (1600 to about 1900) ,"The history of Southern Africa, which includes a number of states such as South Africa, Zimbabwe, Namibia, Angola and Lesotho, is very complex. In addition to developing an historical understanding of the Khoisan and Bantu-speaking peoples, students must also know the history of Europeans and Asians of the region. The focus of this course is to understand the historical, cultural and economic inter-relationships between various ethnic groups, cultures and political forces which have evolved in Southern Africa since about 1600. "
3,Smith,HST 234 (C) Global Africa ,"This course interrogates how scholars have engaged the ""transnational"" and ""global"" in African history. In doing so, the course explores the complex networks of identities, loyalties, and attachments forged by diverse groups of African peoples in their attempts to live within and transcend the boundaries of the modern nation-state. As a result, over the course of the semester, the class will investigate issues of trade, nationality, citizenship, race, and identity as it queries the many ways in which Africans have shaped (and reshaped) their views of themselves and communities over seemingly vast distances in time and space. {H} Credits: 4 "
4,Smith,HST 257 (L) Early African History ,"This course is a general, introductory survey of African history prior to colonial rule. It provides students with a framework for understanding Africa's early political, social and economic history and for appreciating the strategies African peoples employed as they made sense of, accommodated themselves to and confronted their changing landscapes. Key subjects addressed in the course include African agricultural development, the introduction of monotheistic religions on the continent, African trade in the Indian Ocean and the effects of the Atlantic slave trade on West and Central Africa. {H} Credits: 4 "
5,Smith,HST 258 (L) Modern Africa ,"This course provides an introductory survey of African history under colonial rule and beyond. In doing so, the course offers students a framework for understanding the political, social and economic history of modern Africa by foregrounding the strategies African peoples employed as they made sense of and confronted their changing historical landscapes. Key subjects include the construction of the colonial state, African experiences with colonial rule, the dilemmas of decolonization and life in an independent Africa. "
6,Smith,AFR 370 Seminar: Modern Southern Africa ,In 1994 South Africa underwent a “peaceful revolution” with the election of Nelson Mandela. This course studies the historical events that led to this dramatic development in South Africa from 1948–2000. {H} {S} Credits: 4 
7,Smith,GOV 227 Contemporary African Politics ,"This survey course examines the ever-changing political and economic landscape of the African continent. The course aims to provide students with an understanding of the unique historical, economic and social variables that shape modern African politics, and introduces students to various theoretical and analytical approaches to the study of Africa’s political development. Central themes include the ongoing processes of nation-building and democratization, the constitutional question, the international relations of Africa, issues of peace and security, and Africa’s political economy. Enrollment limited to 35. "
8,Smith,GOV 233 Problems in Political Development ,"This course explores the practical meaning of the term “development” and its impact on a range of global topics from the problems of poverty and income inequality to the spread of democracy, environmental degradation, urbanization and gender empowerment. We examine existing theories of economic development and consider how state governments, international donors and NGOs interact to craft development policy. {S} Credits: 4 "
9,Smith,GOV 257 Colloquium: Refugee Politics ,"This course examines refugees—i.e., people displaced within their country, to another country or, perhaps, somewhere “in between.” Refugee politics prompt a consideration of the cause of refugee movements; persecution, flight, asylum and resettlement dynamics; the international response to humanitarian crises; and the “position” of refugees in the international system. In addition to international relations theory, the seminar focuses on historical studies, international law, comparative politics, refugee policy studies and anthropological approaches to displacement and “foreignness.” Although special attention is devoted to the Middle East, other cases of refugee politics are examined. Open to majors in government; others by permission of the instructor. Enrollment limited to 20. {S} Credits: 4 "
10,Smith,AFR 111 Introduction to Black Culture ,"An introduction to some of the major perspectives, themes, and issues in the field of Afro-American studies. Our focus is on the economic, social and political aspects of cultural production, and how these inform what it means to read, write about, view and listen to Black culture. {S} Credits: 4 "
11,Smith,AFR 117 History of Afro-American People to 1960 ,"An examination of the broad contours of the history of the Afro-American people in the United States from ca. 1600 to 1960. Particular emphasis is given to how Africans influenced virtually every aspect of U.S. society; slavery and Constitutional changes after 1865; the philosophies of W.E.B. DuBois, Booker "
12,Smith,AFR 155 Introduction to Black Women’s Studies ,"This course examines historical, critical and theoretical perspectives on the development of Black feminist theory/praxis. The course draws from the 19th century to the present, but focuses on the contemporary Black feminist intellectual tradition that achieved notoriety in the 1970s and initiated a global debate on “Western” and global feminisms. Central to our exploration is the analysis of the intersectional relationship between theory and practice, and of race, to gender and class. We conclude the course with the exploration of various expressions of contemporary Black feminist thought around the globe as a way of broadening our knowledge of feminist theory. {S} Credits: 4 "
