,School,CourseID,Descriptions
0,SouthwestBaptist,EAD 7123  The Superintendency  ,"Upon completion of these courses, student performance will be evaluated and final acceptance into the Ed.D. program will be determined.  Once the Ed.D. courses are complete, the student will be recommended for the advanced principal certificate and the superintendent certificate upon successful completion of the SSA.  "
1,SouthwestBaptist,EAD 7123 The Superintendency  ,"Upon completion of these courses, student performance will be evaluated and final acceptance into the Ed.D. program will be determined.  Once the Ed.D. courses are complete, the student will be recommended for the advanced principal certificate and the superintendent certificate upon successful completion of the SSA. "
2,SouthwestBaptist,AAD 5002.  Leadership Philosophy in Athletics - 2 hours  ,"The goal of this course is to provide the student with an understanding of issues of leadership and to examine applications of leadership principles to the college and high school athletic environment.  The course serves as an overview for interscholastic athletic administration and introduces the philosophy of athletic administration, then focuses on the roles of the NIAAA, the NFHS, the State Athletic/Activity Associations, and the State Athletic Administrator’s Associations.  The NIAAA Leadership Training and Certification Program LTC 501 will be part of this course.  Successful completion of the material will lead toward initial athletic administration certification.  "
3,SouthwestBaptist,AAD 5003.  Organization and Administration of Athletics - 3 hours ,"This course provides an overview of the theoretical foundations and applied areas in administration of athletic programs.  Topics to be covered include: human resources management, facility management, sport marketing, budgeting, fundraising, ethics, and the future of athletics administration.  The course is intended as a basic introduction into the principles of athletic administration.  Successful completion of the material will lead toward initial athletic administration certification. "
4,SouthwestBaptist,AAD 5012.  Public Relations in Athletics - 2 hours ,"This course examines the marketing process in interscholastic athletics.  Through the process, the student will study the theories, research, and development of sport marketing and public relations.  The course focus will be on the implementation of a sport marketing plan.  The course will also look at the communications and public relations activity as it pertains to sport organizations and emphasizes athletic promotion, fundraising, finance, economics, and marketing.   "
5,SouthwestBaptist,AAD 5022.  Facility and Game Management - 2 hours ,"This course focuses on the application of both theory and practice of planning and managing facilities and athletic events in interscholastic athletics.  Upon completion of the course, participants will be able to understand the complexities involved in managing various types of athletic facilities and in planning, production, and evaluation of athletic events.  Topics to be covered in this course include planning and design of athletic facilities, management of athletic facilities, housekeeping and maintenance, event planning, and production.  "
6,SouthwestBaptist,AAD 5023.  Legal Issues in Athletics - 3 hours ,"This course provides in-depth coverage of all aspects of liability for sports injuries and risk management, including the duties imposed on athletic administrators, coaches, athletic trainers, and other athletic personnel.  In addition, fundamentals of an effective risk management program and development of a strategic plan for risk management will be discussed.  This course will also include an extensive study of Title IX and gender equity in athletic programs.  Successful completion of the material will lead toward initial athletic administration certification.   "
7,SouthwestBaptist,AAD 5032.  Technology for Athletic Administration - 2 hours ,"This course introduces advanced features in Word, e-mail applications, EXCEL and PowerPoint to improve the quality and presentation of materials.  Additional areas covered are mail merge using Microsoft Word, and creating charts in Microsoft Excel, Mansker, and other athletic software, and web page development.  The course requires the student to interact with the software in the process of developing presentations and daily administrative reports.   "
8,SouthwestBaptist,AAD 5033.  Character Development in Coaching - 3 hours ,"Character-based educational athletic principles will be used to encourage improved communication between school boards, superintendents, principals, parents and boosters.  This character-based program will help support and embrace the values and views lived daily in the school setting by the student athletes, coaches, athletic department and school faculty.  This course will empower the athletic administrator to motivate the entire community by creating strategies to use in the school community.   "
9,SouthwestBaptist,AAD 5043.  Sports Psychology and Stress Management - 3 hours ,"This course introduces participants to managing human resources in interscholastic athletic organizations, such as athletic departments in middle and high schools.  Various aspects of managerial functions and human behavior in "
10,SouthwestBaptist,AAD 5033.  Diversity in Athletics - 3 hours  ,"This course is designed to provide an overview of current issues in athletics and to teach learners what diversity is and how it applies to sports in general and more specifically to gender, race, religion and various cultures.  This course will help learners understand the unique challenge for sports leaders to better understand diversity and through this understanding help all participants involved in athletic programs.   "
11,SouthwestBaptist,AAD 5063.  Finance & Fundraising in Athletics - 3 hours   ,"Examination of current fiscal challenges and concerns in athletics.  The knowledge and skill sets of this course serve as a foundation for administration of athletics at various levels.  Topics include financial pressures for sports leaders, fundraising practices, effective marketing, public relation campaigns, fiscal management, accountability and stewardship. Students exercise analytical thinking skills and develop a respect for financial stewardship for successful athletic administration. "
