,School,CourseID,Descriptions
0,TexasA&M,P ENGL 1301 (3 Cr) ,P English-Language & Composition 
1,TexasA&M,P ENGL 1302 (3 Cr) ,P English – Language & Composition 
2,TexasA&M,P FREN 1311 (3 Cr) ,P French-French Language & Culture 
3,TexasA&M,P FREN 1312 (3 Cr) ,P French-French Language & Culture 
4,TexasA&M,P PHYS 2326 (3 Cr) ,P Physics C: Electricity and Magnetism 
5,TexasA&M,P POLS 2301 (3 Cr) ,P United States Government & Politics 
6,TexasA&M,P HIST 1301 (3 Cr) ,P History of the United States I 
7,TexasA&M,P HIST 1302 (3 Cr) ,P History of the United States II 
8,TexasA&M,P SUB 301. MSC 133. Extension 2760. ,"P Javelina Camp is a high-intensity three-day experience designed specifically for incoming Freshmen. Students who participate in Javelina Camp will learn about the spirited traditions of TAMU-Kingsville, spend time in small “packs” centered on bonding and connecting with student in an interactive setting, participate in team competitions, reflect on their personal college goals and most importantly have fun with other future students. "
9,TexasA&M,P MSC 100. Extension 2400. ,"P The federal post office located in the Memorial Student Union provides complete postal service to all faculty, staff, students and general public. Services include selling stamps, money orders, self-stamped envelopes, renting post office boxes and mailing packages. Other services include express mail, priority, registered, certified, insured and delivery confirmation. Next to the federal post office is the campus post office, which is responsible for delivering and processing all departmental mail. Mail service is also provided to the residence halls. Service window hours are 8:30 a.m. to 4 p.m. Monday through Friday. Lobby hours are from 7 a.m. to 7 p.m., seven days a week. "
10,TexasA&M,P ENGL 1301 and ENGL 1302 ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Teamwork and Personal Responsibility "
11,TexasA&M,P PHIL 2303 ,"P Core Objectives: Critical Thinking Skills, Communication Skills and Empirical and Quantitative Skills "
12,TexasA&M,"P ANTH 2303,  ","P BIOL 1306, BIOL 1307, BIOL 2375, BIOL 2401*, BIOL 2402* "
13,TexasA&M,"P BIOL 1306, BIOL 1307, BIOL 2375, BIOL 2401*, BIOL 2402* ","P CHEM 1311, CHEM 1312, CHEM 1405* "
14,TexasA&M,"P CHEM 1311, CHEM 1312, CHEM 1405* ","P GEOG 1301, GEOG 1302, GEOG 2472* "
15,TexasA&M,"P GEOG 1301, GEOG 1302, GEOG 2472* ","P GEOL 1301, GEOL 1302, GEOL 1303, GEOL 1304 "
16,TexasA&M,"P GEOL 1301, GEOL 1302, GEOL 1303, GEOL 1304 ","P PHYS 1301, PHYS 1302, PHYS 1303, PHYS 1304, PHYS 1375, PHYS 1471*, PHYS 2325, PHYS 2326 "
17,TexasA&M,"P PHYS 1301, PHYS 1302, PHYS 1303, PHYS 1304, PHYS 1375, PHYS 1471*, PHYS 2325, PHYS 2326 ","P Core Objectives: Critical Thinking Skills, Communication Skills, Empirical and Quantitative Skills and Teamwork "
18,TexasA&M,"P ANTH 2302, ","P ENGL 2331, ENGL 2342, ENGL 2362 "
19,TexasA&M,"P ENGL 2331, ENGL 2342, ENGL 2362 ","P FREN 1311†, FREN 1312†, FREN 2311, FREN 2312 "
20,TexasA&M,P PHIL 1301 ,"P SPAN 1313†, SPAN 1314†, SPAN 1373, SPAN 2301, SPAN 2302, SPAN 2311, SPAN 2312 "
21,TexasA&M,P WGST 1301 ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Personal Responsibility and Social Responsibility "
22,TexasA&M,P COMM 2304 ,"P MUSI 1305, MUSI 2306, MUSI 2308, MUSI 2310, MUSI 2320 "
23,TexasA&M,P THEA 2310. ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Teamwork and Social Responsibility "
24,TexasA&M,P HIST 1301 and HIST 1302 ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Personal Responsibility and Social Responsibility "
25,TexasA&M,P POLS 2301 and POLS 2302 ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Personal Responsibility and Social Responsibility "
26,TexasA&M,P PSYC 2301 ,"P SOCI 1301, SOCI 1306, SOCI 2361 "
27,TexasA&M,"P SOCI 1301, SOCI 1306, SOCI 2361 ","P Core Objectives: Critical Thinking Skills, Communication Skills, Empirical and Quantitative Skills and Social Responsibility "
28,TexasA&M,P COMM 1307 ,"P COMS 1311, COMS 1315, COMS 1336, COMS 2374 "
29,TexasA&M,P ENGL 2374 ,"P Core Objectives: Critical Thinking Skills, Communication Skills, Teamwork and Personal Responsibility "
30,TexasA&M,"P ANTH 2301, ANTH 2302 ","P BIOL 1106, BIOL 1107, BIOL 2401 (1 hour*), BIOL 2402 (1 hour*) "
31,TexasA&M,"P BIOL 1106, BIOL 1107, BIOL 2401 (1 hour*), BIOL 2402 (1 hour*) ","P CHEM 1111, CHEM 1112, CHEM 1405 (1 hour*) "
32,TexasA&M,P EDKN 2335 ,"P ENGL 1171, ENGL 2314, ENGL 2331 "
33,TexasA&M,"P ENGL 1171, ENGL 2314, ENGL 2331 ","P GEOG 1101, GEOG 1102, GEOG 1303 "
34,TexasA&M,"P GEOG 1101, GEOG 1102, GEOG 1303 ","P GEOL 1101, GEOL 1102, GEOL 1103, GEOL 1104 "
35,TexasA&M,P ISYS 1301 ,"P MATH 2413 (1 hour*), MATH 2414 (1 hour*) "
36,TexasA&M,P PHIL 1301 ,"P PHYS 1101, PHYS 1102, PHYS 1103, PHYS 1104, PHYS 1471 (1 Hour*), PHYS 2125, PHYS 2126 "
37,TexasA&M,P SOCI 2361 ,"P Core Objectives: Critical Thinking, Communication Skills and one of the remaining Core Objectives "
38,TexasA&M,"P ARTS 3301, Digital Painting ","P ARTS 4355, Advanced Graphic Design "
