,School,CourseID,Descriptions
0,UniOfChicago,ARTH 10100 Introduction to Art 100 ARTH 14000 through ARTH 16999. Art Surveys 100 ARTH 17000 through ARTH 18999. Art in Context 100 ARTV 10100 Visual Language: On Images 100 ARTV 10200 Visual Language: On Objects 100 ARTV 10300 Visual Language: On Time and Space 100 ARTV 16210 Media Art and Design Practice 100 CMST 14400 Film and the Moving Image 100 CMST 14500 through CMST 14599. Topics in Cinema and Media Studies 100 CRWR 12100 through CRWR 12199. Introduction to Genres or Reading as a Writer 100 CRWR 18200 Poetry and the Human III 100 MUSI 10100 Introduction to Western Art Music 100 MUSI 10200 Introduction to World Music 100 MUSI 10300 Introduction to Music: Materials and Design 100 MUSI 10400 Introduction to Music: Analysis and Criticism 100 TAPS 10100 Drama: Embodiment and Transformation 100 TAPS 10200 Acting Fundamentals 100 TAPS 10300 through TAPS 10699. Text and Performance 100 TAPS 10700 Introduction to Stage Design 100 ,See the departmental pages under Programs of Study for information on specific course offerings planned for the 2018–19 academic year. 
1,UniOfChicago,BIOS 10130. Core Biology. 100 Units. ,"What is life? How does it work and evolve? This course uses student-centered interactive learning in the lab, assigned readings from both the popular press and primary scientific literature, and directed writing exercises to explore the nature and functions of living organisms, their interactions with each other, and their environment. Instructor(s): Staff Terms Offered: Autumn,Spring,Winter "
2,UniOfChicago,BIOS 11125. Life Through a Genomic Lens. 100 Units. ,"The implications of the double helical structure of DNA triggered a revolution in cell biology. More recently, the technology to sequence vast stretches of DNA has offered new vistas in fields ranging from human origins to the study of biodiversity. This course considers a set of these issues, including the impact of a DNA perspective on the legal system, on medicine, and on conservation biology. Instructor(s): A. Turkewitz, M. Nobrega Terms Offered: Winter Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. Equivalent Course(s): ENST 12402 "
3,UniOfChicago,BIOS 11140. Biotechnology for the 21st Century. 100 Units. ,"This course is designed to provide a stimulating introduction to the world of biotechnology. Starting with an overview of the basic concepts of molecular biology and genetics that serve as a foundation for biotechnology, the course will segue into the various applied fields of biotechnology. Topics will include microbial biotechnology, agricultural biotechnology, biofuels, cloning, bioremediation, medical biotechnology, DNA fingerprinting and forensics. The goal of this course is to provide the Biology non-majors with an appreciation of important biotechnology breakthroughs and the associated bioethics issues. Instructor(s): N. Bhasin Terms Offered: Autumn Winter Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
4,UniOfChicago,BIOS 12114. Nutritional Science. 100 Units. ,"This course examines the underlying biological mechanisms of nutrient utilization in humans and the scientific basis for setting human nutritional requirements. The relationships between food choices and human health are also explored. Students consider how to assess the validity of scientific research that provides the basis for advice about how to eat healthfully. Class assignments are designed to help students apply their knowledge by critiquing their nutritional lifestyle, nutritional health claims, and/or current nutrition policy issues. Instructor(s): P. Strieleman Terms Offered: Autumn,Spring,Summer Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. Note(s): Credit may not be earned for both BIOS 12114 and BIOS 10501 "
5,UniOfChicago,BIOS 12115. Responses of Cardiopulmonary System to Stress. 100 Units. ,"This course is designed to provide students an overview of basic concepts involved in the functioning of cardiopulmonary vascular systems. Special emphasis will be given to different regulatory mechanisms working at the cell, tissue and organ levels to control the systems functioning during stress conditions. We also discuss recent topics related to molecular basis of adaptation and drugs designed to treat mal-adaptive changes taking place in the heart and lungs (vessels) subjected to various-types of pathological stresses. Instructors, who are both actively engaged in research to understand molecular basis of cardiopulmonary vascular diseases, take this course beyond the knowledge of standard textbook content. Instructor(s): M. Gupta, Y. Fang Terms Offered: Spring Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
6,UniOfChicago,BIOS 12116. The Human Body in Health and Disease. 100 Units. ,"This course is designed to provide an overview of physiological organ systems under different states of health and disease. A comprehensive tour through the human body will take students through the anatomy and functioning of several systems including, but not limited to, the cardiovascular, respiratory, nervous, renal, gastrointestinal, and immune systems. We will examine each of these systems under normal conditions and from the perspective of disease. A variety of pathological conditions including diabetes, heart and kidney diseases, neurodegenerative conditions, and autoimmune diseases, will be covered with an emphasis on how many diseases involve multiple organ systems. Instructor(s): M. McNulty Terms Offered: Winter Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
7,UniOfChicago,BIOS 12117. The 3.5 Billion Year History of the Human Body. 100 Units. ,"This course looks at the structure, function, and deep history of the human body. Each major organ and system of the body is explored from perspectives of anatomy, paleontology, and developmental genetics to reveal the deep history of the body and our connections to the rest of life on the planet. Instructor(s): N. Shubin Terms Offered: Spring Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
8,UniOfChicago,BIOS 13111. Natural History of North American Deserts. 100 Units. ,"This lecture course focuses on the ecological communities of the Southwest, primarily on the four subdivisions of the North American Desert, the Chihuahuan, Sonoran, Mohave, and Great Basin Deserts. Lecture topics include climate change and the impact on the flora and fauna of the region; adaptations to arid landscapes; evolutionary, ecological, and conservation issues in the arid Southwest, especially relating to isolated mountain ranges; human impacts on the biota, land, and water; and how geological and climatic forces shape deserts. Instructor(s): E. Larsen Terms Offered: Spring Prerequisite(s): BIOS 10130. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
9,UniOfChicago,BIOS 13112. Natural History of North American Deserts; Field School. 100 Units. ,"This lecture/lab course is the same course as BIOS 13111, but includes a lab section preparatory to a two-week "
10,UniOfChicago,BIOS 10450. Pharmacological Perspectives in Cell and Molecular Biology. 100 Units. ,"This course introduces concepts related to the use, pharmacodynamic properties, manner in which drugs act at the molecular and/or cellular level, and their effects at the organismal level. Instructor(s): R. Zaragoza Terms Offered: Autumn Prerequisite(s): NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. This course MUST be followed by the second course in the sequence. "
11,UniOfChicago,BIOS 10451. Pharmacological Perspectives II. 100 Units. ,"Must new taken in sequence with BIOS 10450. The goal of this course is to learn the pharmacological principles by which drugs act, at the molecular and cellular level, to affect an organ/organ systems of the human body. The pharmacodynamics, pharmacokinetic, pharmacotherapeutics and toxicology of a number of drugs are discussed. Drugs currently in the media, how these drugs affect different systems ranging from cardiovascular to the central nervous system, and the fundamental basis for the use of drugs are covered. Instructor(s): R. Zaragoza Terms Offered: Winter Prerequisite(s): BIOS 10450. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
12,UniOfChicago,BIOS 10500. Metabolism and Exercise. 100 Units. ,"Must be taken in sequence with BIOS 10501. This course examines the flow of energy through the human body-from what we eat to what we can do. Basic physiology, metabolism, and exercise concepts are covered from cells to systems. Students should be prepared to alter their diet and/or physical activity. This course is intended to be followed by BIOS 10501 (Metabolism and Nutrition). Prerequisite(s): This course MUST be followed by the second course in the sequence. NO BIOLOGICAL SCIENCES MAJORS, except by petition. Instructor(s): J. Kennedy Terms Offered: Autumn Prerequisite(s): This course MUST be followed by the second course in the sequence. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
13,UniOfChicago,BIOS 10501. Metabolism and Nutrition. 100 Units. ,"Must be taken in sequence with BIOS 10500. Taking a scientific approach to nutrition, this course covers nutritional requirements and why they are required for human health by exploring their function at the cellular and molecular level. Basic physiology concepts related to nutritional health are covered, including digestive physiology and some aspects of endocrinology. As a continuation of the exercise concepts covered in BIOS 10501, the relationship between exercise and nutrition is considered. Students complete a dietary analysis of their food intake to critique their individual nutritional health. Instructor(s): P. Strieleman Terms Offered: Winter Prerequisite(s): BIOS 10500. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. Note(s): Credit may not be earned for both BIOS 10501 and BIOS 12114. "
14,UniOfChicago,BIOS 10602. Multiscale Modeling of Biological Systems I. 100 Units. ,"This two-sequence course is intended for students with strong quantitative background, such as those majoring in physical sciences or economics. Modern biology generates massive amounts of data; this course is devoted to biological information and the models and computational techniques used to make sense of it. The first course in the sequence begins with the organization of life at the molecular level, and builds a physical understanding to the structure of macromolecules such as DNA, RNA and proteins. Students learn about biological databases, algorithms for sequence alignment and phylogenetic tree building. Students will also be introduced to basics of high performance computation and its application to the field of bioinformatics. They will learn how to use our in-house supercomputer to process and analyze next generation gene sequencing data in order to identify disease-relevant variants. Students implement computational algorithms using R and Unix. Instructor(s): E. Haddadian Terms Offered: Autumn. L. Prerequisite(s): MATH 13300/15300/16300 or equivalent placement. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. This course MUST be followed by the second course in the sequence. "
15,UniOfChicago,BIOS 10603. Multiscale Modeling of Biological Systems II. 100 Units. ,"Must be taken in sequence with BIOS 10602. Major Advances in understanding how life works at the molecular level have revolutionized biology. The second course in the sequence is dedicated to the study of how large molecules, such as proteins, DNA, carbohydrates, and phospholipids, perform their functions. The course will begin with a solid grounding in molecular chemistry and the forces that govern interactions between atoms and molecules. This is followed by an overview of structure and function of macromolecules, in particular of proteins and enzymes. The students will learn how to visualize macromolecules and measure their basic properties and to model their physical movements by means of molecular dynamic simulations running at university's super computer facility. The course will then proceed to describe how interactions of these molecules produce functioning organelles and cells, and how molecular mishaps can lead to disease. Instructor(s): E. Haddadian Terms Offered: Winter. L. Prerequisite(s): BIOS 10602 or consent of instructor. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. "
16,UniOfChicago,CRES 24001-24002-24003. Colonizations I-II-III. ,"This sequence meets the general education requirement in civilization studies. This three-quarter sequence approaches the concept of civilization from an emphasis on cross-cultural/societal connection and exchange. We explore the dynamics of conquest, slavery, colonialism, and their reciprocal relationships with concepts such as resistance, freedom, and independence, with an eye toward understanding their interlocking role in the making of the modern world. "
17,UniOfChicago,CRES 24001. Colonizations I. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This three-quarter sequence approaches the concept of civilization from an emphasis on cross-cultural/societal connection and exchange. We explore the dynamics of conquest, slavery, colonialism, and their reciprocal relationships with concepts such as resistance, freedom, and independence, with an eye toward understanding their interlocking role in the making of the modern world. Themes of slavery, colonization, and the making of the Atlantic world are covered in the first quarter. Note(s): This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence. Terms Offered: Autumn Note(s): This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence. Equivalent Course(s): ANTH 24001, SOSC 24001, HIST 18301 "
18,UniOfChicago,CRES 24002. Colonizations II. 100 Units. ,"Modern European and Japanese colonialism in Asia and the Pacific is the theme of the second quarter. Terms Offered: Winter Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence. Equivalent Course(s): ANTH 24002, SOSC 24002, HIST 18302 "
19,UniOfChicago,CRES 24003. Colonizations III. 100 Units. ,"The third quarter considers the processes and consequences of decolonization both in the newly independent nations and the former colonial powers. Terms Offered: Spring Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence. Equivalent Course(s): HIST 18303, SOSC 24003, ANTH 24003, SALC 20702 "
20,UniOfChicago,CRES 24002. Colonizations II. 100 Units. ,"Modern European and Japanese colonialism in Asia and the Pacific is the theme of the second quarter. Terms Offered: Winter Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence. Equivalent Course(s): ANTH 24002, SOSC 24002, HIST 18302 "
21,UniOfChicago,CRES 24003. Colonizations III. 100 Units. ,"The third quarter considers the processes and consequences of decolonization both in the newly independent nations and the former colonial powers. Terms Offered: Spring Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence. Equivalent Course(s): HIST 18303, SOSC 24003, ANTH 24003, SALC 20702 "
22,UniOfChicago,EALC 10800-10900-11000. Introduction to the Civilizations of East Asia I-II-III. ,"This sequence meets the general education requirement in civilization studies. This is a sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present. "
23,UniOfChicago,EALC 10800. Intro To East Asian Civilization I. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This is a sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present. Instructor(s): G. Alitto Terms Offered: Autumn Summer Prerequisite(s): Open to undergraduates only; all students attend the MW lecture and register for one F discussion section. Note(s): Taking these courses in sequence is not required. Equivalent Course(s): HIST 15100, CRES 10800, SOSC 23500 "
24,UniOfChicago,EALC 10900. Intro to East Asian Civilization II. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This is a three-quarter sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present Instructor(s): J. Ketelaar Terms Offered: Summer Winter Prerequisite(s): Open to undergraduates only; all students attend the MW lecture and register for one F discussion section. Note(s): Taking these courses in sequence is not required. Equivalent Course(s): HIST 15200, CRES 10900, SOSC 23600 "
25,UniOfChicago,EALC 11000. Intro to East Asian Civilization III. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This is a sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present. Instructor(s): K. H. Choi Terms Offered: Spring Prerequisite(s): Open to undergraduates only; all students attend the MW lecture and register for one F discussion section. Note(s): Taking these courses in sequence is not required. Equivalent Course(s): HIST 15300, CRES 11000, SOSC 23700 "
26,UniOfChicago,EALC 10900. Intro to East Asian Civilization II. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This is a three-quarter sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present Instructor(s): J. Ketelaar Terms Offered: Summer Winter Prerequisite(s): Open to undergraduates only; all students attend the MW lecture and register for one F discussion section. Note(s): Taking these courses in sequence is not required. Equivalent Course(s): HIST 15200, CRES 10900, SOSC 23600 "
27,UniOfChicago,EALC 11000. Intro to East Asian Civilization III. 100 Units. ,"This sequence meets the general education requirement in civilization studies. This is a sequence on the civilizations of China, Japan, and Korea, with emphasis on major transformation in these cultures and societies from the Middle Ages to the present. Instructor(s): K. H. Choi Terms Offered: Spring Prerequisite(s): Open to undergraduates only; all students attend the MW lecture and register for one F discussion section. Note(s): Taking these courses in sequence is not required. Equivalent Course(s): HIST 15300, CRES 11000, SOSC 23700 "
28,UniOfChicago,GNSE 15002-15003. Gender and Sexuality in World Civilizations I-II. ,"This two-quarter sequence aims to expand students’ exposure to an array of texts—theoretical, historical, religious, literary, visual—that address the fundamental place of gender and sexuality in the social, political, and cultural creations of different civilizations. This sequence meets the general education requirement in civilization studies. "
