,School,CourseID,Descriptions
0,UniofTexasSUPERTRIMMED,BDP 306. Fundamentals of Ethical Leadership. ,"Restricted to freshmen and sophomores, and to students in the Bridging Disciplines Programs. Discussion of various contemporary issues related to ethical leadership, with an emphasis on interdisciplinary perspectives and critical discourse. Three lecture hours a week for one semester. Offered on the letter-grade basis only. "
1,UniofTexasSUPERTRIMMED,BDP 306C. Principles of Business. ,"Restricted to nonbusiness students. Interdisciplinary examination of how businesses function in the Western world. Discusses the development of the corporation in the United States, ethical issues, and the primary areas of business. Three lecture hours a week for one semester. Bridging Disciplines 301 (Topic: Principles of Business) and 306C may not both be counted. Offered on the letter-grade basis only. "
2,UniofTexasSUPERTRIMMED,"BDP 111, 211, 311. Connecting Internship Experience. ","Restricted to students in the Bridging Disciplines Programs. Supervised internship experience related to the interdisciplinary themes of a Bridging Disciplines Program. Internships may be paid or unpaid, and may include work with nonproﬁt agencies, government ofﬁces, or private corporations. For 111, three hours of ﬁeldwork a week for one semester; for 211, six hours of ﬁeldwork a week for one semester; for 311, ten hours of ﬁeldwork a week for one semester. With consent of the Bridging Disciplines research coordinator, may be repeated once for credit. Prerequisite: Consent of the Bridging Disciplines research coordinator. "
3,UniofTexasSUPERTRIMMED,"BDP 119, 219, 319. Specialized Forum Seminar Series. ","Restricted to freshmen and sophomores. Discussion of various contemporary issues, with an emphasis on multidisciplinary perspectives and critical discourse. For 119, two lecture hours a week for eight weeks or one lecture hour a week for one semester; for 219, two lecture hours a week for one semester; for 319, three lecture hours a week for one semester; additional hours may be required for some topics. May be repeated for credit when the topics vary. Prerequisite: Varies with the topic. "
4,UniofTexasSUPERTRIMMED,BDP 319D. Introduction to Digital Media Production. ,"Introduction to digital media production, including the fundamentals of software programs used for digital design, web production, animation, and other functions. Three lecture hours a week for one semester. Bridging Disciplines 319 (Topic: Introduction to Digital Media Production) and 319D may not both be counted. Upper-Division Courses BDP 120K, 220K, 320K. Connecting Research Experience. Restricted to students in the Bridging Disciplines Programs. For each semester hour of credit earned, the equivalent of one lecture hour a week for one semester. May be repeated for credit. "
5,UniofTexasSUPERTRIMMED,BDP 320L. Connecting Research Experience. ,"Restricted to students in the Bridging Disciplines Programs. Supervised research with a faculty member, related to the interdisciplinary themes "
6,UniofTexasSUPERTRIMMED,BDP 320M. Connecting Research Experience: Service Learning. ,"Restricted to students in the Bridging Disciplines Programs. Supervised research with a faculty member, related to the interdisciplinary themes of a Bridging Disciplines Program and including an academic service-learning component. Research may consist of an individual project involving service to the community or assisting a faculty research project with a community service component. Individual instruction. May be repeated for credit. Prerequisite: Upper-division standing and consent of the Bridging Disciplines Programs. "
7,UniofTexasSUPERTRIMMED,BDP 321M. Connecting Internship Experience: Service Learning. ,"Restricted to students in the Bridging Disciplines Programs. Supervised internship experience related to the interdisciplinary themes of a Bridging Disciplines Program and including an academic service-learning component. Internships must be unpaid and may include work with nonproﬁt organizations or other organized community service entities. Ten hours of ﬁeldwork a week for one semester. With consent of the Bridging Disciplines Research Programs, may be repeated once for credit. Prerequisite: Upper-division standing and consent of the Bridging Disciplines research coordinator. "
8,UniofTexasSUPERTRIMMED,BDP 322K. Team-Based Research Experience. ,"Collaborative or team-based research or creative project, under the supervision of a faculty member. Topics are related to the interdisciplinary themes of the Bridging Disciplines Programs. Individual instruction. May be repeated for credit when the topics vary. Prerequisite: Upper-division standing and consent of the Bridging Disciplines Programs; additional prerequisites may vary with the topic. "
9,UniofTexasSUPERTRIMMED,"BDP 125K, 225K, 325K. Connecting Internship Experience. ","Restricted to students in the Bridging Disciplines Programs. Supervised internship experience related to the interdisciplinary themes of a Bridging Disciplines Program. For 125K, three hours of ﬁeldwork a week for one semester; for 225K, six hours of ﬁeldwork a week for one semester; for 325K, ten hours of ﬁeldwork a week for one semester. May be repeated for credit. Prerequisite: Consent of the Bridging Disciplines Programs. "
