,School,CourseID,Descriptions
0,UniversityofWestGeorgia,MATH 1111 College Algebra  ,A student who is placed into MATH 1413 on the basis of the Math-SAT score and earns a grade of C or higher on the first attempt will be awarded credit for MATH 1111 (3 credit hours). 
1,UniversityofWestGeorgia,MATH 1113 Precalculus  ,A student who is placed into MATH 1634 on the basis of the Math-SAT score and earns a grade of C or higher on the first attempt will be awarded credit for MATH 1113 (4 credit hours). 
2,UniversityofWestGeorgia,ACCT 2101 - Principles of Accounting I ,(3 /0/ 3) A study of the underlying theory and application of financial accounting concepts. Requires overall GPA of 2.0. 
3,UniversityofWestGeorgia,ACCT 2102 - Principles of Accounting II ,(3 /0/ 3) Prerequisite: ACCT 2101  A study of underlying theory and application of managerial accounting concepts. Requires overall GPA of 2.0. 
4,UniversityofWestGeorgia,ACCT 3212 - Financial Reporting I ,"(3 /0/ 3) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C and (GPA2 2.00 and COBM 1) An in-depth study of the accounting and reporting processes and accounting theory together with current problems in reporting financial position and determining income. Includes study of valuation problems involving current assets; and property, plant, and equipment. "
5,UniversityofWestGeorgia,ACCT 3213 - Financial Reporting II ,"(3 /0/ 3) Prerequisite: ACCT 3212 with a minimum grade of C and (GPA2 2.00 and COBM 1) A continuation of ACCT 3212 with emphasis on the measurement and reporting of intangibles, liabilities, corporate capital, investments, and cash flows. "
6,UniversityofWestGeorgia,ACCT 3214 - Financial Reporting III ,"(3 /0/ 3) Prerequisite: ACCT 3212 with a minimum grade of C A continuation of ACCT 3213 with emphasis on specific measurement and reporting problems including taxes, pensions, leases, accounting changes, disclosure issues, income recognition issues, partnerships, and foreign currency transactions. "
7,UniversityofWestGeorgia,ACCT 3232 - Managerial Accounting ,"(3 /0/ 3) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C Cost Accounting principles and techniques applied to job order and process types of industry, planning, and control of the elements of production costs, and preparation of cost reports. Includes an introduction to standard costing concepts and variance analysis. Use of cost information for business policy implementation and cost topics. "
8,UniversityofWestGeorgia,ACCT 3241 - Fraud Examination ,"(3 /0/ 3) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C A survey of how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. The increase level of complexity and the heightened awareness of frauds makes the ability to detect and address fraud in businesses a critical skill for accountants, auditors, managers, and investigators. The inter-disciplinary nature of the course makes it appropriate and useful for both accounting and non-accounting majors. "
9,UniversityofWestGeorgia,ACCT 3251 - Income Tax Accounting for Individuals ,"(3 /0/ 3) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C and (GPA2 2.00 and COBM 1) A study of the Internal Revenue Code as it relates to individuals. Updated each offering to in-corporate new tax laws, regulations, and rulings in print. "
10,UniversityofWestGeorgia,ACCT 3285 - Professional Seminar ,"(1 /0/ 1) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C Students attend 14 presentations by: UWG Career Services; international, regional and local public accounting firms; nonprofit and governmental public accounting firms; corporate accountants; professional accounting organizations (IMA, GSCPAs, others); accounting educators; and professional examination review services. A professional resume must be prepared. This seminar is an Accounting BBA degree requirement. "
11,UniversityofWestGeorgia,ACCT 4202 - Financial Statement Analysis ,(3 /0/ 3) Prerequisite: ACCT 2102  A study of the use of financial statements and managerial reports by managers and investors in decision making for day to day operations and long range planning. 
12,UniversityofWestGeorgia,ACCT 4215 - Financial Reporting IV ,(3 /0/ 3) Prerequisite: ACCT 3212 with a minimum grade of C A study of consolidated financial statements and nonprofit accounting. 
13,UniversityofWestGeorgia,ACCT 4233 - Strategic Cost Management ,(3 /0/ 3) Prerequisite: ACCT 2101  The study of contemporary management control tools and business strategy. 
14,UniversityofWestGeorgia,ACCT 4241 - Accounting Information Systems ,"(3 /0/ 3) Prerequisite: ACCT 2101 with a minimum grade of C and ACCT 2102 with a minimum grade of C A specialized in-depth accounting course which addresses documentation of accounting systems, including flowcharts; evaluation of internal control and the audit trail; impact of computers on internal control; and design of accounting systems. "
15,UniversityofWestGeorgia,ACCT 4252 - Income Tax Accounting for Organizations ,"(3 /0/ 3) Prerequisite: ACCT 3251  A study of the Internal Revenue Code as it relates to corporate, partnership, and fiduciary tax. The legal and tax aspects considered in selecting an organization form. "
16,UniversityofWestGeorgia,ACCT 4261 - Auditing ,"(3 /0/ 3) Prerequisite: ACCT 3213 and ACCT 4241  The course is designed to give the student an understanding of auditing objectives and standards, and a working knowledge of auditing procedures and techniques. Standards, ethics, and legal responsibilities of the public accounting profession, as well as preparation of audit reports are emphasized. "
17,UniversityofWestGeorgia,"ACCT 4262 - Assurance Services, Fraud and Ethics ","(3 /0/ 3) Prerequisite: ACCT 4261  A study of assurance and advisory services, business risk assessment, new audit methodologies, fraud detection, ethics, and other contemporary auditing issues. "
