,School,CourseID,Descriptions
0,WilliamJewell,CTI 150	Identity and Society (2),"Normally, a student must complete the four CTI courses in Level I before beginning the first Level II course. Students must seek permission from the Associate Dean to co-enroll in Level I CTI and Level II CTI courses."
1,WilliamJewell,CTI 100 The Responsible Self	(4 cr. hrs.),"This is a humanities based, introductory course required of all students in their first year of study at the College. The organizing questions of the course are those of epistemology, ontology and ethics: What can we know? What is real? How should we live? Students will wrestle with these questions from several distinct cultural and ideological perspectives. (A text-based course including literature and primary texts in religion and philosophy)"
2,WilliamJewell,CTI 102 Written Communication	(4 cr. hrs.),"Develops student skills in academic writing, including research skills and critical use of sources in argumentation. Through writing and revising, students explore the role of audience and context in shaping written communication, and learn to demonstrate logical reasoning, adequate factual support, clarity and appropriate language choices."
3,WilliamJewell,CTI 103 College Algebra 	(4 cr. hrs.),"This course develops the foundational skills of mathematics and their applications. Topics include functions, inverses and graphs; polynomial, rational, radical, exponential and logarithmic functions; systems of equations; applications."
4,WilliamJewell,CTI 105 Math for the Liberal Arts 	(4 cr. hrs.),"This course helps students learn how to apply fundamental mathematical techniques (which includes algebraic and statistical techniques) and abstract concepts to practical, real-life situations. Topics will include finite mathematics, statistics and other selected topics that may include: voting theory; apportionment; graph theory; circuits and networking; population models; geometry and fractals; and probability theory."
5,WilliamJewell,CTI 107 Precalculus 	(4 cr. hrs.),"This course provides an in-depth study of college algebra and trigonometry to prepare students for calculus. Topics include functions, inverse functions, polynomial and rational functions, trigonometric functions, exponential and logarithmic functions, graphs of functions and applications, with emphasis on the concepts and skills central to calculus. Prerequisite: Placement in CTI 107 via the William Jewell College mathematics placement exam. Students who have successfully completed CTI 107 will not be permitted to count credit earned subsequently in CTI 103 or 105 toward graduation."
6,WilliamJewell,CTI 109 Calculus I 	(4 cr. hrs.),"This course is designed for students majoring or minoring in the mathematical and physical sciences. It will cover the following topics of differential and integral calculus: limits; continuity; the derivative and applications; extrema; the definite integral; the fundamental theorem of calculus; L’Hôpital’s rule; the method of substitution. Pre-requisite: CTI 107 or high school courses covering equivalent material and a passing score on the mathematics placement exam. Students who have successfully completed CTI 109 will not be permitted to count credit earned subsequently in CTI 103, 105 or 107 toward graduation."
7,WilliamJewell,CTI 120 Advanced Written Communication 	(4 cr. hrs.),Advanced expository writing is for students with superior writing skills. The course stresses development of the student’s voice as a writer through study of literary texts from several cultural or ideological perspectives and practice in various expository genres. Students may not count credit for both CTI 102 and CTI 120 toward graduation. Prerequisite: A score of 28 or higher on the English section of the ACT test.
8,WilliamJewell,CTI 150 Identity and Society	(2 cr. hrs.),"An introductory course in how to interact with others through the creation and perception of personal identities. Students will reflect on how they enact their own ideological, cultural and contextual assumptions regarding their relational perceptions of self and others, while learning how to engage in constructive, authentic communication."
9,WilliamJewell,CTI 200 United States Pluralism 	(4 cr. hrs.),"This course provides an examination of racial, ethnic, gender and other types of diversity in American society with the aim of increasing understanding of American pluralism and culture. Through significant written and oral exercises students will evaluate these topics in works of history, ethnography, sociology, autobiography, literature and film. (Interdisciplinary humanities course)"
