,School,CourseID,Descriptions
0,WilliamJewellSUPERTRIMMED,CTI 100 The Responsible Self	(4 cr. hrs.),"This is a humanities based, introductory course required of all students in their first year of study at the College. The organizing questions of the course are those of epistemology, ontology and ethics: What can we know? What is real? How should we live? Students will wrestle with these questions from several distinct cultural and ideological perspectives. (A text-based course including literature and primary texts in religion and philosophy)"
1,WilliamJewellSUPERTRIMMED,CTI 102 Written Communication	(4 cr. hrs.),"Develops student skills in academic writing, including research skills and critical use of sources in argumentation. Through writing and revising, students explore the role of audience and context in shaping written communication, and learn to demonstrate logical reasoning, adequate factual support, clarity and appropriate language choices."
2,WilliamJewellSUPERTRIMMED,CTI 103 College Algebra 	(4 cr. hrs.),"This course develops the foundational skills of mathematics and their applications. Topics include functions, inverses and graphs; polynomial, rational, radical, exponential and logarithmic functions; systems of equations; applications."
3,WilliamJewellSUPERTRIMMED,CTI 105 Math for the Liberal Arts 	(4 cr. hrs.),"This course helps students learn how to apply fundamental mathematical techniques (which includes algebraic and statistical techniques) and abstract concepts to practical, real-life situations. Topics will include finite mathematics, statistics and other selected topics that may include: voting theory; apportionment; graph theory; circuits and networking; population models; geometry and fractals; and probability theory."
4,WilliamJewellSUPERTRIMMED,CTI 107 Precalculus 	(4 cr. hrs.),"This course provides an in-depth study of college algebra and trigonometry to prepare students for calculus. Topics include functions, inverse functions, polynomial and rational functions, trigonometric functions, exponential and logarithmic functions, graphs of functions and applications, with emphasis on the concepts and skills central to calculus. Prerequisite: Placement in CTI 107 via the William Jewell College mathematics placement exam. Students who have successfully completed CTI 107 will not be permitted to count credit earned subsequently in CTI 103 or 105 toward graduation."
5,WilliamJewellSUPERTRIMMED,CTI 109 Calculus I 	(4 cr. hrs.),"This course is designed for students majoring or minoring in the mathematical and physical sciences. It will cover the following topics of differential and integral calculus: limits; continuity; the derivative and applications; extrema; the definite integral; the fundamental theorem of calculus; L’Hôpital’s rule; the method of substitution. Pre-requisite: CTI 107 or high school courses covering equivalent material and a passing score on the mathematics placement exam. Students who have successfully completed CTI 109 will not be permitted to count credit earned subsequently in CTI 103, 105 or 107 toward graduation."
6,WilliamJewellSUPERTRIMMED,CTI 120 Advanced Written Communication 	(4 cr. hrs.),Advanced expository writing is for students with superior writing skills. The course stresses development of the student’s voice as a writer through study of literary texts from several cultural or ideological perspectives and practice in various expository genres. Students may not count credit for both CTI 102 and CTI 120 toward graduation. Prerequisite: A score of 28 or higher on the English section of the ACT test.
7,WilliamJewellSUPERTRIMMED,CTI 150 Identity and Society	(2 cr. hrs.),"An introductory course in how to interact with others through the creation and perception of personal identities. Students will reflect on how they enact their own ideological, cultural and contextual assumptions regarding their relational perceptions of self and others, while learning how to engage in constructive, authentic communication."
8,WilliamJewellSUPERTRIMMED,CTI 200 United States Pluralism 	(4 cr. hrs.),"This course provides an examination of racial, ethnic, gender and other types of diversity in American society with the aim of increasing understanding of American pluralism and culture. Through significant written and oral exercises students will evaluate these topics in works of history, ethnography, sociology, autobiography, literature and film. (Interdisciplinary humanities course)"
9,WilliamJewellSUPERTRIMMED,"CTI 201 Divas, Death and Dementia","on the Operatic Stage	 (4 cr. hrs.)This course offers an introduction to the ways in which gender roles, the act of dying and madness have determined and influenced operatic discourse from about 1600 to the present. Chiefly through aural and visual experiences, as well as longer written projects, students will evaluate how these traditions have both accommodated and forced men and women into a variety of social and cultural roles. (Interdisciplinary humanities course)"
10,WilliamJewellSUPERTRIMMED,CTI 202 Performance Studies	(4 cr. hrs.),"This course trains students to read aloud a printed work in such a way that they effectively communicate to their audience the meanings and the rich complexities of the text at hand. On the premise that each academic discipline is like a subculture, students will research and analyze in writing the disciplinary cultures and methodologies their chosen text will represent in performance. Students also will analyze the conversations between cultures presented in texts and their own cultures. (Interdisciplinary humanities course) "
11,WilliamJewellSUPERTRIMMED,CTI 204 Cultural Values and Visual Art 	(4 cr. hrs.),"This course is an introduction to the study of visual imagery as a medium through which core cultural values find expression. Through class discussion, essay examinations and an extended research paper, students will demonstrate a clear grasp of the fundamental beliefs and values of several different worldviews. (Interdisciplinary humanities course)"
12,WilliamJewellSUPERTRIMMED,CTI 205 La Doulce France 	(4 cr. hrs.),"A broad perspective on France including geography, history (particularly from the 17th Century to the present), literature (in translation), art, music, government and implicit culture designed to lead students to an appreciation of French culture. Attention will be drawn to French contributions to the United States and to cultural comparisons. (Interdisciplinary humanities course)"
13,WilliamJewellSUPERTRIMMED,CTI 206 The Latina/o Experience	(4 cr. hrs.),"This course will trace the history of the Latina/Latino presence in the United States from the period of Spanish colonization, through the Mexican- American war and up to the present. The student will examine writings in the disciplines of history, literature and sociology in order to gain an understanding of the current and historical issues in the Latina/o community. The major questions addressed will be those of identity and the struggle for place, recognition and justice in the society at large. (Interdisciplinary humanities course)"
14,WilliamJewellSUPERTRIMMED,CTI 207 The Harriman-Jewell Series	 (4 cr. hrs.),"This course is a study that puts the events of the Harriman-Jewell Series into the context of the curriculum: the experiences of the performances are the subject, and readings and class sessions will provide enhancement background for them. The interdisciplinary features of the course include observation and listening to musical and dance performances, study of performance traditions, biographical study and cultural and performance history. (Interdisciplinary humanities course)"
15,WilliamJewellSUPERTRIMMED,CTI 208 Women Writers of World Literature 	(4 cr. hrs.),"An introduction to women’s literature (literature by women about women), specifically to the novel of the twentieth century, from various world perspectives. The history, geography and culture (including such topics as religion, social norms, economy, racial and ethnic concerns and political events) of specific countries and regions of the world will add to a greater understanding of women’s experience of these novels and their search for identity, fulfillment and self-expression. Brief discussion of theory concerning women’s writing will add to the students’ appreciation of the act of writing as a mode of self-expression and self-exploration as well as an act of communication. (Interdisciplinary humanities course)"
16,WilliamJewellSUPERTRIMMED,CTI 210 Film Worlds 	(4 cr. hrs.),"This course uses films as texts in order to explore the social, historical and cultural contexts the films depict. Interdisciplinarity is sought in the methods roughly analogous to those used in literary and historical investigation. The course will introduce students to new ways of seeing; they will watch a film against a complex matrix of interdisciplinarity that will confront their own cultural assumptions. Any particular focus of the course during a particular semester will be indicated in the class schedule. (Interdisciplinary humanities course)"
17,WilliamJewellSUPERTRIMMED,"CTI 214 Bioethics, Ethical Traditions,","and the Variety of Health Care Choices 	(4 cr. hrs.)Students will compare ethical judgments that are framed by Western bioethics with those framed by global ethics and other cultural and moral traditions. Students will critically appraise healthcare practices through case studies that illustrate selected life transitions, and challenges in healthcare management and public health. This course draws upon philosophy, anthropology and nursing/healthcare disciplines. (Interdisciplinary humanities course)"
