,School,CourseID,Descriptions
0,WilliamwoodsSUPERTRIMMED,ACC  200                           Introductory Project                                                                                                                                   ,Special one-semester classes with varying subject matter.  The topic of the course will be announced in the schedule of classes.  May be taken three times for credit with change of topic. 
1,WilliamwoodsSUPERTRIMMED,ACC  240                           Principles of Accounting I                                                                                                                             ,"An introduction to the principles underlying accounting information. The course will focus on the role that accounting information plays in planning, evaluating, and recording operating activities of businesses. An introduction to financial statements is also included.  In this course students will summarize financial data and construct basic financial statements using various software tools such as Excel and QuickBooks. "
2,WilliamwoodsSUPERTRIMMED,ACC  241                           Principles of Accounting II                                                                                                                            ,This course extends the concepts of ACC 240 Methods for evaluating management decisions will be included through the study of financial statement analysis.  Students will be able to interpret the financial position of a company based on their organization of the financial data that is compiles using various software tools such as Excel and QuickBooks.    Prerequisite: ACC 240 
3,WilliamwoodsSUPERTRIMMED,ACC  300                           Independent Study                                                                                                                                      ,Individually directed study on a topic not covered by regular course offerings.   Requires permission of the instructor and division chair. 
4,WilliamwoodsSUPERTRIMMED,ACC  312                           Intermediate Accounting I                                                                                                                              ,"This course is a study of the nature, content, and interpretation of corporate financial statements. Students will learn to use accounting concepts and principles to solve non-routine financial issues.    Prerequisites: ACC 240 and ACC 241 "
5,WilliamwoodsSUPERTRIMMED,ACC  319                           Taxation for Entreprenuers                                                                                                                             ,"Students will compare the history, law and structure of sales, payroll and income taxes affecting taxable entities such as individuals and small business owners.  Preparation of accurate federal payroll forms and income tax returns will be required citing appropriate tax authorities for controversial issues that arise. "
6,WilliamwoodsSUPERTRIMMED,ACC  321                           Accounting for Payroll                                                                                                                                 ,"This course focuses on the payroll, federal and state, laws and regulations. Procedures for preparing and accounting for payroll are examined in detail. The following topics will be investigated at length: Employee Earnings Records, Gross Earnings, Payroll Deductions, Payroll Register, Federal and State Payroll Tax Returns, and Accounting for Payroll.  Pre-requisites: ACC240 & ACC241 "
7,WilliamwoodsSUPERTRIMMED,ACC  322                           Intermediate Accounting II                                                                                                                             ,"The characteristics and accounting requirements of non-current corporate items, including investments, plant and equipment, intangible assets, and long-term indebtedness; further analysis of corporate capital with special attention to paid-in capital and retained earnings. Students will use accounting principles and concepts to solve non-routine financial issues.  Prerequisite: ACC 312 "
8,WilliamwoodsSUPERTRIMMED,ACC  343                           Cost and Managerial Accounting                                                                                                                         ,"An examination of basic cost accounting concepts including job order costing, process costing, and standard costing. Emphasis is placed upon the managerial implications of decisions as they relate to cost analysis, planning, budgeting, and control. Students will be asked to formulate financial ramifications of various options available to managers when investigating solutions.  Prerequisite: ACC 241 "
9,WilliamwoodsSUPERTRIMMED,ACC  400                           Advanced Projects                                                                                                                                      ,Special one-semester classes and seminars with varying subject matter designed for majors at the junior and senior level.  The topic will be announced in the schedule of classes.  May be taken three times for credit with change of topic.  Requires permission of the instructor and the division chair. 
10,WilliamwoodsSUPERTRIMMED,ACC  401                           ACC Internship I                                                                                                                                       ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
11,WilliamwoodsSUPERTRIMMED,ACC  402                           ACC Internship II                                                                                                                                      ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
12,WilliamwoodsSUPERTRIMMED,ACC  403                           ACC Internship III                                                                                                                                     ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
13,WilliamwoodsSUPERTRIMMED,ACC  404                           ACC Internship IV                                                                                                                                      ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
14,WilliamwoodsSUPERTRIMMED,ACC  405                           ACC Internship V                                                                                                                                       ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
15,WilliamwoodsSUPERTRIMMED,ACC  406                           ACC Internship VI                                                                                                                                      ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
16,WilliamwoodsSUPERTRIMMED,ACC  407                           ACC Internship VII                                                                                                                                     ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
17,WilliamwoodsSUPERTRIMMED,ACC  408                           ACC Internship VIII                                                                                                                                    ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
18,WilliamwoodsSUPERTRIMMED,ACC  409                           ACC Internship IX                                                                                                                                      ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
19,WilliamwoodsSUPERTRIMMED,ACC  410                           ACC Internship X                                                                                                                                       ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
20,WilliamwoodsSUPERTRIMMED,ACC  411                           ACC Intership XI                                                                                                                                       ,"Internships provide students with the opportunity for hands-on application of the theories and applications they have learned in the classroom.  For each credit hour obtained in the internship, the student is required to work 40 hours in an approved organization.  A 2 credit hour internship = 80 hours, 3 credit hours = 120 hours, etc.   Prerequisite: Approval of the division chair and 2.5 or higher GPA in the major "
21,WilliamwoodsSUPERTRIMMED,ACC  412                           Advanced Productivity Tools                                                                                                                            ,"Student will learn advanced skills involving the applications of spreadsheets, databases and word processors. Students will be exposed to PivotTables, Vlookup, Match & Index functions, Goal Seeker and Solver, PMT function, data tables, SQL queries, Macros, Sorting, forms, linked objects and more  Prerequisite: MIS125 & ACC 240 "
