,School,CourseID,Descriptions
0,YoungstownSUPERTRIMMED,COUN 1587 Introduction to Health and Wellness in Contemporary Society 3s.h.,"Provides an introduction to the wellness model integrating physical, mental,and emotional well-being. Using current research, students explore decision-making models examining ethical, theoretical, multicultural, and practicalconcerns in developing their own wellness strategies.
"
1,YoungstownSUPERTRIMMED,COUN 1588 Exploring Leadership: Theory and Practice 3 s.h.,"Introduction to the study of leadership through theoretical and practicalapplications. Through group interaction, discussions, and change projects,students will develop their leadership knowledge while acquiring skills to solveleadership challenges within diverse organizations. The course will providestudents with intellectual and interpersonal opportunities to practice theprocess of becoming effective leaders.
"
2,YoungstownSUPERTRIMMED,COUN 1589 Success in Career and Life Planning 3 s.h.,"The course will facilitate the development of career and life planning skills.This course is designed for, but not restricted to, entering and undeclaredstudents. This course will emphasize identifying strengths, clarifying values,exploring career options, developing effective decision-making skills, andlearning life skills related to health, finances, relationships, and communityresponsibility.
"
3,YoungstownSUPERTRIMMED,COUN 2650 Foundations of Helping Skills for Allied Health Professionals 3s.h.,"Skill development in learning how to foster helping relationships and increasecommunication skills with individual, family, or group-related patient needs in ahealth care setting. Emphasis on ethical, cultural, socioeconomic, and specialneeds in allied health care settings. Includes an experiential skill video trainingcomponent.
"
4,YoungstownSUPERTRIMMED,COUN 2651 Foundations of Helping Skills for Human Ecology Professionals 2s.h.,"The course will facilitate the development of helping skills with individual,family and/or groups. Emphasis is on ethical, cultural, socioeconomic, andspecial needs in human service settings. Courses will include overview ofcounseling skills and theories that will assist students to address client careneeds.
"
5,YoungstownSUPERTRIMMED,COUN 5821 Seminar in Guidance and Counseling 1-3 s.h.,"Study of selected topics chosen by staff, e.g. career guidance, counselingprocess, and other contemporary issues in school personnel work.
"
6,YoungstownSUPERTRIMMED,COUN 5822 Seminar in Guidance and Counseling 1-3 s.h.,"Study of selected topics chosen by staff, e.g. career guidance, counselingprocess, and other contemporary issues in school personnel work.
"
7,YoungstownSUPERTRIMMED,COUN 5823 Career Education and Career Guidance 2 s.h.,"Study of public school career education and career guidance programs; thecareer education continuum, legislation relating to vocational programs,historical development, and principles of vocational education and vocationalguidance. Also a survey of economic services: distributive education, humanresources, programs, and placement.
"
8,YoungstownSUPERTRIMMED,COUN 5825 Group Processes in the School 2 s.h.,"An introduction to group activities applicable to the needs of students in theschool setting. Includes the study of group processes and group dynamics forsocial and personal problem solving as well as in the general area of individualand group behavior. Also a study of programs that provide for counselor-teacher cooperation in the development of groups in the classroom.
"
9,YoungstownSUPERTRIMMED,COUN 5879 Talented Students and Their Families 3 s.h.,"A study of consulting and referral practices related to the developmental,social and personal difficulties often experienced by gifted/talented studentsand their families. Includes a field study component.
"
