,School,CourseID,Descriptions
0,framingham,P ARTS 110 Introduction to Drawing ARTS 111 Introduction to Sculpture ARTS 120 Introduction to Painting ,"P ARTS 140 Introduction to Graphic Design ARTS 167 Introduction to Studio Art ARTS 241 Ceramics  ARTS 290 Study Tour: Art & Architecture COMM 107 Effective Speaking COMM 208 Basic Photography COMM 214 Introduction to Acting COMM 226 Writing for Visual Media COMM 262 Television Studio Production COMM 280 Introduction to Film Production CSCI 108 HTML, JavaScript Programming, and Web Site Development CSCI 140 Introduction to the Internet, Graphics, and Multimedia ENGL 282 Creative Writing ENGL 284 Writing Fiction and Creative Nonfiction INTD 160 Image, Sound, and Structure: An Approach to Art and Music MUSC 106 University Choral Performance II MUSC 111 Introduction to Electroacoustic Music Composition "
1,framingham,"P ARTS 140 Introduction to Graphic Design ARTS 167 Introduction to Studio Art ARTS 241 Ceramics  ARTS 290 Study Tour: Art & Architecture COMM 107 Effective Speaking COMM 208 Basic Photography COMM 214 Introduction to Acting COMM 226 Writing for Visual Media COMM 262 Television Studio Production COMM 280 Introduction to Film Production CSCI 108 HTML, JavaScript Programming, and Web Site Development CSCI 140 Introduction to the Internet, Graphics, and Multimedia ENGL 282 Creative Writing ENGL 284 Writing Fiction and Creative Nonfiction INTD 160 Image, Sound, and Structure: An Approach to Art and Music MUSC 106 University Choral Performance II MUSC 111 Introduction to Electroacoustic Music Composition ",P B. One (1) course in Humanities 
2,framingham,P ARTH 160 Introduction to the World of Art ARTH 273 Modern Art History ARTH 282 American Art ARTH 290 Study Tour: Art & Architecture CHIN 118 Chinese Writing System and Calligraphy COMM 130 Introduction to Visual Communication COMM 201 Oral Interpretation of Literature COMM 210 History of Photography ENGL 111 Reading Literature ENGL 118 Monsters ,P General Education  Framingham State University Undergraduate Catalog 2018-2019 
3,framingham,P ENGL 132 Alternate Pasts ,P ENGL 150 Rebels and Revolution 
4,framingham,P ENGL 186 Banned Books ,P ENGL 201 Mythology and Folklore 
5,framingham,P ENGL 232 Irish Literature ,P ENGL 243 The American Short Story 
6,framingham,P ENGL 243 The American Short Story ,P ENGL 250 Literature and Gender 
7,framingham,P ENGL 262 American Writers II ,P ENGL 275 Contemporary Latinx Literature 
8,framingham,P HIST 120 American Lives ,"P HIST 123 Beasts, Battles, and Ballads: Life, Literature, and Art in Medieval  "
9,framingham,"P HIST 123 Beasts, Battles, and Ballads: Life, Literature, and Art in Medieval  ",P Europe MUSC 121 Music Appreciation MUSC 141 American Musics MUSC 206 Classical Music of the Twentieth Century and Today MUSC 248 History of Rock Music to the 1970s MUSC 275 History of Rock Music from the 1970s to Today PHIL 101 Invitation to Philosophy PHIL 118 Introduction to Philosophy of Science 
10,framingham,P ASGN 101 American Sign Language I ,P ASGN 102 American Sign Language II 
11,framingham,P CHIN 101 Elementary Chinese I ,P CHIN 102 Elementary Chinese II 
12,framingham,P CHIN 102 Elementary Chinese II ,P CHIN 201 Intermediate Chinese I 
13,framingham,P CHIN 201 Intermediate Chinese I ,P CHIN 202 Intermediate Chinese II 
14,framingham,P FREN 102 Elementary French II ,P FREN 201 Intermediate French I 
15,framingham,P FREN 201 Intermediate French I ,P FREN 202 Intermediate French II 
16,framingham,P FREN 202 Intermediate French II ,P PORT 101 Elementary Portuguese I 
17,framingham,P PORT 101 Elementary Portuguese I ,P PORT 102 Elementary Portuguese II 
18,framingham,P RUSS 101 Elementary Russian I ,P RUSS 102 Elementary Russian II 
19,framingham,P SPAN 101 Elementary Spanish I ,P SPAN 102 Elementary Spanish II 
20,framingham,P SPAN 102 Elementary Spanish II ,P SPAN 201 Intermediate Spanish I 
21,framingham,P SPAN 201 Intermediate Spanish I ,P SPAN 202 Intermediate Spanish II 
