TYPE (g - grad/u - undergrad/b - both),school,years,url
u,alma,16-17,https://www.alma.edu/live/files/1580-2016-17-academic-catalog
u,alma,17-18,https://www.alma.edu/live/files/2266-2017-18-academic-catalog
u,alma,18-19,https://www.alma.edu/live/files/2859-2018-19-academic-catalog
u,alma,19-20,https://www.alma.edu/live/files/3555-2019-20-academic-catalog
u,ballstate,19-20,https://www.bsu.edu/-/media/www/departmentalcontent/academicsystems/smartcatalog%20pdfs/19-20%20undergraduate%20catalog%20pdf.pdf?la=en&hash=950D0FCE12C3BF8D530AE2FE84F2ECA168878D90
g,ballstate,19-20,https://www.bsu.edu/-/media/www/departmentalcontent/academicsystems/smartcatalog%20pdfs/19-20%20graduate%20catalog%20pdf.pdf?la=en&hash=8A8E1A2B28EFFDAB5B12030F9BA30A676779129D
u,bowdoin,16-17,https://www.bowdoin.edu/registrar/pdf/academic-handbook-2016-2017.pdf
u,bowdoin,17-18,https://www.bowdoin.edu/registrar/pdf/academic-handbook-2017-2018.pdf
u,bowdoin,18-19,https://www.bowdoin.edu/registrar/pdf/academic-handbook-2018-2019.pdf
u,bowdoin,19-20,https://bowdoin-public.courseleaf.com/pdf/Bowdoin%20Courses%202019-2020.pdf
u,brown,16-17,https://bulletin.brown.edu/pdf/2016-17-cab.pdf
u,brown,17-18,https://bulletin.brown.edu/pdf/2017-18-cab.pdf
u,brown,18-19,https://bulletin.brown.edu/pdf/2018-19-cab.pdf
u,brown,19-20,https://bulletin.brown.edu/pdf/2019-20-cab.pdf
u,brown,20-21,https://bulletin.brown.edu/pdf/2020-21-cab.pdf
u,caldwell,16-17,https://my.caldwell.edu/ICS/icsfs/1617_UG.pdf?target=c06721ad-4beb-434f-a5e0-fea9583690dc
g,caldwell,16-18,https://my.caldwell.edu/ICS/icsfs/1618_Grad_Catalog.pdf?target=c519d0e2-8e9a-4da1-9cde-489f82549154
u,caldwell,17-18,https://my.caldwell.edu/ICS/icsfs/1718Undergrad.pdf?target=dfe6754a-d1a9-4009-aa6f-18730259255d
u,caldwell,18-19,https://my.caldwell.edu/ICS/icsfs/19213-7_UG_Catalog_2018-20_LINKS_(5).pdf?target=93e5b5ee-0bf7-4a50-93cc-747439e8598f
g,caldwell,18-20,https://my.caldwell.edu/ICS/icsfs/Grad-Catalog-2018-20-1.pdf?target=9c58e91c-e9f1-40f4-93cd-ff8c04b38a35
u,caldwell,19-20,https://my.caldwell.edu/ICS/icsfs/20312-7_UG_Catalog_2019-20_LINKS_(2).pdf?target=c8e5f751-1eae-44d0-b158-49c55c31d1d5
u,carleton,16-17,https://apps.carleton.edu/campus/registrar/catalog/2016/assets/2016_17_Carleton_Academic_Catalog.pdf
u,carleton,17-18,https://apps.carleton.edu/campus/registrar/catalog/2017/assets/2017_18_catalog.pdf
u,carleton,18-19,https://apps.carleton.edu/campus/registrar/assets/2018_catalog_2.pdf
u,carleton,19-20,https://apps.carleton.edu/campus/registrar/assets/2019_20_Carleton_College_Catalog.pdf
u,carlow,16-17,https://www.carlow.edu/uploadedFiles/Academics/Resources_and_Support/Course_Catalogs_and_Descriptions/2016_UndergraduateCourseCatalog_08_19_2016.pdf
g,carlow,16-17,https://www.carlow.edu/uploadedFiles/Academics/Resources_and_Support/Course_Catalogs_and_Descriptions/2016_GraduateCourseCatalog_08_19_2016.pdf
u,carlow,17-18,https://www.carlow.edu/uploadedFiles/Academics/Resources_and_Support/Course_Catalogs_and_Descriptions/2017_undergraduatecoursecatalog_8_25_17.pdf
g,carlow,17-18,https://www.carlow.edu/uploadedFiles/Academics/Resources_and_Support/Course_Catalogs_and_Descriptions/2017_graduatecoursecatalog_8_25_17.pdf.pdf
