ClassID,Desc
TN 3820,"1 (731-352-4246), is the Title IX and Preventive Services Director.Students are responsible for being informed of all policies and procedures required for continued attendance at Bethel University. Policies and proce-dures are generally found in this catalog and in the Student Log. The univer-sity’s regulations will not be waived because a student pleads ignorance of established policies and procedures. A student who is unsure of any policy or procedure should seek clarification. Bethel University Student Complaint Policy (Note: This policy does not apply to student grade appeals or complaints regarding discrimination/sexual assault.) Policy: Bethel University is committed to fair treatment of its students. If a student believes that Bethel University or its personnel have acted in an 6 | Bethel University College of Arts & Sciencesunfair manner, the student shall have the right to a review of the situation within six (6) months of the event(s). For the purposes of this policy, a student is defined as a person who is currently enrolled at the institution or has been enrolled during the six month period prior to the complaint. Applicants for admission are excluded from this policy as they are persons not enrolled during the prior six (6) month period. Procedure: The student shall file a written complaint with the Chief Academ-ic and Compliance Officer. If the complaint involves the Chief Academic and Compliance Officer, the student may appeal to the President, who may defer the matter to the University’s legal counsel. The Chief Academic and Compliance Officer shall conduct an investigation, if appropriate, with the University’s legal counsel, into the matter. The Chief Academic and Compliance Officer shall have access to any information in the possession of the University and may request additional information of the complainant. The Chief Academic and Compliance Officer shall notify the President and the complainant of the outcome of the investigation. The complainant shall not have the right to review the specific evidence gathered in the investigation. A response to the complaint will be made within 30 days. The University reserves the right to continue the investigation beyond that time; however, the complainant shall receive notification of continuation and an estimate of the timeline for final disposition of the complaint. The President may elect to review the complaint and confirm or reverse the decision. The President shall have 30 days to consider the matter. The President’s decision is final. If the student is still dissatisfied, the student may complain to the appropriate external body. • Complaints relating to quality of education or accreditation require-ments shall be referred to the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC), (http://www.sacscoc.org/pdf/081705/ complaintpolicy.pdf). • Complaints related to the application of state laws or rules related to approval to operate or licensure of a particular professional program within a postsecondary institution shall be referred to the appropriate State Board (i.e., State Boards of Health, State Board of Education, and so on) within the Tennessee State Government and shall be reviewed and Overview | 7 handled by that licensing board (http://www.tn.gov, and then search for the appropriate division). • For students attending programs in Tennessee, complaints related to state consumer protection laws (e.g., laws related to fraud or false advertising) shall be referred to the Tennessee Division of Consumer Affairs and shall be reviewed and handled by that Unit (http://www.tn.gov/consumer/). For out-of-state students using distance learning programs, complaints related to consumer protection laws shall be filed using the Tennessee NC-SARA Portal form: http://tn.gov/assets/entities/thec/attachments/ComplaintForm.pdf Mission Bethel University’s mission is to create opportunities for members of the learning community to develop in a Christian environment to their highest intellectual, spiritual, and social potential. This includes synchronous and asynchronous modes of education. Definitions By the words, “create opportunities,” the University offers the means for persons to have choices and options opened before them and to develop the confidence and maturity to choose appropriately. By the term, “learning community,” the University extends its mission to all persons who seek development of the whole person and who would choose to pursue the aspiration through Bethel University. The learning community of Bethel University includes undergraduate students in traditional and non-tra-ditional programs, graduate students, faculty, staff, the local community, and the Cumberland Presbyterian Church. Intellectual development focuses on the cognitive aspect of the human; cognitive development incorporates analysis, critical reflection, and synthesis of knowledge of multiple disciplines. To achieve this outcome, the university will leverage developing technology to efficiently create learning experiences for the community. Social development focuses on the affective and behavioral aspects of the human; social development incorporates the ability to interact and communicate with other humans with civility and tolerance. Spiritual development focuses on the metaphysical aspect of the human; spiritual development incorporates the ideas of faith, morality, and practice. 8 | Bethel University College of Arts & SciencesBy the term, “Christian environment,” the University draws upon the thought of St. Ignatius that the college environment should facilitate knowledge and contemplation such that actions are based on unbiased reason and reason-able faith. Synchronous modes of education means Bethel University offers courses to students in the face-to-face classroom setting, whereas asynchronous means Bethel University offers courses to students in the online classroom platform. By utilizing both the synchronous and asynchronous learning platforms, Bethel University seeks to provide additional educational opportunities to students in the 21st century.Core Values Bethel University creates a learning community which: • Accepts individuals from a wide variety of backgrounds, experiences, and beliefs • Offers opportunities for individuals to contribute to the University and to other communities in a variety of ways • Emphasizes human dignity and ethics consistent with the Christian tradition • Encourages inquiry and the examination of values, self, and society • Prepares individuals for the life-long pursuit of knowledge in a complex and constantly changing world History of the Institution Since its founding in McLemoresville, Tenn., in 1842, Bethel University has grown and changed in ways its founders could have never imagined. Chartered by the State of Tennessee in 1847, Bethel began as a seminary for the Cumberland Presbyterian Church with the purpose of training young male pastors for the growing denomination. It was not until the college moved to McKenzie in 1872 that it first began to admit women as students. The oldest existing building on Bethel’s campus is Campbell Hall, built in 1923. It was given to the college, along with 11 acres of land, by the city of McKenzie. At that time it offered every facility the college needed in a single building including classrooms, offices, laboratories, a prayer room and an auditorium. It was named for Richard and Alice Campbell in 1983, and it now Overview | 9 contains offices and the Lavinia Cole Chapel. Additionally, it boasts the Hall of Presidents, which displays a picture of every president of the college since its inception in 1842. The Log Cabin was constructed outside Campbell Hall by the freshman class in 1925. The purpose of the building was to show the humble beginnings of the Cumberland Presbyterian Church, and to remind each student, staff and faculty member that the school was built “On the Faith of Our Fathers.” When building the cabin each log cost $35, and whoever donated the money to buy a log would have his or her name engraved on the metal plate on that log. Today, the Log Cabin is used for offices. Bethel’s Theological Department, which had become the Cumberland Pres-byterian Theological Seminary, moved to Memphis and changed its name to Memphis Theological Seminary in 1964. In 2009, Bethel College was renamed Bethel University. Affiliation Bethel University is joined in a covenant relationship with the Cumberland Presbyterian Church. Bethel is proud of its heritage as a Cumberland Pres-byterian university and of the service it provides to the church in the form of education for current and future leaders. Accreditation Bethel University is accredited by the Southern Association of Colleges and Schools Commission on Colleges to award associate, baccalaureate, and masters degrees. Contact the Commission on Colleges at 1866 Southern Lane, Decatur, Georgia 3033-4097 or call 404-679-4500 for questions about the accreditation of Bethel University.Bethel University is chartered by the State of Tennessee. Bethel University is approved by the Tennessee Board of Education as a teacher preparation institution for the State of Tennessee. Bethel University’s Bachelor of Science in Nursing degree is approved by the Tennessee Board of Nursing. The Baccalaureate degree in Nursing at Bethel University is accredited by the Commission on Collegiate Nursing Education (CCNE), One Dupont Circle, NW, Suite 350, Washington, 1 from 8:00 am to 4:30 pm. Bethel University accepts up to 60 hours of CLEP, DSST, and military. However, a stu-dent may earn no more than 30 hours of ACE credit, which includes CLEP and DSST credit. Grades and quality points are not given for advanced standing credit.  As a result, a passing examination score will not act as a repeat of a previous grade in any class.  It is also important to note that students will not be allowed to duplicate credit in any of the sections or transfer credit.  InternshipsThe Bethel off-campus internship program is designed to help all students bridge the gap between the classroom and the world of experience. Intern-ships open students to possibilities for career development and personal growth and challenge them to creative participation in their own learning. Students may select two internships, but the maximum credit toward gradu-ation is 12 semester hours (excluding state requirements for teacher educa-tion). Internship work is calculated at a rate of 45 clock hours of internship work per semester-hour of credit. Internship applications and guidelines are available in the Office of the Registrar. Students intending to participate in the internship program should register for internship credit in the appropriate department prior to beginning the internship. If a student undertakes an internship without prior registration, a maximum of three hours of individual study credit may be granted if the academic advisor and individual study advisor agree that the experience met the requirements for an internship and includes an additional paper or project. In no case will individual study credit or internship credit be granted for a non-classroom based participatory learning experience begun more than six months prior to application for credit. Individual studies credit may not be used to substitute for an internship in those majors where an intern-ship is required.44 | Bethel University College of Arts & SciencesDirected and Individual StudyUnder extenuating circumstances, some Bethel courses can be completed outside the traditional classroom setting through a Directed Study arrange-ment between the faculty member and the student provided that the student has never received a grade of F or FA  in the course and that the student is in good academic standing.  Individual Study is available in most subject areas and is an opportunity to pursue in depth subjects of interest beyond available courses for academic credit.  Students are required to be enrolled at Bethel University, register for the Directed Study or Individual Study course(s), complete the required forms with appropriate signatures (including the Aca-demic Dean), secure the required textbooks and materials, schedule meetings with the faculty instructor, complete all assignments on time, take the required quizzes/exams, and complete the faculty evaluation form for each course.  Faculty instructors will require regular meetings with the student, give the student regular feedback regarding assignments and quizzes/exams, and assign a final grade appropriate to the accomplishment of the goals and objectives of the course.  Note:  Credit will be awarded according to Bethel University’s credit hour policy.Auditing ClassesAny class may be audited with the approval of the faculty member teaching the course. No transcript record is maintained for audited courses. Audited classes must be registered with the Registrar. (See “Special Fees for the Academic Year” in the Financial Information section.)Developmental EducationOn the basis of the results of ACT tests and other information, such as tran-scripts, some students will be placed in developmental courses to remedy deficiencies which would otherwise prevent success in the university curric-ulum. Students failing to obtain a grade of C or better in any developmental course after three attempts will receive an automatic suspension. Credit in developmental courses will not be counted toward graduation requirements.Academic Policies | 45 Division of EducationThe Division of Education offers undergraduate majors in Child Learning and Development (K-5), Exceptional Learning and Development Interventionist (K-8 and 6-12), and Secondary Education with minor fields in Professional Edu-cation (Licensure) and Learning Theory and Communication (Non-Licensure).Requirements for Admission to Teacher Education ProgramEach applicant applying for admission to an initial undergraduate program completes a Teacher Education Program (TEP) Application during the semester prior to beginning the junior year of coursework. The criteria for admission to TEP are indicated on the form. Applications are reviewed by the Division of Education faculty at the end of each semester. Applicants who meet all requirements are approved. The Division of Education faculty reviews applications and recommends acceptance contingent upon comple-tion of all requirements by an established deadline prior to the upcoming semester. The Division of Education admits only applicants who have met all admission requirements. In some cases, the status of provisional admission is given until all requirements are met. The Director of the TEP Committee monitors completion of requirements and notifies students of program acceptance or denial following the Teacher Education Program interview for acceptance.TEP I – Entry (Sophomore Year)Students must complete all requirements below before proceeding to TEP II1. Students meet with advisor to discuss Curriculum Map2. Minimum 2.75 GPA3. Students must complete the following courses: —1 from 8:00 am to 4:30 pm. Applicants with special needs who desire accommodation in the application process should make their needs known to their admission counselors.50 | Bethel University College of Arts & SciencesLaptop ProgramBethel University requires all incoming full-time undergraduate students to participate in its Laptop Program. Students are provided with a laptop.  Through this program, students will have onsite support through the Bethel IT Helpdesk and access to technology in the classroom. Students are required to meet the terms and conditions of the Laptop Computing Program Agreement. Please refer to the Laptop Computing Program Agreement for more details. NOTE:  Incoming students must take possession of their laptops in their first semester.  Failure to do so will result in forfeiture of the Bethel laptop.Honors ProgramThe Bethel University Honors Program is designed to challenge academically gifted students to develop their capacities for analysis, composition, research, and critical thinking in order to increase their preparation for the duties incumbent upon education and achievement. For more information about the Honors Program, see the Non-Departmental Programs section of this catalog.Information Technology ServicesThe purpose of the Information Technology Center is to provide technical support and training to all users of computing systems at Bethel University and to provide technology-enriched learning by offering educational services adequate to allow students and faculty to achieve their educational goals.Acceptable Use of Technology I. Summary/Purpose The purpose of the Bethel University network is to provide faculty, staff, and students with an electronic means of transmitting, receiving, and reviewing information necessary for academic pursuits as well as conducting daily business operations of the University. The Acceptable Use Policy covers all devices that comprise the Bethel University network. This includes, but is not limited to, all laptops, desktop systems, handheld computers, lab facilities, servers, classroom technology, the wired and wireless campus networks, and all software licensed to the University. II. Rights and Responsibilities The Bethel University network is provided and maintained by Bethel’s IT department for the use of faculty, staff, and students. Accounts are created Academic Policies | 51 and given to all users for the purpose of academics, daily business and administrative operations, transmitting and receiving electronic mail and messages, and other authorized activities. Anyone using the Bethel network is responsible for: • recognizing and honoring the intellectual property rights of others, making attribution as appropriate; • refraining from any illegal and improper intrusions into the accounts of others or into any Bethel University network resources or systems; • taking all reasonable steps to insure the accuracy and the security of information compiled, accessed, or provided; • being ethical and respectful of the rights of others and of the diversity of the University community, including the rights to privacy and all other legal requirements and restrictions regarding access to and the use of information; • refraining from acts that waste resources and prevent others from having broad access to Bethel’s IT resources; • abiding by all other applicable University policies and standards relating to information technology resources. These policies and standards include, but are not limited to: software, wire-less, remote access and e-mail. Users are responsible for all activities to and from their network accounts. Users must take every precaution to protect logins and passwords. Under no circumstances should a user allow someone else to share a network or e-mail account. III. Consent to Monitor Bethel’s computers and networks are shared resources, for use by all faculty, staff , and students. Any activity that inhibits or interferes with the use of these resources by others is not permitted. Although the University does not seek to monitor the communication of its faculty, staff , or students, Bethel’s IT staff may access or examine files or accounts that are suspected of unau-thorized use or misuse, that have been corrupted or damaged, or that may threaten the integrity of Bethel’s computer systems. In addition, files, e-mail, access logs, and any other electronic records may be subject to search under court order. 52 | Bethel University College of Arts & SciencesIV. E-Mail Usage Bethel University recognizes the utilization of electronic communications as an efficient and necessary method of conducting business and advancing its mission of education. Electronic mail (e-mail) should be used with the same care and discretion as any other type of official University communication. The Bethel’s e-mail system is not a private secure communications medium. As such, e-mail users cannot expect privacy. By using Bethel’s e-mail system, each user acknowledges: The use of electronic mail is a privilege, not a right. E-mail is for University communication, research, or campus business. Transmitting certain types of communications is expressly forbidden. This includes messages containing chain letters, pyramids, urban legends, and alarming hoaxes; vulgar, obscene or sexually explicit language; threatening or offensive content; derogatory, defamatory, sexual, or other harassment; and discriminatory communication of any kind. As with other information technology resources, the use of e-mail for commercial or political purposes is strictly prohibited. Under the US Electronic Communications Privacy Act, tampering with e-mail, interfering with the delivery of e-mail, and using e-mail for criminal purposes may be felony offenses, requiring the disclosure of messages to law enforce-ment or other third parties without notification. E-mail messages should be transmitted only to those individuals who have a need to receive them. Distribution lists should be constructed and used care-fully. E-mail distribution lists should be kept current and updated regularly. Inappropriate mass mailing is forbidden. This includes multiple mailings to newsgroups, mailing lists, or individuals (e.g. “spamming,” “flooding,” or “bombing”). All users of Bethel’s e-mail system waive any right to privacy in e-mail messages and consent to the access and disclosure of e-mail messages by au-thorized University personnel. Accordingly, the University reserves the right to access and disclose the contents of e-mail messages on a need-to-know basis. Users should recognize that under some circumstances, as a result of investigations, subpoenas, or lawsuits, the University might be required by law to disclose the contents of e-mail communications. Academic Policies | 53 V. Bethel University Confidentiality Agreement The information transmitted in this electronic mail is intended only for the person or entity to which it is addressed and may contain confidential, pro-prietary, and/or privileged material. Any review, retransmission, dissemina-tion or other use of, or taking of any action in reliance upon, this information by persons or entities other than the intended recipient is prohibited. If you received this in error, please contact the sender and delete the material from all computers. Although Bethel has taken reasonable precautions to ensure that no viruses are present in this message, Bethel cannot accept responsibili-ty for any loss or damage arising from the use of this message. VI. Privacy Bethel provides computers,  e-mail, e-portal, and network accounts to faculty members, staff and students for the purpose of furthering the University’s academic mission and conducting business. While incidental and occasional personal use of such systems is permissible, personal communications and files transmitted over or stored on Bethel systems are not treated differently from business communications; there can be no guarantee that personal communications will remain private or confidential. Pursuant to the Elec-tronic Communications Privacy Act of 1986 (18 1Mr. Steve Perryman535 Ranch RoadRogersville, "
DC 2003,"6, 202-887-6791. Bethel Nursing Program was granted ten year continuing accreditation in April 2015 through April 2025.10 | Bethel University College of Arts & SciencesBethel University’s Athletic Training Program (AT Program) is accredited by the Commission on Accreditation of Athletic Training Education (CAATE). The program has been placed on probation as of February 23, 2018, by the CAATE, 6850 Austin Center Blvd., Suite 100, Austin, "
TX 7873,"1-3101.After fall 2018, Bethel University has decided to no longer offer admission to future students into the Undergraduate Professional Phase of the Athletic Training (AT) Program. If you are an incoming freshman you will not be able to choose AT as an undergrad major. If you are transferring to Bethel University with college credit and you think you might meet the prerequisites to apply to the program by the end of fall 2018, then you can claim AT as an undergrad major. Please see the prerequisite for admission to the AT program at http://www.bethelu.edu/prospective-at-students. If you have any questions or concerns, please contact the Interim Program Director, Nikki Holland, DPT, ATC at hollandn@bethelu.edu.General questions about the accreditation of Bethel University may be addressed to Dr. Phyllis Campbell, Chief Academic and Compliance Officer, (731) 352-4046 or campbellp@bethelu.eduAssessment and Institutional Effectiveness Bethel University performs a variety of assessment activities to determine and improve the effectiveness and quality of the educational programs and support services. These assessment activities are broad-based and include the entire University. Students, faculty, and staff have important roles in the institutional effectiveness process. All majors require students to complete some form of exit assessment prior to graduation. Students will have many other opportunities to participate in assessment through their time at Bethel. Additional information about assessment at Bethel University may be ob-tained through the Office of the Academic Dean. Campus Descriptions Bethel University operates a main campus located in McKenzie, Tennessee, and six satellite campuses throughout the state. The main campus houses all traditional undergraduate programs, as well as coursework for the non-traditional degree completion programs. Satellite campuses are located in Clarksville, Jackson, Memphis, Nashville, and Paris, Tennessee. Overview | 11 Online Degree Programs Bethel University offers a number of online degree programs. The College of Professional Studies offers programs designed to meet the educational needs of working adults. Online students attend class through an asynchronous platform with optional on-campus seminars for selected pro-grams. On-campus students meet one night a week for four hours at either the main campus in McKenzie, Tennessee, or at one of the six satellite campuses. Satellite Campuses are located in Clarksville, Chattanooga, Jackson, Memphis, Paris, and Nashville, Tennessee. Please refer to the College of Professional Studies website (BethelU.edu/adult-studies) for additional information. The College of Health Sciences also offers an online RN-BSN program. Please refer to the College of Health Science’s Nursing website (bethelu.edu/nurs-ing-program).12 | Bethel University College of Arts & SciencesCollege of Arts & SciencesAcademic Calendar: 2018-2019 FALL SEMESTER, 2018August 20 ...........................................................................................................Classes Begin August 24 ..............................................................Last Day to Register or Add Classes August 28 ..............................................................................................................Convocation September 3 ........................................................................................... Labor Day Holiday September 30 .....................................Applications for December Graduation Due October 10 .......................................................................................Mid-Point of Semester October 11-14 ...........................................................................................................Fall Break November 2 ................................................................................Last Day to Drop A Class November 22-25 ..........................................................................Thanksgiving Holidays November 30 .........................................................................................Last Day of Classes December 3-7 .......................................................................................Final Examinations December 8 ..................................................................................................CommencementSPRING SEMESTER, 2019January 7 ............................................................................................................Classes Begin January 11 .............................................................Last Day to Register or Add Classes January 21 .......................................................................Martin Luther King Jr  Holiday February 18 .....................................................Applications for May Graduation Due March 1 .............................................................................................Mid-Point of Semester March 4-8 ........................................................................................................... Spring Break March 22 .......................................................................................Last Day to Drop a Class April 19 ..............................................................................................................Easter Holiday April 26 ....................................................................................................Last Day of Classes April 29 – May 3 ..................................................................................Final Examinations May 4 ...............................................................................................................CommencementOverview | 13 SUMMER SESSIONS, 2019June 3 .......................................................First Session Registration & Classes Begin June 5 ............................................ Last day to register or add classes (First Term) June 6 ............................................................Applications for August Graduation Due June 6 ..........................................“W” grades begin for First Term classes dropped June 14 ..................................................................Last day to drop a class (First Term) June 28 .....................................Last day to remove “I” grades for Spring SemesterJune 28 .......................................................................................................First Session Ends July 8 ....................................................Second Session Registration & Classes BeginJuly 10 ........................................Last day to register or add classes (Second Term)July 11 ....................................“W” grades begin for Second Term classes dropped July 19 ..............................................................Last day to drop a class (Second Term) August 2 ...............................................................................................Second Session Ends August 3 .........................................................................................................Commencement14 | Bethel University College of Arts & SciencesCollege of Arts & SciencesStudent Life The following is a brief description of student life at Bethel University. For more details about the unique offerings, campus rules, and regulations at Bethel University, please see the college’s student handbook, The Log.Student OrganizationsStudent GovernmentEach year, the student body elects representatives to serve as part of the Student Government Association. This group gives voice to student concerns on various faculty and staff committees.Honors SocietiesGamma Beta Phi, a national honor society, recognizes superior scholastic achievement and is composed of membership by invitation only to the top 20% of each class. The group participates in service projects and attends national conventions each year.Greek OrganizationsBethel University offers multiple Greek sororities and fraternities. These groups participate in various community service projects and campus events throughout the year.Academic/Social OrganizationsBethel University’s many organizations that blend academic knowledge and social activities, such as the Student Members of the American Chemical Society, Beta Sigma Phi, Criminal Justice Honors Society, and Student Tennes-see Education Association (STEA).  In addition, there are several service and special interest groups available such as Circle K, Rotaract, and the Reading Club.Student Activities at BethelEach semester, multiple student activities are scheduled by the Office of Student Life. In the past these activities have included: exercise night, old time photos, craft night, karaoke night, movie night, Xbox night, game shows, General Admissions | 15 dances, laser tag, spades tournaments, caricature portraits, Sundae Monday study breaks, and self defense seminars. Students are invited to become a part of the Student Activities Board to help plan these and other activities each month.Athletic ActivitiesIntercollegiate AthleticsIntercollegiate Athletics have become an important and exciting aspect of life for the many students, alumni, and community friends of the University who support Bethel’s teams. As members of the National Association of Intercolle-giate Athletics (NAIA), the Wildcats and the Lady Wildcats regularly compete against many top-rated teams. The men’s program has teams in basketball, baseball, bass fishing, bowling, cheer, cross-country, football, golf, in-line hockey, shooting, soccer, swimming, tennis, and track. The women’s program has teams in basketball, bass fishing, bowling, cheer, cross country, golf, softball, soccer, shooting, swimming, tennis, track, and volleyball.Intramural AthleticsIntramural sports offer a variety of competition for the enjoyment of Bethel students, faculty, and staff. The program promotes enthusiasm, leadership, and good sportsmanship. The use of student directors, captains, coaches, and game officials creates a uniquely student-oriented program. Regulations for participation may be found in The Log.Exercise and FitnessStudents are invited to exercise daily at the Wildcat Health and Fitness Com-plex, which features state-of-the-art cardio and strength training equipment, and at the Gaines Indoor Pool.Christian LifeWe strive to glorify and enjoy the Lord in every aspect of life.  The campus chaplains strive to lead the campus community in living out this belief in many ways.  This includes weekly chapel and communion services.  In the chapel services, ministers and speakers from different denominations are invited to preach.  Bethel University works cooperatively with many different Christian denominations to meet students’ needs.16 | Bethel University College of Arts & SciencesBethel works closely with the Cumberland Presbyterian denomination.  The University supports Christian musical and dramatic presentations that are performed in individual churches and encourages student involvement with specific churches.  We also provide facilities for continuing education oppor-tunities within the denomination. Other organizations represented on campus include:  Cumberland Presbyte-rian Ministry, Baptist Collegiate Ministry (BCM), Bethel Wesley Fellowship, Christian Medical and Dental Association Student Chapter (CMDA), and Fellowship Christian Athletes (FCA).  All students are welcomed and encour-aged to participate in these organizations.Campus SecuritySecurity is very important on the Bethel campus. The city of McKenzie has a very low incidence of crime. The rural setting lends itself to a secure environment that the community and students enjoy. A well-lit campus, 24-hour armed campus security, and good communications with local law enforcement officials create a comfortable and safe environment. Copies of the Bethel University annual security report are available in the Office of Student Development.  Campus security can also provide assistance with campus escorts, vehicle unlock, airing vehicle tires, battery jumps, and other calls for service.Campus RegulationsEach student at Bethel is provided with a handbook that identifies and explains all campus activities, facilities, student organizations, and policies. All Bethel students are expected to behave according to accepted norms that ensure a climate wherein all can exercise their right to learn. Such norms are set forth in the student handbook, The Log. All students should read and un-derstand the handbook. No faculty member will tolerate classroom behavior that violates these norms. Such behavior will be grounds for withdrawal from the class, judicial proceedings, or failure of the course. If warranted, students engaging in such behavior will be removed from class by security personnel and may be required to undergo counseling.Emergency Closures PolicyBethel University takes appropriate steps to maintain a safe and secure environment for its students, faculty and staff.  Infrequently, weather or other General Admissions | 17 emergency situations may require alterations in the normally scheduled operations of the institution.  This may include closure of the institution for brief periods of time including the cancellation of classes or closure of campus facilities.  In these events, all students, faculty, and staff are required to follow instructions from Bethel University’s Security Department or civil authorities.  This may include relocation or suspension of classes. Announcements of closure will be through the university’s web site(s) and through local media channels. If the university cancels classes (either in McKenzie or at a satellite campus), it is the responsibility of the instructor to determine whether alternative assignments, additional sessions, or make-up work are appropriate.  Course outcomes will not be altered because of a class cancellation.  Instructors will make themselves available through alternative means (phone, e-mail, video conferencing) to students to cover the course content.   18 | Bethel University College of Arts & SciencesCollege of Arts & SciencesGeneral Admission Requirements Note: Some academic programs may have additional admission requirements for the major that are not noted below. Please see the Academic Programs section for more information about admission to each major.All applicants for the traditional program will be reviewed at the discretion of the Dean of Enrollment Services and Bethel University reserves the right to deny admission or readmission to any applicant/student.  The University reserves the right to change the rules regulating admission to the University and any other regulations affecting the granting of degrees.  Misrepresentation of Academic Credentials and Credit WaiverIn the state of Tennessee, it is a Class A misdemeanor to misrepresent academic credentials (§49-7-133). Applicants and students who commit this offense know that the statement is false and are making the statement with the intent to secure admission or employment in an institution of higher education I Tennessee. The offense includes statements made orally or in writing that such person has: • Successfully completed required coursework for and has been awarded one or more degrees or diplomas from an accredited institution of higher education; or• Successfully complete the required course work for and has been awarded one or more degrees or diplomas from a particular institution of higher education; or• Successfully complete the required course work for and has been award-ed one or more degrees or diplomas in a particular field or specialty from an accredited institution of higher education.General Admission RequirementsRequired DocumentationStudents applying for admission to Bethel University must submit the following:1. Application and application fee: All students must submit an application for admission and the $30 application fee.  Applicant must be at least 16 years of age unless written approval is granted by Admissions Committee.General Admissions | 19 2. Official transcripts: Students must submit an official high school tran-script and official college transcripts from each college attended. Any transfer student who has earned fewer than 12 semester hours credit must also submit an official high school transcript. A high school equiv-alency diploma (GED) or (HISET) may be accepted in lieu of a high school diploma. A passing GED or (HISET) combined score is considered to be a 2.0 GPA. A special education diploma or high school certificate is not acceptable. Students may be accepted on a partial high school transcript, but a complete high school transcript validating graduation must be on file before registration. Graduates from a non-accredited high school must meet one of the following:• 20 ACT/1030 SAT and 2.0 cumulative GPA• 19 ACT/1000 SAT and 2.5 cumulative GPA• 18 ACT/960 SAT and 3.0 cumulative GPAApplicants not meeting any of the above standards will be reviewed by the Dean of Enrollment Services who may grant special admission after consid-ering test scores, grades, rank in class, school and community activities, and recommendations in its review. The Registrar will evaluate official college transcripts for determination of transfer credit to be accepted. Transfer course work must have been completed at an institution accredited as degree-granting by a regional accrediting body for higher education. Any exceptions to this policy will be made by the Registrar or the Academic Dean.3. ACT or SAT scores: Each applicant should submit an official copy of ACT or SAT scores. These scores are not required for students who have been out of high school for three years or more.4. High School Units: Each student admitted to Bethel University must have earned the minimum high school units as follows, or submit a passing combined score on the GED or the HISET:• English—4 units (Journalism, speech, or business communications may not be substituted.)• Mathematics—2 units (Preferably algebra I and II. Pre-algebra, arithmetic, applied mathematics, business mathematics, computer technology, or accounting I and II may not be substituted.)• Natural/Physical Science—2 units (One unit must be a laboratory science. Computer science may not be substituted.)• Social Science—2 units (Foreign language is not required; however, it is highly recommended.)20 | Bethel University College of Arts & Sciences5. Immunization and Health Insurance Records: As required by Bethel University and the State of Tennessee, the following immunizations are required of all traditional students prior to the first day of classes, at campus housing check-in, or check-in at mandatory activity participa-tion—whichever occurs first:  • a Tetanus/Diphtheria/Pertussis (Tdap) shot that must be within the last ten years, • two doses of the Measles, Mumps, and Rubella (MMR) shots, • two doses of the varicella vaccine given at least 28 days apart or documentation from a health care provider of a history of chicken pox, and Meningococcal (Meningitis) vaccine.  Please note if the first dose was administered before the age of 16, a booster shot will be needed.  Due to the vast array of classroom and extra-curricular activities associated with the McKenzie campuses, it is Bethel University’s policy that ALL full-time undergraduate students attending the College of Arts and Sciences and/or College of Health Sciences must have valid health insurance.  Insurance coverage must be documented by providing a valid copy of the current insurance card to the Student Insurance Coordinator AND COMPLETING THE ELECTRONIC OPT OUT PROCESS.  Students will not be allowed to attend classes or participate in activities without valid insurance.  Insurance can be purchased through Bethel University for $1,761 for the 2018-2019 academic school year.  The last day to opt out of the insurance purchase is August 31, 2018.  An online waiver to opt out of the insurance can be found at www.4studenthealth.com/bethel.  International health  insurance must be purchased from Bethel University.  The charge for international insurance for the 2017-2018 academic school year is $1,761.  The student must pay this charge prior to arriving on campus.  Students are automatically enrolled when they arrive on campus.  No international student will be allowed to participate in any intercollegiate athletic program until the insurance charge is added to their account.Additional Requirements for International StudentsA new student with no college credits from a U.S. college/university must provide one of the following:1. All international students must meet Regular Admission requirements for entering freshman or transfer students in order for the I-20 to be is-sued. International students must submit proof of equivalent high school General Admissions | 21 graduation and/or college attendance through official transcripts. If the transcripts are not in English or if the student has attended an inter-national college/university, the student is responsible for obtaining a translation or evaluation through an approved evaluation service. Note: International students should contact the Bethel University Enrollment Services Office for information regarding I-20 forms.2. Proof of adequate English language skills: Students whose native language is not English must meet one of the following valid scores:• Score of 513 on the TOEFL paper-based exam• Score of 183 on the TOEFL computer-based exam• Score of 65 on the TOEFL internet-based exam• Score of 3.6 on the ITEP exam• Score of 5 overall and 5 in each exam area on the International English Language Test     OR:  the prospective student agrees to participate in a video and audio interview with a committee which will evaluate the level in which the prospective student can demonstrate adequate English language com-munication skills with the committee.  To qualify for the TOEFL English language requirements waiver, a majority of the committee must agree that the prospective student can adequately comprehend and communi-cate in the English language.  (A majority is defined as 50% plus 1.)   3. TOEFL scores are valid for two years from the date of the exam. Scores on the SAT or ACT and TOEFL are required. Any student who obtains a TOEFL internet-based score below 99 and/or an ACT English score of 17 or below will be required to take "
