ClassID,Desc
ARCH 1900," S01 17129 Archaeology of College Hill TBDEnglish S01 17129 Archaeology of College Hill TBDClassics S01 17129 Archaeology of College Hill TBDBioMed-Neuroscience. The Archaeology of College Hill.A hands-on training class in archaeological field and laboratorytechniques. Topics include the nature of field archaeology, excavation andsurvey methodologies, archaeological ethics, computer technologies (suchas GIS), and site and artifact analysis and conservation. Students will actas practicing archaeologists (i.e., actually dig and analyze the results!)through the investigation of local historical and archaeological sites inthe College Hill area (e.g. the First Baptist Church of America and BrownUniversity's Quiet Green).FallARCH1900S0117129W3:00-5:30(17)’To Be Arranged' The Archaeology of College HillCognitive, Linguistic, Psychological Sciences"
ENGL 1050P," S01 17115 Reframing Race in Art Writing TBDEnvironmental Studies S01 17115 Reframing Race in Art Writing TB. Reframing Race in Art Writing.This seminar will consider how contemporary writers and critics respond toart that directly addresses race and challenges institutional power. We willdiscuss past and recent controversies involving race and representation inexhibitions and examine the relationships between artists, museums andother art institutions, and public audiences. We will consider how writingabout arts and culture can advance public discourse about race, equity,and justice. Enrollment limited to 17. No pre-requisites. Writing samplerequired. Instructor permission required.FallENGL1050PS0117115MWF12:00-12:50(15)’To Be Arranged'"
ENVS 0110," S01 16518 Humans, Nature and the Environ Dawn King S01 16518 Humans, Nature and the Environ Dawn King. Humans, Nature, and the Environment: AddressingEnvironmental Change in the 21st Century.This is an engaged scholars course that offers an introduction tocontemporary environmental issues. We explore the relationshipsbetween human societies and the non-human environment througha survey of topical cases, including: human population growth andconsumption, global climate change, toxins, waste streams, waterresources, environmental justice and ethics, and agro-food systems.This course also analyzes various solutions—social, political, technical,and economic—put forth by institutions and individuals to addressquestions of environmental sustainability. Students must join a 90-minuteweekly discussion section. Each section will partner with a communityorganization to complete an engaged, local project.FallENVS0110S0116518MWF10:00-10:50(14)(D. King)"
ENVS 1557," S01 15357 Birding Communities Nancy J. JacobsFrench Studies S01 15357 Birding Communities Nancy J. Jacobs. Birding Communities.This seminar explores and builds communities around a charismaticand conspicuous class of animals: birds. The irony is that birds aremarvelously diverse and abundant, but birding is associated with a narrowand privileged sector of society. Course readings address the politicsof knowledge and modes of inclusion and exclusion in birding practice.While studying these hierarchies worldwide and historically, we create ourown community of knowledge and practice through a “birding buddies”program in a local urban school. Students will learn from interdisciplinaryscholarship, school children, and not least, the birds. History matters. Bewoke. Think globally. Bird locally.FallENVS1557S0115357Th4:00-6:30(04)(N. Jacobs)"
FREN 1410T," S01 15541 L'expérience des réfugiés Virginia A. KrausePublic Policy S01 15541 L'expérience des réfugiés Virginia A. Krause. L'expérience des réfugiés: déplacements, migrations.An exploration of the experience of refugees and immigrants with twocomponents. The first component consists of close study of the Frenchcontext from Decolonization up through the current refugee crisis basedon literature, film, the press, and critical essays. The second component ofthis course will give students the opportunity to work with refugee/recentimmigrant communities in Providence. This is a community-engagedcourse requiring substantial commitment beyond the classroom. Taughtin French. Prerequisite: a course at the 0600- or 0700-level or equivalentproficiency. Contact the instructor to verify your proficiency if you have nottaken French at Brown.FallFREN1410TS0115541M3:00-5:30(05)(V. Krause)"
PLCY 1703A," S01 17361 Youth Politics and Culture Dario VallesUrban Studies S01 17361 Youth Politics and Culture Dario VallesReligious Studies. Youth Politics and Culture in the Americas:Explorations through Ethnography.This course explores youth culture and politics in the Americas –foregrounding Latinidad, Black, pan- Asian and indigenous diasporas,young women and queerness-using ethnography and engaged research.By focusing on the everyday lives of young people from Detroit to BuenosAires and the significance and conceptions of childhood and youth indifferent cultural contexts, students will explore race, class, gender,sexuality, political economy and inequality. Students will also havethe opportunity to lead their own semester-long field research project,observing and potentially working with a local youth-related site like acommunity organization, to engage with the themes of the course.FallPLCY1703AS0117361W3:00-5:30(17)(D. Valles)"
URBN 1870Z," S01 17422 Housing Justice Marijoan BullSpring 2020Biology S01 17422 Housing Justice Marijoan BullVisual Art. Housing Justice.Housing is fundamental to overall well-being, yet in RI many cannot findaffordable, decent housing aligned with their needs. This community-based research course engages with local housing justice organizationsworking for change. Course participants, organizational staff, andcommunity members will gather and analyze data to inform interventionsand/or modify policies. After some foundational studies, the semesterwill be spent immersed in a team research project. Topics may includeevictions, studentification and gentrification, rental inspections, propertyownership, and healthy housing. The course will advance skills inresearch, communication, and collaboration, and expand understanding ofthe housing system.FallURBN1870ZS0117422T4:00-6:30(09)(M. Bull)"
BIOL 0940E," S01 24476 Precision or Privileged Med Robert K. CampbellEnglish S01 24476 Precision or Privileged Med Robert K. CampbellClassics S01 24476 Precision or Privileged Med Robert K. CampbellEducation S01 24476 Precision or Privileged Med Robert K. CampbellBusiness, Entrepreneurship and Organizations. Precision Medicine or Privileged Medicine? AddressingDisparities in Biomedical Research.This course examines the biomedical research behind precision medicine,disparities in the inclusiveness of this research, and implications of thesedisparities for the relevance of precision medicine innovations for peopleand places in Rhode Island. We will focus on these four questions: Whatnew knowledge is making precision medicine possible? Who has beenthe focus of the biomedical research generating this knowledge, and why?How might inclusiveness of this research impact healthcare disparitiesin Rhode Island? What is needed to improve the design and outcomesof precision medicine research so that it provides benefits and mitigatesharms for all?SprBIOL0940ES0124476T4:00-6:30(16)(R. Campbell)"
ENGL 1140E," S01 25729 Writing for Activists Kate J. SchapiraEnvironmental Studies S01 25729 Writing for Activists Kate J. Schapira. Writing for Activists.How can writing support and further change? In this course studentswill practice grant applications, budget narratives, mission and strategystatements, press releases, position papers, op-eds, and other writingstrategies with practical application in activist work. We’ll read examplesand theoretical grounding, and guest speakers will introduce us to writingsand needs specific to a range of fields. Prerequisite: "
ENVS 1555," S01 24964 Urban Agriculture Dawn KingLiterary Arts. Urban Agriculture: The Importance of Localized FoodSystems.This is an engaged scholar course. Urban agriculture has a critical functionin a small but increasing movement toward more localized and sustainablefood systems. This course focuses on research and readings from multipledisciplines addressing urban agriculture and local food systems' role inshaping food policies, labor practices, sustainable agricultural practices,and human health (to name a few). More importantly, students will workwith community partners to actively engage in a local food system project.Enrollment limited to 40. Instructor permission required. Email Prof. King torequest override (Dawn_King@brown.edu).SprENVS1555S0124964TTh1:00-2:20(08)(D. King)"
