ClassID,Desc
TMENT 126,"  Accounting, Fraud, and Forensics Department Policies  126  Accounting Major  127  Forensic Accounting Major  129  COMMUNICATION DEPAR"
TMENT 129,"  Communication and Media Major  129  Corporate Communication Major    131  MANAGEMENT DEPAR"
TMENT 131,"  Management Department Policies  131  Business Management Major  132  Human Resource Management Major   134  POLITICAL SCIENCE DEPAR"
TMENT 134,"  Political Science Major   137  PSYCHOLOGY AND COUNSELING DEPAR"
TMENT 138,"  Art Therapy Preparation Major 138  Behavioral Neuroscience Major  140  Psychology Major   145  SOCIAL WORK DEPAR"
TMENT 145,"  Social Work Major   147  SOCIAL CHANGE CURRICULUM   150  COLLEGE OF LEADERSHIP AND SOCIAL CHANGE COURSE DESCRIP"
TIONS 150,"  Accounting 151  Forensic Accounting 152  Behavioral Neuroscience 152  Business Management 156  Communication 159  Criminology 160  Economics 160  Human Resources 161  Information Technology Management 163  Pittsburgh Filmmakers (PF) Courses 163  Political Science 167  Psychology 172  Sociology 176  SSC Courses 177  Social Work   COLLEGE OF HEALTH AND WELLNESS   181  NURSING DEPAR"
TMENT 181,"  Nursing Policies   7 182  Program Student Learner Outcomes  183  Overview of Undergraduate Nursing Programs  183  BSN Program  184  RN-BSN Program  186  HEALTH INFORMATION MANAGEMENT AND ANALYTICS PR"
OGRAM 186,"  Program Overview   186  Learning Outcomes  187  Health Information Management and Analytics Program Policies   187  RESPIRATORY CARE PR"
OGRAM 188,"  Program Overview   188  Learning Outcomes  188  Accreditation 188  Respiratory Care Program Policies  189  Respiratory Care Degree Completion Program  190  COLLEGE OF HEALTH AND WELLNESS COURSE DESCRIP"
