ClassID,Desc
VA 2360,"6-3072Phone: (757) 594-7000 / TDD: (757) 594-7938cnu.edu2WelCome to Christopher neWport UniversityChristopher neWport University                        2018-2019 Christopher Newport University is a superb choice for your college studies. Small class sizes, accomplished pro-fessors who put your education first and a picturesque, safe campus create an environment hard to find in public higher education. Come explore further the quality of life you will enjoy here. Our StudentsThere’s no such thing as a typical Christopher Newport student! Our 5,000 students hail from every part of Virginia, 28 other states and 32 foreign countries. Each year we welcome 1,200 new freshmen and more than 100 transfers with diverse interests and fields of study. Our students thrive on the close relationships they form with their professors. Many work with faculty on pioneering research — from wetland studies at the Great Dismal Swamp National Wildlife Refuge to robotics at NASA to particle re-search at the Thomas Jefferson National Accelerator Facility.The number of admission applications has soared by more than 700 percent in the last decade, and the average SAT score for last year’s incoming freshmen (Critical Reading and Math) was 1210.  The average GPA (4.0 scale) was 3.75.  Plus, more students are seeking entry into our distinguished Honors Program and President’s Leadership Program.Christopher Newport also offers many international study opportunities, including our permanent relation-ship with the University of Oxford and dozens of smaller, faculty-led programs. Signature academic programs include the Master of Arts in Teaching, Pre-Law Program, Pre-Med and Pre-Health Program, and a cutting-edge program in neuroscience.Professors and AcademicsOur professors love to teach, and most chose Christopher Newport for our commitment to academic excellence. Out-standing veteran faculty members offer an incredible depth of experience and knowledge, and 60 percent of our classes have 19 or fewer students. Christopher Newport professors have won numerous awards for great teaching, plus many large research grants. They regularly publish highly regarded books and articles on myriad topics, often working with student co-authors. Our marketing students have won top honors regionally and nationally. The Joseph W. Luter, III School of Business is accredited by the Association to Advance Collegiate Schools of Business, one of only 42 schools in the nation offering only undergraduate programs to earn this honor. In psychology, students regularly make presentations at the top East Coast conference, where they are often mistaken for graduate students due to the quality of their work.  CNU has received top recognition from Forbes, Kip-linger’s Personal Finance and The Princeton Review orga-nization. U.S. News & World Report selected Christopher Newport as one of America’s up-and-coming schools, those that have made “the most promising and innovative changes in the areas of academics, faculty, student life, campus and facilities.”Intercollegiate Athletics Playing to win is a passion at Christopher Newport. As part of NCAA Division III, our athletes excel in the classroom and on the field of play through 24 varsity teams. Since 1980, we have produced more than 640 All-Americans and won more than 80 national team and individual titles.Our football team was the first in NCAA history to win its conference and go to the NCAA playoffs in its first year of play.  Exceptional venues for baseball, lacrosse, softball and soccer make it easy to cheer on the Captains. Nearly every year we have the top winning percentage among Vir-ginia schools.Student LifeA community of honor, Christopher Newport is a place where students, faculty and staff care about each other and help make the college experience positive.  Our students participate in more than 200 clubs and organizations, along with dozens of recreational and club sports as well as service projects. Whether you’re interested in biology field trips to the ocean or launching a campus club, our diverse activities make time outside the classroom memorable.Each year you’ll enjoy performances by major artists and renowned speakers, plus special events like Spring Fest, Family Weekend and Homecoming. The Ferguson Center for the Arts, our world-class performing arts venue, features the 500-seat Peebles Theatre, a 200-seat experimental theater, and the awe-inspiring, 1,700-seat Diamonstein Concert Hall for performances by internationally known stars.  Jewel, Wayne Brady, “Dancing With the Stars,” Andrea Bocelli, Queen Latifah, David Copperfield, B.B. King and the Broad-way hit “STOMP” have taken the stage here, among count-less others.  Students can attend most shows for $5 to $15!Students and student life staff sponsor dances, clubs, Greek events, multicultural activities, comedy nights, re-cently released movies and outdoor festivals, among many other events. 32018-2019                         Christopher neWport UniversityOur RegionA great location makes for a great experience. Our region is not only a top resort area that attracts millions of visitors each year; it is also a center of high-tech development and research, including NASA Langley Research Center and the Thomas Jefferson National Accelerator Facility, site of groundbreaking physics research.Students have easy access to the rolling dunes and pounding surf of Virginia Beach. A 20-minute ride west leads to Williamsburg and Jamestown;  many students appreciate the splendor of American history and also find internships at Colonial Williamsburg and Busch Gardens.The Campus: Present and FutureOur campus encompasses 260 acres within a park-like setting in Newport News. We take pride in building every-thing to the highest standards. Christopher Newport also ranks as one of the safest campuses in Virginia. We have completed $1 billion in new capital construc-tion, including Christopher Newport Hall, which houses in one location all vital services as students transition from admission through graduation. The Paul and Rosemary Trible Library, with its 14-story tower lighted day and night, is the intellectual center of campus. It features a gourmet coffee shop with study rooms for quiet collaboration with friends, spacious reading rooms, and quiet corners for reflection and study.  Lewis Archer McMurran, Jr. Hall is home to our superb liberal arts programs. Mary Brock Forbes Hall, our integrated science center, provides a 21st-century hub for education and discovery.  Luter Hall  houses the Luter School of Busi-ness; economics; sociology, social work and anthropology; leadership and American studies; mathematics; and physics, computer science and engineering.  State-of-the-art laboratories in computer science, com-puter engineering, physics, instrumentation and the natural sciences enhance the close interaction between professors and students. Christopher Newport’s residence halls win rave reviews from students and parents alike. Basic cable, a built-in micro-fridge, Internet access, carpeting, air conditioning and suite-style rooms make campus living attractive. We also offer wireless service in all public areas. CNU Village, an elegant apartment complex on campus, provides private rooms with private baths, kitchens, washers and dryers, living rooms, cathedral ceilings, and your own private parking space!  CNU Village is home to numerous eateries — including Panera Bread, Subway, Moe’s South-west Grill and Tropical Smoothie, among others. Thanks to our dazzling residential facilities, 4,000 students now make campus their home.  The Freeman Center, for sports and convocations, fea-tures a 200-meter indoor track, three basketball courts and personal recreation/fitness space in the Trieshmann Health and Fitness Pavilion. The Freeman Center is one of the nation’s finest facilities of its kind and recently underwent further expansion.  The building houses the 400-seat Gaines Theatre, as well as the James C. Windsor Center for Health and Counseling Services.  Surrounded by beautiful neighborhoods, Christopher Newport is a great place for walking, jogging or cycling, and you’re only a few short blocks from the James River and a pleasant bicycle ride to a public white sand beach and park. We are also adjacent to pristine Lake Maury, sur-rounded by Mariners’ Museum Park with 600 acres of trails and woodlands.Come Visit!See firsthand the quality of Christopher Newport Uni-versity.  We welcome your visit Monday through Saturday (except major national holidays) throughout the year. Call (757) 594-7015 or (800) 333-4268 to arrange a time. Also visit us online at admission.cnu.edu for special visit dates. We look forward to welcoming you to Christopher Newport! 4the University honor systemThe reputation and credibility of an institution of higher education requires the commitment of every member of the community to uphold and to protect its academic and social integrity. As such, all members of the Christopher Newport University community uphold and enforce the following:The Honor Code: “On my honor, I will maintain the highest standards of honesty, integrity and personal responsibility. This means I will not lie, cheat, or steal, and as a member of this academic community, I am committed to creating an environment of respect and mutual trust.”Under the Honor Code of Christopher Newport University, it is expected that all members of the University community will demonstrate honesty and integrity in their conduct. Intentional acts of lying, cheating or stealing are violations of the Code that can result in sanctioning.Each member of the University community is responsible for upholding and enforcing the Honor Code. The Honor System cannot function unless each member of the University community takes action when he or she believes any person may have violated the Honor Code. Members of this University community are obligated to report violations to appropriate University personnel in order to ensure the efficacy of the system.stUdent aCademiC responsibilitiesCNU is a community comprised of students who:       • Value higher education and the community of scholars;• Understand the meaning and aims of liberal learning;• Establish learning as their top priority;• Take initiative to participate actively in their own learning;• Prepare for class, and attend regularly and on time;• Take learning seriously in thought, word, and conduct;• Complete assignments on time and with care;• Respect all members of the academic community;• Follow proper procedures and lines of authority for pursuing concerns and complaints;• Know, understand and follow the Code of Academic Work, the University Honor Code, and the General Requirements for Graduation; and• Take responsibility to seek help from faculty, staff, and fellow students as needed to succeed academically.Christopher neWport University                        2018-2019 5table of ContentsWelcome to christopher NeWport UNiversity ............................................................................................2The University Honor System ...................................................................................................................................4Student Academic Responsibilities ...........................................................................................................................4AcAdemic cAleNdAr ...............................................................................................................................................7-8GeNerAl iNformAtioNThe University ...........................................................................................................................................................9Freshman Admission ...............................................................................................................................................10Placement Credit Policies ...................................................................................................................................11-14Advanced Placement (AP) ......................................................................................................................................12International Baccalaureate Program Credit ...........................................................................................................13University of Cambridge Examinations ..................................................................................................................14Admission for Transfer, Readmitted and Non-degree .............................................................................................15Tuition & Fees  ........................................................................................................................................................18 Financial Aid ...........................................................................................................................................................23Residence Life and Housing ...................................................................................................................................26Athletics  .................................................................................................................................................................29Student Affairs .........................................................................................................................................................31Academic Advising .................................................................................................................................................32Academic Success Center .......................................................................................................................................33University Writing Center .......................................................................................................................................33Fellowships and Prestigious Scholarships ...............................................................................................................33James C. Windsor Center for Health and Counseling Services ..............................................................................34Information Technology Services ...........................................................................................................................35Disability Support Services .....................................................................................................................................35Career Planning .......................................................................................................................................................36Study Abroad ...........................................................................................................................................................36Center for Community Engagement .......................................................................................................................37Undergraduate Research and Creative Activity ......................................................................................................37Library .....................................................................................................................................................................38AcAdemic iNformAtioNAcademic Organization and Degrees ......................................................................................................................39Graduate Studies .....................................................................................................................................................40Academic Policies and Procedures .........................................................................................................................41Graduation Requirements  .......................................................................................................................................52Academic Standards  ...............................................................................................................................................53Liberal Learning Core .............................................................................................................................................55College and School Designations ............................................................................................................................58depArtmeNts ANd proGrAmsAfrican-American Studies .......................................................................................................................................59Asian Studies ...........................................................................................................................................................60 Biology, Molecular and Chemistry .........................................................................................................................61 Biology, Organismal and Environmental ................................................................................................................71Biotechnology and Management Program  .............................................................................................................78Business ...................................................................................................................................................................80Childhood Studies ...................................................................................................................................................92 Civic Engagement and Social Entrepreneurship .....................................................................................................93Communication  ......................................................................................................................................................952018-2019                         table of Contents6Digital Humanities  ...............................................................................................................................................101Economics .............................................................................................................................................................102English ...................................................................................................................................................................106Environmental Studies ..........................................................................................................................................116 Film Studies ...........................................................................................................................................................118Fine Art and Art History ........................................................................................................................................119 History ...................................................................................................................................................................126 Honors  ..................................................................................................................................................................137Human Rights and Conflict Resolution  ................................................................................................................141Interdisciplinary Studies ........................................................................................................................................142International Culture and Business .......................................................................................................................143Judeo-Christian Studies .........................................................................................................................................144Latin American Studies  ........................................................................................................................................145Leadership and American Studies .........................................................................................................................146Linguistics .............................................................................................................................................................152Mathematics ..........................................................................................................................................................153Medieval and Renaissance Studies .......................................................................................................................160Middle East and North Africa Studies ...................................................................................................................161Military Science ....................................................................................................................................................162Modern and Classical Languages and Literatures .................................................................................................166Museum Studies  ...................................................................................................................................................182Music .....................................................................................................................................................................183Neuroscience .........................................................................................................................................................196Philosophy and Religion .......................................................................................................................................199Physics, Computer Science and Engineering ........................................................................................................210Politcal Science .....................................................................................................................................................225Pre-Law .................................................................................................................................................................232Pre-Med & Pre-Health ..........................................................................................................................................233President’s Leadership Program ............................................................................................................................239Psychology ............................................................................................................................................................241Sociology, Social Work and Anthropology ...........................................................................................................249Teacher Preparation ...............................................................................................................................................260Theater and Dance .................................................................................................................................................261U.S. National Security Studies ..............................................................................................................................272Women’s and Gender Studies ................................................................................................................................273refereNce iNformAtioNFamily Rights and Privacy Act ..............................................................................................................................274Board of Visitors and Administration ....................................................................................................................276Faculty ...................................................................................................................................................................277Emeriti Faculty ......................................................................................................................................................286iNdex....................................................................................................................................................................289table of Contents                           2018-2019 7Christopher neWport UniversityaCademiC Calendar  fall 2018 – spring 2019Fall 2018:  August 27- December 15August   24   F  Academic Convocation and Honor Code Induction Ceremony   27  M  Classes begin         22-31              W-F  Add/Drop period                  31   F  Last day to Add/Drop (11:59 p.m.) and elect Audit status (5:00 p.m.)September              3  M  Labor Day – classes meet   14   F  Deadline for faculty to submit undergraduate change or extension                                   of I grades for Spring 2018 (5:00 p.m.)   14   F  Deadline for faculty to submit graduate change or extension                   of I grades for Spring 2018 (5:00 p.m.)   17  M  Three Week Grade Entry begins (8:00 a.m.)   21   F  Three Week Grades due (12:00 Noon)October    8  M  Mid-term grade entry begins  (8:00 a.m.)   12   F  Mid-term grades due (12:00 noon)   12   F  Fall Recess (begins at 5:00 p.m.)   17  W  Classes resume   24  W  Last day to Withdraw and elect Pass/Fall option (5:00 p.m.)November  20  T  Thanksgiving recess begins after last class meets   26  M  Classes resumeDecember   7   F  Classes end   8-9             S-Su  University Reading/Study Day  10  M  Final examinations begin  10  M  Final grade entry begins (8:00 a.m.)  12  W  University Reading/Study Day  15   S  Final examinations end  19  W  FINAL GRADES DUE (12:00 noon)Spring 2019:  January 7 - April 27January   7  M  Classes begin              2-11  M-F  Add/Drop period 11   F  Last day to Add/Drop (11:59 p.m.) and elect Audit status (5:00 p.m.) 25   F  Deadline for faculty to submit undergraduate change or extension                                  of I grades for Fall 2018 (5:00 p.m.)  25   F  Deadline for faculty to submit graduate change or extension         of I grades for Fall 2018 (5:00 p.m.)  28  M  Three Week Grade Entry begins (8:00 a.m.)February  1  F  Three Week Grades due (12:00 Noon)  25  M  Mid-term grade entry begins (8:00 a.m.)March    1   F  Mid-term grades due (12:00 noon)               1   F  Spring Recess (5:00 p.m.)   11  M  Classes resume  20  W  Last day to Withdraw and elect Pass/Fall option (5:00 p.m.)April  19   F  Classes end             20-21  S-Su  University Reading/Study Days  22  M  Final examinations begin  22  M  Final grade entry begins (8:00 a.m.)  24   W  University Reading/Study Day  27   S  Final examinations endMay   2   Th  FINAL GRADES DUE (10:00 a.m.)               6-10              M-F  Commencement Week activities 11   S  Commencement  2018-2019                          aCademiC Calendar8aCademiC Calendar                             2018-2019 Summer 2019May 2019 Term     Three-week session: M-F Classes  May 6 - May 24MAY   6  M  Classes begin   7   T  Last day to Drop/Add (11:59 p.m.) and elect Audit status (5:00 p.m.) 15  W  Last day to Withdraw and elect Pass/Fail (5:00 p.m.) 23  Th  Classes end 24   F  Final grade entry begins (8:00 a.m.) 24   F  Final examinations 29  W  FINAL GRADES DUE (12:00 noon)Summer 2019 Extended Term: May 6 - August 2May   6  M  Classes may beginJuly  29  M  Final grade entry begins (8:00 a.m.)August   2   F  Classes may end   2   F  FINAL GRADES DUE (12:00 noon)  Summer 2019 Term 1    Four-week session: M-F Classes  June 3 - June 28June   3  M  Classes begin   4  T Last day to Drop/Add (11:59 p.m.) and elect Audit status (5:00 p.m.)  17 M Last day to Withdraw and elect Pass/Fail (5:00 p.m.) 26 W Classes end 27 Th University Reading/Study Day 28   F  Final examinations 28   F  Final grade entry begins (8:00 a.m.)July   3  Th  FINAL GRADES DUE (12:00 noon) Summer 2019 Term 2   Five-week session: M-Th Classes July 1 - August 1July   1 M Classes begin    2 T Last day to Drop/Add (11:59 p.m.) and elect Audit status (5:00 p.m.)  15 M Last day to Withdraw and elect Pass/Fail (5:00 p.m.) 31 W Classes endAugust    1  Th  Final examinations   1  Th  Final grade entry begins (8:00 a.m.)    6  T FINAL GRADES DUE (12:00 noon)92018-2019                          the University“We aspire to be a preeminent, public liberal arts and sciences university.” President Paul TribleVisionChristopher Newport University, a small academically selective public university, is grounded in the principles of liberal learning and dedicated to the ideals of scholarship, leadership and service. We celebrate the values inherent in the liberal arts and sciences and live as a community of honor to inspire our students to lead lives of significance. We aspire to be a preeminent, public liberal arts and sciences university. We will pursue excellence in all that we do and dedicate ourselves to those initiatives that will strengthen our teaching, our scholarship, our academic programs and disciplines, and our campus community. We will build an intimate, diverse, residential community which will attract the most academically talented, inquisitive, and intellectually adventuresome students. We will ignite in our students a love of learning and instill a sense of responsibility and civic duty that will give our graduates the knowledge and confidence to engage as responsible leaders and citizens in their communities, the nation and the world.MissionThe mission of Christopher Newport University is to provide educational and cultural opportunities that benefit CNU students, the residents of the Commonwealth of Vir-ginia and the nation. CNU provides outstanding academic programs, encourages service and leadership within the community, and provides opportunities for student involve-ment in nationally and regionally recognized research and arts programs.Our primary focus is excellence in teaching, inspired by sound scholarship. At CNU, personal attention in small classes creates a student-centered environment where cre-ativity and excellence can flourish. Our primary emphasis is to provide outstanding undergraduate education. We also serve the Commonwealth with master’s degree programs that provide intellectual and professional development for graduate-level students.We are committed to providing a liberal arts education that stimulates intellectual inquiry and fosters social and civic values. CNU students acquire the qualities of mind and spirit that prepare them to lead lives with meaning and purpose. As a state university, we are committed to service that shapes the economic, civic, and cultural life of our community and Commonwealth.HistoryCNU was authorized and established by the Virginia General Assembly in its 1960 session as a two-year branch of the College of William and Mary. The University derives its name from Captain Christopher Newport, the English mariner who was among the most important men connected with the permanent settling of Virginia. It was Captain Newport who was put in sole charge and command of the small squadron of three ships that made the historic voy-age, culminating with the landing at Jamestown in 1607. Christopher Newport University became a four-year, baccalaureate-degree-granting institution in 1971 and, in July 1977, became totally independent from The College of William and Mary. The University began offering graduate programs in July 1991. The University first enrolled 171 students in September 1961 at its initial home, a former public school building in downtown Newport News, provided through the generosity of the city of Newport News and its school board. In 1963, the city of Newport News purchased and deeded to the Commonwealth the 75-acre tract where the present campus is now located.The University derives its financial support from the Virginia General Assembly and from the tuition and fees paid by its students. The affairs of the University are directed by the Board of Visitors of Christopher Newport University, appointed by the governor of Virginia. The president of the University, appointed by the Board of Visitors, is the delegated authority over the administration and the courses of instruction. University presidentsH. Westcott Cunningham1961-1970James C. Windsor1970-1979John E. Anderson, Jr.1980-1986Anthony R. Santoro1987-1996 President EmeritusPaul S. Trible, Jr.1996-PresentAccreditationChristopher Newport University is accredited by the Southern Association of Colleges and Schools Commission on Colleges to award degrees at the baccalaureate and mas-ter’s degree levels. Contact the Commission on Colleges at 1866 Southern Lane, Decatur, "
GA 3003,"3-4097 or call (404) 679-4501 for questions about the accreditation of Christopher Newport University.10admission, freshman                          2018-2019 admission to the UniversityRobert Lange, Dean of AdmissionChristopher Newport Hall 200(757) 594-7015  Toll Free: (800) 333-4268  Fax: (757) 594-7333Tour Information (757) 594-7334admit@cnu.eduThe Office of Admission provides the following services: • Reviews and acts on applications for freshman admission to the University and merit scholarship candidacy. • Makes referrals to academic departments for curricular advising.• Provides guided tours of the campus.• Conducts information sessions on and off campus.• Distributes University publications and electronic marketing material.• Determines eligibility for in-state tuition.• Represents the University at high school visits, college fairs, panel presentations and other recruitment venues.• Sponsors on- and off-campus recruitment events.• Conducts personal admission and scholarship application interviews.It is the policy of Christopher Newport University to admit students whose ability and preparation indicate potential for success in the programs of study offered.  CNU does not discriminate in admission on the basis of race, gender, color, age, religion, veteran status, national origin, disability, sexual orientation or political affiliation. Students may be admitted as degree-seeking students to the University beginning in the fall or spring semesters.  Applicants must meet published deadlines, and the University will accept the best-qualified applicants on a space-available basis.Admission Deadlines for Fall Freshman ApplicantsApplication      Deadline      Notification DateEarly Decision      November 15      December 15Early Action      December 1      January 15Regular Decision      February 1      March 15Admission Deadlines for Spring Freshman ApplicantsApplication      Deadline      Notification DateRegular Decision      October 1      RollingFreshman Admission Requirements, Degree-seeking Admission to Christopher Newport University is selective and competitive. Space is limited in each entering class and admission offers are reserved for the best-qualified applicants. General requirements for freshman admission are:• Graduation from an accredited secondary school or its equivalent.  Christopher Newport University emphasizes strong academic preparation. Freshman applicants are expected to have completed a college preparatory curriculum, such as Virginia’s 26-unit Advanced Studies Diploma (ASD) program, or its equivalent. This program requires four units of English, four units in the social sciences, four units in mathematics, four units in laboratory science, three units in one foreign language or two units in two foreign languages, two units in health and physical education, two units of electives, and one unit in fine arts or career and technical education. The mid-range (middle 50 percent) for successful applicants is a 3.5-4.0 GPA and an 1150-1290 SAT (Evidence-Based Reading and Writing and Math) or 23-27 ACT (Composite). Each applicant is reviewed individually and holistically.• American sign language courses may be used to meet minimum high school foreign language course requirements.• The University accepts results from either the SAT or ACT.  Applicants who have achieved a 3.50 cumulative high school GPA (on a 4.00 scale), or rank in the top 10 percent of their high school graduating classes may apply to the University without submitting a standardized test score. Test Optional applicants will be reviewed for the strength of their academic curriculum, recommendations, personal statement, extra-curricular involvement and admission interview.  A limited number of Test Optional spaces are available within each entering freshman class. The Classical Learning Test (CLT) is also considered if submitted. • An essay or personal statement of approximately 250-500 words.• All admission applicants are strongly encouraged to schedule an admission interview.  Interviews are required for all merit scholarship applications administered by the Office of Admission.• Optional – personal recommendation, preferably from a teacher in a core subject.• Degree-seeking applicants must submit a non-refundable application fee (see Undergraduate General Fees).First, second and third year students are required to live on campus unless they live with a parent or legal guardian in one of the following exempted areas: Newport News, Hampton, Poquoson, Yorktown, Seaford, Grafton, or Tabb. The residential experience is designed for students who reach 17 to 22 years of age by September 1, 2017. Students who are younger or older than the previously stated ages will receive consideration on a case-by-case basis.112018-2019                          admission, freshmanDocuments Required for Freshman ApplicantsThe following documentation must be submitted in addition to the application for admission: 1. Current High School Students:  An official transcript from the applicant’s secondary school.  Official SAT or ACT scores are also required (except for Test Optional applicants).2. High School Graduates/Adults: Applicants who graduated prior to the current year must also submit an official final high school transcript designating graduation date. (SAT or ACT is required of applicants who graduated from high school less than five years prior to applying).3. Home School Students: Applicants must submit a transcript describing their college-preparatory courses and test results from either the SAT or ACT.  A Home School Supplement Form is required at the time of application submission.Admission for International StudentsChristopher Newport University is authorized by federal law to enroll non-immigrant alien students.  The admission application deadlines for international students are February 1 and October 1, for the fall and spring semesters, respectively.  Since the University is a state-supported institution, it cannot provide financial aid to international students.  International applicants who are not U.S. citizens are required to:1. Submit an application for admission under degree-seeking status.2. Submit official copies of  secondary school transcript(s).  If these documents are not in English, certified English translations are required. 3. Submit official scores from the SAT or ACT if native language is English.  Results should be sent directly from the testing agency.  The CNU SAT code is 5128 and the ACT code is 4345.  4. Submit scores from one of the following testing agencies to demonstrate English proficiency if native language is not English:  Test of English as a Foreign Language (TOEFL); International English Language Testing System (IELTS); International Test of English Proficiency (iTEP); Michigan English Language Assessment Battery (MELAB); Trinity Integrated Skills in English (ISE). 5. Submit a Financial Resources Statement, including any official bank statements or affidavits to demonstrate the financial resources required to pay the cost of attendance at CNU.6. Submit a non-refundable application fee (see Undergraduate General Fees).Enrichment Program for High School StudentsThe University offers well qualified high school juniors and seniors an opportunity to enroll in limited coursework at CNU prior to graduation from high school as a way to bridge the gap between high school and college.  Open to students with strong academic backgrounds and standardized test scores, such students may take only courses for which they meet the prerequisites.  An interview with the Dean of Admission is required, after receipt of the following application materials.• Non-Degree Application for admission, including a $65 application fee.• Official high school transcript.• Official SAT or ACT scores.• Letter of recommendation from high school principal, granting permission to take college courses at CNU.Placement Credit Policies The University will review student records for placement credit in accordance with the following policies.  Please note that these policies and the required scores are reviewed and updated annually.  Official score reports from each testing agency are required.  All placement credit is posted to the advising transcript available on the student’s individual CNU Live account after the May 1 Enrollment Deposit Deadline based on the test score and applicable CNU credit chart published annually.  Prospective students should check the CNU website for updates at cnu.edu/registrar/placement/. • International Baccalaureate (IB) Program.  Students who want to have courses reviewed for college credit must supply official proof of IB Diploma completion (in addition to official test score reports) to the Office of Admission.  Departmental or elective credit is awarded based on individual exam score.• Advanced Placement Program (AP) of the College Board.  Departmental or elective credit is awarded for each eligible course based on exam score.• University of Cambridge International Examinations.  Departmental or elective credit is awarded for each eligible course based on exam score.12admission, freshman                          2018-2019 advanCed plaCementThe following scores are effective for Fall 2019 applicants.Credit received through the Advanced Placement (AP) exam may be applied toward degree requirements.  Please note that these policies and the required scores are reviewed and updated annually. Prospective students should check the CNU website for updates at cnu.edu. Listed below are acceptable tests and minimum scores necessary to earn credit at CNU:AP Test                                                        Score                 Credit                   CNU Equivalent Art History* 3        3 "
FNAR 201," Art Studio 2D 3   A* A*Art Studio 3D 3   A* A*Art Studio Drawing 3   A* A*Biology    3      3 * and 202, unless the student has permission for an exemption; 2. One studio art course (3 credits) ; 3. Three courses (nine credits) in art history electives.The Minor in Studio Art (24 credits)1.  and 202;4. , 202, 204, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 395 (in art history), 403, 490; . World Art in Context I (3-3-0 each) AICEFall and Spring.This course is an introductory survey of art and visual culture from the prehistoric era to the fourteenth century and explores a broad range of artwork including, but not limited to, sculpture, painting, ceramics and architecture. The course begins by studying prehistoric art such as the cave paintings of Lascaux, and continues with examinations of other European visual arts including Greek vase painting and Roman sculpture. It will also investigate non-European arts such as African sculpture, Islamic architecture, and Mesoamerican painting. The major themes of this course include how art communicates within particular cultural and historical contexts as well as how art reflects the values, ideals, desires, beliefs, and politics of a society., 202. Fall. A study of Modern painting, sculpture and architecture from the late eighteenth century through the early twentieth century. The course traces the progression of successive movements in Modern Art from its origins in late eighteenth-century Neoclassicism and Romanticism through early twentieth-century styles, including Cubism, Futurism, and Surrealism. Particular attention will be given to the unfolding concept of Modernism in painting, sculpture and architecture, as well as critical reaction to “the shock of the new,” as witnessed by the emergence of avant-garde movements such as Realism, Impressionism, Cubism, Surrealism, and Dada. This course partially satisfies the writing intensive requirement., 202 or consent of instructor. Spring, alternate years. A chronological study of American painting, sculpture, architecture and furniture from the early seventeenth century to 1920. This course presents an interpretation of American art within a social, religious and political context, and will explore issues such as art in response to European influences and American nationalism., 202, or consent of instructor. Spring, alternate years. A study in the development of art from the early Renaissance through the 16th century. Special attention is given to the changing role of the artist, the effects of Roman and Greek archaeology, increasing nationalism, as well as establishing our conceptual vision of the world. , 202 or consent of instructor. Spring.A chronological study of painting, sculpture and architecture in India, China and Japan. This course presents a study of Asian art in context, and particular attention will be given to art as a response to Asian religion, patronage and social change. or consent of instructor. Fall, every third year.This course is a wide-ranging survey of the arts from the indigenous cultures of the Caribbean, Mesoamerica, and the Andes, prior to contact with European societies. This course will focus on the historical development of the arts and architecture of these areas and the role of art in this wide variety of social contexts., 202 or consent of instructor. Fall, alternate years. Survey of painting, sculpture and architecture of the middle ages from the Carolingian through the Gothic periods. This course emphasizes the relationship of medieval art to religious, philosophical and social developments in Western Europe., 202 or consent of instructor. Spring, alternate years. This course examines the major themes and artists of contemporary art from the late 1940s to the present. While the focus is on American and European art, recent art from other regions of the world will also be considered. The relationship between contemporary art and the socio-political contexts of this period will be addressed, including a consideration of the impact of the mass media and other technological developments. Special attention will be paid to innovative materials and methods of display, expanding concepts of art and theory, critical reception and the art market, and evolving representations of identity. , 202 or consent of instructor. Fall, alternate years.A survey of seventeenth-century European painting, sculpture and architecture. This course presents an interpretation of Baroque art in context, and will explore issues to include art in response to the Protestant and Catholic reformations, as well as the rise of middle class patronage in Northern Europe., 202 or consent of instructor.Spring, alternate years.This course will survey the arts of northern Europe, including the Netherlands, Holland and Germany, during the Renaissance, from 1300-1600.  The course will evaluate  the influence of political and religious institutions, such as fine art and art history 2018-20191252018-2019                      fine art and art historythe papacy and the Catholic church, international trade with Italy and Spain, the rise of Humanism and how they shaped the development of one of the most fascinating periods of western art history., 202 or consent of instructor.Spring, alternate years. A study of the arts of the Caribbean beginning with indigenous cultures and proceeding through the contemporary period.  The course will focus on the differences as well as the similarities between the many cultures of the Caribbean, emphasizing both shared and local histories, and the influences of these on artistic developments. or consent of instructor.Spring, alternate years. While an introductory course on the arts of the African continent, the course also explores the various ways in which Africa and its arts have been represented by and to the Western world. We will discuss African art, but we will also examine how the study of African art has been historically constructed and how the key issues present in African art and scholarship continue to reflect this construction. Students will also examine the influence of African art on the Diaspora of the Americas and Caribbean., 202; and , ;   World Art in Context I: Ancient to   Medieval"
