ClassID,Desc
CORE 151," Legacies of the Ancient World Director Marlowe This course explores ancient texts that articulate perennial issues, such as the nature of the human and the divine; virtue and the good life; the true, the just, and the beautiful; the difference between subjective opinion and objective knowledge. These texts exemplify basic modes of speech, literary forms, and patterns of thinking that establish the terminology of academic and intellectual discourse and critical thought across many different societies: epic, rhetoric, tragedy, poetry, epistemology, science, democracy, rationality, the soul, spirit, law, grace. Such terms have shaped the patterns of life, norms, and prejudices that human communities have continually challenged, criticized, and refashioned throughout history. To highlight both the dialogue and conflicts between the texts and the traditions they embody, this course, taught by a multidisciplinary staff and in an interdisciplinary manner, focuses on both the historical contexts of these texts and the ongoing retellings and reinterpretations of them through time. The course includes texts from the ancient Mediterranean world that have given rise to some of the philosophical, political, religious, and artistic traditions associated with "The West," emphasizing that Western traditions were not formed in a vacuum but developed in dialogue and conflict with other traditions. Common to all sections of this component are classic works such as Homer, the Hebrew Bible, the New Testament, Plato, and a Roman text. Complementary texts or visual materials from the ancient period, in and beyond the Western world, and/or response texts from the medieval or contemporary periods are added by faculty in individual sections.  - Legacies of the Ancient World  /152 readings, these books are about human nature and what it means to be human. They are cultural expressions of timeless value and enriching resources for human fruition. Readings include major Confucian and Taoist text, selections from Mahayana Buddhist writings, and Japanese classes on aesthetics. Taught in English.  Credits: 1.00 Crosslisted:   Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Human Thought and Expression Liberal Arts CORE: None 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  459 /  Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Human Thought and Expression Liberal Arts CORE: None  - Legacies of the Ancient World Explores ancient texts that articulate perennial issues: the nature of the human and the divine; virtue and the good life; the true, the just and the beautiful; the difference between subjective opinion and objective knowledge. These texts exemplify basic modes of speech, literary forms, and patterns of thinking that establish the terminology of academic and intellectual discourse and critical thought across many different societies: epic, rhetoric, tragedy, epistemology, science, democracy, rationality, the soul, spirit, law, grace. Such terms have shaped the patterns of life, norms, and prejudices that have been continually challenged, criticized, and refashioned throughout history. To highlight both the dialogue and conflicts between the texts and the traditions they embody, this course, taught by a multidisciplinary staff and in an interdisciplinary manner, focuses on both the historical contexts of these texts and the ongoing retellings and reinterpretations of them through time. Moreover, the course includes texts from the ancient Mediterranean world that have given rise to some of the philosophical, political, religious, and artistic traditions associated with "The West," emphasizing that Western traditions were not formed in a vacuum but developed in dialogue and conflict with other traditions, some of which lie beyond the geographical area of "The West." Common to all sections of this component are classic works such as Homer, the Hebrew Bible, the New Testament, Plato, and a Roman text. Complementary texts or visual materials from the ancient period, in and beyond the Western world, and/or response texts from the medieval or contemporary periods are added in individual sections or groups of sections. Thus, some groups of sections may have particular themes. These themes will be identified at registration every term.  Credits: 1.00 Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: No Junior, Senior Area of Inquiry: None Liberal Arts CORE: Legacies of Ancient World "
CORE 152," Challenges of Modernity Director Bouk Modernity is a crucial element of the intellectual legacy to which we are heirs. A matrix of intellectual, social, and material forces that have transformed the world over the last quarter millennium, modernity has introduced new problems and possibilities into human life. Within modernity, issues of meaning, identity, and morality have been critiqued in distinctive ways. People of different social classes, racial groups, ethnic backgrounds, genders and sexual identities have contributed to an increasingly rich public discourse. The human psyche has been problematized, and the dynamic character of the world, both natural and social, has been explored. Urbanization and technological development have transformed the patterns of everyday life. Imperialism has had a complex and lasting impact on the entire globe. The human capability to ameliorate social and physical ills has increased exponentially, and yet so has the human capacity for mass destruction and exploitation. In this course, taught by an interdisciplinary staff, students explore texts from a variety of media that engage with the ideas and phenomena central to modernity. To ensure a substantially 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  98 common experience for students, the staff each year chooses texts to be taught in all sections of the course. This component of the Core Curriculum encourages students to think broadly and critically about the world that they inhabit, asking them to see their contemporary concerns in the perspective of the long-standing discourses of modernity. Communities and Identities Director Kaimal Courses in the Communities and Identities (CI) component are designed to provide a textured understanding of identities, cultures, and human experiences in particular communities and regions of the world. They seek to examine critically the multiple forms of social life that contribute to the world's cultural diversity, and to analyze the ways in which any one society functions as a unified whole and yet encompasses multiple, sometimes conflicting identities (based, for example, on gender, race, status, class, sexual identities, religion, and language). As investigations into a particular place and its extensions, they consider cultures and communities in their own right, with their own practices, histories, beliefs, and values, their own instantiations of modernity, and lastly, with their own capacities to produce and shape complex identities. Furthermore, because many of the societies that are the subject of study have had significant and enduring encounters with imperial powers or other forms of domination, these courses examine the tensions and permutations, asymmetries and alliances that such relationships have produced. Multidisciplinary in focus and materials, these courses explore the complex identities of persons through study of their geography, history, politics, and economics as well as their languages, literature, film, art, music, and religions. Students develop a comparative, historical frame of reference between the community being studied and the communities to which they belong. Scientific Perspectives on the World Director Meyers All people routinely face important decisions about their own lives and about issues of broader social significance that require scientific literacy. In order to make thoughtful decisions about such matters, it is necessary to have a solid understanding of how scientific knowledge is obtained and an appreciation for the complexities of applying scientific findings to broader issues. The courses in the Scientific Perspectives (SP) program are designed to address both of these needs, and are unified by two common purposes. First, these courses deepen students' understanding of the methods used in scientific fields to acquire knowledge about the world. Each of the SP courses focuses on an area of scientific research to give students grounding in the interplay of scientific analysis, verification, and explanation. Second, the SP courses broaden students' understanding of the relevance of scientific methods by helping students to apply scientific methods and findings to a broad range of issues. Specifically, these courses help students to connect their growing understanding of scientific methods either to a topic relevant to society and the human experience or to an area of knowledge or mode of inquiry outside the natural sciences and mathematics. In this way, SP courses are multi-disciplinary in focus. Because empirical methods and quantitative reasoning are used in a variety of disciplines, the topics of the SP courses span the study of the physical world, biological processes, human behavior, mathematical methods, and technological innovations. SP courses provide an illustration of the application of the scientific method through an active learning, problem-oriented experience for students. Courses that may be crosslisted with Scientific Perspectives (e.g.,  readings, these books are about human nature and what it means to be human. They are cultural expressions of timeless value and enriching resources for human fruition. Readings include major Confucian and Taoist text, selections from Mahayana Buddhist writings, and Japanese classes on aesthetics. Taught in English.  Credits: 1.00 Crosslisted:  - Challenges of Modernity Modernity is a crucial element of the intellectual legacy to which we are heirs. A matrix of intellectual, social, and material forces that have transformed the world over the last quarter millennium, modernity has introduced new problems and possibilities into human life. Within modernity, issues of meaning, identity, and morality have been critiqued in distinctive ways. People of different social classes, racial groups, ethnic backgrounds, genders and sexual identities have contributed to an increasingly rich public discourse. The human psyche has been problematized, and the dynamic character of the world, both natural and social, has been explored. Urbanization and technological development have transformed the patterns of everyday life. Imperialism has had a complex and lasting impact on the entire globe. The human capability to ameliorate social and physical ills has increased exponentially, and yet so has the human capacity for mass destruction and exploitation. In this course, taught by an interdisciplinary staff, students explore texts from a variety of media that engage with the ideas and phenomena central to modernity. To ensure a substantially common experience for students, the staff each year chooses texts to be taught in all sections of the course. This component of the Core Curriculum encourages students to think broadly and critically about the world that they inhabit, asking them to see their contemporary concerns in the perspective of the long-standing discourses of modernity.  Credits: 1.00 Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: No Junior, Senior 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  699 Area of Inquiry: None Liberal Arts CORE: Challenges of Modernity "
COSC 100,"/ or ,  Computers in the Arts and Sciences  o  - Computers in the Arts and Sciences Introduces students to the inner workings of computers, the Internet, the Web. Students learn to create a well-designed web page; build a website; perform regression analysis; analyze a small social network; etc. Students spend two weeks on the notion of data modeling, build simple but useful financial models, and in the process learn the basics of financial literacy. There are several lab assignments and two group projects, one to build a website on the subject of choice, the other to analyze a social network. No computer experience is required. The course does not count toward the major.  Credits: 1.00 Crosslisted: .  2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  471 Credits: 0.25 Corequisite:  Prerequisites: None Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Natural Sciences & Mathematics Liberal Arts CORE: None   Corequisite: "
CORE 126S,", and   Corequisite:  - Computers in the Arts and Sciences Introduces students to the inner workings of computers, the Internet, the Web. Students learn to create a well-designed web page; build a website; perform regression analysis; analyze a small social network; etc. Students spend two weeks on the notion of data modeling, build simple but useful financial models, and in the process learn the basics of financial literacy. There are several lab assignments and two group projects, one to build a website on the subject of choice, the other to analyze a social network. No computer experience is required.  Credits: 1.00 Crosslisted: L 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  708 Prerequisites: None Major/Minor Restrictions: None Class Restriction: No Junior, Senior Area of Inquiry: None Liberal Arts CORE: Scientific Perspectives L - Computers in the Arts and Sciences Lab Required corequisite to .  Credits: 0.25 Corequisite:  Prerequisites: None Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: None Liberal Arts CORE: Scientific Perspectives "
COSC 150,"/). The math course requirement may be met by taking  provide opportunities for non-majors to learn about computer applications in the liberal arts and to survey, at an introductory level, some topics in computer science. Awards The Award for Excellence — awarded by the department to a student on the basis of outstanding academic performance in coursework taken within the department. The Laura Sanchis Award for Excellence in Research — awarded by the department to a student on the basis of outstanding research performed within the department. The Award for Outstanding Contribution to the Computer Science Community — awarded by the department to a student who has made outstanding contributions to the students and faculty in computer science. This may reflect outstanding work as a laboratory tutor and monitor, work on developing software used by students and faculty, work on maintaining the hardware and software in the computer science laboratories, or academic leadership in the department. The Edward P. Felt '81 Memorial Prize Fund in Computer Science — established in 2001 by family, friends, classmates, and professors. This is an annual prize created in memory of Ed Felt '81, who died aboard the September 11, 2001, flight that went down in western Pennsylvania. This prize shall be awarded with first preference given to a student or students who exhibit excellence in the field of computer science. Advanced Placement and Transfer Credit The department grants advanced placement and credit to students who perform satisfactorily on the College Entrance Examination Board Advanced Placement (AP) exam for computer science as follows: students receiving scores of 4 or 5 on the A exam receive credit for  - Contemporary Issues in Computer Science An introduction to contemporary concepts, models, and issues in computer science. Topics are chosen from the nature of computation, algorithms and their applications, data centers and cloud computing, software engineering, logic and system design, programming languages, security, big data and data mining, mobile computing, and others. These topics relate to contemporary experience by examining issues such as privacy, software reliability, information access, politics and social networks, e-commerce, electronic piracy, globalization, hacking, ownership of bits, copyright and patent infringement. The course does not count toward the major.  Credits: 1.00 Crosslisted:   Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: No Junior, Senior Area of Inquiry: None Liberal Arts CORE: Scientific Perspectives "
CORE 142S,") may not be used to satisfy both the Areas of Inquiry and Core SP requirements. Check the course offerings posted online each term for additional Scientific Perspectives offerings as well as selected first-year seminars that may fulfill this requirement. 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  99 Global Engagements Director Frey Living thoughtfully in the multicultural, globalized world of the 21st century requires critical engagement with complex phenomena and varied perspectives. Courses in this component provide the opportunity to analyze the conditions and consequences of human diversity in its local and transnational forms. To satisfy this requirement, each student will successfully complete a designated course that inquires into the ways that people seek to make sense of a diverse and increasingly interconnected world. Global Engagements (GE) courses come from departments and programs throughout the university. A number of Colgate study group directors' courses have also been approved to satisfy this requirement. GE courses take a variety of forms. For instance, a course in this component might ask students to do one of the following:  examine the consequences of globalization in one or more of its many forms,  investigate issues or processes that have an impact that can be fully understood only by using a global perspective,  experience the cross-cultural understanding that comes from intensive language learning or study group participation,  cross boundaries by examining how diversity finds expression in human culture, or  consider human diversity in dimensions such as race, class, and gender. Ultimately, the GE requirement seeks to empower students to live responsibly in contexts that require an understanding of the complexity of human beings and their impact, whether in the United States or in the broader world. A Global Engagements course may count toward a student's major or minor; it may also fulfill an Areas of Inquiry requirement. Students are expected to take at least one CI or GE course that is not focused exclusively on the United States. Global Engagements courses will be identified in the registration materials available each semester. Distinction Seminar in the Liberal Arts Core Director Frey The goal of the distinction seminar is to complement honors work in departments and programs by giving select students the opportunity to reflect on the broader, interdisciplinary contexts of their honors projects. Through readings assigned by the seminar instructors, students explore the methodologies of their own and other disciplines. Each student writes a substantial interdisciplinary paper relevant to the student's departmental honors work. This requirement may be satisfied in one of the following ways:  by extending a departmental honors project to explore interdisciplinary perspectives on the project topic or to examine the social implications or historical foundations of the project;  by self-consciously considering the generation and evaluation of knowledge in the major; or  by collaborating with one or more members of the seminar to explore themes common to the students' departmental projects. To enroll in the distinction seminar, students must achieve a 3.33 (B+) or better GPA in the five Core components: Legacies of the Ancient World, Challenges of Modernity, Scientific Perspectives on the World, Communities and Identities, and Global Engagements. For students who repeat or complete multiple courses with a Common Core component, only the grade in the first course is considered. A cumulative grade for all Global Engagements courses completed is averaged in the Core GPA. To earn Distinction in the Liberal Arts Core, students must earn an A- or better in the distinction seminar, earn departmental 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  100 honors with the completion of the department honors project, and achieve an overall GPA of 3.33 or better at the time of graduation. Awards The Liberal Arts Core Curriculum Prizes — awarded by the program to the authors of the best papers/projects done by a student in each of four components of the Liberal Arts Core Curriculum, as determined by a faculty committee. The winning papers/projects are evaluated on their scholarship, originality, and excellence.    2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  101 Page intentionally left blank.   2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  102 Division of Arts and Humanities Director D. McCabe Students who wish to focus their studies in disciplinary or interdisciplinary areas not encompassed by a single department in the arts and humanities may pursue a topical major in the division. In order to qualify for this major, a student must provide the division director with a proposed program of study and a rationale for this program during the spring term of the sophomore year. No proposal for a topical major will receive approval after the second month of the student’s fifth term. Customarily, the major is available for students who wish to devote special attention to studies such as comparative literature or some combination of creative arts, such as music and fine arts, or drama, literature, and stage design. Students majoring in this topical area will, in the last term, write a substantial integrating paper as an independent study; one course credit is earned for this senior project. Students interested in such a major program are strongly urged to discuss their proposed plans of study with appropriate academic advisers and with the division director well in advance of the deadline specified above. The Division of Arts and Humanities houses the departments/programs listed below:   Division of Arts and Humanities Director D. McCabe Students who wish to focus their studies in disciplinary or interdisciplinary areas not encompassed by a single department in the arts and humanities may pursue a topical major in the division. In order to qualify for this major, a student must provide the division director with a proposed program of study and a rationale for this program during the spring term of the sophomore year. No proposal for a topical major will receive approval after the second month of the student's fifth term. Customarily, the major is available for students who wish to devote special attention to studies such as comparative literature or some combination of creative arts, such as music and fine arts, or drama, literature, and stage design. Students majoring in this topical area will, in the last term, write a substantial integrating paper as an independent study; one course credit is earned for this senior project. Students interested in such a major program are strongly urged to discuss their proposed plans of study with appropriate academic advisers and with the division director well in advance of the deadline specified above. All courses in the Division of Arts and Humanities count towards the Human Thought and Expression area of inquiry requirement. Arts and Humanities Topical Major For more information about the division, honors/high honors, transfer credit, etc., visit the Division of Arts and Humanities page.   2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  103 Art and Art History Faculty Professors Godfrey, Kaimal (Chair), McVaugh, Schwarzer, Stephenson Associate Professors Guile, Lane, Marlowe Assistant Professors Haughwout, Luthra, Moure Cecchini The Department of Art and Art History offers courses of study in the history, theory, and practice of the visual arts for the general liberal arts student as well as the art history or studio art major. Art History The department offers more than 20 courses that trace the visual arts from antiquity to the present day. Classroom lectures are supplemented by visits to museums in the area and in New York City, as well as Colgate's Clifford Gallery, Picker Art Gallery, and Longyear Museum. In this way, students increase their understanding of the visual arts as expressions of fundamental cultural values. Studio Art Courses explore creative modes of expression and problem solving while gaining familiarity with contemporary issues in visual art. The curriculum supports a variety of mediums including digital art, drawing, painting, photography, printmaking, sculpture, and video art at the introductory and advanced levels. Studio arts courses are enriched by an ongoing series of visiting artists' lectures, exhibitions, and screenings as well as regular visits to New York City galleries, museums, and artists' studios. The Clifford Gallery is a teaching gallery featuring four to six exhibitions a year. Exhibitions are selected by the art and art history faculty to explore issues originating in the academic curriculum. The primary focus is the display of professional work by contemporary artists. These artists are often featured in the weekly public lecture series described below. The Clifford Gallery is open to the entire community and contributes to the cultural life of the central New York area. The Department of Art and Art History Lecture Series Lectures take place every other week in Little Hall's Golden Auditorium. The series features presentations by studio artists, art historians, and critics, and serves as an arena for discussion of a wide range of subjects relevant to the study of the visual arts. Recent participants have included art historians and practicing sculptors, painters, film and video makers, printmakers, photographers, architects, and artists working in digital art and performance. The series is required as part of the curriculum and is open to the community. It also serves as a venue for welcoming Colgate graduates back to discuss their work in the visual arts. The Alternative Cinema Series takes place weekly on Tuesday evenings. This is a series of films and videos ranging from "classic" cinema to the current avant-garde. Each semester several film/video makers, historians, or curators visit campus and present work in person for the series. The Picker Art Gallery This professional gallery maintains the Colgate University collections, including some 11,000 works from a wide range of cultures and historical periods. Although it is not part of the Department of Art and Art History, the Picker Art Gallery provides an important resource to students, faculty, alumni, and friends of Colgate through exhibitions and sponsorship of the Friends of the Visual Arts. The Longyear Museum of Anthropology For a full description, please see Sociology and Anthropology.   2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  104 Course Information Course classifications: Studio Arts (SA) Art History (AH) Honors and High Honors After completing  Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Natural Sciences & Mathematics Liberal Arts CORE: None  - Contemporary Issues in Computer Science An introduction to contemporary concepts, models, and issues in computer science. Topics are chosen from the nature of computation, algorithms and their applications, data centers and cloud computing, software 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  712 engineering, logic and system design, programming languages, security, big data and data mining, mobile computing, and others. These topics relate to contemporary experience by examining issues such as privacy, software reliability, information access, politics and social networks, e-commerce, electronic piracy, globalization, hacking, ownership of bits, copyright and patent infringement.  Credits: 1.00 Crosslisted: "
ARTS 475," Senior Project: Art History (AH) in the fall semester, students have the opportunity to apply to continue their work with an honors-eligible project in the spring semester. The award of honors in art and art history is dependent on departmental evaluation. Art History: The honors-eligible project could be a substantial reworking of the senior project completed in the fall semester of senior year, or a discrete project that meaningfully engages ideas raised in .The thesis adviser and the coordinator of senior projects will decide together on the student's application to continue on to honors-eligible work. Students pursuing honors-eligible work in the spring enroll in an independent study ( - Senior Project: Art History (AH)  Either  - Senior Project: Art History (AH) The student works closely with a faculty member to develop and complete a substantive independent research paper. Majors with an art history emphasis are required to take and complete  in the fall of their senior year.  Credits: 1.00 When Offered: Fall semester only  Corequisite: None Prerequisites: "
ARTS 491,") with their senior project adviser. Honors presentations take place at the end of the term and faculty decide whether the project is worthy of honors. Honors will be conferred only on work of outstanding quality. Studio Art:  The students work closely with a faculty member to develop and realize a coherent body of studio work that serves as a capstone for the concentration. It is the culmination of previous coursework that has required conceptualization and understanding of artistic theoretical frameworks and technical knowledge. Class meetings serve as an opportunity to share ideas and work in progress; regular critiques incorporate the critical language acquired in  (honors) or one additional art history course at the 200 or 300 level. Art Periods 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  108 Within the requirements above, students must take at least one course in each of the following periods: Art Prior to 1300:   - Independent Study - Honors (optional) One of the Following Must be taken before the senior year.   - Independent Study Opportunity for individual study in areas not covered by formal course offerings, under the guidance of a member of the faculty.  Credits: variable Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Human Thought and Expression Liberal Arts CORE: None "
ARTS 375,". Work from the project is shown as part of a senior exhibition at the end of the term. All students with a studio arts emphasis are required to take and complete this course in fall of the senior year. GPA Requirements: Honors — 3.20 in courses within the department; High Honors — 3.70 in courses within the department. Awards The Fitchen Award for Excellence in Art and Art History — awarded by the department to an outstanding art and at history major. The Harriette Wagner Memorial Award — established in 2004 by Professor Joseph Wagner, created in memory of Harriette Zeppinick Wagner. The award will be given annually to the senior art and art history major whose work exemplifies the way visual arts enrich the spirit and express the dignity of human beings. Transfer Credit The department allows two courses to be transferred for credit toward the major, with prior approval of the courses by the department. No more than one period requirement may be fulfilled by means of courses transferred and no seminar taken outside Colgate will fulfill the seminar requirement within the art history major. 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  105   2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  106 Study Groups Students are encouraged to participate in study groups; they may not schedule off-campus study during the senior year. Study abroad must be scheduled around the seminar requirement in art history or the  - Advanced Projects in Studio Art (SA) (must be taken before the fall of the senior year)   - Advanced Projects in Studio Art (SA) Students will develop a distinctive artistic practice and personal voice by building on previous strengths and addressing weaknesses. Conceptual, perceptual, and technical work will be deepened through a series of thematic prompts culminating in an independent project, to be exhibited at the end of the semester. Through encounters with other artists, select readings, research, presentations, writing, and rigorous critiques, students will pioneer a cohesive body of work and situate it within a legacy of arts practice, disciplinary and inter disciplinary dialogues, social issues, and contemporary arts.  Credits: 1.00 Corequisite: None Prerequisites: . Work from the project is shown as part of a senior exhibition at the end of the term. All students with a studio arts emphasis are required to take and complete this course in the fall of the senior year.  Credits: 1.00 2018-2019 Colgate University Catalogue   ______________________________________________________________________________________________________________ This PDF is an extract of the full online catalogue as of August 1, 2018. Therefore, there may be some differences with the live web pages and links or other interactive content will not work.  403 When Offered: Fall semester only  Corequisite: None Prerequisites:  and ("
ARTS 240," or  - Art and Theory 1950-1980 (AH)   - Art and Theory 1950-1980 (AH)   - Art and Theory 1950-1980 (AH)   - Art and Theory 1950-1980 (AH)   - Art and Theory 1950-1980 (AH)   - Art and Theory 1950-1980 (AH) Surveys international art movements since 1950 that questioned the definition of art, the status of the art object, and the role of the artist in the late 20th century. The crisis of modernism serves as a point of departure for consideration of shifting modes of production and interpretation in art and criticism. Varied theoretical paradigms that have informed artistic practice are examined in the context of rapid and radical social change, the emergence of new media, the breakdown of conventional artistic boundaries, the impact of post-colonial thinking, and the explosive growth of art circulation.  Credits: 1.00 Corequisite: None Prerequisites: None Major/Minor Restrictions: None Class Restriction: None Area of Inquiry: Human Thought and Expression Liberal Arts CORE: None Formerly:  or "
