ClassID,Desc
PA 1830,"1 www.esu.edu   Graduate & Extended Studies Office..........570-422-3536 Graduate & Extended Studies Toll-Free......866-837-6130 Graduate & Extended Studies Fax..............570-422-3711 Graduate & Extended Studies E-mail............grads@esu.edu ESU Main Number (Voice Mail)...................570-422-3211 Notice of Nondiscrimination: East Stroudsburg University of Pennsylvania is committed to equal opportunity for its students, employees and applicants. The university is committed to providing equal educational and employment rights to all persons without regard to race, color, sex, religion, national origin, age, disability, sexual orientation, gender identity or veteran’s status. Each member of the university community has a right to study and work in an environment free from any form of racial, ethnic, and sexual discrimination including sexual harassment, sexual violence and sexual assault. (Further information, including contact information, can be found on the university website at: esu.edu/titleix.) In accordance with federal and state laws, the university will not tolerate discrimination. This policy is placed in this document in accordance with state and federal laws including Titles VI and VII of the Civil Rights Act of 1964, Title IX of the Educational Amendments of 1972, Sections 503 and 504 of the Rehabilitation Act of 1973, the Americans with Disabilities Act of 1990, and the Civil Rights Act of 1991 as well as all applicable federal and state executive orders.        2018-2019 Graduate Catalog Mission, Vision, Values ...............................................................3 The University ..................................................................3 Graduate & Extended Studies .........................................3General Information ....................................................................4Admission ...................................................................................8Fees and Deposits....................................................................11Academic Calendar ..................................................................13Financial Aid .............................................................................19Graduate Assistantships ...........................................................21Academic Regulations ..............................................................24Campus Life .............................................................................28Overview of Graduate Programs ..............................................35Programs and Course Descriptions..........................................37 Educational Leadership and Administration Ed.D..........37 Athletic Training M.S. .....................................................40 Athletic Training M.S. Advanced Clinical Practice .........40 Athletic Training M.S. Professional Practice Program ...41 Biology M.S....................................................................47 Clinical Exercise Physiology M.S...................................54 Communication M.A. .....................................................56 Communication Sciences and Disorders M.S. ..............58 Computer Science M.S. .................................................62 Exercise Science M.S. ...................................................65					Advanced	Sport	Performance	Certificate...................66 General Science M.S. ....................................................68 Health Education M.S. ...................................................72 History M.A. ...................................................................76 Instructional Technology M.Ed. ......................................79 Instructional Technology M.Ed. with Pennsylvania					Certification	in	Instructional	Technology ....................80 Instructional Technology M.Ed. with     Concentration in Technology Integration ...................80 Pennsylvania Instructional Technology Specialist					Certification ................................................................81 Management and Leadership M.S.................................83     Organizational Behavior ............................................84     Public Administration .................................................84     Sport Management ....................................................84  Political Science M.A. ....................................................85 English ...........................................................................89     Professional and Digital Media Writing M.A. ..............89 Professional and Secondary Education M.Ed. ..............91					Post-baccalaureate	Certificate	Online         Teaching K-12 ........................................................92					Post-baccalaureate	Certificate	National	Board         Teacher Preparation ..............................................92	Secondary	Education	Certification	Preparation .............92	Secondary	Education	Certification	-	Professional     Development School..................................................93	Principal	Certification	Elementary	and/or     Secondary (K-12 program) ........................................94 Master in Public Health and     Community Health Education ..................................101					Public	Health	Certificate ..........................................102 Reading M.Ed. .............................................................102	Reading	Specialist	Certification	Preparation ...............103 Special Education M.Ed...............................................106	Special	Education	Supervisory	Certification ................106	Applied	Behavior	Analyst	Certification .........................107	Pre-K-8	and/or	7-12	Special	Education	Certification     Preparation ..............................................................107 Sport Management M.S. ..............................................110 Early Childhood and Elementary Education ................113     Teaching the Developing Child M.Ed. ......................113Core Student Learning Themes .............................................119Course Descriptions ...............................................................120Administration .........................................................................126	State	and	University	Officials .......................................126 ESU Council of Trustees..............................................126 University Senior Administration ..................................126 University Senior Policy Administrators .......................127Faculty ....................................................................................128East Stroudsburg University 2018-2019 Graduate Catalog | 2 Table of ContentsMission, Vision, Values| 3  The University Mission  East Stroudsburg University of Pennsylvania will provide: • Challenging and contemporary undergraduate and graduate curricula that engage and equip students to critically appraise and apply knowledge in their lives and chosen fields of study. • A scholarly community that promotes diversity and views teaching as the university’s primary focus. • Varied opportunities for student and faculty research, creative endeavors and involvement in public service. • Leadership and service in the educational, cultural and economic development of the region.     Vision ESU will be an innovative and entrepreneurial university—educationally, socially, organizationally, and culturally—with an emphasis on quality and collaboration in everything we provide. As a scholarly community, its faculty, students, staff, administrators, and affiliates will be encouraged to be innovative and to explore opportunities that will constantly energize and improve its mission as a learning community of the 21st Century. As a "university without walls," its sense of community will extend well beyond campus boundaries to embrace ESU’s surrounding communities and region to become a model that other organizations will want to emulate. Values We are committed to the principles of intellectual integrity, freedom of expression, the fair and equal treatment of all, good citizenship, environmental stewardship, and accountability for our actions and the resources entrusted to us. Graduate & Extended Studies Graduate & Extended Studies embraces the University’s vision, mission, and values, and consistent with those, defines its particular vision, mission, and values as follows: Mission The mission of Graduate & Extended Studies at East Stroudsburg University of Pennsylvania is to advance graduate education in order to develop leaders in their fields who enhance the lives of individuals in our state and nation, as well as globally. Vision The vision of Graduate & Extended Studies at East Stroudsburg University of Pennsylvania is to be recognized and respected throughout Pennsylvania, as well as nationally and internationally, for first rate graduate degree and certification programs in education, health sciences, the arts and sciences, and business and management. Values Graduate & Extended Studies at East Stroudsburg University of Pennsylvania is committed to the following underlying principles in all that we do: • Excellence • Innovation • Leadership • Critical Thinking • Integrity Mission, Vision, Values 4| East Stroudsburg University 2018-2019 Graduate Catalog  Location East Stroudsburg University of Pennsylvania is nestled in the foothills of the Pocono Mountains. The combination of quiet woodlands, mountain streams, and refreshing clean air has made the Poconos famous as a resort area for more than 100 years. Because of the university’s location in the Poconos, students take advantage of the many scenic, historic, and recreational sites, including the Delaware Water Gap National Recreation Area, Bushkill Falls, and the Pocono ski areas. Others have found that the resorts and restaurants offer an excellent opportunity for employment. In addition, the area offers fine restaurants, high-quality entertainment, and excellent shopping. Situated on a hill facing Prospect Street in the community of East Stroudsburg, the university is characterized by large areas of grassy expanses comfortably shaded by a variety of towering trees. The campus is located approximately 75 miles west of New York City and Newark, 85 miles northeast of Philadelphia, 40 miles southeast of the Wilkes-Barre/Scranton area, and 40 miles northeast of the Allentown/Bethlehem/Easton area. Students and faculty alike enjoy the opportunities and advantages of visits to the metropolitan areas. The university, which is located approximately one-quarter mile from the East Stroudsburg exit off Interstate 80, Exit 308, is within easy reach of major highway systems and commercial air services. Accreditation East Stroudsburg University is accredited by the Middle States Commission on Higher Education, 3624 Market St., Philadelphia, 1 8| East Stroudsburg University 2018-2019 Graduate Catalog  Requirements All applicants to Graduate Studies at East Stroudsburg University must meet the following requirements: 1. An applicant must have an earned a baccalaureate degree from a regionally accredited college or university. 2. The applicant’s undergraduate grade point average must be at least 2.50 (on a 4.00 scale) overall, and 3.00 in the major. Some graduate programs require higher overall and major grade point averages. 3. Additional Program Requirements  – Some programs have additional admission requirements, such as graduate school admission test (e.g., GRE, MAT, etc.) scores, specific undergraduate degree or prerequisite coursework, Pennsylvania Department of Education certification, or other requirements. Please refer to the section “Overview of Graduate Program Admission Requirements” for additional, program-specific requirements. Application for Admission A completed application for admission to Graduate Studies at East Stroudsburg University will include the following components: 1. Application – All degree and post-baccalaureate certification programs require a Graduate Admission Application, to be submitted online.  Prospective students interested in pursuing coursework for professional development, or to explore graduate study before applying to a degree or certification program, should complete the Special Status Application. 2. Official Transcripts  – Official transcripts from each undergraduate and graduate institution attended, regardless whether a degree was earned, must be submitted as part of the application package for degree and post-baccalaureate certification programs. Transcripts must be sealed by the registrar and remain sealed until their arrival at the office of Graduate & Extended Studies. Electronic transcripts sent by the registrar via an official transcript service directly to the office of Graduate & Extended Studies are acceptable.  3. Letters of Recommendation  – Two or three professional and current letters of recommendation depending on the program are required of each applicant. Letters are to speak to your ability to be successful in graduate school, career and academic goals, and your professional work experiences and skills. Recommendations should state how long and in what capacity the individual writing the recommendation has known the applicant, and are to be submitted on official letterhead or on the Graduate Application Recommendation Form. Recommendations mailed directly to Graduate & Extended Studies should be in a sealed envelope with a signature across the seal.  Recommendations can also be sent electronically, but should come directly from the recommender. The Special Status Application does not require the submission of letters of recommendation. 4. Professional Goal Statement  – A statement of your perception of your ability to be successful in graduate school, career and academic goals, commitment to your field of study, and your professional work experiences and skills is to accompany the application package. The statement, dated and signed, is an important component of the application. The Special Status Application does not require the submission of a goal statement. 5. Resume  6. Application Fee  – A non-refundable application fee in the amount of $50 must accompany the online application.  7. Documentation of Additional Program Requirements  – Documentation of additional admission requirements (e.g., graduate school admission test – GRE, MAT, etc. – scores, PRAXIS test scores, undergraduate degree or prerequisite coursework, Pennsylvania Department of Education certification, etc.), where required, must be included in the application package. Admission Classifications Applicants to Graduate Studies at East Stroudsburg University are notified of their admission status by a letter from the graduate director before the beginning of the term of planned study. Typically, applicants will be notified of an admission decision within three weeks after all application materials are received. Admission decisions are not subject to appeal. Admission decision classifications are as follows: 1. Admission, Pre-Candidacy (Full)  – Granted to an applicant who plans to work toward a graduate degree and whose application meets admission requirements as set forth by Graduate & Extended Studies and the academic department. 2. Admission, Certification Program  – Granted to an applicant who plans to work toward a certification program and whose application meets admission requirements as set forth by Graduate & Extended Studies and the academic department. 3. Admission, with Conditions  – Granted to an applicant who plans to work toward a graduate degree or certification program but does not meet the academic criteria for admission (e.g., overall/major quality point average, graduate test scores, etc.) or who does not have all of the other requirements (e.g., prerequisite coursework, licenses, etc.) necessary for admission, pre-candidacy (full).  Upon departmental recommendation of the stated conditions, the student may request a change of admission classification from Admission, with Conditions to Admission, Pre-Candidacy. The graduate director will seek the recommendation of the graduate coordinator, and then make the decision for approval or disapproval. 4. Admission, Special Status  – Granted to an applicant who plans to enroll in graduate courses for professional development, but does not intend to pursue a degree or certification. Special Status admission also may be granted to applicants who wish to explore graduate studies before applying to a graduate degree or certification program. In such cases, students must apply to the program before the completion of 12 credit hours. Courses completed as a Special Status (non-degree) student will not automatically be applicable toward the degree or certification program. Students must provide documentation of an earned baccalaureate degree from a regionally accredited college or university. 5. Admission Denied  – Applicants denied admission by Graduate & Extended Studies will receive a letter from the director informing them of the decision. Admission Admission| 9  Application Deadlines Graduate & Extended Studies reviews applications for admission under a "rolling admissions" process. This means that applications are reviewed throughout the year and admissions decisions are made weekly. However, to assure full consideration for admission before the beginning of the semester in which you would like to enroll, please submit your application for admission with all required documentation two weeks prior to the start of the semester. Some programs admit students only once a year or have specific application deadlines, which are enumerated below: Degree program  Specific application deadline  Communication Sciences and Disorders February 1 Exercise Science March 1 Clinical Exercise Physiology March 1   Biology   October 1 (Spring)  Biology June 1 (Fall) International Applicants In addition to fulfilling the general application procedures, international applicants must present evidence of fluency in English, either the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) score. The minimum TOEFL score acceptable for admission is 560 on the paper test, 220 on the computer test or 83 on the Internet test. The TOEFL score should be submitted directly from the Educational Testing Service in Princeton, N.J. ESU’s Institutional Code Number is 2650. The minimum acceptable score for IELTS is "Band 6." For further information concerning IELTS contact Cambridge Examinations and IELTS International, 100 East Corson St., Suite 200, Pasadena, 1 • esu.edu"
PA 1910,"4, 215-662-5606. The Commission on Higher Education is an institutional accrediting agency recognized by the U.S. Secretary of Education and the Commission on Recognition of Postsecondary Education. Accreditations awarded to academic programs include: • All eligible teacher education programs offered by East Stroudsburg University are accredited by the National Council for Accreditation of Teacher Education and approved by the Pennsylvania Department of Education. • The undergraduate Athletic Training Professional Practice degree program and the graduate Athletic Training degree program are accredited by the Commission on Accreditation of Athletic Training Education. • The undergraduate Biochemistry degree program is accredited by the American Society for Biochemistry and Molecular Biology.  • The undergraduate Computer Science program is accredited by the Computing Accreditation Commission of ABET (Board of Engineering and Technology).  • The undergraduate Exercise Physiology, Sport and Exercise Conditioning, and graduate Exercise Science degree programs are accredited by the Commission on Accreditation of Allied Health Education Programs.   • The undergraduate Hotel, Restaurant & Tourism degree program is accredited by Accreditation Commission for Programs in Hospitality Administration. • The undergraduate Nursing degree program is accredited by the Accreditation Commission for Education in Nursing (ACEN). In addition, the program is approved by the Pennsylvania State Board of Nursing. • The undergraduate and the graduate Public Health degree programs are accredited by the Council on Education for Public Health. • The undergraduate Recreation Services Management degree program is accredited by the Council on the Accreditation of Parks, Recreation, Tourism and Related Professions (COARPT). • The undergraduate Social Work degree program is accredited by the Council on Social Work Education.  • The graduate Speech-Language Pathology degree program is accredited by the Council of Academic Accreditation of the American Speech-Language-Hearing Association. Pennsylvania's State System of Higher Education East Stroudsburg University of Pennsylvania is a member of the Pennsylvania's State System of Higher Education. Pennsylvania’s 14 public universities comprise the State System, with a combined enrollment of more than 100,000 making it the largest provider of higher education in the Commonwealth. The 14 State System universities offer degree and certificate programs in more than 120 areas of study. Approximately 500,000 PASSHE alumni live and work in Pennsylvania. The 14 State System universities are Bloomsburg, California, Cheyney, Clarion, East Stroudsburg, Edinboro, Indiana, Kutztown, Lock Haven, Mansfield, Millersville, Shippensburg, Slippery Rock and West Chester Universities of Pennsylvania. Title IX of the Education Amendments of 1972 East Stroudsburg University and its faculty are committed to assuring a safe and productive educational environment for all students. In order to meet this commitment and to comply with Title IX of the Education Amendments of 1972 and guidance from the Office for Civil Rights, the University requires faculty members to report incidents of sexual violence shared by students to the University's Title IX Coordinator. The only exceptions to the faculty member's reporting obligation are when incidents of sexual violence are communicated by a student during a classroom discussion, in a writing assignment for a class, or as part of a University-approved research project. Faculty members are obligated to report sexual violence or any other abuse of a student who was, or is, a child (a person under 18 years of age) when the abuse allegedly occurred to the person designated in the University protection of minors policy.   Information regarding the reporting of sexual violence and the resources that are available to victims of sexual violence is set forth at: ESU webpage: Title IX: Sexual Harassment and Sexual Violence esu.edu/titleix History of the University East Stroudsburg University, a comprehensive university in northeastern Pennsylvania offering 57 undergraduate and 21 graduate degree programs, is one of the 14 institutions in the Pennsylvania State System of Higher Education. General Information General Information| 5  It opened its doors on September 4, 1893, as East Stroudsburg Normal School. A faculty of 15 greeted a group of 320 students who entered two-year programs in elementary and science education. Although the Normal School was originally privately owned, ownership was transferred to the Commonwealth of Pennsylvania in 1920, and the name was changed to East Stroudsburg State Normal School. In 1927, the right to confer the degrees of Bachelor of Science in education and Bachelor of Science in health education was granted, and the school became the State Teachers College at East Stroudsburg. In 1960, the name was changed to East Stroudsburg State College, reflecting the addition of liberal arts and science curricula. In November 1982, the Pennsylvania State System of Higher Education was authorized by Act 188 of 1982, and the college officially became East Stroudsburg University on July 1, 1983. History of Graduate Studies East Stroudsburg University inaugurated Graduate Studies in 1962 with three Master of Education (M.Ed.) programs: Biological Sciences, General Science, and Health and Physical Education. In 1969, the first Master of Arts (M.A.) programs, in History and Political Science, were approved. Over the years, graduate programs in a variety of fields, including a Master of Public Health (M.P.H.) have been approved and offered. In 2001, ESU entered into a memorandum of understanding with Indiana University of Pennsylvania to offer the Doctor of Education (Ed.D.) in Administration and Leadership Studies on campus. In 2004, three new Master of Science (M.S.) programs were added: Exercise Science, Management and Leadership, and Sport Management. Also in 2004, the M.S., Cardiac Rehabilitation was revised to the M.S., Clinical Exercise Physiology. In 2007, our first distance education graduate program, M.S., Athletic Training, was approved. In July 2009, the Pennsylvania State System of Higher Education approved a new M.S., Information Security, also to be offered online. Most recently, the university was approved to offer an M.A. in Professional and New Media Writing and a new Organizational Behavior concentration within the M.S. in Management and Leadership program.  In 2016, the university was approved to offer its first doctoral degree, an Ed.D. in Educational Leadership and Administration. In its first graduating class of 1964, the university awarded 10 graduate degrees. Today, the university offers over 30 degree and certification programs. Computing and Communication Services The university Computing and Communications Center supports administrative computing, academic computing and telecommunications. Administrative computing is served by the Banner student information system, encompassing more than 30 online systems and providing services to the students, faculty and staff. The academic computing network consists of 30 UNIX or Windows based servers that are connected to approximately 2,200 personal computers provided to support instruction, Internet access, campus network access, and email. They are located in 35 computer laboratories across campus. There is an open-access computer lab in each residence hall. Additionally, many academic departments maintain discipline-specific computer laboratories for their curricula. Wireless computing zones are located throughout campus and outdoors. Students can connect to the Internet in these areas using a standard wireless device or smart phone. In addition, faculty and students use wireless for conducting specialized labs in a variety of courses. Helpful computing information can be found at esu.edu/ac. Additionally, the Office of Computing and Communication Services supports faculty, administration, students, and affiliated businesses with services such as local and long distance telephone, voice mail, digital cable TV, and Internet. The McGarry Communication Center is the campus base for the Instructional Resources Department, including the audiovisual, graphics, and television services units. The Communication Center houses two television studios and is the distribution center of campus cable television as well as the community-wide ESU television telecasts. WESS 90.3 FM radio is also located in the Center. Kemp Library Kemp Library provides all students, faculty and staff with numerous opportunities to acquire information in pursuit of their academic and career goals. The library offers a wide variety of resources and services to help achieve these goals. The collection includes not only physical items such as print books and journals, but also a large number of electronic resources, such as EBSCO databases. The library strives to provide 24/7 access to electronic resources via the library website. Students, faculty and staff are encouraged to take advantage of the library’s services including Inter-library Loan, Reference and Research Assistance and to contact faculty librarians to schedule individualized instructional sessions. For more information about Kemp Library, visit the website esu.edu/library. The Campus and Academic Buildings The campus of East Stroudsburg University includes 63 buildings located on approximately 258 acres in East Stroudsburg Borough and Smithfield Township. The majority of ESU’s facilities are located in East Stroudsburg, Pa. These buildings include academic facilities, nine residence halls, a 1,000-seat dining hall, a student center, a 60,000 square-foot Recreation Center, athletic facilities, a library and more.  • The 130,600-squarefoot Warren E. '55 and Sandra Hoeffner Science & Technology Center opened in August 2008. The facility includes a planetarium and observatory, as well as a wildlife museum of natural history as well as 17 teaching laboratories, nine research laboratories, a multi-use 200-seat auditorium, classrooms, and offices. In addition to serving our students the museum, planetarium and observatory also provide an educational venue for school children who visit there throughout the year as well as public viewings/shows on weekends. • Stroud Hall remains the primary academic building at ESU. This four-story classroom building contains lecture halls, computer and language laboratories, instructional spaces, and office areas. • Beers Lecture Hall, which opened in 1997, seats 150 students and serves as a distance learning facility. • The Fine and Performing Arts Center consists of two theaters, a gallery, concert hall, rehearsal areas, various art studios, and classrooms. • The Koehler Fieldhouse and Natatorium serves as the primary physical education and intercollegiate athletics facility. • Zimbar-Liljenstein Hall houses the Graduate & Extended Studies office, the Student Enrollment Center, a teaching gymnasium, and academic classrooms and office areas for physical education and sport management, as well as the Mekeel Child Care Center. 6| East Stroudsburg University 2018-2019 Graduate Catalog  • The Moore Biology Building contains a large group lecture hall, a greenhouse and wildlife museum as well as classroom and lecture spaces. • Gessner Science Hall is home to ESU’s Business and Management College and features a Bloomberg Lab facility which opened in 2018. • DeNike Center for Human Services houses classrooms and has laboratory areas for the departments of health, nursing, and recreation services management • Rosenkrans Hall houses academic facilities for digital media and technologies classrooms and labs. • The renovated, 30,200-square foot Monroe Hall reopened in August 2012. Converted from a residence hall to instructional space, this facility contains two computer laboratories, four classrooms, a 68-seat stepped auditorium, three conference rooms, and offices. It also houses the ESU Communication Sciences & Disorders department along with the Communication department. The nine residence halls include six traditional residence halls and the addition of three suite-style housing facilities, built since 2017. In total, ESU provides its students with 3,248 beds in order to experience the on-campus lifestyle. Nearby, on 46 acres of ESU’s property, resides University Ridge, a ten-building student apartment complex that provides an additional 541 beds to ESU students. Each of the suite-style facilities houses a separate university function. The University Police Station is housed on the ground floor of Hemlock Hall; an alternative recreation center and spin studio may be found on the ground floor of Hawthorn Hall; and a Health and Wellness Center for students will soon be established in the ground floor of Sycamore Suites. Meals are served to students in Dansbury Commons, the main dining hall for campus. In addition to the capability of feeding up to 1,000 students at a time, Dansbury Commons is also home to a Starbucks, a multi-purpose room for campus meetings and initiatives as well as a P.O.D. (Provisions on Demand) for students who need a quick grab-and-go snack or meal. ESU’s current University Center includes a food court, commuter lounge, game room, student activities offices, and the University Store.  But change is on its way as we prepare to break ground for a new Keystone Commons. This new state-of-the-art facility will include a career services center, a multicultural center, an international center, a student veterans center, an eSports gaming room, student senate and club offices, W.E.S.S. (the student radio station), The Stroud Courier (the student newspaper), a food court and the bookstore. Across campus, the Mattioli Student Recreation Center is a full-service fitness center featuring high end exercise equipment, an elevated running track, 4 basketball courts, racquetball courts and more for the exercise enthusiasts. Located on Smith Street, Kemp Library provides ESU students, faculty, staff and visitors with materials, services, equipment, spaces, and environments that support the University’s academic curricula, assists campus constituents with their study, research, and informational needs, and stimulates cultural development. ESU also boasts the 6,430 square-foot Abeloff Center for the Performing Arts, an auditorium space that seats approximately 800 individuals and is home to many different meetings, musical and dance performances, concerts and guest speakers.  Located in Smithfield Township, ESU’s Center for Innovation and Entrepreneurship, built in 2010, is located on the corner of Brown Street and Route 447. This 51,000 sq. ft. facility is a driver of economic development support for Monroe County and home to innovators and entrepreneurs whether they be students, faculty, staff or community members. The Innovation Center includes ESU's Economic Development and Entrepreneurship Division, Business Accelerator Program, Office of Sponsored Projects and Research, Office of Workforce Development, Wet Lab Facilities, Entrepreneurial Leadership Center, ESU's Northeast Wildlife DNA Laboratory, and Computer Training Labs. Less than 10 miles from campus, The Student Activity Association, Inc. – an ESU affiliate - owns Stony Acres, a 119-acre off-campus student recreation area near Marshalls Creek, which includes a lodge and a small lake. Considered a wildlife sanctuary, Stony Acres serves as a recreational site and field campus for students, faculty and staff.  While providing outdoor recreational activity and social opportunities, the site also promotes co-curricular involvement and fosters leadership development.  ESU opened the Lehigh Valley Center in 2012 and also partners with Northampton Community College in Bethlehem to provide convenient educational experiences for students in the fields of nursing and business management. ESU’s Lehigh Valley Center offers opportunities for the adult learner as well as the traditional undergraduate student. The Center offers undergraduate degree completion, continuing education, non-degree programs, certificate programs and accelerated graduate degree opportunities. Graduate and Extended Studies Office The senior administrator for Graduate & Extended Studies reports directly to the provost and vice president for academic affairs. The senior administrator sits on the Provost’s Leadership Team. The Graduate professional and support staff provide essential services for all graduate faculty and students at ESU, from application through program completion. The Graduate office also offers special academic opportunities for graduate students, including research and travel support. The Graduate Advisory Council provides guidance and recommendations to the graduate dean on policies and procedures for admission, assistantships, academic status, degree candidacy, and other matters related to graduate studies. Committee membership includes the graduate coordinator from each academic department offering a graduate degree program. Graduate coordinators are appointed by the department chair. For a current list of graduate coordinators, contact the Graduate office at 570-422-3536. All areas of graduate curricula, including the review and approval of new courses, programs, or methods of delivery are the role of the university curriculum process. Curriculum proposals are initiated by the academic departments for consideration by the University Curriculum Committee. Following approval by the committee, the Academic Council reviews all course and program proposals before recommending them to the provost, who acts on behalf of the president of the university for final curriculum approvals. Each academic department identifies its graduate faculty according to established criteria. Faculty members hold high academic credentials and a long-standing commitment to teaching excellence; collectively, they are recipients of numerous grants and honors. ESU’s faculty are diverse and represent many prestigious institutions of higher education in the United States and internationally. The terminal degree is held by 88 percent of the instructional faculty. General Information| 7  The Graduate & Extended Studies office is located in Zimbar-Liljenstein Hall, Room 154, and can be contacted via telephone at 570-422-3536 or e-mail at grads@esu.edu. The mailing address is: Graduate & Extended Studies East Stroudsburg University 200 Prospect St East Stroudsburg, "
CA 9110,"3, USA. Call 626-564-2954; e-mail ielts@ceii.org; or visit IELTS Web site, ielts.org. International applicants also must submit a statement and documentation of financial resources. The statement must demonstrate sufficient financial resources to meet the cost of living in the United States, the cost of travel to and from the student’s native country, and the cost of graduate education at East Stroudsburg University. Applications will not be processed without the financial statement and application fee. International applicants must submit an official English translation of their transcripts, including a credential evaluation equivalence course-by-course report of their baccalaureate degree from World Education Services, Inc. (WES) or other service approved by Graduate & Extended Studies. For further information concerning WES, contact WES at 800-937-3895 or at wes.org. International applicants must furnish proof of health insurance (certification must be in English) meeting the required criteria or purchase student health insurance from East Stroudsburg University, which is recommended. Due to the time required to secure immigration documents and address other matters, international applicants are encouraged to submit all application materials as early as possible. The office of Graduate & Extended Studies works in collaboration with other offices on campus to assist international applicants and students. For further information, please contact Graduate & Extended Studies. Doctoral Applications Applications for the Educational Leadership and Administration, (Ed.D.) program are accepted every other Fall term.  Please review program website for specific deadlines. Applicants for Certification, Specialist, Supervisor, and Letter of Eligibility Programs From the Pennsylvania Department of Education and other national certification programs, East Stroudsburg University offers state-approved certification preparation programs leading to certification in: Biology (7-12) Chemistry (7-12) Earth & Space Science (7-12) English (7-12) English as a Second Language (ESL) French (7-12) General Science (7-12) German (7-12) Mathematics (7-12) Physics (7-12) Social Studies (7-12) Spanish (7-12) Speech & Language Impaired (N-12) Instructional Technology Specialist (K-12) Principal (K-12) Reading Specialist (K-12) Special Education Supervisor The university also offers programs of study to prepare students for national certifications, including the Behavior Analyst, Applied Behavior Analyst, and National Board Certified Teacher. Applicants for these programs should follow the same procedures for admission, plan of study, and registration, as described for degree program students in this catalog. Interested applicants should contact Graduate & Extended Studies office to confer with the graduate admissions coordinator, in consultation with the respective graduate coordinator, for further information, before beginning the admissions process. 10| East Stroudsburg University 2018-2019 Graduate Catalog  Examination and Other Admission Requirements All applicants to Graduate Studies at East Stroudsburg University are strongly encouraged to take a graduate admissions test, such as the Graduate Record Examination (GRE) or Miller Analogies Test (MAT). However, some programs require specific tests, as follows: Graduate Degree Program  Required Examination  Athletic Training GRE Biology GRE Public Health GRE Communication Sciences and Disorders GRE    In addition to the requirements enumerated for all applicants to Graduate Studies, specific programs have additional application requirements, as follows: Graduate Degree Program  Additional Program Requirements  Special Education Supervisor Certification Teacher certification Reading Teacher certification Professional & Secondary Education Teacher certification     Fees and Deposits| 11  Financial Obligation Students, parents and others who are responsible for the financial obligations of students at East Stroudsburg University should understand that acceptance of admission and the privilege of attending imposes a financial obligation for a complete semester. Neither non-attendance, non-payment, nor failure to attend class constitutes official withdrawal. This must be done through the Student Enrollment Center using the appropriate form(s). Students who register online or in person can check their class schedule through the myESU student portal to confirm their registration. A semester/session e-bill will be sent to the student’s ESU email. Students will be held financially liable for their registration unless it is officially canceled when the student contacts the Student Enrollment Center. Non-payment of fees or other financial obligations will prevent a student from being allowed to register for subsequent academic work and from receiving any official transcript of their academic record or diploma from the university. Should the university find it necessary to refer a delinquent account to a collection agency or to an attorney, the cost of collection including attorney’s fees, if incurred, may be added to the student’s financial obligation. Student Payment Policy A student attending a course without proper registration and payment of all tuition and fees does not constitute de facto enrollment. The university will not permit retroactive enrollment in or payment for any class after the end of the term in which the course is offered. Graduate Students Taking Undergraduate Classes Please note that effective Fall 2012, tuition is assessed based on the student type and not course type. That is: • Graduate students taking graduate courses pay the graduate rate. • Graduate students taking undergraduate courses pay the graduate rate. • Graduate students taking both graduate and undergraduate courses pay the graduate rate. This can make a substantial difference in the charges for a graduate student. Please be sure to visit the Student Enrollment Center, Zimbar-Liljenstein Hall, to see how a schedule change in graduate/undergraduate credits will impact your charges. Graduate Tuition and Fees While subject to change without notice, the following tuition and fee amounts apply to all East Stroudsburg University graduate students at this time.  For Graduate Program Tuition and Fees see the Student Billing website at: esu.edu/tuition Insurance for Graduate Students Insurance for graduate students is available for full-time, U.S. citizens through the Office of the Vice President for Student Affairs, located in the Reibman Administration Building.  Please contact the Office of Student Affairs at 570-422-3463. Guidelines for Determining Resident Status for Students (Title 22 Pennsylvania Code, Section 153.1) A student is classified as a Pennsylvania resident for tuition purposes if the student has a Pennsylvania domicile. A domicile is the place where one intends to and does, in fact, permanently reside. Because this decision is subjective, documentary evidence must be submitted to the Student Enrollment Center for consideration. Students who believe that they are qualified for in-state residency and those who would like to be made aware of the necessary factors to make such a transition should contact that office. Each case will be decided on the basis of all facts submitted with qualitative rather than quantitative emphasis in support of the intention of the student to reside indefinitely in Pennsylvania. If the student is not satisfied with the decision made by the Student Enrollment Center in response to the challenge, the student may make a written appeal to the Office of the Chancellor, State System of Higher Education, Dixon University Center, 2986 North Second Street, Harrisburg, "
