ClassID,Desc
ACENG 276,"(3)Course ID:01356601-APR-2018Introduction to Non-Fictional ProseIn this course, we will study nonfiction prose from a range of times and places. To focus our studies, wewill investigate how a wide variety of authors have used writing to express, explore, and create a sense ofself. When sharing their lives with an audience of readers, how do these authors navigate the territorybetween the private and public spheres, between internal experience and external reality, between self andenvironment? To answer this question, we will read a variety of nonfiction forms including diaries, essays,autobiographies, and graphic memoirs. Throughout the course, we will discuss issues of literary meaning, formand value.  Outcomes: Upon completion of this course, students will have demonstrated inquiry and pursue self-directedlearning, masted key literary terms, read for comprehension, read for analysis, and argued for literaryComponents:Lecture(In person)Course Equivalents:"
ENGL 290A,"ttributes:Course Approved 2018 - IAIRoom Requirements:Seminar(1) _____________________________________________________________________________________________________________Report ID:  SR301Loyola University ChicagoPage No.1of517Course CatalogRun Date:  08/16/2018Run Time:  15:25:43Arrupe College - Fine Arts - Subject: Fine Arts "
ACFNA 100,"(3)Course ID:01345515-DEC-2017Art and Visual CultureA survey of the visual arts (painting, drawing, printmaking, sculpture and architecture) as they transmitcultural traditions and humanistic and aesthetic values. Examines historical, social and technologicalfactors that contribute to understanding the function and meaning of works of art.  1- Introduce students to an appreciation of the visual arts through an inter cultural, social/historicalapproach.  2- Emphasize the nature of the creative process, integrating a study of the conceptual principles, withmethods and materials which influence artistic critical thinking, problem solving, exploration, anddiscovery.  Components:Lecture(In person)Course Equivalents:"
FNAR 199A,"ttributes:Course Approved 2017 - IAIRequirement Group:Restricted to Arrupe College StudentsRoom Requirements:Electronic Classroom(1) _____________________________________________________________________________________________________________"
ACFNA 112,"(3)Course ID:01355901-APR-2018Foundation Studio: Two Dimensional DesignThis course explores the fundamental organizational systems of intentional visual expression throughpurposeful making of, and critical response to, traditional design concepts. The elements of art and theprinciples of design will be experienced through a range of media both tactile and digital, with emphasis onspatial perception, color theory, and visual communication.  Students will recognize and experience the core concepts and practices of visual communication throughhands-on exercises and projects addressing observation and perception, composition, transformation andmanipulation of the picture plane, sequence and narrative, and the physical and communicative properties ofpigment and color. Students will further engage these concepts through critical examination of images, texts,and objects representing a wide array of contemporary and historical visual culture. IAI Code:  "
ART 907C,"omponents:Lecture(In person)Course Equivalents:"
FNAR 112A,"ttributes:Course Approved 2017 - IAIRequirement Group:Restricted to Arrupe College StudentsRoom Requirements:Studio - Fine Arts(1) _____________________________________________________________________________________________________________Report ID:  SR301Loyola University ChicagoPage No.2of517Course CatalogRun Date:  08/16/2018Run Time:  15:25:43Arrupe College - Interdisciplinary Science - Subject: Interdisciplinary Science "
ACISC 102,"(4)Course ID:01299515-JUN-2017Department Consent RequiredEnvironmental Processes, Challenges, and MethodsThis course examines scientific issues underlying a series of significant threats to the planet.  Theseinclude the loss of biodiversity, ensuring access to a stable supply of food and water for all of the Earth'sinhabitants, climate change, and the demands for energy and other resources.  Students will also investigatepossible responses to these planetary threats.   Outcomes:  Students will understand the nature of contemporary environmental challenges, both as scientificand social problems.  IAI Code:  "
LP 901L,"Components:Laboratory(In person), Lecture(In person)Attributes:Course Approved 2016 - IAIRequirement Group:Restricted to Arrupe College StudentsRoom Requirements:Lab - Biology(1), Electronic Classroom(1) _____________________________________________________________________________________________________________Report ID:  SR301Loyola University ChicagoPage No.3of517Course CatalogRun Date:  08/16/2018Run Time:  15:25:43Arrupe College - Mathematics - Subject: Mathematics "
ACMAT 117,"(3)Course ID:01328301-APR-2018Precalculus IThis course covers algebraic topics ranging from functions and their applications to complex numbers toinverse functions to the fundamental theorem of algebra.   Prerequisite: "
