ClassID,Desc
WDS 1114,"0201Shane WalshSeats (Total: 35)MWF 12:00pm - 12:50pm0201Olivia SarachoSeats (Total: 23)W 2:00pm - 4:30pm"
TYD 1101,"0301Jonathan EnglandSeats (Total: 35)TuTh 9:30am - 10:45am0102Renina JarmonSeats (Total: 35)MWF 1:00pm - 1:50pm0201Christine WhiteSeats (Total: 60)M 2:00pm - 4:30pm"
LEF 1201,"0401Jonathan EnglandSeats (Total: 30)TuTh 12:30pm - 1:45pm0602James MattsonSeats (Total: 19)MW 2:00pm - 3:15pm"
HBK 0109,"0501Jason NicholsSeats (Total: 35)TuTh 11:00am - 12:15pmAASP101Public Policy and the Black CommunityCredits: 3Grading Method: Regular,Pass-FailCORE: SBGeneral Education: DSHSFormerly: AASP300.The impact of public policies on the black community and the role of the policy process in affecting thesocial, economic and political well-being of minorities. Particular attention given to the post-1960 topresent era.0101Alana HackshawSeats (Total: 40)TuTh 11:00am - 12:15pm2901Edward PriolaSeats (Total: 19)TuTh 11:00am - 12:15pm"
SYM 0215,"0601Jason NicholsSeats (Total: 35)TuTh 2:00pm - 3:15pm"
PLS 1117A,"ASP100HIntroduction to African American StudiesCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: SH, DGeneral Education: DSHS,DVUPSignificant aspects of the history of African Americans with particular emphasis on the evolution anddevelopment of black communities from slavery to the present. Interdisciplinary introduction to social,political, legal and economic roots of contemporary problems faced by blacks in the United States withapplications to the lives of other racial and ethnic minorities in the Americas and in other societies.0101Jonathan EnglandSeats (Total: 5)TuTh 12:30pm - 1:45pm"
SQH 1121A,"ASP187The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial ComplexCredits: 3Grading Method: Regular,Pass-FailGeneral Education: DSHS,DVUP, SCISRecommended: AASP100.Students will examine the birth of the racial caste system following the abolition of slavery, the parallelsbetween the racial hierarchy of the Jim Crow system and contemporary mass incarceration, and therise of the prison industrial complex as a multi-billon business which thrives on the oppression of low-income populations and poor communities of color.0101Joseph RichardsonSeats (Total: 60)TuTh 3:00pm - 4:15pmASP386Experiential Learning(Perm req)Credits: 3-6Grading Method: Regular,Pass-FailRestriction: Permission of BSOS-African American Studies department; and junior standing or higher.0101Marshal WashingtonSeats (Total: 10)Th 10:00am - 12:30pmREC365World Hunger, Population, and Food SuppliesCredits: 3Grading Method: Regular,Pass-Fail, Audit, DGeneral Education: DVUPAn introduction to the problem of world hunger and possible solutions to it. World demand, supply, anddistribution of food. Alternatives for leveling off world food demand, increasing the supply of food, andimproving its distribution. Environmental limitations to increasing world food production.0101Kenneth LeonardSeats (Total: 300)MWF 1:00pm - 1:50pm"
TYD 0117A,"ASP189IHIV/AIDS in a Global PerspectiveCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: IE, DGeneral Education: DSSP,DVUP, SCIS0101Sangeetha MadhavanSeats (Total: 60)TuTh 9:30am - 10:45am"
TYD 0102A,"ASP200African CivilizationCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: HOGeneral Education: DSHUA survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems.Discussion of the impact of European colonization on these civilizations. Analysis of the influence oftraditional African social systems on modern African institutions as well as discussion of contemporaryprocesses of Africanization.0101George KintibaSeats (Total: 40)MW 12:00pm - 1:15pm"
ARC 1103A,"ASP202Black Culture in the United StatesCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: SH, DGeneral Education: DSHS,DVUPThe course examines important aspects of African American life and thought which are reflected inAfrican American literature, drama, music and art. Beginning with the cultural heritage of slavery, thecourse surveys the changing modes of black creative expression from the 19th-century to the present.0101Renina JarmonSeats (Total: 35)MWF 11:00am - 11:50amRCH201Elements and Principles of ArchitectureCredits: 1Grading Method: Regular,Pass-Fail, AuditRestriction: Must be in a major in ARCH-Architecture Program.Survey of fundamental elements and principals of architecture and architectural education.  Framesstudy of architecture as a profession, discipline and critical practice.0101Brian KellySeats (Total: 60)M 11:00am - 11:50amLocation: TBAARCH226History of World Architecture IICredits: 3Grading Method: Regular,Pass-Fail, AuditPost-1500 - History of Architecture survey course - History of Architecture structured to develop criticalthinking and visually literacy with regard to the worldwide legacy of design thinking and buildinginnovation in architecture0101Cynthia Field, Isabelle GournaySeats (Total: 120)TuTh 3:30pm - 4:45pmRCH628CSelected Topics in Architectural History; City Beautiful Architecture and Urbanism in USACredits: 3Grading Method: Regular,AuditGraduate Selected Topics in Architectural History0101Cynthia FieldSeats (Total: 15)TuTh 2:00pm - 3:15pm"
SQH 1107,"0103Robert ChofletSeats (Total: 35)TuTh 11:00am - 12:15pm3101Eric DunningSeats (Total: 19)TuTh 11:00am - 12:15pm"
ARC 1105,"0104Robert ChofletSeats (Total: 35)TuTh 2:00pm - 3:15pm0301Kristen RupertSeats (Total: 15)MW 12:45pm - 2:00pm"
LEF 1201A,"ASP202HBlack Culture in the United StatesCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: SH, DGeneral Education: DSHS,DVUPThe course examines important aspects of African American life and thought which are reflected inAfrican American literature, drama, music and art. Beginning with the cultural heritage of slavery, thecourse surveys the changing modes of black creative expression from the 19th-century to the present.0101Robert ChofletSeats (Total: 8)TuTh 11:00am - 12:15pmASTAsian American StudiesFall 2017AAST200Introduction to Asian American StudiesCredits: 3Grading Method: Regular,Pass-FailCORE: SB, DGeneral Education: DSHS,DVUPThe aggregate experience of Asian Pacific Americans, from developments in the countries of origin totheir contemporary issues. The histories of Asian Pacific American groups as well as culture, politics,the media, and stereotypes, viewed from an interdisciplinary perspective.Also offered as AMST298C. Credit granted for AAST200 or AMST298C.0101Terry ParkSeats (Total: 40)TuTh 11:00am - 12:15pmRHU486Internship Practicum in Arts and Humanities(Perm req)Credits: 3-6Grading Method: Regular,Pass-FailPrerequisite: Have completed previous internship at U of MD. Restriction: Must be in a major in ARHU-College of Arts & Humanities; and permission of ARHU-College of Arts & Humanities; and minimumcumulative GPA of 2.5; and must have earned a minimum of 60 credits; and completed 12 credits at Uof MD.An internship intended for students who have already completed an internship for credit. ARHU486must be a different experience from the internship students have already taken for credit. Generallystudents intern with a different company, but they may continue working for the same company if thejob is significantly different. See ARHU internship coordinator for details.0101Paula NadlerSeats (Total: 25)Contact instructor or department for details.ARHU489Advanced Internship Practicum in ARHU(Perm req)Credits: 3-6Grading Method: Regular,Pass-FailDesigned for students who have already completed at least 2 upper level internship courses foracademic credit. It is an advanced practicum to assist students in continuing to develop and hone theirprofessional writing, presentation and analytical skills.Prerequisite: Permission of the College of Arts and Humanities.0101Paula NadlerSeats (Total: 2)Contact instructor or department for details.ARMYArmyFall 2017ARMY106Basic Military Science ICredits: 3Grading Method: RegularRestriction: Students must meet Officer candidate criteria to participate in field training.  Repeatable to3 credits.Introduction to the personal challenges and competencies that are critical for effective leadership andcommunication. Develops knowledge and competency in physical fitness through rigorous training andexperiential leadership education through leadership laboratories.0101Larry RentzSeats (Total: 40)TuTh 11:00am - 12:15pm"
ARC 1105A,"ASP274Creative Writing Through The Eyes of African Americans: A Beginning WorkshopCredits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DSSPRestriction: Must not have completed any courses from ENGL278C, AASP274, AASP298W, ENGL274,ENGL271, ENGL294N, or ENGL294.  Also offered as: ENGL274.  Credit only granted for: ENGL274,ENGL278C, ENGL294, ENGL294N, AASP274 or AASP298W.  Formerly: AASP298W.Introduction to theory and practice of writing fiction, drama and poetry, with an emphasis on AfricanAmerican literary models. Critical reading, exercises and workshop discussions with continual referenceto modeling, drafting, and revising as necessary stages in a creative process.0101Dorothy PhaireSeats (Total: 20)TuTh 9:30am - 10:45amRCH798Thesis in Architecture(Perm req)Credits: 3Grading Method: RegularComplements the research of "
NCC 0120A,"ASP297Research Methods in African American StudiesCredits: 3Grading Method: Regular,Pass-Fail, AuditPrerequisite: AASP101 or AASP202.  Restriction: Must be in African American Studies program.  Creditonly granted for: AASP297 or AASP299R.  Formerly: AASP299R.Introduces African American Studies majors to the basic research skills methodologies, sources, andrepositories for studying African Diaspora. Students will be required to select a research topic, write aresearch proposal, develop an annotated bibliography, and in the process will be prepared forcompleting their senior thesis or other significant writing projects necessary to fulfill the requirements ofthe major.0101Sharon HarleySeats (Total: 20)TuTh 11:00am - 12:15pm"
TLF 1102A,"ASP298BSpecial Topics in African American Studies; Construction of Black Manhood and Womanhoodin the Black CommunityCredits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DSHS,DVUPAn introductory multi-disciplinary and inter-disciplinary educational experience to explore issuesrelevant to black life, cultural experiences, and political, economic, and artistic development.Also offered as WMST265. Credit only granted for AASP298B or WMST265. Investigates the ways thatAfrican Americans are represented and constructed in public and private spheres and explores thesocial constructions and representations of Black manhood and womanhood from various disciplinaryperspectives.0101Donnesha BlakeSeats (Total: 30)W 6:00pm - 8:30pmASP397Senior Thesis(Perm req)Credits: 3Grading Method: Regular,Pass-Fail, AuditRestriction: Permission of BSOS-African American Studies department.Directed research in African American Studies resulting in the completion and defense of a seniorthesis.Contact department for information to register for this course.AASP398QSelected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: AfricanAmerican Urban Culture in the Age of ObamaCredits: 3Grading Method: Regular,Pass-Fail, AuditAnalysis of the historical experiences and cultures of Africans in the diaspora.0101Robert ChofletSeats (Total: 35)Th 4:00pm - 6:30pm"
JMZ 0103A,"ASP298CSpecial Topics in African American Studies; African-American History to 1865Credits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DVUPAn introductory multi-disciplinary and inter-disciplinary educational experience to explore issuesrelevant to black life, cultural experiences, and political, economic, and artistic development.Also offered as AASP298C. Credit will be granted for AASP298C or "
HIST 254,".0101Christopher BonnerSeats (Total: 40)TuTh 11:00am - 12:15pm.0101Christopher BonnerSeats (Total: 40)TuTh 11:00am - 12:15pm"
KEY 0103A,"ASP298LSpecial Topics in Afro-American Studies:  African-American Literature and CultureCredits: 3Grading Method: Regular,Pass-Fail, AuditCORE: HL, DGeneral Education: DSHU,DVUPAlso offered as ENGL234. Credit granted for AASP298L or ENGL234.0201Norrell EdwardsSeats (Total: 30)MWF 12:00pm - 12:50pmASP314The Civil Rights MovementCredits: 3Grading Method: Regular,Pass-Fail, AuditPrerequisite: AASP100 or HIST157.Survey of the twentieth century civil rights movement from the desegregation of UM Law Schoolthrough the National Black Political Congress in Gary in 1972. Major themes include leadership, legaland constitutional challenges, non-violence, Black Power, and Pan-Africanism.0101Jerry SemperSeats (Total: 45)W 4:00pm - 6:30pm"
JMZ 0208A,"ASP298VSpecial Topics in African American Studies; The Blues as a Cultural Art FormCredits: 3Grading Method: Regular,Pass-Fail, AuditAn introductory multi-disciplinary and inter-disciplinary educational experience to explore issuesrelevant to black life, cultural experiences, and political, economic, and artistic development.0101Brittney AllenSeats (Total: 30)W 1:00pm - 4:00pmRAB499PSpecial Topics in Arabic Studies; Facing West: Al-Jabarti to Bin LadenCredits: 3Grading Method: Regular,Pass-Fail, AuditIn-depth study of particular aspect of Arabic culture, literature and language. Specific topic to beannounced when course is offered.Pre-requisite: "
NCC 0130A,"ASP301Applied Policy Analysis and the Black CommunityCredits: 3Grading Method: Regular,Pass-Fail, AuditPrerequisite: AASP101; and (ECON201 or ECON200).  Recommended: Completion of one semester ofstatistics is recommended.Development and application of the tools needed for examining the effectiveness of alternative policyoptions confronting minority communities. Review policy research methods used in forming andevaluating policies. Examination of the policy process.0101Ricco HallSeats (Total: 24)W 6:30pm - 9:00pm"
TLF 1101A,"ASP313Black Women in United States HistoryCredits: 3Grading Method: Regular,Pass-Fail, AuditRestriction: Sophomore standing or higher.  Also offered as: WMST314. Credit only granted for:AASP498W, AASP313, HIST329E, WMST314, or WMST498N.  Formerly: AASP498W.Black American women's history is examined from slavery to the present. The principal focus of thereadings discussions and student assignments will be based upon gaining a fuller understanding of theeffect of race, class and gender on the life cycles and multiple roles of Black women as mothers,daughters, wives, workers and social change agents. A variety of primary source materials on blackwomen's experiences will be utilized.Also offered as HIST329E and WMST314. Credit granted for AASP313, WMST314 and HIST329E.0101Elsa Barkley BrownSeats (Total: 35)M 6:00pm - 8:30pm"
ASY 3221A,"ASP395Fundamentals of Quantitative Research in Socio-Cultural PerspectiveCredits: 3Grading Method: Regular,Pass-Fail, AuditRestriction: Must be in African American Studies program; and junior standing or higher.Introduction to quantitative methods for African American Studies major in the cultural and socialanalysis concentration. Basics of survey design and experimental design and data analysis and use ofstatistical software programs.0101Cecily HardawaySeats (Total: 20)TuTh 11:00am - 12:15pm"
WDS 1131A,"ASP396Independent Study Non-Thesis OptionCredits: 3Grading Method: RegularPrerequisite: AASP386 and AASP297.  Restriction: Must be in African American Studies program.Credit only granted for: AASP396 or AASP397.A research seminar that allows African American Studies majors to complete an independent studyresearch project in lieu of completing the AASP397: Senior Thesis. Students will examine variousconcepts of race, gender, labor and ethnicity in the seminar lecture component to be applied towardtheir specific research projects.0101Caryn BellSeats (Total: 10)W 3:00pm - 5:30pmNTH411Anthropology of Im/migration and HealthCredits: 3Grading Method: Regular,Pass-Fail, AuditCredit only granted for: ANTH411 or  ANTH611.The United Nations estimates that some 230 million people around the world are migrants who liveoutside their country of birth. This course focuses on these migrant populations, considering theimplications of movement across borders and settlement in new societies on their health and well-being. We will investigate the social, political, and economic structures that shape disease and illnessand produce differential access to health care for migrants. Within that context, we will explore thehealth effects of migration itself and particular health conditions from which migrants suffer. We will alsoexamine how migrants interface with differently configured health care systems as well as strategiesthey and their advocates use to promote health and well-being.0101Christina GetrichSeats (Total: 20)TuTh 11:00am - 12:15pm"
TYD 1114A,"ASP400Directed Readings in African American StudiesCredits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DSHS,DVUPPrerequisite: AASP202 or AASP100.The readings will be directed by the faculty of African American Studies. Topics to be covered will bechosen to meet the needs and interests of individual students.Also offered as WMST498Y. Credit will be granted for one of the following: AASP400, AASP400H, orWMST498Y.0101Sharon HarleySeats (Total: 15)TuTh 12:30pm - 1:45pm"
KEY 0100A,"ASP400HDirected Readings in African American Studies(Perm req)Credits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DSHS,DVUPPrerequisite: AASP202 or AASP100.The readings will be directed by the faculty of African American Studies. Topics to be covered will bechosen to meet the needs and interests of individual students.For general honors students only. The readings will be directed by the faculty of African AmericanStudies. Topics to be covered will be chosen to meet the needs and interests of individual students.0101Sharon HarleySeats (Total: 5)TuTh 12:30pm - 1:45pmASP478KHumanities Topics in African American Studies; African-American Literature: 1945 to PresentCredits: 3Grading Method: Regular,Pass-Fail, AuditAdvanced studies in the humanities, often requiring prerequisites, focusing on the literary, artistic andphilosophical contributions of Africans and African Americans.Also offered as ENGL472. Credit granted for ENGL472 or AASP478K.Contact department for information to register for this course.AASP498OSpecial Topics in Black Culture; African American and Latino Social, Cultural and PoliticalRelations: 1940 to PresentCredits: 3Grading Method: RegularAdvanced study of the cultural and historical antecedents of contemporary African and AfricanAmerican society. Emphasis on the social, political, economic and behavioral factors affecting blacksand their communities. Topics vary.0101Jason NicholsSeats (Total: 35)W 4:00pm - 6:30pm"
TYD 1118A,"ASP498TSpecial Topics in Black Culture; Archaeology of Slavery: Classical, Caribbean and NorthAmerican ContextsCredits: 3Grading Method: Regular,Pass-Fail, AuditAdvanced study of the cultural and historical antecedents of contemporary African and AfricanAmerican society. Emphasis on the social, political, economic and behavioral factors affecting blacksand their communities. Topics vary.Also offered as AMST428D, ARCH428L, ARCH628L, ANTH433 and ANTH633. Credit only granted forANTH433, ANTH633, AMST428D, ARCH428L, ARCH628L, or AASP498T. Has slavery alwaysexisted? Does it come and go? North American plantation archaeology has become one of thefoundations for understanding African American culture from the 1960s. Slavery in Antiquity existed inGreece and Rome on large scales and was essential to making commercial agriculture profitable work.Slavery in the Caribbean showed Europeans how to make a profit from African bodies. Trafficking inhuman persons today is recorded by the U.S. State Department annually and is regarded as modernslavery. These varying contexts of slavery will be compared in an attempt to understand slaveryscientifically.0101Mark LeoneSeats (Total: 20)Tu 2:00pm - 4:45pm"
WDS 1130A,"ASP499AAdvanced Topics in Public Policy and the Black Community; Reducing Black - WhiteAchievement GapsCredits: 3Grading Method: Regular,Pass-Fail, AuditExamination of specific areas of policy development and evaluation in black and other communities.Application of advanced tools of policy analysis, especially quantitative, statistical and micro-economicanalysis.0101Oscar BarbarinSeats (Total: 30)TuTh 11:00am - 12:15pmMST429GPerspectives on Popular Culture; American Nobel Prize WinnersCredits: 3Grading Method: Regular,Pass-Fail, AuditTopics in popular culture studies, including the examination of particular genres, themes, and issues.Also offered as ENGL439G. Credit granted for ENGL439G or AMST429G.0101Martha Nell SmithSeats (Total: 24)TuTh 2:00pm - 3:15pmNTH447Material Culture Studies in ArchaeologyCredits: 3Grading Method: Regular,Pass-Fail, AuditGeneral Education: DSSPPrerequisite: ANTH240.  Credit only granted for: ANTH447, ANTH448C, ANTH647, or ANTH689C.Formerly: ANTH448C.An in-depth introduction to the world of material culture studies with focus on the methods and theoriesin historical archaeology. Students will look at archaeological data as historical documents,commodities and as symbols expressing ideas.0101Stephen BrightonSeats (Total: 20)TuTh 12:30pm - 1:45pmNTH452Anthropology and Climate ChangeCredits: 3Grading Method: Regular,Pass-Fail, AuditPrerequisite: ANTH220, ANTH222, ANTH240, or ANTH260.  Credit only granted for: ANTH468C,ANTH689C, ANTH452, ANTH652.  Formerly: ANTH468C.Human activities now influence ongoing global climatic change, and the outcome remains uncertain forcommunities and cultures around the world. This interaction between humans and climate provides arich area of study for anthropologists in an interdisciplinary context. Case studies of historic andcontemporary evidence will be used to understand impacts of global climate change and assessopportunities and barriers to successful responses and adaptation.0101Jana Kopelentova RehakSeats (Total: 20)Tu 2:00pm - 4:45pmNTH606Qualitative Methods in Applied AnthropologyCredits: 3Grading Method: Regular,AuditAn introduction to the use of ethnography and qualitative methods in applied and policy contexts.Qualitative methods discussed include informal and systematic approaches. Students undertakefieldwork in local settings to practice the qualitative methods and to develop analysis and report writingskills.Offered fall only. For Anth majors only.0101Thurka SangaramoorthySeats (Total: 20)W 12:00pm - 2:45pmNTH647Advanced Material Culture Studies in ArchaeologyCredits: 3Grading Method: Regular,AuditCredit only granted for: ANTH447, ANTH448C, ANTH647, or ANTH689C. Formerly: ANTH689C.An in-depth introduction to the world of material culture studies with focus on the methods and theoriesin historical archaeology. Students will look at archaeological data as historical documents,commodities and as symbols expressing ideas.0101Stephen BrightonSeats (Total: 5)TuTh 12:30pm - 1:45pmNTH652Anthropology and Climate ChangeCredits: 3Grading Method: Regular,Pass-Fail, AuditCredit only granted for: ANTH468C, ANTH689C, ANTH452, ANTH652. Formerly: ANTH689C.Human activities now influence ongoing global climatic change, and the outcome remains uncertain forcommunities and cultures around the world. This interaction between humans and climate provides arich area of study for anthropologists in an interdisciplinary context. Case studies of historic andcontemporary evidence will be used to understand impacts of global climate change and assessopportunities and barriers to successful responses and adaptation.0101Jana Kopelentova RehakSeats (Total: 10)Tu 2:00pm - 4:45pmNTH788Internship Research(Perm req)Credits: 1-3Grading Method: Regular,AuditThis course augments RCH429Independent Studies in Architectural History(Perm req)Credits: 1-4Grading Method: Regular,Pass-Fail, AuditProposed work must have a faculty sponsor and receive approval of the Architecture ProgramCurriculum Committee.Prerequisite: permission of department.0101Isabelle GournaySeats (Total: 5)Contact instructor or department for details.ARCH430Measuring Sustainability in ArchitectureCredits: 3Grading Method: Regular,Pass-Fail, AuditCredit only granted for: ARCH430 or ARCH418M.  Formerly: ARCH418M.Studies metrics of sustainability as included in rating standards, including LEED. All students will takethe LEED GA test.0101Ralph BennettSeats (Total: 50)TuTh 5:00pm - 6:15pmRCH629Graduate Independent Studies in Architectural History(Perm req)Credits: 1-4Grading Method: Regular,AuditProposed work must have a faculty sponsor and receive approval of the Architecture ProgramCurriculum Committee.0701Instructor: TBASeats (Total: 10)Contact instructor or department for details.0801Instructor: TBASeats (Total: 10)Contact instructor or department for details.0901Instructor: TBASeats (Total: 2)Contact instructor or department for details.ARCH678JAdvanced Selected Topics in Architecture; AdaptationCredits: 3Grading Method: Regular,AuditGraduate Selected Topics in Architecture.0101Michele LamprakosSeats (Total: 15)TuTh 9:30am - 10:45am"
TWS 1320A,"ASP499PAdvanced Topics in Public Policy and the Black Community; African-American Politics fromFrederick Douglass to Barack ObamaCredits: 3Grading Method: Regular,Pass-Fail, AuditExamination of specific areas of policy development and evaluation in black and other communities.Application of advanced tools of policy analysis, especially quantitative, statistical and micro-economicanalysis.0101Jonathan EnglandSeats (Total: 35)Tu 3:30pm - 6:15pm"
