ClassID,Desc
PH 480,")  3 Social Justice: Issues and Actions ( Literary Inquiry  ) to learn how to analyze critical questions of right and wrong in our time and to identify and apply various philosophical positions in response to these questions. Although the History of Western Philosophy course ( Current Ethical Problems and Positions  12 additional credits in philosophy courses  COURSE OFFERINGS  Current Ethical Problems and Positions    3 cr. A critical examination of the major approaches to ethics given to us by the history of philosophy. The contributions of Aristotle, Aquinas, Kant and Mill are studied first from a theoretical perspective. These theories are then applied to a variety of ethical issues which face us today. The student is introduced to the world of both the theory and practice of ethics. Junior status required; "
TH 450,") 3 Written Fluency EN110 or EN100/101 (determined by placement) 3 or 6 Oral Fluency CA100 (Public speaking course) 3 Quantitative Fluency MA120 or higher numbered mathematics course 3 Creative Inquiry Consult the current listing of course offerings 3 Literary Inquiry Literature (EN) course 3 Philosophical Inquiry Philosophy (PH) course other than PH480 3 Scientific Inquiry Science course with laboratory 4 Theological Inquiry Theology (TH) course other than TH450 3  Total credits 35-40  Core Curriculum Descriptions and Outcomes  Written Fluency. The strength of a liberal arts education depends on its ability to teach students how to translate critical and creative thinking into writing.  Employers continue to stress clear communication skills, especially writing, as essential to a successful career.   Outcomes. Students will be able to:  Construct sustained, coherent argument or presentation in more than one medium for general and specific audiences.  Work in collaboration with others to address a social, personal, or ethical dilemmas.  Demonstrate effective communication skills using conventions of Standard English for academic writing.  Oral Fluency. Students research topics, identify sources, and outline their work in order to deliver the types of informative and persuasive speeches critical to career success.   Oral fluency and confidence ensure students to read audiences, engage in interpersonal communication, and present themselves appropriately.   Outcomes. Students will be able to:  Demonstrate basic competence in outlining, preparing and delivering informative and persuasive speeches. 30   Quantitative Fluency. A liberally educated student, irrespective of career choice, should have a demonstrated ability and comfort to reason and solve quantitative problems.  Students will be given opportunities not only to use critical thinking skills in quantitative situations but also to communicate and justify their thinking through multiple representations in a cooperative environment.   Outcomes. Students will be able to:  Analyze and use critical thinking to solve mathematical applications.  Solve problems with mathematical competency and a willingness to find multiple strategies.  Communicate mathematical concepts clearly both orally and in written form.  Use appropriate technology to solve mathematical problems.   Creative Inquiry. In a liberal arts college, students have the priceless opportunity to explore and hone their creative abilities.  The study of music, art, theatre, or creative writing stimulates the mind and fortifies the spirit.  Students learn about the elements, forms, and styles of different media.  By doing so, they understand themselves and their engagement with others critically, thoughtfully, and meaningfully.  Outcomes. Students will be able to:  Develop both creative and analytical thinking through the exploration of the creative process.  Define and apply the vocabulary related to the elements, forms and styles of the respective media.  Literary Inquiry. By examining literature, students learn not only different genres and forms of writing, but also the complexity and beauty of the English language, all while refining their inferential and critical reading skills. Reading literature encourages us to enter new, and often challenging, modes of thinking that in turn help us understand ourselves and our relation to the global community.  Outcomes. Students will be able to:  Explore the depth and breadth of the human experience expressed in the literature of a variety of genres, times and places.  Refine skills of inferential and critical reading.  Engage in thoughtful and reasoned conversation, as well as analytical writing informed by research.  Philosophical Inquiry. Philosophical inquiry introduces students to philosophical and critical thinking by exploring timeless questions that are central to a liberal arts education. Students acquire an understanding of fundamental philosophical questions that remain central to living a life of personal, professional, and global responsibility. Students further acquire interpretive and evaluative skills necessary for assessing answers to these timeless questions, along with an appreciation for philosophical self-reflection.  Outcomes. Students will be able to:  Demonstrate knowledge of the traditional themes in the discipline of philosophy, especially those relating to the human person and the liberal arts tradition, e.g., ethics, social philosophy, aesthetics, critical thinking, epistemology, and metaphysics.  Demonstrate an ability to interpret and analyze philosophical questions and proposed answers to them carefully and critically, using historical context and logical reasoning.  Demonstrate critical thinking and analysis skills in reading philosophical texts and participate in activities that encourage students to develop an appreciation for philosophical self-reflection, e.g., Socratic class discussions, debates, journaling, reflective essays.  Scientific Inquiry. Science is more than a body of knowledge; it is also a process by which one can systematically gain knowledge of the natural world. Students will engage in methodology or the process of scientific inquiry and critical thinking, both in a classroom and laboratory. 31   Outcomes. Students will be able to:  Describe how science is a process to gain knowledge of natural phenomena (through the scientific method).  Demonstrate factual knowledge in a specific discipline (depending on the course).  Explore the role of science in society.   Critically evaluate the validity of scientific claims.  Theological Inquiry. Theological inquiry opens students to sources that have helped humans answer life’s ultimate questions. Theology guides students to use sacred texts both from Christianity and other faith traditions, as well as use critical reasoning to examine the evidence of this world and the transcendent. Students will recognize their relationship with God, global communities and all God’s creation.   Outcomes. Students will be able to:  Demonstrate skill in examining theological assumptions about themselves and the world.  Assess some responses to timeless questions about God, morality, and the life hereafter.  Compare their own beliefs with those of others to grow in clarity and depth.  Apply values of social justice to critical global issues.  Engaged Responsibility. The virtue of responsibility has two meanings:  first, to account for one’s actions; and second, to perform one’s part in a common undertaking.  Responsibility is a quality of character demonstrated by a dedicated effort to respond to the needs of self and others. The Notre Dame College mission is to develop in all students both types in the personal, professional, and global realms of students’ lives.   Outcomes. Students will be able to:  Demonstrate awareness of responsibility for self and for others  Analyze, interpret, and evaluate global issues  Develop an appreciation for cultures other than their own to better participate as responsible world citizens  Acquire and demonstrate use of the principles of living a purposeful and ethical life   The following are the courses that meet the Engaged Responsibility requirement:   First Year Seminar (FYS). The First Year Seminar course aims to develop in students their personal responsibility for being successful in college. It is the first of four Engaged Responsibility courses, required of all students* and flowing directly from the Notre Dame College mission. Topics in the course include the College’s history and mission, academic literacy, and career exploration. The course builds upon Welcome Week activities and experiences.    Outcomes. Students will take part in activities and experiences in the course designed to help them:  Demonstrate understanding of the history and mission of the College.  Demonstrated personal responsibility for achieving academic success.  Assess their interests, strengths, skills and values to support their academic and career goals.  Students transferring from another college with more than 12 credits, or a nontraditional student (defined as a student 23 years of age or older, or takes all courses online) will complete a Personal Responsibility and Growth course (see below).  Personal Responsibility and Growth course. We desire that our students develop a responsibility to self, in addition to responsibility to others. This requirement is to focus on responsibility to oneself, in health, finance, 32  relationships, spirituality, etc.  Outcomes will be specific to the choice of courses. In general, the course that fulfills this requirement shall have students complete a tangible experience that relates to their lives, e.g., personal budget or health assessment. See Courses Approved to Fulfill Core Requirements.   Global Learning Course. With enhanced communication technologies, our world has become smaller, and with that, we desire that our students have a sense of global responsibility, that is, to be good global citizens in this smaller world. See Courses Approved to Fulfill Core Requirements.  Outcomes. Students will be exposed to experiences and activities in an effort to facilitate their ability to:   Seek to become informed, open-minded, and responsible people who are attentive to cultural diversity,   Seek to understand how their actions affect both local and global communities.   Consider how they might address world issues collaboratively and equitably  Current Ethical Problems and Positions (PH480). The course critically examines the major approaches to ethics given to us by the history of philosophy. The contributions of Aristotle, Aquinas, Kant, and Mill are studied first from a theoretical perspective. These theories are then applied to a variety of ethical issues which face us today. The student is introduced to the world of both the theory and practice of ethics. Junior status required;   Philosophical Inquiry  All PH courses other than  3 Total 31-34  Major Curriculum for the AA in Management: 32 credits   Social Justice: Issues and Action is included in the 18 credits.  Social Justice: Issues and Action     3 cr.  Fulfilling the Notre Dame mission, “to educate for global responsibility,” this course introduces students to the Christian principles of social justice and their biblical base. Students will apply these principles to issues such as world poverty, racism, sexism, and other justice issues. Students will then seek out forms of action that are supported by faith-based principles. Junior status required.  "
PH 180," recommended.  Outcomes. Students will be able to:  Recognize and critically analyze ethical problems  Resolve ethical conflicts using critical thinking skills  Explore ethical beliefs contrary to one’s own philosophy  Demonstrate knowledge of classical and modern ethical theories  Argue an ethical position and critique opposing views  Social Justice: Issues and Actions (TH450). Fulfilling the Notre Dame mission, “to educate for global responsibility,” this course introduces students to the Christian principles of social justice and their biblical base. Students will apply these principles to issues such as world poverty, racism, sexism, and other justice issues. Students will then seek out forms of action that are supported by faith-based principles. Junior status required.  Outcomes. Students will be able to:  Gain factual knowledge in what constitutes social justice (terminology, classifications, and trends)  Apply the principles of Catholic social teaching to current international, national, and local realities  Develop a clearer understanding of and commitment to personal values  Engage in theological reflection related to social justice and social responsibility  Demonstrate growing understanding of world realities, being able to articulate clear and informed positions about what they “see” and learn orally and in writing  Move towards a commitment to keep informed of the need for justice in the world and to work for justice in their own sphere as their lives unfold       33  Core Curriculum for Associate Degree Programs Students who are in an associate’s degree program will follow the first two years of the Core Curriculum.    Summary of the Core Curriculum Architecture for AA  Requirement Requirements are achieved by successful completion of the following courses. Credits Engaged Responsibility First Year Seminar for traditional-aged, First Time Freshmen students (FYS100)  or Personal Responsibility and Growth course for non-traditional and transfer students 1    3 A course designated as a Global Learning course. Consult the current listing of course offerings. 3 Written Fluency EN110 or EN100/101 (determined by placement) 3 or 6 Oral Fluency CA100 (Public speaking course) 3 Quantitative Inquiry MA120 or higher numbered mathematics course 3 Creative Inquiry Consult the current listing of course offerings 3 Literary Inquiry Literature (EN) course 3 Philosophical Inquiry Philosophy (PH) course other than PH480 3 Scientific Inquiry Science course with laboratory 4 Theological Inquiry Theology (TH) course other than TH450 3  Total credits 35-40  If a course in the core is also a component of the student’s major, it will usually fulfill both requirements. The credit hours, however, may be counted only once toward fulfilling the degree requirement of 120 credit hours for a baccalaureate degree or  60 credit hours for an associate degree.             34  Courses Approved to Fulfill Core Requirements as of March 2018   Creative Inquiry   or ) is recommended at the beginning of one’s college career, a student is free to choose among the various philosophy electives to satisfy the Philosophical Inquiry requirement.  Philosophical thinking can be applied in any life situation because it teaches general problem solving, clear and persuasive communication, and writing that is ordered, coherent and complete. For this reason, one can argue that a philosophy minor is an invaluable compliment to any academic discipline. Careers that are especially dependent on philosophy and philosophical thinking include law, politics, the sciences, theology, journalism, communication, management and education.  Student Learning Outcomes Students completing a minor in philosophy will be able to:  Identify, comprehend, analyze and evaluate philosophical arguments in oral and written discourse.  Understand, analyze, interpret and apply major works in the areas of the History of Philosophy, Ethics and contemporary topics.  Be able to develop and express philosophical positions using the insights of philosophers and other thinkers.  MINOR IN PHILOSOPHY 18 Credits   Requirements: 6 credits  History of Western Philosophy  History of Western Philosophy     3 cr.  A study of the history of western philosophy which chronicles the major thinkers and their key thoughts. The history of philosophy is understood as an ongoing conversation which continues in our own day. The course sketches the main contours of the way in which the conversation has taken shape since its beginnings with the ancient Greeks.   recommended.   recommended.   recommended.   recommended.   recommended.   recommended.    "
AR 101," Drawing  Drawing , 114, 209, 221, 222, 325, 341, 371, and 377 and before they are permitted to register for , 114, 209, 221, 222, 325, 341, 371, and 377 and before they are permitted to register for  Drawing I  Drawing I  Drawing I  Drawing I         3 cr. A foundation course requiring some drawing skills. Students will explore drawing techniques and media in a variety of observational problems. Emphasis will be placed on principles of line, shape, mass, light and shade, perspective and space, surface and structure. Two, two-and-one-half hour lab periods weekly.  . Designed to further develop the student’s perceptual and conceptual drawing skills. Students are encouraged to experiment and explore assigned problems. Two, two-and-one-half hour lab periods weekly. Prerequisite: .  .  , 221.  , 222.   or 221. 67   /102 or  Drawing l "
AR 200," Calligraphy  Calligraphy I         2 cr. Fundamentals of basic lettering, layout and composition. One two-hour lab period weekly.  .  "
AR 221," Basic Design  Basic Design  Basic Design  Basic Design or  Basic Design  Basic Design .   Basic Design         3 cr. Study and practice of fundamental elements and principles of two-dimensional design using a variety of media. Two, two-and-one-half hour lab periods weekly.  .  .   Basic Design  + 12 Credits from the following:  Basic Design   Basic Design  OR   Basic Design  OR "
AR 209," Photography  Photography I  Photography I  Photography I  Photography I  Photography I          3 cr. An introduction to the basic elements of black & white and color photography. Digital camera techniques are studied. Emphasis placed on photography as an interpretive and illustrative medium in art. This course is designed to develop within the student the basic technical skills required to successfully practice photography with intention and as a uniquely powerful medium as well as a profoundly embedded phenomenon in contemporary life. It is expected that students will spend 2 to 3 hours, minimally, outside of the classroom/laboratory performing course related work such as reading, research, homework assignments, practice, studio work, and other academic work for every hour of instruction spent in the classroom/laboratory. Student supplies digital camera. Two, two-and-one-half hour lab periods weekly.  65  . Designed to further develop the student’s technical and interpretive understanding of black & white and color photography. I. Student supplies digital camera. Two, two-and-one-half hour lab periods weekly. Prerequisite: .  / Photography I   Photography I      3 cr. An introduction to the basic elements of black & white and color photography. Digital camera techniques are studied. Emphasis on photography as an interpretive and illustrative medium in art. Student supplies digital camera. Two, two-and-one-half-hour lab periods weekly.  "
AR 280," Art Appreciation  Art Appreciation: A Studio Approach   Art Appreciation: A Studio Approach   Art Appreciation: A Studio Approach      3 cr.  A study of three visual arts disciplines through combined lecture and hands-on studio experience. This approach includes the study of artists, styles, and techniques related to some of the following disciplines: drawing, painting, printmaking, ceramics, photography, sculpture or fibers. The emphasis will be on direct studio experience. Two, two-and-one-half hour lab periods weekly.    Art Appreciation: A Studio Approach  Professional Education Core: 11 courses   Art Appreciation: A Studio Approach  Professional Education Core: 9 courses "
AR 310," Intro to Game Production  Intro to Game Production  Introduction to Game Production  Introduction to Game Production  Introduction to Game Production      3 cr.  Open communication is vital for a team’s success. While understanding that each person communicates an receives communication in different fashions, the producer will learn to inspire, protect and motivate the group they are responsible for. The producer will foster trust and open communication throughout all levels of the team 66  by being aware of the strengths and weaknesses specific to the team. The producer will also learn to focus on the requirements of a successful project while remaining aware of the needs of the team. No prerequisite.    and "
AR 311," Art History 1: Ancient to Modern  Art History I: Ancient to Medieval     Art History I: Ancient to Medieval     Art History I: Ancient to Medieval  Art History I: Ancient to Medieval      3 cr.  Civilization epochs in the light of environmental influences and the resultant fine and decorative arts are studied. Where feasible, the philosophies of the related cultural subjects are introduced.  "
