ClassID,Desc
ARTH 275," Studies in Western Art I: Ancient through Medieval Art, 276, 278; and the completion of one art history course from the following courses: .4. , 276, 278 or 302, 294, 494 and four of the following: .Advisors: Professors Hong, Kotsis, and Williams. Requirements for the MinorStudio Art Completion of six units to include: 1) , 276, 278, 302, 325, 334, 359, 360, 361, 362, 363, 365, 367, 368, 369, 370, 371, 399; and 3) three art electives. Art HistoryCompletion of six units to include: 1) , 276, 278 or 302, 294; and 2) two art history units at the 300 level (from the following courses: .4.  and , 276, 325, 359, 360,   361, 363, 365;  and : Studies in the Western World I: Ancient Art to Renaissance (Artistic Approaches Core): Studies in Western Art I: Ancient Art to Renaissance (Artistic Approaches Core): Studies in Western Art I: Ancient Art to Renaissance (Artistic Approaches Core)"
ARTH 276," Studies in Western Art II: Fourteenth to the Twenty-    First Century: Studies in Western Art II: Renaissance to Modern Art (Artistic Approaches Core): Studies in Western Art I: Renaissance to Modern (Artistic Approaches Core)"
ARTH 278," Survey of Asian Art, 302, 325, 334, 359, 360, 361, 362, 363, 365, 367, 368, 369, 370, 371, 380, 399, , 370, 371; , 370, 371;  Survey of Asian Art (Humanities)c.  Survey of Asian Art (core course): Survey of Asian Art (Artistic Approaches Core): Survey of Asian Art (Artistic Approaches Core) : Survey of Asian Art (Artistic Approaches Core)"
ARTH 302," The Art of Mexico and Mesoamerica The Art of Mexico and Mesoamerica, 325, 359, 360, 361, 362, 363, 365, 367, 368, 369, 370, 371, 380, 399, , 325, 334, 359, 360, 361, 362, 363, 365, 367, 368, 369, 370, 371, 380, 399, : The Art of Mexico and Mesoamerica (Artistic Approaches Core): The Art of Mexico and Mesoamerica (Artistic Approaches Core) The Art of Mexico and Mesoamerica"
ARTS 102," The Principles of 3D Design (no prerequisites for non-majors). Offered Fall semester. 248  Ceramics: Beginning Handbuilding   This course presents stu-dents with the spectacular possibilities of handbuilding techniques used to create ceramic objects. Different methods of creation are introduced throughout the duration of the course culminating in a final project that incorporates knowledge of these fundamental techniques. In tandem with these assignments, students also explore low temperature glaze formulation. Historical and contemporary examples of ceramic art are presented to students throughout the duration of the course. As a result, students acquire an appreciation for historic and contemporary ceramics and become able to critically discuss a myriad of ceramic artwork. Along with regular lectures, students are required to research and present on a contemporary ceramic artist. Available to non-majors. Prerequisites: for Studio Art majors and minors,  (no prerequi-sites for non-majors). Offered Spring semester.251  Painting   Students explore the wonders of color relationships, learn how to mix accurate colors, create the illusion of mass and space and manipulate oil paint to create a range of expressive effects. Additionally, this class emphasizes the notion of artistic intention as well as the relationship between expressive content and perceptual elements. Prerequisites: for Studio Art majors and minors,  (no prerequisites for non-majors). Offered Fall semester.266  Sculpture/Wood   This course explores mass, structure, surface and scale using wood as the primary medium. Construction, carving, bending and joinery are introduced and put into practice through problem solving assignments. Prerequisites: for Studio Art majors and minors,  (no prerequisites for non-majors). Offered Spring semester.281  Beginning Printmaking: Relief and Intaglio   This beginning printmaking class introduces students to basic relief and intaglio printing techniques, in addition to a history of the media. Drawing is an import-ant aspect of the two processes that are explored. Relief processes include transfer methods, safe use of carving tools, black and white and color printing. Intaglio processes include plate preparation, the applica-tion of grounds, methods of biting the plates with acids, Chine-colle, and printing. Prerequisites: for Studio Art majors and minors, "
ARTS 147," A History of Ceramics Through Making and  and : History of Ceramics through Making (Artistic Approaches Core)"
ARTS 202," The Printed Image do not apply to the Studio Art major.Advisors: Professors Gunderson, Johnson, Marcavage, and Richman. BA Degree in Art HistoryI.  Completion of  do not apply to the Studio Art minor.Course OfferingsUnless otherwise specified, each course carries 1 unit of credit and is offered at least once each academic year. Please see “Frequency of Course Offerings” on page 10.Seminars in Scholarly Inquiry. See Seminars in Scholarly Inquiry in the Core Curriculum section of this Bulletin for course descriptions (page 10).SSI1/SSI2 120 Hagia Sophia: From the Emperor’s Church     to the Sultan’s Mosque SSI1 147 Contemporary Art Theory and CritiqueSSI2 157, Chinese Painting in the WestSSI1/SSI2 170 Perspectives: Space, Place, and ValuesSSI1 179 Women, Art, and Power in ByzantiumOther courses offered by Department of Art and Art History faculty.  See Connections in the Core Curriculum section of this Bulletin for course descriptions (page 24).: The Printed Image (Artistic Approaches Core)"
CLSC 201," Ancient Tragedy Ancient Tragedy: Ancient Tragedy (Artistic Approaches Core) : Ancient Tragedy (Artistic Approaches Core)"
ENGL 211," Introduction to Creative Writing: Story vs. Anti-Story "
ENGL 212," The Craft of Literature. Two of   these Art focus courses must be taken at the Tacoma   campus. One unit of studio art   will meet the experiential component requirement. 2. Music Focus (3-4 units)  Three units in music from the following: "
