ClassID,Desc
AAE 1900,"0 - Introduction To Aerospace Engineering  Credit Hours: 2.00. Emphasis on the nature of engineering and the engineering method, with special attention to aeronautical and astronautical problems; introduction to design. Typically offered Fall.  "
AAE 2000,"0 - Undergraduate Sophomore Seminar  Credit Hours: 0.00. The courses are intended to provide a forum for guest speakers, organizational and informational meetings with undergraduates, and to provide a venue for discussion of professional development. Typically offered Fall Spring.  "
AAE 2030,"0 - Aeromechanics I  Credit Hours: 3.00. Fundamental concepts and principles of bodies in motion, with applications to aeronautical and astronautical problems. Subjects covered include rectilinear motion, curvilinear motion, rotation, and plane motion. The static equilibrium and quasistatic equilibrium situations are treated as a part of motion in which the acceleration is zero. Problems involving impact, separation, work, and energy are considered. Typically offered Fall Spring.  "
AAE 2040,"0 - Aeromechanics II  Credit Hours: 3.00. Loads on aircraft. Strain, stress, and equations of equilibrium. Description of aircraft structures and materials. Torsion of shafts. Fuselage and wing structures. Symmetrical bending and stiffness analysis of solid and stringer-panel box beams. Structural failures. Typically offered Fall Spring Summer.  1 - Aeromechanics II Laboratory  Credit Hours: 1.00. Introduction to strain gauges, dial gauges, and photoelasticity. Tensile test. Torsion of solid and hollow propeller shafts. Stress concentration around skin cut-outs. Bending of symmetrical box wing beams. Combined axial and flexural test of aircraft stringers. Buckling of slender stringers. Typically offered Fall Spring.  "
AAE 2510,"0 - Introduction To Aerospace Design  Credit Hours: 3.00. The role of design in aerospace engineering. Introduction to aerodynamics, performance, propulsion, structures, stability and control, and weights. Layout and general arrangement of aerospace vehicles. Design concept generation and selection. Computational methods for design. Trade studies and graphical optimization. Conceptual design exercise involving aircraft, spacecraft, or both. Technical presentations and communication for aerospace engineering. Typically offered Fall Spring.  "
AAE 2919,"9 - Professional Practice Extensive Co-Op I  Credit Hours: 0.00. Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required. Typically offered Fall Spring Summer.  "
AAE 2929,"9 - Professional Practice Extensive Co-Op II  Credit Hours: 0.00. Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required. Typically offered Fall Spring Summer.  "
AAE 3000,"0 - Undergraduate Junior Seminar  Credit Hours: 0.00. The courses are intended to provide a forum for guest speakers, organizational and informational meetings with undergraduates, and to provide a venue for discussion of professional development. Typically offered Fall Spring.  "
AAE 3010,"0 - Signal Analysis For Aerospace Engineering  Credit Hours: 3.00. Signal processing and spectral analysis for aerospace engineering. Fourier and fast Fourier transforms. Vibration analysis; estimation of natural frequencies, wing vibrations. Introduction to linear circuits, operational amplifiers and filtering. Noise suppression. Typically offered Fall.  "
AAE 3330,"0 - Fluid Mechanics  Credit Hours: 3.00. Kinematics of fluids and conservation equations for mass, momentum, and energy. Viscous and inviscid incompressible flow. Lift and drag in subsonic flow. Introduction to compressibility and boundary layers. Potential flow. Typically offered Fall Spring Summer.  1 - Fluid Mechanics Laboratory  Credit Hours: 1.00. A laboratory course designed to illustrate various aerodynamic phenomena. Experiments in incompressible viscous flow; flow measurement and visualization; laminar and turbulent boundary layers; wakes. Typically offered Fall Spring.  "
