ClassID,Desc
BCS 110,"), by division or department (e.g., music), and by concept (e.g., cognition). You can learn more of what you need to know by clicking “Cluster Policies.” The Writing, Speaking, and Argument Program offers three versions of Reasoning and Writing in the College,  (recommended), ,  and 111) are entries into many of the clusters offered by the department, but students can also begin clusters by taking one of the 100-level electives ( Neural Foundations of Behavior. Introduces the structure and organization of the brain and its role in perception, movement, thinking, and other behavior. Topics include the brain as a special kind of computer, localization of function, effects of brain damage and disorders, differences between human and animal brains, sex differences, perception and control of movement, sleep, regulation of body states and emotions, and development and aging. Prerequisites: none. (Fall and Spring, one of the two foundation courses) or  or  required; ,  or 111 during the fall semester may be eligible to take certain upper-level brain and cogni-tive sciences electives in the spring. Similarly, students who complete  Neural Foundations of Behavior. Introduces the structure and organization of the brain and its role in perception, movement, thinking, and other behavior. Topics include the brain as a special kind of computer, localization of function, effects of brain damage and disorders, differences between human and animal brains, sex differences, perception and control of movement, sleep, regulation of body states and emotions, and development and aging. Prerequisites: none. Part of clusters N1MAS001, N1MAS002, N1MAS003, and music cognition minor. (Fall and Spring)"
WRT 105," (4 credits). The extended version of this same course,  grow out of a single course description, but individual sections have unique discipline-specific content and themes designed by each instructor with students’ interests in mind. Students will find a wide range of topics from a variety of disciplines, such as “Fantasy Worlds: Medieval to Modern,” “Being Homo Sapi-ens Sapiens: The Brain, The Mind, The Heart, and Full Catastrophe Living,” and “America’s National Parks.” Section themes are indi-cated through subtitles and descriptions, which, along with CRN numbers and section times, are available on the Writing, Speaking, and Argument Program’s web page: http://writing.rochester.edu/.The Writing, Speaking, and Argument Program encourages students to choose sections that interest them, whether this interest grows out of a desire to learn more about a favorite subject or to try something new.Primary Writing Requirement: In addition to completing a major, minor, or cluster in each of the three divisions, students are required to fulfill the Primary Writing Requirement. The Primary Writing Requirement is the College’s first step in drawing students into our community of researchers and writers. Typically, the Primary Writing Requirement is satisfied by passing Reasoning and Writing in the College (, , , , Reasoning and Writing in the College, or . The substitute course may not also be used to fulfill the Upper-Level Writing Requirement. Transfer students who have com-pleted a  equivalent at another institution and received a “B” or better may petition to use this course to satisfy the Primary Writing Requirement. For more information on satisfying the Primary Writ-ing Requirement, including instructions on how to access the Writing Placement Survey, please refer to http://writing.rochester.edu/ undergraduate/index.html. Students admitted to the College through the English for Academic Purposes Program fulfill the requirement by earning a grade of “C” or higher in  requirement.Course DescriptionsFall 2018 or elective   or electiveCourses or electiveCourses or electiveFor more information, go to sas.rochester.edu/ees/ or hajim.rochester.edu/me/.HISTORY“He to whom the present is the only thing that is present, knows  nothing of the age in which he lives.”—Oscar WildeInformation about the DepartmentThe Department of History is a dynamic community of teacher-scholars interested in studying the origins and formation of the com-plex, multicultural, and interconnected world in which we live. Our distinguished faculty shares a commitment to excellence in teaching and working closely with students to develop historical literacy, criti-cal thinking, writing, and research skills. We use cutting-edge meth-ods to connect the present with the past and to consider human experience across time and space. Because an understanding of the past is crucial to a wide array of political, economic, literary, artistic, anthropological, and humanistic studies, taking history courses can also benefit students majoring in these disciplines.  The department offers programs of study leading to the BA degree, the BA degree with honors and (on the graduate level) master’s and doctorate degrees. We also offer a minor in history. Non-majors are welcome in almost all history courses and typically become enthusiastic, successful participants. The history concentration is valuable not only for those intent on becoming professional historians but also for those interested in pursuing careers in law, politics, secondary school teaching, museum studies, historic preservation, and communications, among many other fields. The department also offers 15 clusters for non-majors to satisfy the social science divisional requirement in the Rochester Curriculum. These clusters consist of carefully selected sets of courses and include both geographical (e.g., American History) and topical (e.g., History of Science, Technology, and Medicine) groupings. Students who wish to substitute a course in a cluster can consult the department’s director of Undergraduate Studies, Professor Laura Smoller (laura.smoller@rochester.edu).  The department offers a wide range of undergraduate courses encompassing social, economic, cultural, intellectual, political, and digital approaches to historical problems and periods. Most 100- and 200-level courses in the department are accessible to students with little background knowledge in history. In addition, the faculty offers 300-level seminars and courses designed for majors and students interested in exploring more specialized historical topics (200-level courses designated with a “W” and all 300W courses meet the college’s upper-level writing requirement). Each student concentrating in history will have a faculty advisor. The choice of that advisor will ideally match a student’s particular historical interests and will be made in consultation with the director of Un-dergraduate Studies. This advisor will help prospective majors plan their programs. In addition, advisors serve as a resource for selecting courses, making changes to a major program, alerting students to special opportunities in the major (research opportunities, honors, internships, etc.), and offering advice on further study and work after graduation. The first step in declaring a history major is to con-sult with a faculty advisor. For the most current information about the history department and the faculty as well as requirements for a history major or minor, please visit our website, www.sas.rochester.edu/his/. You can also follow us on Facebook @UofRHistory Department or on Twitter @urhistorydept.Advice to First-Year StudentsThe department recommends that incoming first-year students enroll in one or more of the 100-level or 200-level regional or topi-cal courses prior to taking  or elective  or electiveCourses (Mechanical engineering courses available to first-year students) or cluster course, Reasoning and Writing in the College, or . The substitute course may not also be used to fulfill the Upper-Level Writing Requirement. Transfer students who have completed a  equivalent at another in-stitution and received a “B” or better may petition to use this course to satisfy the Primary Writing Requirement. For more information on satisfying the Primary Writing Requirement, including instruc-tions on how to access the Writing Placement Survey, please refer to writing.rochester.edu.  Students admitted to the College through the English for Aca-demic Purposes Program fulfill the requirement by earning a grade of “C” or higher in  Reasoning and Writing in the College.  in-troduces students to disciplinary writing at the college level through instruction in small sections that focus on the act of writing. Section topics have ranged from “Adolescence: War or Peace” to “Searching for Whales: Myth, Science, and Ecological Sustainability” and cover a range of subjects and disciplines. The course provides instruction and practice in clear and effective writing and in constructing cogent and compelling arguments as students draft and revise numerous papers of different forms and lengths. Students consider the roles of audience and purpose in shaping the organization, style, and argu-mentative strategies of their own papers while they learn to become critical readers of their writing through peer critiques and revision and editing workshops. Each section has unique content. For an updated list of course descriptions, please refer to http://writing.rochester.edu. (Fall and Spring) and /"
WRT 105E," (4 credits), and the two-semester version, , or the combined , or  or  or  Reasoning and Writing in the College.  is an extended version of Reasoning and Writing in the College. While  have the same expectations for completion,  is intended for students who decide that they need a more supported writing experience to meet the demands of college writing. All sections of  include an additional class session each week, are taught in computer labs, and are limited to 10 students.  students who have worked diligently but have not attained a B- or better may take an incomplete and sign up for the Extension, a weekly workshop and tutorial that allows students to raise their final grades and satisfy the Primary Writing Requirement. Each section has unique content. For an updated list of course descriptions, please refer to http://writing.rochester.edu. (Fall and Spring) across two semesters, with .  or alternative satisfaction of the Primary Writing Requirement. (Spring)Option 3: "
WRT 105A," (2 credits), and  and  and  and B, versions of 105 chosen by students who need more support to meet the demands of college-level writing. Students who believe that they are already proficient college writers may petition to substitute a University of Rochester writing-intensive course for  and B, versions of 105 chosen by stu-dents who need more support to meet the demands of college-level writing. Students who believe that they are already proficient college writers may petition to substitute a University of Rochester writing-intensive course for  Reasoning and Writing in the College: First Course in - (Fall) and  covering the first half of  immerses students in the experience of academic writing, with a particular emphasis on analyzing, using, and docu-menting scholarly and no-scholarly texts. It provides instruction and practice in constructing cogent and compelling arguments as students draft and revise two short argumentative essays. Students develop and test their ideas through discussion, informal writing, peer critiques, and self-assessments. All sections of  and B revolve around a theme and include a weekly writing group in which students do the work of writing with immediate support from the course instructor. To proceed from  to -- and B revolve around a theme and include a weekly writing group in which students do the work of writing with immediate support from the course instruc-tor.  "
WRT 105B," (2 credits) have been developed for students needing more support or more time to develop as academic research writers. All versions of ) with a grade of “C” or better. To be prepared for the upper-level writing requirement in the majors, students should satisfy the Primary Writing Requirement by the end of the first year of study.International students are encouraged to register for U.S. Life: Customs and Practices () with a grade of C or better;• the upper-level writing requirement (integrated into the requirements for your major);• a minimum of seven semesters;• a mimimum of 128 credit hours, with an average grade of C or better;• the College’s Enrollment Policy (for further information, visit rochester.edu/college/CCAS/AdviserHandbook/enrollment.html)FIRST-YEAR ACADEMIC HANDBOOK[6CHOOSING YOUR COURSESThe Rochester Curriculum is uniquely designed to allow you to own your education. We do not tell you which subjects to study—that choice is fully yours. Here you may safely explore courses of interest and not worry about having enough time to complete your academic program. This is true whether you select a major with 10 required courses or 20. To see how true this is, consider what might be pos-sible if you decide on one of the most time-consuming programs, a BS major in the biological sciences: you’ll complete “Reasoning and Writing in the College” and, as required by the major, a maximum of 11 biology courses, two semesters of calculus, four semesters of chemistry, two semesters of physics, and one course in a field related to biology, for a total of 21 courses. This leaves 11 courses for explo-ration, some of which will lead to fulfilling clusters. Many of you will choose majors with fewer requirements, leaving plenty of time for a cluster of particular interest to grow into a minor or second major. Beginning on page 12 of this handbook, you’ll find advice from each department that will help you select courses that match your interests and skill levels. Your choices will depend on several fac-tors, including your initial ideas about possible majors, your com-fort with exploring unknown subjects (give it a try!), departmental placement recommendations, and course availability (although this is not typically a problem). Here are some opportunities to consider as you read through this handbook and jot down courses you might take:Small, interactive courses, which allow you to work closely with faculty and meet other students with similar interests. We strongly recommend taking at least one small course your first semester.  Sequence.  (Spring) distribute the work of , students must earn a grade of “C” or higher. (Fall) Reasoning and Writing in the College: Second Part of  Sequence. The second half of the  sequence,  immerses students in the experience of academic writing, with a particular emphasis on analyzing, using, and documenting scholarly and nonscholarly texts. It provides instruction and practice in constructing cogent and com-pelling arguments as students draft and revise a proposal and an 8- to 10-page argumentative research paper. Students develop and test their ideas through discussion, informal writing, peer critiques, and self-assessments. All sections of  students who have worked diligently but have not attained a grade of “B−” or higher may take an incomplete and sign up for the Extension, a weekly workshop and tutorial program that allows students to continue working on their writing, raise their final grades, and satisfy the Primary Writing Requirement. (Spring)Upper-level WRT requirement in the majorPHYSICSTwo semesters with lab (level of coursework will depend on AP credits and MTH placement).Option 1: "
CAS 170,") during the fall or spring semester of the first year. The class is limited in size to create an interactive and personalized experience. The innovative curriculum is designed to assist students in their transition to college through the study of American culture and values and successful study practices. Read-ings and short assignments are supplemented by on- and off-campus field trips, guest speakers, group activities, and discussion of current issues. The course carries two credits and may be combined with four additional full-credit courses.Learning across the DivisionsA great deal of the College’s innovative teaching and research takes place outside the confines of traditional departments, divisions, or even schools. As the list of interdisciplinary majors on page 4 shows, students can study new fields that have developed at the crossroads of existing disciplines (see also the list of approved minors on page 100). Cutting-edge work in public health–area studies, digital media studies, business, and other domains requires students to have in-depth knowledge in a blend of science, humanities, and social sci-ences fields. Sometimes students will take courses from multiple de-partments in the construction of their major; other times, the work they do in individual courses will represent a variety of disciplines.Many of the college’s newest majors are interdisciplinary. In digital media studies, for example, they pursue work in computer science, art, optics, and film and media studies. Majors in American studies take courses in the humanities and social sciences in depart-ments such as art history, English, history, and political science. East Asian studies majors work in language, anthropology, literature, and history, whereas audio music engineering requires students to study electrical and computer engineering, math and physics, music theory, and computer science.In addition, many individual courses take advantage of an interdisciplinary format. In some, students learn how to program computers while studying media history and theory; in others, they study musicianship and the art and science of sound recording.Academic HonestyAs first-year students, you are joining a university community com-mitted to the pursuit of excellence in learning, teaching, creativity, and research. Academic honesty is the cornerstone of that academic excellence, as it creates the necessary conditions of mutual trust and open communication that make intellectual inquiry and growth possible. The AS&E Academic Honesty Policy recognizes our shared obligation to promote academic honesty, establishes high standards of academic conduct, and requires each student to meet those standards.IN SUMMARY, you will complete for your degree:• a major with an average grade of C or better;• a divisional cluster in each of the two divisions outside the area of the major with an average grade of C or better  (although you may substitute a second major or a minor for a cluster in either or both of these two divisions);• the primary writing requirement (normally "
CAS 142,", one of the Meliora seminars offered specifi-cally for first-year students, and language courses are examples of small courses, though there are many others as well.Interesting courses outside potential major(s), which offer a gate-way to new interests. Read through the course descriptions in this handbook and choose three that you find especially interesting. We challenge you to take at least one your first semester. (You have plenty of time!)Courses for potential major(s), which allow you to delve into your area(s) of interest. Be sure to read “Departmental Advice for First-Year Students” included in this handbook to identify the courses you will need to take during your first year, along with those that might be postponed.Courses that coincide with your academic strengths, which provide a boost of confidence while allowing you to delve deeper into an area of study.Most importantly, your choices should grow out of your inter-ests, your curiosity, and your goals.When selecting your courses, keep in mind that some are offered only once each academic year. While "
MTH 141," and 161 are offered each semester, courses such as  who wish to enroll in a higher course, there will be a placement test offered at the be-ginning of the semester. See the placement web page www.sas.rochester.edu/mth/undergraduate/handbook/placement.html for more informa-tion regarding placement guidelines. In case of discrepancy or questions, students are encouraged to speak with a representative of the mathemat-ics department at the academic open house during Orientation.MusicStudents interested in registering for a music theory course should take the Theory Placement Exam given during Orientation. Results will guide the music faculty in determining appropriate placement into    –143 or –143; Calculus I, II, III. This sequence covers the mate-rial of    Calculus I,   or ) –143 covers the same material as  should take  who wish to enroll in a higher course, there will be a placement test offered at the beginning of the semester. See the placement web page www.sas.rochester.edu/mth/undergraduate/handbook/placement.html for more information regarding placement guidelines. In case of discrepancy or questions, students are encouraged to speak with a representative of the mathematics department at the Academic Open House during OrientationAdvanced Placement (AP)The Department of Mathematics gives credit and placement to stu-dents who have taken the CEEB Advanced Placement examinations in Mathematics (Calculus AB and Calculus BC) as follows:Note: taking more than one MTH course per semester in the first year is usually discouraged. Students wishing to do so should discuss their plans with a departmental representative.AP Calculus, AB exam:  Score of 4 or 5—Student will be placed in  and 161 are also part of many clusters in the natural sciences.CoursesTraditionally, the different sections of the standard calculus sequences, –143 and . After completing this course, students are ready to take . –143 Calculus I, II, III. This sequence covers the same material as  is open to all first-year students placed in  or a higher-numbered course.  or  "
CHM 131," and most introductory (101) language courses are offered only in the fall semester.Academic Advising during Your First Year: During the summer prior to your arrival on campus, you will be assigned to an under-graduate advisor. Undergraduate advisors are faculty and staff who assist students in developing a preliminary academic plan, encour-age exploration of the Rochester Curriculum, introduce students to academic opportunities, and help students build relationships with other campus offices and programs. Undergraduate advisors help you navigate your college lives; they serve as guides as you begin your college journey; and they assist you in making good academic decisions. Undergraduate advisors recognize that many students arrive at college somewhat uncertain about their academic futures. They also understand that many other students arrive at college feeling very certain about their plans for their first year. Both of these scenarios are typical, and both are completely OK!  You can expect to meet with your undergraduate advisor several times during Orientation and once classes are under way, it is likely that you will meet several times each semester during your first year. Your undergraduate advisor is the person to speak with when you have questions about choosing classes and clusters, getting involved on campus, interacting with your professors and teaching assistants, Academic honesty means acting with truthfulness and sincerity in carrying out all aspects of our individual and collaborative work, maintaining ownership over our work, and acknowledging our debt to the work of others. Students should complete their work through their own honest efforts and expect and encourage honesty among their peers. Students can learn more about the academic honesty policy and test their self-knowledge with quizzes on the academic honesty website, www.rochester.edu/college/honesty/index.html.Introducing the Humanities CenterThe Humanities Center offers a home for any student interested in exploring the human experience across time and place. Located on the second floor of Rush Rhees Library, the newly constructed center welcomes not only undergraduates in humanities disciplines but also students in any major who are looking for new perspectives, new knowledge, and new interconnections. The center has room for studying, teaching, performing, and socializing as well as for col-laborating on all types of projects, including those that use digital technologies for humanistic inquiry.Undergraduates are welcome in center programs. These include a number of extracurricular workshops such as the Thursday Writers Lounge, the Classics Reading Group, and the monthly reading group on “Science, Technology, and Culture”; frequent public talks on topics ranging from gun violence to modern China; four lectures a year by distinguished scholars who address a common theme; student-led open-mic nights; and lunches with alumni who have excelled in careers related to their humanities background. The center offers information on Meliora Seminars for first-year students and supports undergraduate research. Join the community of the Humanities Center for great conversation in an environment that fosters great ideas! For a calendar of events, go to www.sas.rochester.edu/humanities.CHOOSING YOUR COURSES7]Courses for the major(s) I am currently considering: (Spend some time reading the departmental advice for first-year students for the major(s) you’re contemplating. List the courses you’ll need to take during your first year.)Advanced Placement and International Baccalaureate Exams: AP and IB award criteria, as you may have noticed, appear with the  departmental information. Students are notified of credit by the College Center for Advising Services. Those wishing to discuss either AP or IB credit should contact that office. If you have taken any AP or IB courses, please list the subject and grade that you received on each exam  (if known). Then, look up and record the placement information below.AP or IB Exam Score Rochester Placement(Note: The records of students with AP credit that is contingent upon the completion of a Rochester course are reviewed each summer  so that credit may be awarded appropriately.)Courses I am interested in:and academic support services such as tutoring. As your guide to college life at Rochester, your undergraduate advisor will refer you to a faculty member in a program or department for detailed information about your prospective major. If you have a specific question about an academic policy (e.g., whether you might be able to take an additional course in an upcoming semester), your under-graduate advisor will recommend that you meet with a professional advisor in the College Center for Advising Services. Many other advising resources exist as well, including peer advisors, advisors in the Gwen M. Greene Center for Career Education and Connec-tions, and study skills consultants, to name just a few examples.  At Rochester you will have an entire community of advisors.Academic Advising during Your Second Year (and Beyond): Upon official declaration of a major, usually at the end of the sopho-more year, you will be assigned a major advisor. Students intending to major in engineering can expect to stay with the same advisor assigned to them in their first year. Major advisors (typically faculty members) provide critical guidance in helping students understand course content and classroom expectations, identify opportunities for research and career development, and gain a deeper appreciation of their chosen academic discipline.  To make the most of your intellectual journey at Rochester, we encourage you to continue to build relationships with peers, staff, and faculty throughout your undergraduate years. For some stu-dents, the undergraduate advisor will continue to be an important source of information and support until graduation. Other stu-dents will find that the relationships they develop with faculty and staff later in their college career will be more frequently accessed sources of information. In both cases, it is important to recognize that Rochester has a variety of resources to support your academic journey; by seeking out conversations with others, you will enrich your own experience and develop a supportive and influential community of advisors.Connecting Courses and Careers: As you decide which courses to take, consider the connections these courses have to your interests and professional goals. Whether you are exploring career options  or have one in mind or need to fulfill prerequisite courses, your aca-demics will play a key role in the development of the knowledge and skills needed for your future. See page 94 for more information on connecting coursework and careers and how the Gwen M. Greene Center for Career Education and Connections can assist you in your exploration. Course Placement MethodsBiologyWhich section is right for you? or equivalent)• require laboratory attendance every other week (lab included in 4-credit course; see instructions for lab sign-up in online registration course description)• require workshop attendance (see instructions for workshop sign-up in online registration course description).FIRST-YEAR ACADEMIC HANDBOOK[8College-level transfer credit: For the sake of coherence and uni-formity of instruction, the College prefers that its entering first-year students take all their courses, basic and advanced, from its own faculty as much as possible. With the exception of CEEB Advanced Placement and International Baccalaureate work, the College does not recognize nor grant college credit for secondary school coursework or for courses taught in a secondary school by the secondary school’s own faculty for college credit.Credit may be granted to entering students for prior coursework taught on the campus of an accredited college or university and completed with a grade of “C” or higher. Upon receipt of the official transcript, the coursework will be evaluated to determine if it is equivalent in level and/or content to coursework at the University of Rochester. Please note that transfer credit for a writing course does not, in itself, satisfy the primary writing requirement; see Course Placement Methods, Primary Writing Requirement and Placement, page 9. Note as well that students may apply transfer credit toward their graduation requirements. However, the Col-lege’s enrollment policy does not permit students to accelerate their graduation by more than one semester.Students should have an official transcript sent to the College Center for Advising Services, 312 Lattimore Hall, University of Rochester, P.O. Box 270402, Rochester, . Students who have received a 4 or 5 on the AP exam are entitled to credit for  and have several options available. Students may take the chemistry course in organic chemistry, . The department expects that some students will select each of these options, depending on their preparation in chemistry and their future interests.Primary Writing Requirement and PlacementAll students at the University of Rochester, whether incoming first-year students or transfers, must satisfy the Primary Writing Require-ment. The majority of students fulfill the requirement by earning a “C” or better in  is still a prerequisite for the spring course offering of  or equivalent. Note: Two sections are available. See “Placement Methods” below to determine which one is right for you. or equivalent. Note: See “Placement Methods” below to determine which intro course is right for you.Placement Methods: Which Section Is Right for You? or equivalent)• require laboratory attendance every other week (lab included in 4-credit course; see instructions for lab sign-up in online registra-tion course description)• require workshop attendance (see instructions for workshop sign-up in online registration course description).Students with questions about introductory biology courses should visit the biology table at Open House during Orientation week to talk with the instructors.Fall Courses for non-Science Majors/Cluster Courses   or  and have several options available. Students may accept the credit and apply for admission to enroll in the chemistry course on organic chemistry (. The department ex-pects that some students will select each of these options, depending on their preparation in chemistry and their future interests.FIRST-YEAR ACADEMIC HANDBOOK[32International Baccalaureate (IB)Chemistry—Students who receive a higher-level exam score of 6 or better are awarded credit for  and are eligible to apply for admission to enroll in ,  is part one of a two-semester sequence in general chemistry. Two sections of  are offered in the fall, and both sections are of comparable difﬁculty and cover the same general topics.  and  Chemical Concepts, Systems, and Practices I. This course serves as an introduction to the concepts of chemistry for science and health professions students and as a science course for students of the humanities and social sciences. Properties of chemical systems are discussed from a macroscopic and molecular perspective, with examples developed from a theme of energy and the environment. Topics include stoichiometry, atoms and molecules, properties of gases, thermochemistry, chemical equilibrium, acids and bases, solubility equilibria, and oxidation-reduction reactions. These topics are discussed in the context of the following energy and environment-related issues: elemental resources of our planet, energy production and utilization, what makes a good fuel, and aqueous resources. There are three 50-minute (M, W, F) or two 75-minute (T, R) lectures per week. In addition, there is a three-hour laboratory in alternate weeks, a 50-minute laboratory lecture, and a 75-minute workshop.  (Fall). (Spring), or permission of instructor. (Spring)* "
BIO 110," Principles of Biology I with section instructor  Michael Clark  A course designed for students who have some biology background. Ideally suited for students who have taken AP (IB) biology but did not score a 4 or 6 on the respective tests. However, a confident student who has taken multiple AP courses in other disciplines should also consider this course. This course is open to upperclass students. Principles of Biology I with section instructor Thomas Eickbush A first-year-student-only course designed for those with a little biologi-cal background. This course is most beneficial to students who took biology during their freshman or sophomore year of high school. All students will take part in a weekly study group run by a graduate student mentor. A permission code is required to register for this course and can be obtained from the student’s first-year advisor. If students have ques-tions, they should contact Professor Eickbush in person Friday morning at the “Open House” or Friday afternoon at his office (HH334a). (both sections) and  Principles of Biology I or  is offered both in the fall and spring semesters. Intended biology majors are advised to take  in the fall of their first year, while sophomores, juniors, seniors, and biomedical engineering (BME) students are encouraged to enroll in  in the spring. Please note the .A typical course plan for the first four semesters is available online for students who are preparing to major within the biological sci-ences at sas.rochester.edu/bio/undergraduate/typical-schedule.html.Fall Biology Courses for Intended Biology Majors or Students with Health Profession Interests Principles of Biology I. First semester in a course sequence for biology majors. The course provides an introduction to biochemistry, cell biology, molecular biology, and animal physiol-ogy. Emphasis is on quantitative learning and data analysis. Students must also be enrolled in a lab and a workshop concurrent with this class. Weekly workshops emphasize the construction and interpre-tation of graphs; labs emphasize hands-on learning. Prerequisite: Completion or concurrent enrollment in  in that material is covered in greater depth; there is greater emphasis on experimental ap-proaches, data analysis, and quantitative methods; and additional readings of original research papers are required. It is designed for first-year students with a strong biology background (see prerequi-sites). BIO112 examines current topics in the news that may include GMOs, human genome editing, vaccines, and embryonic stem cells. Prerequisites: students with a score of 4 or 5 on the AP Biology test or an IB score of 7. Completion or concurrent enrollment in  Principles of Biology I (with section instructor Michael Clark) A course designed for students who have some biology background. Ideally suited for students who have taken AP or IB biology but did not score a 4 or 6 on the respective tests. However, a confident student who has taken multiple AP courses in other disciplines should also consider this course. This course is open to upperclass students. Principles of Biology I (with section instructor Thomas Eickbush) A first-year-student-only course designed for students with a little biological background. This course is most beneficial to students who took biology during their freshmen or sophomore year of high school. All students will take part in a weekly study group run by a graduate student mentor. A permission code is required to register for this course and can be obtained from the student’s first-year advisor. If students have questions, they should contact Professor Eickbush in person Friday morning at the “Open House” or Friday afternoon at his office (HH334a). (both sections) and  or /112, * * "
