ClassID,Desc
MCM 1204K," S01 25904 From Analog to Analogue T S01 25904 From Analog to Analogue TBDPhilosophy. From Analog to Analogue: Digitality and Ephemerality inAudiovisual Archives.This seminar explores histories of moving image and sound archives inrelation to social movements, technological change, and philosophies ofcultural memory and value that dictate the content of archives and shapeperceptions of their use value. We begin by exploring archives as physicalentities (buildings), structures of information (catalogs, databases, findingaids) and arbiters of meaning (collections). We also consider *enterprises*that increasingly present themselves as archives of our contemporaryselves and collective existence: Facebook, Instagram, Tumblr, YouTube,Twitter. As well as exploring these issues historically and theoretically, wewill visit local archives and engage in hands on activities.SprMCM1204KS0125904TTh10:30-11:50(09)’To Be Arranged'"
SOC 1871O," S01 25581 Law, Innovation, Entrepreneur Mark C. SuchmanSouth Asian Studies. Law, Innovation and Entrepreneurship.This seminar explores the relationship between legal institutions andmacro-organizational change. The course devotes particular attentionto the legal and organizational processes that shape (and are shapedby) the emergence of new technologies, new *enterprises*, and newindustries. Although discussions may touch on technical aspects oflaw and/or entrepreneurship, most topics and materials focus on thegeneral sociological processes that underlie changing organizationalenvironments. The seminar is aimed at advanced students who havesome prior familiarity with the sociology of law is helpful, but not essential.Through shared and individual readings, weekly discussions, and e-mail dialogues, the course provides an opportunity for students to refineand extend their thinking on important and controversial topics at theintersection of the contemporary organizational and socio-legal literatures.Prerequisite: Law, Innovation and EntrepreneurshipLaw, Innovation and Entrepreneurship"
APMA 1160,". An Introduction to Numerical *Optimization*.This course provides a thorough introduction to numerical methods andalgorithms for solving non-linear continuous optimization problems. Aparticular attention will be given to the mathematical underpinnings tounderstand the theoretical properties of the optimization problems andthe algorithms designed to solve them. Topics will include: line searchmethods, trust-region methods, nonlinear conjugate gradient methods, anintroduction to constrained optimization (Karush-Kuhn-Tucker conditions,mini-maximization, saddle-points of Lagrangians). Some applications insignal and image processing will be explored. Basic programming skills atthe level of APMA 16 or CSCI 40 are assumed.FallAPMA1160S0116851MWF10:00-10:50(14)(J. Darbon)"
APMA 1200,". *Operations Research*: Probabilistic Models.Basic probabilistic problems and methods in operations research andmanagement science. Methods of problem formulation and solution.Markov chains, birth-death processes, stochastic service and queueingsystems, the theory of sequential decisions under uncertainty, dynamicprogramming. Applications. Prerequisite: /1210 and "
APMA 1210,". *Operations Research*: Deterministic Models.An introduction to the basic mathematical ideas and computationalmethods of optimizing allocation of effort or resources, with or withoutconstraints. Linear programming, network models, dynamic programming,and integer programming.SprAPMA1210S0125490TTh10:30-11:50(09)(Y. Shin) (*Operations Research*), or "
BIOL 1222A,". Current Topics in Functional Genomics.A technological revolution in genomics has exponentially increased ourability to gather biological data. A host of new methods and types ofanalysis has arisen to accommodate this dramatic shift in *data collection*.The broad scope of inquiry has ushered in an era of “system-wide”approaches and brute-force strategies where rare signals can be detectedand studied. In this seminar we will cover papers that embody this newapproach. Students typically have taken an advanced undergraduate-levelcourse in biology.SprBIOL1222AS0124904Arranged(W. Fairbrother)"
BIOL 1555,". Methods in Informatics and *Data Science* for Health.The goal of this course is for students to develop a solution that usesdata science and informatics approaches to address a biomedical orhealth challenge. This course will teach informatics and data science skillsneeded for public health and biomedicine research. Emphasis will be givento algorithms used within the context of biomedical research and healthcare, including those used in biomolecular sequence analysis, electronichealth records, clinical decision support, and public health surveillance.This course has been developed as a Course-based UndergraduateResearch Experience (CURE), where students will gain experience withthe scientific method, its application, and presentation.SprBIOL1555S0124391TTh10:30-11:50(09)(N. Sarkar). Emphasis givento understanding the organization of biomedical information, effectivemanagement of information using computer technology, impact of suchtechnology on biomedical research, education, patient care. Major aimexplores the process of developing and applying computational andinformation science techniques for assessing current information practices,determining information needs of health care providers and patients,developing interventions or supporting clinical practice using informatics,and evaluating the impact of informatics solutions from a biomedicalperspective.FallBIOL1565S0115736TTh10:30-11:50(13)(N. Sarkar)"
BIOL 2222B,". Current Topics in Functional Genomics.A technological revolution in genomics has exponentially increased ourability to gather biological data. A host of new methods and types ofanalysis has arisen to accommodate this dramatic shift in *data collection*.The broad scope of inquiry has ushered in an era of “system-wide”approaches and brute-force strategies where rare signals can be detectedand studied. In this seminar we will cover papers that embody this newapproach. Students typically have taken an advanced undergraduate-levelcourse in biology.SprBIOL2222BS0124906Arranged(W. Fairbrother)For up-to-date course information please visit Courses@Brown.edu (https://cab.brown.edu).Brown University            41"
CLPS 1900,". Research Methods And Design.This course is designed to provide CLPS concentrators (psychology/cognitive science/cognitive neuroscience) with a variety of tools neededto conduct research: sources of data, standard designs (e.g., factorialexperimental, correlational, longitudinal), research ethics, and bestpractices of literature review (e.g., meta-analysis). The course will includelectures, laboratory exercises, *data collection*, statistical analysis, andpresentation of findings in written and oral reports. (Previously CLPS1091)FallCLPS1900S0116627TTh9:00-10:20(02)(L. Welch)SprCLPS1900S0125059TTh2:30-3:50(11)(A. Shenhav)"
CSCI 0320,". Introduction to Software Engineering.Techniques for designing, building, and maintaining large,scalable, andreusable systems. We will cover advanced programming techniques usingJava and Javascript. Course assignments will familiarize students withsoftware testing, *relational databases*, concurrency techniques such asthreads, and software engineering tools like git, profilers, and debuggers.A major component of the course will be a group software project of yourown design.Prerequisite:  is strongly recommended.FallCSCI1270S0116145MW3:00-4:20(17)(S. Zdonik)/ or or 0330.FallCSCI1600S0116970TTh9:00-10:20(02)(S. Reiss) or  strongly recommended.SprCSCI1951AS0125003TTh9:00-10:20(01)(E. Pavlick),  AND & & "
CSCI 1951A,". *Data Science*.Mastering big data requires skills spanning a variety of disciplines:distributed systems over statistics, machine learning, and a deepunderstanding of a complex ecosystem of tools and platforms. DataScience refers to the intersection of these skills and how to transformdata into actionable knowledge. This course provides an overview oftechniques and tools involved and how they work together: *SQL* andNo*SQL* solutions for massive *data management*, basic algorithms fordata mining and machine learning, information retrieval techniques, andvisualization methods.Prerequisites: *Data Science*Political Science:*Data Science*Related Courses*Data Science*or *Data Science*or *Data Science*or *Data Science*"
CSCI 1951R,". Introduction to Robotics.Each student will learn to program a small quad-rotor helicopter. We willprovide each student with their own robot for the duration of the course.The course will cover *PID* controllers for stable flight, localization with acamera, mapping, and autonomous planning. At the end of the course, theaim is for students to understand the basic concepts of a mobile robot andaerial vehicle. Enrollment by instructor permission.FallCSCI1951RS0116141TTh10:30-11:50(13)(S. Tellex)"
